date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,6.77,6.78,6.77,6.78,6700.0
2018-02-16,09:31:00,6.79,6.81,6.78,6.79,143267.0
2018-02-16,09:32:00,6.7907,6.8193,6.7907,6.815,84284.0
2018-02-16,09:33:00,6.82,6.825,6.8,6.8101,66249.0
2018-02-16,09:34:00,6.8101,6.8193,6.8,6.8,81768.0
2018-02-16,09:35:00,6.8063,6.8193,6.8,6.815,42400.0
2018-02-16,09:36:00,6.82,6.84,6.81,6.8199,182751.0
2018-02-16,09:37:00,6.82,6.83,6.82,6.8263,91678.0
2018-02-16,09:38:00,6.83,6.84,6.8207,6.8337,234151.0
2018-02-16,09:39:00,6.84,6.8407,6.83,6.8337,342689.0
2018-02-16,09:40:00,6.8393,6.84,6.83,6.84,18743.0
2018-02-16,09:41:00,6.83,6.8393,6.8207,6.8207,57385.0
2018-02-16,09:42:00,6.825,6.83,6.805,6.805,93281.0
2018-02-16,09:43:00,6.805,6.81,6.8007,6.8007,9729.0
2018-02-16,09:44:00,6.8093,6.81,6.7937,6.795,42568.0
2018-02-16,09:45:00,6.79,6.8,6.79,6.7999,120676.0
2018-02-16,09:46:00,6.79,6.8,6.7807,6.8,126690.0
2018-02-16,09:47:00,6.805,6.81,6.8007,6.8099,88879.0
2018-02-16,09:48:00,6.81,6.81,6.8007,6.81,17900.0
2018-02-16,09:49:00,6.81,6.82,6.81,6.8107,90710.0
2018-02-16,09:50:00,6.8107,6.82,6.8107,6.814,11600.0
2018-02-16,09:51:00,6.815,6.83,6.8107,6.83,244930.0
2018-02-16,09:52:00,6.829,6.829,6.82,6.82,5500.0
2018-02-16,09:53:00,6.83,6.83,6.8201,6.8207,80593.0
2018-02-16,09:54:00,6.8237,6.83,6.82,6.8268,23339.0
2018-02-16,09:55:00,6.8268,6.8299,6.81,6.8107,184665.0
2018-02-16,09:56:00,6.82,6.82,6.8107,6.8107,7300.0
2018-02-16,09:57:00,6.8193,6.8193,6.8137,6.8193,7800.0
2018-02-16,09:58:00,6.8163,6.82,6.8163,6.82,2973.0
2018-02-16,09:59:00,6.82,6.82,6.815,6.815,2600.0
2018-02-16,10:00:00,6.82,6.83,6.82,6.83,116303.0
2018-02-16,10:01:00,6.8207,6.8293,6.81,6.81,166139.0
2018-02-16,10:02:00,6.81,6.8193,6.8007,6.8007,48800.0
2018-02-16,10:03:00,6.8,6.83,6.8,6.815,407724.0
2018-02-16,10:04:00,6.82,6.83,6.82,6.825,221399.0
2018-02-16,10:05:00,6.83,6.84,6.8207,6.84,192937.0
2018-02-16,10:06:00,6.835,6.8368,6.83,6.835,386402.0
2018-02-16,10:07:00,6.83,6.8356,6.83,6.8356,30337.0
2018-02-16,10:08:00,6.835,6.84,6.8307,6.84,10000.0
2018-02-16,10:09:00,6.84,6.84,6.8307,6.8307,9999.0
2018-02-16,10:10:00,6.84,6.85,6.8307,6.8488,228514.0
2018-02-16,10:11:00,6.8458,6.85,6.84,6.85,8500.0
2018-02-16,10:12:00,6.85,6.85,6.83,6.83,194318.0
2018-02-16,10:13:00,6.8301,6.8393,6.82,6.82,202756.0
2018-02-16,10:14:00,6.82,6.8201,6.8107,6.8193,59000.0
2018-02-16,10:15:00,6.815,6.8293,6.8107,6.825,129883.0
2018-02-16,10:16:00,6.828,6.83,6.8207,6.8207,16700.0
2018-02-16,10:17:00,6.83,6.83,6.8207,6.8299,18773.0
2018-02-16,10:18:00,6.83,6.83,6.825,6.83,3850.0
2018-02-16,10:19:00,6.83,6.84,6.8232,6.84,120691.0
2018-02-16,10:20:00,6.8393,6.84,6.8301,6.84,28093.0
2018-02-16,10:21:00,6.835,6.84,6.835,6.835,3900.0
2018-02-16,10:22:00,6.84,6.8493,6.8307,6.84,110354.0
2018-02-16,10:23:00,6.845,6.845,6.8307,6.835,73748.0
2018-02-16,10:24:00,6.8307,6.84,6.8307,6.835,5410.0
2018-02-16,10:25:00,6.84,6.84,6.8307,6.84,22653.0
2018-02-16,10:26:00,6.84,6.85,6.8399,6.8432,70851.0
2018-02-16,10:27:00,6.85,6.8593,6.8401,6.85,139576.0
2018-02-16,10:28:00,6.85,6.86,6.8407,6.8501,48211.0
2018-02-16,10:29:00,6.85,6.86,6.85,6.86,8153.0
2018-02-16,10:30:00,6.855,6.855,6.85,6.855,400.0
2018-02-16,10:31:00,6.86,6.87,6.855,6.865,31799.0
2018-02-16,10:32:00,6.87,6.87,6.865,6.865,1266.0
2018-02-16,10:33:00,6.87,6.8793,6.86,6.86,200935.0
2018-02-16,10:34:00,6.86,6.865,6.86,6.865,200.0
2018-02-16,10:35:00,6.865,6.8693,6.86,6.86,11500.0
2018-02-16,10:36:00,6.865,6.87,6.86,6.87,4500.0
2018-02-16,10:37:00,6.865,6.865,6.86,6.865,1100.0
2018-02-16,10:39:00,6.865,6.865,6.86,6.86,1600.0
2018-02-16,10:40:00,6.87,6.87,6.86,6.86,13100.0
2018-02-16,10:41:00,6.865,6.87,6.86,6.87,1300.0
2018-02-16,10:42:00,6.865,6.87,6.86,6.86,18771.0
2018-02-16,10:43:00,6.86,6.87,6.86,6.87,900.0
2018-02-16,10:44:00,6.865,6.87,6.86,6.87,1245.0
2018-02-16,10:45:00,6.865,6.87,6.86,6.86,27493.0
2018-02-16,10:46:00,6.87,6.87,6.86,6.865,700.0
2018-02-16,10:47:00,6.86,6.87,6.86,6.87,939.0
2018-02-16,10:48:00,6.87,6.88,6.87,6.8733,37291.0
2018-02-16,10:49:00,6.87,6.88,6.87,6.87,2700.0
2018-02-16,10:50:00,6.88,6.89,6.87,6.88,68034.0
2018-02-16,10:51:00,6.88,6.885,6.88,6.88,33254.0
2018-02-16,10:52:00,6.88,6.8893,6.88,6.8801,29850.0
2018-02-16,10:53:00,6.88,6.885,6.88,6.885,10793.0
2018-02-16,10:54:00,6.881,6.89,6.88,6.88,4100.0
2018-02-16,10:55:00,6.88,6.89,6.88,6.885,13220.0
2018-02-16,10:56:00,6.88,6.885,6.87,6.875,98854.0
2018-02-16,10:57:00,6.87,6.8893,6.87,6.8893,110893.0
2018-02-16,10:58:00,6.88,6.8893,6.88,6.8893,40600.0
2018-02-16,10:59:00,6.88,6.8899,6.88,6.88,15538.0
2018-02-16,11:00:00,6.88,6.8893,6.88,6.885,16052.0
2018-02-16,11:01:00,6.885,6.8993,6.8807,6.89,136625.0
2018-02-16,11:02:00,6.89,6.8999,6.8807,6.895,105569.0
2018-02-16,11:03:00,6.9,6.9,6.895,6.9,800.0
2018-02-16,11:04:00,6.9,6.9,6.9,6.9,94804.0
2018-02-16,11:05:00,6.9,6.905,6.9,6.905,24249.0
2018-02-16,11:06:00,6.9,6.91,6.9,6.91,10967.0
2018-02-16,11:07:00,6.91,6.92,6.91,6.91,20835.0
2018-02-16,11:08:00,6.91,6.915,6.91,6.91,2598.0
2018-02-16,11:09:00,6.919,6.919,6.91,6.915,500.0
2018-02-16,11:10:00,6.92,6.92,6.915,6.915,6645.0
2018-02-16,11:11:00,6.915,6.925,6.91,6.915,111026.0
2018-02-16,11:12:00,6.92,6.92,6.91,6.92,47550.0
2018-02-16,11:13:00,6.92,6.92,6.92,6.92,700.0
2018-02-16,11:14:00,6.92,6.92,6.915,6.92,17248.0
2018-02-16,11:15:00,6.92,6.92,6.92,6.92,3510.0
2018-02-16,11:16:00,6.92,6.92,6.91,6.915,10000.0
2018-02-16,11:17:00,6.915,6.92,6.915,6.92,300.0
2018-02-16,11:18:00,6.92,6.92,6.915,6.915,800.0
2018-02-16,11:19:00,6.91,6.92,6.91,6.91,42226.0
2018-02-16,11:21:00,6.905,6.91,6.9,6.9,400.0
2018-02-16,11:22:00,6.91,6.9165,6.91,6.9165,54683.0
2018-02-16,11:23:00,6.915,6.915,6.91,6.915,1750.0
2018-02-16,11:24:00,6.915,6.915,6.915,6.915,300.0
2018-02-16,11:25:00,6.915,6.92,6.91,6.915,4350.0
2018-02-16,11:26:00,6.915,6.915,6.915,6.915,100.0
2018-02-16,11:27:00,6.915,6.92,6.915,6.92,1100.0
2018-02-16,11:28:00,6.915,6.9168,6.91,6.91,92548.0
2018-02-16,11:29:00,6.905,6.905,6.905,6.905,1200.0
2018-02-16,11:30:00,6.9057,6.9099,6.9057,6.9099,619.0
2018-02-16,11:32:00,6.91,6.91,6.91,6.91,200.0
2018-02-16,11:33:00,6.91,6.91,6.89,6.9,101155.0
2018-02-16,11:34:00,6.91,6.91,6.91,6.91,182.0
2018-02-16,11:35:00,6.905,6.905,6.9,6.905,2157.0
2018-02-16,11:36:00,6.9,6.91,6.9,6.91,1100.0
2018-02-16,11:37:00,6.9,6.9,6.9,6.9,3232.0
2018-02-16,11:39:00,6.9,6.9,6.89,6.895,85873.0
2018-02-16,11:40:00,6.895,6.895,6.89,6.89,29996.0
2018-02-16,11:41:00,6.895,6.895,6.885,6.89,211077.0
2018-02-16,11:42:00,6.89,6.89,6.89,6.89,6619.0
2018-02-16,11:43:00,6.89,6.89,6.89,6.89,57651.0
