date,ToD,open,high,low,close,volume
2018-02-16,09:31:00,13.15,13.19,13.11,13.1594,186422.0
2018-02-16,09:32:00,13.1541,13.16,13.13,13.135,20600.0
2018-02-16,09:33:00,13.1348,13.155,13.13,13.145,19937.0
2018-02-16,09:34:00,13.15,13.18,13.14,13.16,51232.0
2018-02-16,09:35:00,13.16,13.2,13.15,13.2,40767.0
2018-02-16,09:36:00,13.2,13.22,13.195,13.2,62246.0
2018-02-16,09:37:00,13.2,13.2,13.165,13.165,11385.0
2018-02-16,09:38:00,13.17,13.18,13.16,13.165,33007.0
2018-02-16,09:39:00,13.17,13.21,13.1599,13.21,59399.0
2018-02-16,09:40:00,13.205,13.2094,13.185,13.19,22102.0
2018-02-16,09:41:00,13.18,13.19,13.18,13.18,8948.0
2018-02-16,09:42:00,13.18,13.18,13.16,13.175,24052.0
2018-02-16,09:43:00,13.17,13.21,13.17,13.21,47509.0
2018-02-16,09:44:00,13.21,13.23,13.205,13.2263,52281.0
2018-02-16,09:45:00,13.22,13.23,13.21,13.21,28877.0
2018-02-16,09:46:00,13.21,13.215,13.19,13.21,82707.0
2018-02-16,09:47:00,13.21,13.22,13.1942,13.205,42656.0
2018-02-16,09:48:00,13.205,13.235,13.205,13.235,41104.0
2018-02-16,09:49:00,13.23,13.24,13.23,13.2391,15168.0
2018-02-16,09:50:00,13.235,13.249,13.235,13.24,25405.0
2018-02-16,09:51:00,13.24,13.24,13.22,13.225,22200.0
2018-02-16,09:52:00,13.225,13.23,13.22,13.2201,9294.0
2018-02-16,09:53:00,13.225,13.26,13.22,13.255,29037.0
2018-02-16,09:54:00,13.255,13.28,13.255,13.28,12838.0
2018-02-16,09:55:00,13.275,13.29,13.27,13.29,69513.0
2018-02-16,09:56:00,13.285,13.29,13.28,13.28,21653.0
2018-02-16,09:57:00,13.29,13.29,13.28,13.285,12905.0
2018-02-16,09:58:00,13.282,13.29,13.282,13.29,5299.0
2018-02-16,09:59:00,13.285,13.29,13.26,13.265,99311.0
2018-02-16,10:00:00,13.265,13.29,13.255,13.28,49510.0
2018-02-16,10:01:00,13.28,13.285,13.24,13.25,52380.0
2018-02-16,10:02:00,13.24,13.265,13.24,13.255,60629.0
2018-02-16,10:03:00,13.26,13.265,13.245,13.25,26418.0
2018-02-16,10:04:00,13.242,13.27,13.24,13.265,28787.0
2018-02-16,10:05:00,13.27,13.29,13.26,13.29,36469.0
2018-02-16,10:06:00,13.285,13.3,13.28,13.285,59034.0
2018-02-16,10:07:00,13.28,13.295,13.27,13.29,29257.0
2018-02-16,10:08:00,13.29,13.3,13.28,13.29,44036.0
2018-02-16,10:09:00,13.2934,13.32,13.29,13.3,78000.0
2018-02-16,10:10:00,13.305,13.33,13.305,13.33,15953.0
2018-02-16,10:11:00,13.33,13.34,13.33,13.335,22247.0
2018-02-16,10:12:00,13.335,13.34,13.33,13.33,18189.0
2018-02-16,10:13:00,13.33,13.339,13.315,13.33,41269.0
2018-02-16,10:14:00,13.3368,13.3388,13.32,13.32,53439.0
2018-02-16,10:15:00,13.3212,13.34,13.32,13.325,35544.0
2018-02-16,10:16:00,13.33,13.34,13.323,13.335,21381.0
2018-02-16,10:17:00,13.331,13.36,13.3301,13.355,68037.0
2018-02-16,10:18:00,13.3558,13.37,13.345,13.345,41207.0
2018-02-16,10:19:00,13.34,13.35,13.33,13.345,13605.0
2018-02-16,10:20:00,13.345,13.35,13.32,13.32,30642.0
2018-02-16,10:21:00,13.325,13.325,13.3,13.315,31494.0
2018-02-16,10:22:00,13.32,13.33,13.31,13.31,22309.0
2018-02-16,10:23:00,13.31,13.318,13.285,13.305,19279.0
2018-02-16,10:24:00,13.3,13.31,13.275,13.285,34862.0
2018-02-16,10:25:00,13.29,13.29,13.27,13.28,14017.0
2018-02-16,10:26:00,13.275,13.29,13.275,13.285,13273.0
2018-02-16,10:27:00,13.285,13.29,13.27,13.27,16167.0
2018-02-16,10:28:00,13.275,13.285,13.275,13.275,22079.0
2018-02-16,10:29:00,13.275,13.275,13.26,13.27,23393.0
2018-02-16,10:30:00,13.27,13.275,13.265,13.275,9397.0
2018-02-16,10:31:00,13.275,13.325,13.275,13.325,35715.0
2018-02-16,10:32:00,13.32,13.33,13.315,13.33,28753.0
2018-02-16,10:33:00,13.32,13.33,13.32,13.33,10763.0
2018-02-16,10:34:00,13.32,13.34,13.32,13.325,49757.0
2018-02-16,10:35:00,13.325,13.33,13.32,13.32,11177.0
2018-02-16,10:36:00,13.315,13.33,13.315,13.33,22149.0
2018-02-16,10:37:00,13.32,13.32,13.29,13.2923,35651.0
2018-02-16,10:38:00,13.295,13.3,13.29,13.29,8100.0
2018-02-16,10:39:00,13.29,13.29,13.28,13.29,19634.0
2018-02-16,10:40:00,13.29,13.3,13.26,13.26,29525.0
2018-02-16,10:41:00,13.26,13.27,13.26,13.2687,8129.0
2018-02-16,10:42:00,13.27,13.27,13.26,13.27,6915.0
2018-02-16,10:43:00,13.27,13.27,13.24,13.2466,24997.0
2018-02-16,10:44:00,13.245,13.25,13.221,13.23,28640.0
2018-02-16,10:45:00,13.225,13.24,13.2213,13.235,36843.0
2018-02-16,10:46:00,13.235,13.24,13.23,13.24,12200.0
2018-02-16,10:47:00,13.24,13.26,13.235,13.26,30134.0
2018-02-16,10:48:00,13.255,13.255,13.24,13.245,8300.0
2018-02-16,10:49:00,13.25,13.25,13.23,13.23,19983.0
2018-02-16,10:50:00,13.225,13.26,13.225,13.26,28799.0
2018-02-16,10:51:00,13.255,13.255,13.24,13.245,6500.0
2018-02-16,10:52:00,13.25,13.255,13.24,13.25,27082.0
