date,ToD,open,high,low,close,volume
2018-02-16,09:31:00,160.96,161.205,160.96,161.04,141870.0
2018-02-16,09:32:00,161.33,161.79,161.16,161.62,7699.0
2018-02-16,09:33:00,161.5,161.53,161.08,161.425,2849.0
2018-02-16,09:34:00,161.435,161.69,161.43,161.69,1800.0
2018-02-16,09:35:00,161.59,161.8,161.36,161.36,6680.0
2018-02-16,09:36:00,161.355,161.8,161.355,161.8,2615.0
2018-02-16,09:37:00,161.69,161.89,161.591,161.86,4443.0
2018-02-16,09:38:00,161.69,161.725,161.56,161.63,5100.0
2018-02-16,09:39:00,161.67,161.85,161.67,161.82,1332.0
2018-02-16,09:40:00,161.8,161.91,161.65,161.87,4508.0
2018-02-16,09:41:00,161.75,161.81,161.71,161.71,1338.0
2018-02-16,09:42:00,161.8,161.83,161.67,161.7,2854.0
2018-02-16,09:43:00,161.67,161.84,161.66,161.67,2852.0
2018-02-16,09:44:00,161.71,161.84,161.7,161.7,3000.0
2018-02-16,09:45:00,161.56,161.62,161.394,161.62,2750.0
2018-02-16,09:46:00,161.66,161.84,161.49,161.79,2100.0
2018-02-16,09:47:00,161.79,161.88,161.585,161.59,4152.0
2018-02-16,09:48:00,161.66,161.71,161.59,161.6,1650.0
2018-02-16,09:49:00,161.65,161.7167,161.635,161.7167,1028.0
2018-02-16,09:50:00,161.79,161.94,161.77,161.7897,2067.0
2018-02-16,09:51:00,161.79,161.8,161.64,161.8,700.0
2018-02-16,09:52:00,161.77,161.785,161.75,161.755,798.0
2018-02-16,09:53:00,161.84,161.89,161.7,161.7,800.0
2018-02-16,09:54:00,161.69,161.75,161.69,161.73,830.0
2018-02-16,09:55:00,161.72,161.72,161.61,161.61,400.0
2018-02-16,09:56:00,161.71,161.76,161.6,161.6,1200.0
2018-02-16,09:57:00,161.6,161.66,161.45,161.45,2876.0
2018-02-16,09:58:00,161.47,161.47,161.34,161.34,500.0
2018-02-16,09:59:00,161.36,161.36,161.24,161.28,2549.0
2018-02-16,10:00:00,161.26,161.26,161.18,161.18,900.0
2018-02-16,10:01:00,161.15,161.25,161.065,161.07,2727.0
2018-02-16,10:02:00,161.03,161.2,161.02,161.16,2843.0
2018-02-16,10:03:00,161.11,161.11,161.01,161.01,700.0
2018-02-16,10:04:00,161.145,161.145,161.14,161.14,300.0
2018-02-16,10:05:00,161.02,161.071,161.0,161.071,1833.0
2018-02-16,10:06:00,161.01,161.06,160.93,161.06,1900.0
2018-02-16,10:07:00,161.0,161.02,160.9,160.98,9865.0
2018-02-16,10:08:00,160.89,160.89,160.845,160.88,700.0
2018-02-16,10:09:00,160.87,161.02,160.87,160.9915,1518.0
2018-02-16,10:10:00,161.01,161.12,161.01,161.07,2835.0
2018-02-16,10:11:00,161.11,161.18,161.06,161.08,1700.0
2018-02-16,10:12:00,161.055,161.12,161.01,161.12,1116.0
2018-02-16,10:13:00,161.074,161.22,161.02,161.21,2203.0
2018-02-16,10:14:00,161.2,161.2,161.1,161.16,750.0
2018-02-16,10:16:00,161.06,161.39,161.06,161.29,1803.0
2018-02-16,10:17:00,161.38,161.5,161.37,161.44,974.0
2018-02-16,10:18:00,161.43,161.5,161.395,161.395,946.0
2018-02-16,10:19:00,161.52,161.59,161.41,161.59,3800.0
2018-02-16,10:20:00,161.55,161.55,161.366,161.366,1953.0
2018-02-16,10:21:00,161.315,161.53,161.315,161.39,2557.0
2018-02-16,10:22:00,161.49,161.59,161.48,161.53,1775.0
2018-02-16,10:23:00,161.52,161.62,161.43,161.6,3400.0
2018-02-16,10:24:00,161.47,161.5,161.27,161.5,3079.0
