date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,113.58,113.58,113.58,113.58,68588.0
2018-02-16,09:31:00,113.25,113.25,113.16,113.16,200.0
2018-02-16,09:32:00,113.49,113.87,113.49,113.68,3609.0
2018-02-16,09:33:00,113.67,113.7,113.435,113.435,1508.0
2018-02-16,09:34:00,113.61,113.61,113.52,113.52,400.0
2018-02-16,09:35:00,113.485,113.485,113.485,113.485,496.0
2018-02-16,09:36:00,113.49,113.65,113.25,113.48,4533.0
2018-02-16,09:37:00,113.351,113.629,113.35,113.495,1422.0
2018-02-16,09:38:00,113.49,113.49,113.49,113.49,100.0
2018-02-16,09:39:00,113.46,113.56,113.425,113.5,1300.0
2018-02-16,09:40:00,113.53,113.62,113.22,113.22,9292.0
2018-02-16,09:41:00,113.41,113.41,113.27,113.27,3008.0
2018-02-16,09:42:00,113.32,113.4,113.31,113.37,3700.0
2018-02-16,09:43:00,113.275,113.4299,113.2544,113.4249,1800.0
2018-02-16,09:44:00,113.45,113.51,113.22,113.22,3058.0
2018-02-16,09:45:00,113.15,113.15,112.92,112.97,1800.0
2018-02-16,09:46:00,113.08,113.2,112.97,113.2,2300.0
2018-02-16,09:47:00,113.27,113.32,113.245,113.25,13200.0
2018-02-16,09:48:00,113.31,113.465,113.25,113.365,2908.0
2018-02-16,09:49:00,113.33,113.37,113.265,113.27,2553.0
2018-02-16,09:50:00,113.42,113.52,113.42,113.49,12402.0
2018-02-16,09:51:00,113.48,113.51,113.24,113.415,5891.0
2018-02-16,09:52:00,113.51,113.53,113.51,113.51,300.0
2018-02-16,09:53:00,113.68,113.8,113.68,113.8,1000.0
2018-02-16,09:54:00,113.75,113.87,113.69,113.87,10069.0
2018-02-16,09:55:00,113.78,113.85,113.68,113.77,2200.0
2018-02-16,09:56:00,113.76,113.76,113.68,113.7,2100.0
2018-02-16,09:57:00,113.64,113.73,113.64,113.73,300.0
2018-02-16,09:58:00,113.79,113.825,113.7,113.7201,1906.0
2018-02-16,09:59:00,113.72,113.72,113.64,113.6798,1190.0
2018-02-16,10:00:00,113.6,113.64,113.6,113.64,500.0
2018-02-16,10:01:00,113.66,113.67,113.39,113.39,11190.0
2018-02-16,10:02:00,113.33,113.46,113.21,113.23,5056.0
2018-02-16,10:03:00,113.18,113.23,113.18,113.23,479.0
2018-02-16,10:04:00,113.14,113.14,113.12,113.12,600.0
2018-02-16,10:05:00,113.16,113.224,113.07,113.15,2655.0
2018-02-16,10:06:00,113.06,113.25,112.96,113.12,4268.0
2018-02-16,10:07:00,113.12,113.2,113.02,113.1207,1000.0
2018-02-16,10:08:00,113.15,113.27,113.15,113.2615,4076.0
2018-02-16,10:09:00,113.2799,113.38,113.22,113.38,3770.0
2018-02-16,10:10:00,113.42,113.63,113.34,113.63,5500.0
2018-02-16,10:11:00,113.64,113.67,113.53,113.57,7961.0
2018-02-16,10:12:00,113.575,113.68,113.52,113.58,5900.0
2018-02-16,10:13:00,113.615,113.699,113.52,113.699,3687.0
2018-02-16,10:14:00,113.68,113.68,113.62,113.62,900.0
2018-02-16,10:15:00,113.51,113.68,113.51,113.68,900.0
2018-02-16,10:16:00,113.75,113.89,113.75,113.89,2195.0
2018-02-16,10:17:00,113.9,114.0,113.841,113.9,3593.0
2018-02-16,10:18:00,113.88,113.905,113.68,113.75,2800.0
2018-02-16,10:19:00,113.69,113.85,113.68,113.85,2100.0
2018-02-16,10:20:00,113.9032,113.94,113.71,113.71,1726.0
2018-02-16,10:21:00,113.71,113.71,113.71,113.71,200.0
2018-02-16,10:22:00,113.78,113.84,113.78,113.81,963.0
2018-02-16,10:23:00,113.85,113.95,113.84,113.91,2536.0
2018-02-16,10:24:00,113.97,113.97,113.81,113.81,1580.0
2018-02-16,10:25:00,113.7501,113.88,113.7501,113.87,2200.0
2018-02-16,10:26:00,113.87,113.99,113.87,113.91,3230.0
2018-02-16,10:27:00,113.86,113.86,113.8,113.81,7100.0
2018-02-16,10:28:00,113.89,113.94,113.89,113.93,1300.0
2018-02-16,10:29:00,113.86,113.91,113.85,113.85,2200.0
2018-02-16,10:30:00,113.85,113.9,113.785,113.835,6300.0
2018-02-16,10:31:00,113.8,113.9,113.77,113.81,3702.0
2018-02-16,10:32:00,113.8,113.86,113.77,113.77,1261.0
2018-02-16,10:33:00,113.71,113.71,113.7,113.7,800.0
2018-02-16,10:34:00,113.69,113.695,113.61,113.665,1600.0
2018-02-16,10:35:00,113.665,113.68,113.6101,113.68,700.0
2018-02-16,10:36:00,113.72,113.86,113.72,113.76,2700.0
2018-02-16,10:37:00,113.75,113.81,113.72,113.775,930.0
2018-02-16,10:38:00,113.775,113.8,113.69,113.69,5227.0
2018-02-16,10:39:00,113.66,113.73,113.57,113.6635,1276.0
2018-02-16,10:40:00,113.57,113.62,113.57,113.62,600.0
2018-02-16,10:41:00,113.62,113.62,113.44,113.4818,2062.0
2018-02-16,10:42:00,113.52,113.52,113.4,113.44,12547.0
2018-02-16,10:43:00,113.465,113.5,113.36,113.385,5262.0
2018-02-16,10:44:00,113.39,113.41,113.28,113.28,1408.0
2018-02-16,10:45:00,113.22,113.23,113.17,113.225,826.0
2018-02-16,10:46:00,113.15,113.225,113.14,113.19,1000.0
2018-02-16,10:47:00,113.245,113.39,113.245,113.37,8200.0
2018-02-16,10:48:00,113.43,113.5323,113.43,113.5204,697.0
2018-02-16,10:49:00,113.51,113.51,113.39,113.43,1510.0
2018-02-16,10:50:00,113.45,113.51,113.44,113.46,1300.0
2018-02-16,10:51:00,113.52,113.52,113.52,113.52,100.0
2018-02-16,10:52:00,113.56,113.56,113.43,113.445,2133.0
2018-02-16,10:53:00,113.38,113.435,113.27,113.4,1300.0
2018-02-16,10:54:00,113.29,113.34,113.29,113.34,1028.0
2018-02-16,10:55:00,113.29,113.38,113.29,113.3,600.0
2018-02-16,10:56:00,113.36,113.39,113.21,113.21,3400.0
2018-02-16,10:57:00,113.3599,113.3599,113.25,113.25,591.0
2018-02-16,10:58:00,113.25,113.3,113.24,113.24,2199.0
2018-02-16,10:59:00,113.22,113.235,113.18,113.18,790.0
2018-02-16,11:00:00,113.15,113.15,112.95,113.14,5407.0
2018-02-16,11:01:00,113.14,113.25,113.075,113.16,2900.0
2018-02-16,11:02:00,113.335,113.335,113.23,113.3,950.0
2018-02-16,11:03:00,113.31,113.34,113.31,113.31,631.0
2018-02-16,11:04:00,113.285,113.285,113.09,113.09,1080.0
2018-02-16,11:05:00,113.13,113.19,113.01,113.05,2800.0
2018-02-16,11:06:00,113.075,113.105,112.98,112.98,4900.0
2018-02-16,11:07:00,113.0,113.04,112.995,113.005,3200.0
2018-02-16,11:08:00,112.98,113.21,112.98,113.21,2068.0
2018-02-16,11:09:00,113.2,113.23,113.15,113.17,3800.0
2018-02-16,11:10:00,113.16,113.2,113.16,113.2,500.0
2018-02-16,11:11:00,113.14,113.22,113.14,113.18,3500.0
2018-02-16,11:12:00,113.19,113.2,113.1,113.1,2100.0
2018-02-16,11:13:00,113.12,113.2,113.12,113.17,3150.0
2018-02-16,11:14:00,113.2,113.27,113.2,113.27,1100.0
2018-02-16,11:15:00,113.27,113.28,113.27,113.28,300.0
2018-02-16,11:16:00,113.28,113.29,113.21,113.22,993.0
2018-02-16,11:17:00,113.23,113.2728,113.14,113.14,2257.0
2018-02-16,11:18:00,113.1,113.26,113.1,113.26,2400.0
2018-02-16,11:19:00,113.2,113.2,113.06,113.06,2100.0
2018-02-16,11:20:00,113.08,113.16,113.08,113.16,1200.0
2018-02-16,11:21:00,113.22,113.335,113.2,113.26,1800.0
2018-02-16,11:22:00,113.155,113.25,113.155,113.22,400.0
2018-02-16,11:23:00,113.2,113.2,113.15,113.15,600.0
2018-02-16,11:24:00,113.15,113.15,113.15,113.15,300.0
2018-02-16,11:25:00,113.15,113.22,113.13,113.2008,3799.0
2018-02-16,11:26:00,113.21,113.2955,113.19,113.265,1400.0
2018-02-16,11:27:00,113.3,113.3,113.24,113.25,1100.0
2018-02-16,11:28:00,113.28,113.3642,113.28,113.325,800.0
2018-02-16,11:29:00,113.28,113.3,113.28,113.28,863.0
2018-02-16,11:30:00,113.28,113.305,113.2,113.2,702.0
2018-02-16,11:31:00,113.215,113.29,113.215,113.29,400.0
2018-02-16,11:32:00,113.295,113.295,113.2907,113.2907,300.0
2018-02-16,11:33:00,113.29,113.345,113.29,113.34,500.0
2018-02-16,11:34:00,113.35,113.4799,113.34,113.4799,917.0
2018-02-16,11:35:00,113.455,113.51,113.44,113.51,1500.0
2018-02-16,11:36:00,113.46,113.46,113.38,113.38,3180.0
2018-02-16,11:37:00,113.38,113.4,113.25,113.25,3000.0
2018-02-16,11:38:00,113.33,113.33,113.3,113.33,800.0
2018-02-16,11:39:00,113.36,113.36,113.36,113.36,100.0
2018-02-16,11:40:00,113.415,113.455,113.395,113.455,1500.0
2018-02-16,11:41:00,113.455,113.55,113.455,113.55,1100.0
2018-02-16,11:42:00,113.52,113.54,113.5,113.525,1600.0
2018-02-16,11:43:00,113.525,113.565,113.51,113.565,1100.0
2018-02-16,11:44:00,113.53,113.56,113.52,113.53,1617.0
2018-02-16,11:45:00,113.49,113.55,113.48,113.55,500.0
2018-02-16,11:46:00,113.55,113.55,113.525,113.55,500.0
2018-02-16,11:47:00,113.66,113.66,113.615,113.63,1700.0
