date,ToD,open,high,low,close,volume
2018-02-16,09:31:00,66.62,66.99,66.62,66.96,115688.0
2018-02-16,09:32:00,66.99,67.1,66.99,67.04,3324.0
2018-02-16,09:33:00,67.06,67.06,66.97,67.06,1973.0
2018-02-16,09:34:00,67.03,67.03,66.73,66.89,3935.0
2018-02-16,09:35:00,66.83,66.86,66.66,66.66,3401.0
2018-02-16,09:36:00,66.66,66.78,66.63,66.7,7874.0
2018-02-16,09:37:00,66.62,66.67,66.53,66.6,5672.0
2018-02-16,09:38:00,66.558,66.77,66.558,66.76,4444.0
2018-02-16,09:39:00,66.72,66.73,66.66,66.71,5317.0
2018-02-16,09:40:00,66.72,66.91,66.72,66.91,3478.0
2018-02-16,09:41:00,66.85,66.96,66.78,66.96,7700.0
2018-02-16,09:42:00,66.97,67.1,66.96,67.0379,23698.0
2018-02-16,09:43:00,67.02,67.05,66.96,66.96,6748.0
2018-02-16,09:44:00,67.01,67.14,67.01,67.06,6828.0
2018-02-16,09:45:00,67.09,67.16,67.04,67.15,7050.0
2018-02-16,09:46:00,67.14,67.15,67.01,67.14,7647.0
2018-02-16,09:47:00,67.16,67.16,67.07,67.11,8251.0
2018-02-16,09:48:00,67.09,67.1,67.04,67.06,14313.0
2018-02-16,09:49:00,67.06,67.06,66.93,66.93,9631.0
2018-02-16,09:50:00,66.93,67.04,66.93,67.01,6879.0
2018-02-16,09:51:00,67.01,67.01,66.96,66.99,10768.0
2018-02-16,09:52:00,66.98,67.0,66.96,66.99,11640.0
2018-02-16,09:53:00,66.99,67.04,66.98,67.02,9233.0
2018-02-16,09:54:00,67.03,67.08,67.01,67.01,7786.0
2018-02-16,09:55:00,67.02,67.02,66.9,66.94,8147.0
2018-02-16,09:56:00,66.94,67.0,66.94,66.99,7518.0
2018-02-16,09:57:00,66.99,67.03,66.93,66.95,15074.0
2018-02-16,09:58:00,66.955,67.03,66.95,67.03,29587.0
2018-02-16,09:59:00,67.02,67.11,67.01,67.07,10043.0
2018-02-16,10:00:00,67.07,67.08,67.0,67.03,4519.0
2018-02-16,10:01:00,67.05,67.05,66.93,66.94,8078.0
2018-02-16,10:02:00,66.97,67.01,66.93,67.01,8440.0
2018-02-16,10:03:00,67.02,67.02,66.9,66.92,6907.0
2018-02-16,10:04:00,66.94,66.99,66.93,66.99,5552.0
2018-02-16,10:05:00,66.97,66.97,66.92,66.93,3888.0
2018-02-16,10:06:00,66.93,67.01,66.91,66.99,5318.0
2018-02-16,10:07:00,66.99,66.99,66.92,66.92,2813.0
2018-02-16,10:08:00,66.91,66.95,66.89,66.95,3107.0
2018-02-16,10:09:00,66.94,66.97,66.91,66.95,7448.0
2018-02-16,10:10:00,66.97,67.0,66.95,66.98,8375.0
2018-02-16,10:11:00,66.97,66.975,66.84,66.85,6787.0
2018-02-16,10:12:00,66.87,66.87,66.82,66.82,3288.0
2018-02-16,10:13:00,66.82,66.89,66.81,66.86,16464.0
2018-02-16,10:14:00,66.85,66.89,66.84,66.88,7554.0
2018-02-16,10:15:00,66.87,66.9,66.85,66.86,9009.0
2018-02-16,10:16:00,66.87,66.93,66.84,66.92,12321.0
2018-02-16,10:17:00,66.925,67.0,66.92,66.97,11503.0
2018-02-16,10:18:00,66.97,66.97,66.93,66.95,5587.0
2018-02-16,10:19:00,66.95,66.95,66.92,66.93,8540.0
2018-02-16,10:20:00,66.92,67.01,66.92,66.99,11492.0
2018-02-16,10:21:00,66.99,67.03,66.989,67.03,6851.0
2018-02-16,10:22:00,67.03,67.03,66.98,66.98,11308.0
2018-02-16,10:23:00,67.0,67.03,66.99,67.015,12818.0
2018-02-16,10:24:00,67.01,67.02,66.96,67.01,9827.0
2018-02-16,10:25:00,67.005,67.01,66.96,66.96,5438.0
2018-02-16,10:26:00,66.96,67.01,66.96,67.0,12223.0
2018-02-16,10:27:00,67.01,67.025,66.99,67.01,12516.0
2018-02-16,10:28:00,67.02,67.06,67.01,67.05,4148.0
2018-02-16,10:29:00,67.05,67.08,67.0348,67.07,11269.0
2018-02-16,10:30:00,67.075,67.075,66.99,66.998,8512.0
2018-02-16,10:31:00,66.99,67.0035,66.94,67.0,15322.0
2018-02-16,10:32:00,66.98,67.0,66.97,66.98,6799.0
2018-02-16,10:33:00,66.97,66.99,66.95,66.99,5381.0
2018-02-16,10:34:00,67.0,67.025,67.0,67.015,35069.0
2018-02-16,10:35:00,67.01,67.01,66.96,66.97,8197.0
2018-02-16,10:36:00,66.98,67.01,66.98,67.0,8859.0
2018-02-16,10:37:00,66.995,67.06,66.975,67.05,20625.0
2018-02-16,10:38:00,67.055,67.12,67.05,67.1,16209.0
2018-02-16,10:39:00,67.1,67.11,67.09,67.1,10404.0
2018-02-16,10:40:00,67.09,67.11,67.06,67.06,6308.0
2018-02-16,10:41:00,67.06,67.07,67.04,67.05,3114.0
2018-02-16,10:42:00,67.04,67.04,66.97,66.97,14784.0
2018-02-16,10:43:00,66.97,66.98,66.93,66.94,29631.0
2018-02-16,10:44:00,66.94,66.99,66.93,66.97,8222.0
2018-02-16,10:45:00,66.97,67.01,66.965,67.0,7741.0
2018-02-16,10:46:00,67.0,67.01,66.97,66.99,9480.0
2018-02-16,10:47:00,66.99,67.0,66.99,67.0,2657.0
2018-02-16,10:48:00,66.99,67.01,66.9835,66.9835,6734.0
2018-02-16,10:49:00,66.98,66.9839,66.93,66.93,2181.0
2018-02-16,10:50:00,66.94,67.03,66.94,66.99,11616.0
2018-02-16,10:51:00,66.98,66.98,66.95,66.95,2922.0
2018-02-16,10:52:00,66.94,66.94,66.88,66.89,3883.0
