date,ToD,open,high,low,close,volume
2018-02-16,09:31:00,59.1,59.12,59.03,59.03,235462.0
2018-02-16,09:32:00,59.0601,59.14,59.06,59.06,5407.0
2018-02-16,09:33:00,59.06,59.08,59.02,59.055,4200.0
2018-02-16,09:34:00,59.055,59.07,59.02,59.03,11754.0
2018-02-16,09:35:00,59.03,59.03,58.95,58.975,20898.0
2018-02-16,09:36:00,58.975,59.0,58.96,58.97,21719.0
2018-02-16,09:37:00,58.97,58.99,58.9278,58.98,7304.0
2018-02-16,09:38:00,58.97,58.97,58.94,58.9599,9427.0
2018-02-16,09:39:00,58.95,59.01,58.95,59.01,10957.0
2018-02-16,09:40:00,59.0,59.03,58.99,59.03,9759.0
2018-02-16,09:41:00,59.02,59.03,58.97,59.0,5658.0
2018-02-16,09:42:00,59.0,59.01,58.96,58.99,7416.0
2018-02-16,09:43:00,59.01,59.03,59.0,59.01,2987.0
2018-02-16,09:44:00,59.02,59.04,58.97,58.97,11657.0
2018-02-16,09:45:00,58.96,58.98,58.91,58.95,18287.0
2018-02-16,09:46:00,58.96,59.03,58.91,59.03,12625.0
2018-02-16,09:47:00,59.03,59.03,58.98,58.99,16907.0
2018-02-16,09:48:00,58.985,59.02,58.945,58.96,6723.0
2018-02-16,09:49:00,58.94,58.99,58.94,58.99,3435.0
2018-02-16,09:50:00,58.99,59.025,58.99,59.015,7778.0
2018-02-16,09:51:00,59.02,59.02,58.985,59.015,23667.0
2018-02-16,09:52:00,59.015,59.04,59.0,59.01,29057.0
2018-02-16,09:53:00,59.0,59.01,59.0,59.01,20433.0
2018-02-16,09:54:00,59.0,59.01,58.9999,59.0,18948.0
2018-02-16,09:55:00,59.01,59.11,59.0,59.11,141836.0
2018-02-16,09:56:00,59.115,59.14,59.08,59.08,29034.0
2018-02-16,09:57:00,59.07,59.1299,59.07,59.1,13050.0
2018-02-16,09:58:00,59.1025,59.11,59.09,59.09,9186.0
2018-02-16,09:59:00,59.11,59.11,59.08,59.08,4224.0
2018-02-16,10:00:00,59.07,59.09,59.05,59.08,3714.0
2018-02-16,10:01:00,59.09,59.105,59.06,59.06,7916.0
2018-02-16,10:02:00,59.06,59.1,59.06,59.06,8204.0
2018-02-16,10:03:00,59.08,59.11,59.06,59.062,11833.0
2018-02-16,10:04:00,59.06,59.08,59.05,59.05,10104.0
2018-02-16,10:05:00,59.07,59.07,58.98,59.0,20372.0
2018-02-16,10:06:00,58.99,59.0,58.92,58.95,11359.0
2018-02-16,10:07:00,58.96,58.97,58.95,58.96,3693.0
2018-02-16,10:08:00,58.95,59.01,58.95,58.99,4225.0
2018-02-16,10:09:00,58.99,59.01,58.98,59.0,9512.0
2018-02-16,10:10:00,59.0,59.0,58.93,58.93,6749.0
2018-02-16,10:11:00,58.93,58.96,58.92,58.94,5201.0
2018-02-16,10:12:00,58.94,58.95,58.93,58.95,9000.0
2018-02-16,10:13:00,58.95,59.005,58.95,58.99,8492.0
2018-02-16,10:14:00,58.9879,58.99,58.97,58.99,5695.0
2018-02-16,10:15:00,58.99,59.01,58.985,58.99,13415.0
2018-02-16,10:16:00,58.99,59.06,58.99,59.05,6988.0
2018-02-16,10:17:00,59.04,59.05,58.99,59.015,19400.0
2018-02-16,10:18:00,59.01,59.02,58.995,58.9962,8130.0
2018-02-16,10:19:00,59.0,59.02,59.0,59.01,12100.0
2018-02-16,10:20:00,59.01,59.02,58.98,58.9866,14348.0
2018-02-16,10:21:00,58.99,59.02,58.99,59.01,5410.0
2018-02-16,10:22:00,59.02,59.02,59.01,59.02,9551.0
2018-02-16,10:23:00,59.02,59.03,59.01,59.02,17894.0
2018-02-16,10:24:00,59.015,59.02,58.995,59.01,123447.0
2018-02-16,10:25:00,59.01,59.08,59.005,59.0301,12599.0
2018-02-16,10:26:00,59.05,59.06,59.04,59.04,10306.0
2018-02-16,10:27:00,59.03,59.04,58.9999,59.04,6000.0
2018-02-16,10:28:00,59.05,59.07,59.05,59.06,4803.0
2018-02-16,10:29:00,59.06,59.07,59.02,59.05,9409.0
2018-02-16,10:30:00,59.05,59.08,59.03,59.08,4121.0
2018-02-16,10:31:00,59.07,59.1,59.07,59.09,11679.0
2018-02-16,10:32:00,59.0893,59.12,59.0878,59.12,8142.0
2018-02-16,10:33:00,59.13,59.13,59.095,59.115,10399.0
2018-02-16,10:34:00,59.11,59.13,59.1,59.11,5126.0
2018-02-16,10:35:00,59.1,59.115,59.095,59.115,10438.0
2018-02-16,10:36:00,59.12,59.165,59.12,59.125,5952.0
2018-02-16,10:37:00,59.13,59.14,59.13,59.135,9400.0
2018-02-16,10:38:00,59.14,59.14,59.13,59.135,5922.0
2018-02-16,10:39:00,59.14,59.14,59.12,59.12,6936.0
2018-02-16,10:40:00,59.11,59.11,59.08,59.08,4749.0
2018-02-16,10:41:00,59.09,59.11,59.09,59.1,4200.0
2018-02-16,10:42:00,59.11,59.14,59.1,59.14,119971.0
2018-02-16,10:43:00,59.14,59.15,59.09,59.1,25285.0
2018-02-16,10:44:00,59.11,59.135,59.11,59.13,4301.0
2018-02-16,10:45:00,59.13,59.14,59.12,59.12,6900.0
2018-02-16,10:46:00,59.11,59.11,59.08,59.1,7462.0
2018-02-16,10:47:00,59.1,59.11,59.075,59.075,9471.0
2018-02-16,10:48:00,59.09,59.09,59.08,59.085,834.0
2018-02-16,10:49:00,59.08,59.08,59.07,59.08,2169.0
2018-02-16,10:50:00,59.09,59.14,59.085,59.14,4005.0
2018-02-16,10:51:00,59.15,59.1525,59.105,59.105,4767.0
2018-02-16,10:52:00,59.11,59.11,59.09,59.09,5628.0
2018-02-16,10:53:00,59.1,59.11,59.09,59.09,3500.0
2018-02-16,10:54:00,59.1,59.125,59.1,59.12,4909.0
2018-02-16,10:55:00,59.125,59.125,59.11,59.11,4275.0
2018-02-16,10:56:00,59.115,59.115,59.07,59.09,4726.0
2018-02-16,10:57:00,59.085,59.11,59.085,59.1032,2168.0
2018-02-16,10:58:00,59.11,59.1151,59.1,59.1,10284.0
2018-02-16,10:59:00,59.11,59.11,59.1,59.11,1100.0
2018-02-16,11:00:00,59.12,59.12,59.07,59.08,11743.0
2018-02-16,11:01:00,59.08,59.12,59.07,59.09,9907.0
2018-02-16,11:02:00,59.09,59.1,59.08,59.09,10850.0
2018-02-16,11:03:00,59.1,59.105,59.08,59.09,3325.0
2018-02-16,11:04:00,59.09,59.11,59.09,59.11,3774.0
2018-02-16,11:05:00,59.13,59.15,59.09,59.09,46287.0
2018-02-16,11:06:00,59.09,59.14,59.09,59.14,6116.0
2018-02-16,11:07:00,59.15,59.16,59.095,59.1,27009.0
2018-02-16,11:08:00,59.1099,59.14,59.105,59.13,9668.0
2018-02-16,11:09:00,59.12,59.13,59.09,59.11,7778.0
2018-02-16,11:10:00,59.11,59.1442,59.105,59.1442,7288.0
2018-02-16,11:11:00,59.15,59.18,59.145,59.18,6888.0
2018-02-16,11:12:00,59.185,59.22,59.13,59.16,29443.0
2018-02-16,11:13:00,59.165,59.17,59.155,59.16,6120.0
2018-02-16,11:14:00,59.16,59.16,59.1249,59.14,12035.0
2018-02-16,11:15:00,59.145,59.15,59.13,59.13,22448.0
2018-02-16,11:16:00,59.14,59.1401,59.12,59.13,7102.0
2018-02-16,11:17:00,59.13,59.14,59.13,59.13,1735.0
2018-02-16,11:18:00,59.14,59.15,59.14,59.15,9522.0
2018-02-16,11:19:00,59.15,59.15,59.1379,59.1379,10099.0
2018-02-16,11:20:00,59.13,59.2,59.13,59.2,13605.0
2018-02-16,11:21:00,59.19,59.27,59.19,59.27,5942.0
2018-02-16,11:22:00,59.26,59.31,59.26,59.31,3861.0
2018-02-16,11:23:00,59.32,59.37,59.32,59.37,8306.0
2018-02-16,11:24:00,59.37,59.38,59.31,59.31,25612.0
2018-02-16,11:25:00,59.3,59.31,59.265,59.29,13958.0
2018-02-16,11:26:00,59.29,59.3,59.275,59.28,10401.0
2018-02-16,11:27:00,59.28,59.29,59.2701,59.28,8126.0
2018-02-16,11:28:00,59.28,59.3,59.28,59.3,2821.0
2018-02-16,11:29:00,59.32,59.32,59.31,59.315,5141.0
2018-02-16,11:30:00,59.3,59.3,59.26,59.26,6771.0
2018-02-16,11:31:00,59.26,59.31,59.26,59.31,6397.0
2018-02-16,11:32:00,59.3,59.3,59.29,59.29,2583.0
2018-02-16,11:33:00,59.3,59.315,59.285,59.294,16909.0
2018-02-16,11:34:00,59.3,59.31,59.22,59.22,20617.0
2018-02-16,11:35:00,59.22,59.24,59.22,59.23,2352.0
2018-02-16,11:36:00,59.2257,59.25,59.2257,59.24,3436.0
2018-02-16,11:37:00,59.24,59.34,59.24,59.34,31202.0
2018-02-16,11:38:00,59.36,59.37,59.35,59.36,2400.0
2018-02-16,11:39:00,59.35,59.38,59.35,59.38,1699.0
2018-02-16,11:40:00,59.38,59.4,59.38,59.4,1698.0
2018-02-16,11:41:00,59.4,59.42,59.38,59.38,5365.0
2018-02-16,11:42:00,59.3901,59.435,59.3901,59.435,2832.0
2018-02-16,11:43:00,59.44,59.44,59.381,59.381,10151.0
2018-02-16,11:44:00,59.39,59.399,59.37,59.375,2235.0
2018-02-16,11:45:00,59.38,59.4,59.38,59.394,5497.0
2018-02-16,11:46:00,59.4,59.41,59.395,59.4,5200.0
2018-02-16,11:47:00,59.4,59.4,59.335,59.35,15418.0
2018-02-16,11:48:00,59.36,59.4,59.36,59.395,1567.0
2018-02-16,11:49:00,59.4,59.41,59.4,59.4,4000.0
2018-02-16,11:50:00,59.4,59.42,59.4,59.41,4964.0
2018-02-16,11:51:00,59.41,59.41,59.4,59.4,10300.0
2018-02-16,11:52:00,59.4,59.41,59.39,59.4,6216.0
2018-02-16,11:53:00,59.39,59.425,59.37,59.425,28447.0
2018-02-16,11:54:00,59.43,59.4493,59.42,59.42,7320.0
2018-02-16,11:55:00,59.43,59.4561,59.42,59.454,17544.0
2018-02-16,11:56:00,59.45,59.51,59.45,59.51,4835.0
2018-02-16,11:57:00,59.52,59.545,59.52,59.52,8432.0
2018-02-16,11:58:00,59.525,59.55,59.525,59.55,1300.0
2018-02-16,11:59:00,59.545,59.64,59.54,59.6362,15745.0
2018-02-16,12:00:00,59.64,59.64,59.57,59.57,5200.0
2018-02-16,12:01:00,59.56,59.58,59.555,59.58,10762.0
2018-02-16,12:02:00,59.58,59.58,59.53,59.54,4939.0
2018-02-16,12:03:00,59.54,59.575,59.54,59.575,1857.0
2018-02-16,12:04:00,59.57,59.59,59.57,59.58,2700.0
2018-02-16,12:05:00,59.5767,59.5767,59.55,59.57,7500.0
2018-02-16,12:06:00,59.56,59.57,59.5442,59.5442,2820.0
2018-02-16,12:07:00,59.545,59.59,59.54,59.59,9890.0
2018-02-16,12:08:00,59.585,59.5862,59.55,59.56,13685.0
2018-02-16,12:09:00,59.57,59.6,59.57,59.6,3900.0
2018-02-16,12:10:00,59.59,59.62,59.59,59.605,7500.0
2018-02-16,12:11:00,59.615,59.64,59.615,59.635,8199.0
2018-02-16,12:12:00,59.64,59.66,59.64,59.66,20731.0
2018-02-16,12:13:00,59.66,59.67,59.65,59.66,7541.0
2018-02-16,12:14:00,59.665,59.665,59.64,59.64,8695.0
2018-02-16,12:15:00,59.64,59.65,59.63,59.64,17682.0
2018-02-16,12:16:00,59.63,59.63,59.57,59.58,10261.0
2018-02-16,12:17:00,59.59,59.59,59.58,59.585,5120.0
2018-02-16,12:18:00,59.585,59.63,59.585,59.63,15265.0
2018-02-16,12:19:00,59.63,59.63,59.59,59.61,14685.0
2018-02-16,12:20:00,59.6,59.61,59.595,59.6,6123.0
2018-02-16,12:21:00,59.6,59.605,59.58,59.58,4530.0
2018-02-16,12:22:00,59.58,59.6,59.58,59.6,2906.0
2018-02-16,12:23:00,59.61,59.61,59.595,59.6,3806.0
2018-02-16,12:24:00,59.595,59.61,59.59,59.59,9500.0
2018-02-16,12:25:00,59.59,59.59,59.57,59.57,3756.0
2018-02-16,12:26:00,59.58,59.625,59.575,59.625,6678.0
2018-02-16,12:27:00,59.62,59.63,59.62,59.63,800.0
2018-02-16,12:28:00,59.62,59.63,59.615,59.62,5453.0
2018-02-16,12:29:00,59.63,59.67,59.63,59.66,10194.0
2018-02-16,12:30:00,59.66,59.67,59.6566,59.66,5419.0
2018-02-16,12:31:00,59.67,59.67,59.66,59.67,4801.0
2018-02-16,12:32:00,59.66,59.7,59.66,59.6999,14115.0
2018-02-16,12:33:00,59.69,59.72,59.69,59.72,4900.0
2018-02-16,12:34:00,59.72,59.77,59.72,59.77,3628.0
2018-02-16,12:35:00,59.77,59.78,59.75,59.75,6858.0
2018-02-16,12:36:00,59.75,59.76,59.75,59.75,2113.0
2018-02-16,12:37:00,59.75,59.815,59.75,59.81,7640.0
2018-02-16,12:38:00,59.8111,59.84,59.8,59.84,2462.0
2018-02-16,12:39:00,59.8338,59.84,59.81,59.82,6884.0
2018-02-16,12:40:00,59.81,59.87,59.81,59.86,14000.0
2018-02-16,12:41:00,59.85,59.85,59.83,59.83,13944.0
2018-02-16,12:42:00,59.83,59.84,59.81,59.82,15843.0
2018-02-16,12:43:00,59.83,59.83,59.77,59.77,7866.0
2018-02-16,12:44:00,59.78,59.78,59.7423,59.7423,2556.0
2018-02-16,12:45:00,59.75,59.76,59.74,59.74,1100.0
2018-02-16,12:46:00,59.75,59.7637,59.74,59.74,4092.0
2018-02-16,12:47:00,59.73,59.7356,59.7,59.7,2121.0
2018-02-16,12:48:00,59.7,59.7,59.68,59.68,4800.0
2018-02-16,12:49:00,59.68,59.6899,59.66,59.68,11186.0
2018-02-16,12:50:00,59.67,59.67,59.6,59.6,15628.0
2018-02-16,12:51:00,59.61,59.63,59.6,59.63,3780.0
2018-02-16,12:52:00,59.62,59.62,59.6,59.6,1800.0
2018-02-16,12:53:00,59.6,59.6,59.52,59.56,9865.0
