date,ToD,open,high,low,close,volume
2018-02-16,09:31:00,5.21,5.22,5.151,5.18,162721.0
2018-02-16,09:32:00,5.19,5.21,5.19,5.2,46829.0
2018-02-16,09:33:00,5.21,5.22,5.2,5.21,44943.0
2018-02-16,09:34:00,5.22,5.25,5.22,5.24,112017.0
2018-02-16,09:35:00,5.2478,5.26,5.24,5.24,69939.0
2018-02-16,09:36:00,5.245,5.25,5.21,5.225,38783.0
2018-02-16,09:37:00,5.225,5.225,5.21,5.2107,12157.0
2018-02-16,09:38:00,5.21,5.22,5.21,5.22,14656.0
2018-02-16,09:39:00,5.23,5.25,5.23,5.25,30700.0
2018-02-16,09:40:00,5.245,5.25,5.215,5.219,37717.0
2018-02-16,09:41:00,5.215,5.215,5.18,5.18,41035.0
2018-02-16,09:42:00,5.18,5.19,5.16,5.17,50316.0
2018-02-16,09:43:00,5.179,5.18,5.16,5.165,108149.0
2018-02-16,09:44:00,5.16,5.17,5.12,5.13,179948.0
2018-02-16,09:45:00,5.1299,5.1399,5.11,5.11,42758.0
2018-02-16,09:46:00,5.1199,5.12,5.09,5.12,257527.0
2018-02-16,09:47:00,5.13,5.15,5.115,5.12,86851.0
2018-02-16,09:48:00,5.13,5.17,5.11,5.17,83247.0
2018-02-16,09:49:00,5.1699,5.18,5.145,5.175,44643.0
2018-02-16,09:50:00,5.18,5.18,5.17,5.17,78636.0
2018-02-16,09:51:00,5.17,5.17,5.15,5.17,43904.0
2018-02-16,09:52:00,5.18,5.18,5.17,5.17,58600.0
2018-02-16,09:53:00,5.17,5.19,5.17,5.19,26555.0
2018-02-16,09:54:00,5.186,5.19,5.18,5.18,11275.0
2018-02-16,09:55:00,5.19,5.19,5.17,5.17,41057.0
2018-02-16,09:56:00,5.17,5.17,5.16,5.16,31047.0
2018-02-16,09:57:00,5.16,5.16,5.145,5.15,13782.0
2018-02-16,09:58:00,5.15,5.16,5.141,5.16,13335.0
2018-02-16,09:59:00,5.16,5.16,5.145,5.15,21500.0
2018-02-16,10:00:00,5.15,5.16,5.14,5.145,169918.0
2018-02-16,10:01:00,5.1407,5.1499,5.12,5.12,343343.0
2018-02-16,10:02:00,5.1238,5.14,5.12,5.13,68130.0
2018-02-16,10:03:00,5.14,5.145,5.13,5.14,30515.0
2018-02-16,10:04:00,5.1475,5.17,5.14,5.165,38456.0
2018-02-16,10:05:00,5.17,5.18,5.16,5.16,66391.0
2018-02-16,10:06:00,5.17,5.17,5.16,5.16,1100.0
2018-02-16,10:07:00,5.1699,5.1699,5.15,5.1563,40769.0
2018-02-16,10:08:00,5.15,5.159,5.15,5.15,31400.0
2018-02-16,10:09:00,5.15,5.16,5.15,5.155,2100.0
2018-02-16,10:10:00,5.1563,5.1652,5.155,5.16,26726.0
2018-02-16,10:11:00,5.165,5.18,5.165,5.175,44030.0
2018-02-16,10:12:00,5.18,5.18,5.17,5.18,27500.0
2018-02-16,10:13:00,5.17,5.19,5.17,5.19,9065.0
2018-02-16,10:14:00,5.1817,5.19,5.18,5.1801,48011.0
2018-02-16,10:15:00,5.19,5.19,5.18,5.1852,25700.0
2018-02-16,10:16:00,5.19,5.19,5.18,5.185,18780.0
2018-02-16,10:17:00,5.185,5.21,5.185,5.2048,91075.0
2018-02-16,10:18:00,5.2099,5.22,5.2099,5.22,12601.0
2018-02-16,10:19:00,5.22,5.22,5.215,5.22,17700.0
2018-02-16,10:20:00,5.22,5.225,5.21,5.2233,28045.0
2018-02-16,10:21:00,5.2245,5.245,5.2245,5.24,39651.0
2018-02-16,10:22:00,5.245,5.25,5.241,5.25,26161.0
2018-02-16,10:23:00,5.25,5.25,5.24,5.25,87400.0
2018-02-16,10:24:00,5.25,5.25,5.24,5.245,34542.0
2018-02-16,10:25:00,5.245,5.25,5.23,5.235,67080.0
2018-02-16,10:26:00,5.235,5.24,5.23,5.235,68328.0
2018-02-16,10:27:00,5.235,5.24,5.23,5.235,47988.0
2018-02-16,10:28:00,5.235,5.235,5.22,5.2295,60720.0
2018-02-16,10:29:00,5.2264,5.24,5.2233,5.23,56287.0
2018-02-16,10:30:00,5.235,5.24,5.23,5.2393,89841.0
2018-02-16,10:31:00,5.2334,5.245,5.2334,5.24,24550.0
2018-02-16,10:32:00,5.245,5.25,5.24,5.245,4500.0
2018-02-16,10:33:00,5.245,5.26,5.24,5.255,120828.0
2018-02-16,10:34:00,5.26,5.26,5.25,5.26,22100.0
2018-02-16,10:35:00,5.26,5.26,5.25,5.255,55975.0
2018-02-16,10:36:00,5.26,5.27,5.25,5.261,86905.0
2018-02-16,10:37:00,5.2633,5.27,5.26,5.27,20147.0
2018-02-16,10:38:00,5.27,5.27,5.26,5.27,19318.0
2018-02-16,10:39:00,5.27,5.28,5.26,5.2785,38733.0
2018-02-16,10:40:00,5.28,5.28,5.27,5.28,23258.0
2018-02-16,10:41:00,5.28,5.28,5.27,5.28,25351.0
2018-02-16,10:42:00,5.28,5.3,5.2793,5.299,160118.0
2018-02-16,10:43:00,5.2934,5.295,5.28,5.29,40136.0
2018-02-16,10:44:00,5.289,5.29,5.28,5.2899,11605.0
2018-02-16,10:45:00,5.28,5.29,5.28,5.2834,4450.0
2018-02-16,10:46:00,5.28,5.29,5.28,5.28,53594.0
2018-02-16,10:47:00,5.285,5.29,5.28,5.2801,29065.0
2018-02-16,10:48:00,5.29,5.29,5.28,5.285,23991.0
2018-02-16,10:49:00,5.28,5.285,5.27,5.2799,43670.0
2018-02-16,10:50:00,5.275,5.29,5.27,5.29,14052.0
2018-02-16,10:51:00,5.29,5.29,5.28,5.29,21724.0
2018-02-16,10:52:00,5.29,5.29,5.28,5.2842,14500.0
2018-02-16,10:53:00,5.2853,5.29,5.28,5.28,28224.0
2018-02-16,10:54:00,5.285,5.29,5.28,5.2888,17062.0
2018-02-16,10:55:00,5.285,5.29,5.28,5.285,15044.0
2018-02-16,10:56:00,5.28,5.29,5.28,5.285,6432.0
