date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,114.36,114.36,114.36,114.36,42642.0
2018-02-16,09:31:00,114.4999,114.58,114.22,114.56,3315.0
2018-02-16,09:33:00,114.33,114.52,114.33,114.49,479.0
2018-02-16,09:34:00,114.35,114.44,113.8,113.93,9141.0
2018-02-16,09:35:00,114.0,114.0,113.83,113.93,2700.0
2018-02-16,09:36:00,113.9002,114.19,113.9002,113.975,3885.0
2018-02-16,09:37:00,114.0,114.0,113.95,113.95,400.0
2018-02-16,09:38:00,113.99,114.26,113.96,114.26,3914.0
2018-02-16,09:39:00,114.32,114.49,114.32,114.49,1200.0
2018-02-16,09:40:00,114.455,114.59,114.36,114.47,5097.0
2018-02-16,09:41:00,114.3837,114.44,114.23,114.325,6383.0
2018-02-16,09:42:00,114.39,114.4,114.17,114.19,6325.0
2018-02-16,09:43:00,114.195,114.31,114.07,114.1,19258.0
2018-02-16,09:44:00,114.15,114.41,114.1,114.27,83855.0
2018-02-16,09:45:00,114.24,114.24,113.91,114.04,4750.0
2018-02-16,09:46:00,113.915,114.14,113.71,113.84,76634.0
2018-02-16,09:47:00,113.71,113.85,113.6,113.85,7839.0
2018-02-16,09:48:00,113.89,113.89,113.63,113.86,4850.0
2018-02-16,09:49:00,113.89,114.05,113.82,114.0,3000.0
2018-02-16,09:50:00,114.0,114.07,113.82,114.01,5291.0
2018-02-16,09:51:00,114.055,114.1,113.86,114.05,5511.0
2018-02-16,09:52:00,114.045,114.08,113.88,113.88,2900.0
2018-02-16,09:53:00,113.84,114.0,113.84,113.99,1098.0
2018-02-16,09:54:00,114.04,114.06,113.92,113.9282,3300.0
2018-02-16,09:55:00,113.97,114.01,113.84,113.84,5600.0
2018-02-16,09:56:00,113.86,113.9,113.74,113.74,2300.0
2018-02-16,09:57:00,113.7863,113.9299,113.73,113.8,7909.0
2018-02-16,09:58:00,113.87,113.96,113.76,113.875,5159.0
2018-02-16,09:59:00,113.895,113.895,113.72,113.72,2778.0
2018-02-16,10:00:00,113.69,113.745,113.69,113.745,300.0
2018-02-16,10:01:00,113.745,113.78,113.59,113.59,6302.0
2018-02-16,10:02:00,113.57,113.63,113.22,113.22,5830.0
2018-02-16,10:03:00,113.26,113.495,113.2,113.495,5600.0
2018-02-16,10:04:00,113.48,113.5,113.35,113.5,8500.0
2018-02-16,10:05:00,113.58,113.58,113.37,113.37,2300.0
2018-02-16,10:06:00,113.35,113.4,113.21,113.28,3540.0
2018-02-16,10:07:00,113.3,113.315,113.25,113.315,3905.0
2018-02-16,10:08:00,113.34,113.35,113.34,113.35,448.0
2018-02-16,10:09:00,113.38,113.47,113.38,113.39,1700.0
2018-02-16,10:10:00,113.6,113.62,113.5873,113.5944,1109.0
2018-02-16,10:11:00,113.66,113.67,113.368,113.368,2478.0
2018-02-16,10:12:00,113.4052,113.45,113.33,113.435,12382.0
2018-02-16,10:13:00,113.5,113.64,113.44,113.63,9803.0
2018-02-16,10:14:00,113.68,113.83,113.68,113.82,2915.0
2018-02-16,10:15:00,113.7113,114.0,113.7113,114.0,2590.0
2018-02-16,10:16:00,113.95,114.02,113.79,113.8,5705.0
2018-02-16,10:17:00,113.84,113.9,113.8,113.9,700.0
2018-02-16,10:18:00,113.93,113.93,113.75,113.75,500.0
2018-02-16,10:19:00,113.72,113.8499,113.72,113.8499,815.0
2018-02-16,10:20:00,113.7761,113.85,113.69,113.81,5899.0
2018-02-16,10:21:00,113.84,113.89,113.75,113.7575,3600.0
2018-02-16,10:22:00,113.83,113.83,113.775,113.8178,900.0
2018-02-16,10:23:00,113.76,113.8,113.65,113.65,1000.0
2018-02-16,10:24:00,113.735,113.86,113.71,113.765,4900.0
2018-02-16,10:25:00,113.76,113.8,113.69,113.745,5549.0
2018-02-16,10:26:00,113.79,113.92,113.79,113.79,2282.0
2018-02-16,10:27:00,113.8,113.87,113.7623,113.7623,2447.0
