date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,12.11,12.15,12.08,12.11,693804.0
2018-02-16,09:31:00,12.12,12.13,12.04,12.063,300734.0
2018-02-16,09:32:00,12.0673,12.09,12.04,12.05,262128.0
2018-02-16,09:33:00,12.05,12.09,12.02,12.09,347493.0
2018-02-16,09:34:00,12.085,12.09,12.05,12.06,137823.0
2018-02-16,09:35:00,12.05,12.11,12.05,12.105,196338.0
2018-02-16,09:36:00,12.11,12.15,12.1099,12.145,329853.0
2018-02-16,09:37:00,12.145,12.165,12.12,12.13,199649.0
2018-02-16,09:38:00,12.135,12.17,12.13,12.17,226111.0
2018-02-16,09:39:00,12.17,12.18,12.15,12.16,244685.0
2018-02-16,09:40:00,12.15,12.19,12.15,12.19,186116.0
2018-02-16,09:41:00,12.19,12.225,12.185,12.21,242490.0
2018-02-16,09:42:00,12.21,12.21,12.15,12.155,398401.0
2018-02-16,09:43:00,12.155,12.18,12.1502,12.1786,116897.0
2018-02-16,09:44:00,12.17,12.2,12.16,12.165,119585.0
2018-02-16,09:45:00,12.1699,12.17,12.09,12.0907,395221.0
2018-02-16,09:46:00,12.09,12.105,12.06,12.105,333098.0
2018-02-16,09:47:00,12.1055,12.12,12.08,12.09,136720.0
2018-02-16,09:48:00,12.09,12.11,12.081,12.11,139548.0
2018-02-16,09:49:00,12.11,12.15,12.1,12.13,164418.0
2018-02-16,09:50:00,12.139,12.159,12.13,12.1467,135534.0
2018-02-16,09:51:00,12.15,12.1615,12.13,12.1615,152737.0
2018-02-16,09:52:00,12.17,12.17,12.15,12.15,70812.0
2018-02-16,09:53:00,12.16,12.17,12.15,12.17,71777.0
2018-02-16,09:54:00,12.16,12.19,12.15,12.19,155215.0
2018-02-16,09:55:00,12.1867,12.19,12.17,12.175,128432.0
2018-02-16,09:56:00,12.175,12.19,12.1542,12.161,102647.0
2018-02-16,09:57:00,12.16,12.17,12.14,12.15,81962.0
2018-02-16,09:58:00,12.14,12.15,12.13,12.13,45230.0
2018-02-16,09:59:00,12.13,12.1301,12.1,12.115,140263.0
2018-02-16,10:00:00,12.11,12.14,12.11,12.13,135026.0
2018-02-16,10:01:00,12.13,12.14,12.12,12.1251,90312.0
2018-02-16,10:02:00,12.12,12.121,12.08,12.08,258259.0
2018-02-16,10:03:00,12.0899,12.09,12.07,12.0701,101425.0
2018-02-16,10:04:00,12.08,12.0879,12.06,12.061,170484.0
2018-02-16,10:05:00,12.0699,12.1,12.0699,12.09,92880.0
2018-02-16,10:06:00,12.089,12.09,12.07,12.08,119468.0
2018-02-16,10:07:00,12.08,12.09,12.0606,12.08,178622.0
2018-02-16,10:08:00,12.09,12.095,12.08,12.0857,114996.0
2018-02-16,10:09:00,12.085,12.13,12.085,12.13,128223.0
2018-02-16,10:10:00,12.12,12.145,12.12,12.131,120580.0
2018-02-16,10:11:00,12.14,12.14,12.12,12.12,65446.0
2018-02-16,10:12:00,12.13,12.14,12.1,12.1167,64477.0
2018-02-16,10:13:00,12.11,12.1291,12.1,12.1291,57528.0
2018-02-16,10:14:00,12.12,12.1201,12.1,12.1,60251.0
2018-02-16,10:15:00,12.1,12.125,12.1,12.115,37951.0
2018-02-16,10:16:00,12.115,12.13,12.1101,12.12,51546.0
2018-02-16,10:17:00,12.12,12.14,12.1138,12.135,178823.0
2018-02-16,10:18:00,12.13,12.14,12.12,12.14,133278.0
2018-02-16,10:19:00,12.135,12.145,12.12,12.135,109969.0
2018-02-16,10:20:00,12.13,12.1385,12.11,12.11,71445.0
2018-02-16,10:21:00,12.11,12.12,12.11,12.11,29858.0
2018-02-16,10:22:00,12.12,12.12,12.1,12.115,94250.0
2018-02-16,10:23:00,12.119,12.119,12.1,12.115,37734.0
2018-02-16,10:24:00,12.115,12.115,12.1,12.105,34819.0
2018-02-16,10:25:00,12.105,12.11,12.09,12.09,106360.0
2018-02-16,10:26:00,12.0989,12.135,12.0989,12.13,148349.0
2018-02-16,10:27:00,12.1301,12.14,12.12,12.129,51092.0
2018-02-16,10:28:00,12.13,12.13,12.12,12.125,21559.0
2018-02-16,10:29:00,12.13,12.13,12.12,12.125,24076.0
2018-02-16,10:30:00,12.1287,12.14,12.12,12.14,111791.0
2018-02-16,10:31:00,12.14,12.15,12.135,12.15,314620.0
