date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,10.85,10.85,10.85,10.85,16485.0
2018-02-16,09:31:00,10.8226,10.8226,10.8226,10.8226,100.0
2018-02-16,09:32:00,10.88,10.9,10.835,10.8401,6553.0
2018-02-16,09:33:00,10.84,10.875,10.84,10.875,1744.0
2018-02-16,09:34:00,10.85,10.865,10.82,10.82,3236.0
2018-02-16,09:35:00,10.82,10.84,10.82,10.82,4300.0
2018-02-16,09:36:00,10.86,10.86,10.77,10.78,1100.0
2018-02-16,09:38:00,10.8105,10.8105,10.785,10.8,2100.0
2018-02-16,09:39:00,10.82,10.82,10.81,10.81,2200.0
2018-02-16,09:40:00,10.82,10.84,10.8,10.8,900.0
2018-02-16,09:41:00,10.79,10.795,10.79,10.795,500.0
2018-02-16,09:42:00,10.79,10.79,10.74,10.75,3600.0
2018-02-16,09:43:00,10.76,10.79,10.76,10.79,4000.0
2018-02-16,09:44:00,10.79,10.82,10.77,10.77,1536.0
2018-02-16,09:45:00,10.79,10.79,10.75,10.77,1800.0
2018-02-16,09:46:00,10.76,10.78,10.75,10.78,1700.0
2018-02-16,09:47:00,10.79,10.8,10.79,10.8,400.0
2018-02-16,09:48:00,10.79,10.79,10.79,10.79,300.0
2018-02-16,09:49:00,10.79,10.81,10.78,10.81,2600.0
2018-02-16,09:50:00,10.81,10.82,10.74,10.74,8462.0
2018-02-16,09:51:00,10.75,10.81,10.745,10.81,8665.0
2018-02-16,09:52:00,10.805,10.805,10.8,10.8,2100.0
2018-02-16,09:53:00,10.81,10.81,10.78,10.805,3700.0
2018-02-16,09:54:00,10.8067,10.83,10.8067,10.83,7500.0
2018-02-16,09:55:00,10.83,10.83,10.8,10.8,1174.0
2018-02-16,09:56:00,10.8,10.8162,10.8,10.8,3016.0
2018-02-16,09:57:00,10.79,10.79,10.775,10.78,1100.0
2018-02-16,09:59:00,10.795,10.795,10.78,10.78,1900.0
2018-02-16,10:00:00,10.785,10.82,10.785,10.81,3973.0
2018-02-16,10:01:00,10.805,10.81,10.805,10.81,400.0
2018-02-16,10:02:00,10.815,10.84,10.815,10.84,2567.0
2018-02-16,10:03:00,10.85,10.85,10.8446,10.845,1700.0
2018-02-16,10:04:00,10.85,10.85,10.835,10.835,2191.0
2018-02-16,10:05:00,10.835,10.835,10.825,10.825,300.0
2018-02-16,10:06:00,10.83,10.83,10.825,10.83,1691.0
2018-02-16,10:07:00,10.8399,10.845,10.821,10.84,6481.0
2018-02-16,10:08:00,10.8433,10.85,10.84,10.84,3900.0
2018-02-16,10:09:00,10.845,10.86,10.84,10.855,5434.0
2018-02-16,10:10:00,10.86,10.86,10.845,10.845,3500.0
2018-02-16,10:11:00,10.845,10.845,10.84,10.845,666.0
2018-02-16,10:12:00,10.84,10.84,10.79,10.795,7469.0
2018-02-16,10:13:00,10.79,10.8,10.78,10.795,3700.0
2018-02-16,10:14:00,10.795,10.8,10.76,10.76,2000.0
