date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,71.96,71.96,71.96,71.96,237915.0
2018-02-16,09:31:00,71.94,72.01,71.91,72.01,45894.0
2018-02-16,09:32:00,71.99,72.1252,71.94,72.1252,9498.0
2018-02-16,09:33:00,72.11,72.12,71.95,71.99,6960.0
2018-02-16,09:34:00,72.0,72.04,71.8,71.8196,16430.0
2018-02-16,09:35:00,71.8001,71.92,71.8,71.88,6749.0
2018-02-16,09:36:00,71.89,71.95,71.69,71.73,23459.0
2018-02-16,09:37:00,71.74,71.74,71.6,71.61,21457.0
2018-02-16,09:38:00,71.59,71.65,71.42,71.5575,28236.0
2018-02-16,09:39:00,71.58,71.6,71.45,71.47,4200.0
2018-02-16,09:40:00,71.47,71.74,71.43,71.68,21818.0
2018-02-16,09:41:00,71.68,71.73,71.57,71.72,9577.0
2018-02-16,09:42:00,71.6987,71.83,71.6987,71.78,17140.0
2018-02-16,09:43:00,71.78,71.8,71.74,71.74,7263.0
2018-02-16,09:44:00,71.75,71.75,71.63,71.63,29223.0
2018-02-16,09:45:00,71.64,71.64,71.38,71.38,34316.0
2018-02-16,09:46:00,71.39,71.46,71.31,71.44,23590.0
2018-02-16,09:47:00,71.46,71.48,71.4,71.45,16425.0
2018-02-16,09:48:00,71.45,71.45,71.1298,71.16,48077.0
2018-02-16,09:49:00,71.1478,71.29,71.04,71.23,47108.0
2018-02-16,09:50:00,71.29,71.48,71.29,71.3517,29624.0
2018-02-16,09:51:00,71.34,71.41,71.27,71.41,11200.0
2018-02-16,09:52:00,71.4,71.47,71.39,71.4652,9448.0
2018-02-16,09:53:00,71.47,71.54,71.4,71.54,17424.0
2018-02-16,09:54:00,71.54,71.6,71.47,71.6,10161.0
2018-02-16,09:55:00,71.63,71.64,71.47,71.47,9710.0
2018-02-16,09:56:00,71.4886,71.6,71.4886,71.58,17463.0
2018-02-16,09:57:00,71.59,71.66,71.5,71.5,16841.0
2018-02-16,09:58:00,71.51,71.59,71.5,71.57,6120.0
2018-02-16,09:59:00,71.59,71.59,71.41,71.41,3570.0
2018-02-16,10:00:00,71.41,71.45,71.34,71.39,12304.0
2018-02-16,10:01:00,71.39,71.49,71.365,71.365,6798.0
2018-02-16,10:02:00,71.3586,71.37,71.25,71.29,10874.0
2018-02-16,10:03:00,71.29,71.29,71.18,71.19,6314.0
2018-02-16,10:04:00,71.195,71.23,71.11,71.17,6787.0
2018-02-16,10:05:00,71.1849,71.25,71.17,71.17,3390.0
2018-02-16,10:06:00,71.15,71.16,71.09,71.12,9952.0
2018-02-16,10:07:00,71.11,71.1101,70.96,71.01,14342.0
2018-02-16,10:08:00,71.01,71.08,70.97,70.98,16942.0
2018-02-16,10:09:00,70.98,71.0484,70.96,71.04,19515.0
2018-02-16,10:10:00,71.08,71.1399,71.08,71.12,15317.0
2018-02-16,10:11:00,71.125,71.13,70.97,71.01,15527.0
2018-02-16,10:12:00,71.03,71.05,70.91,70.97,63630.0
2018-02-16,10:13:00,70.97,70.99,70.83,70.96,8435.0
2018-02-16,10:14:00,70.97,70.97,70.88,70.88,5854.0
2018-02-16,10:15:00,70.91,70.96,70.895,70.92,5687.0
2018-02-16,10:16:00,70.93,71.05,70.93,70.948,18259.0
2018-02-16,10:17:00,70.9699,71.055,70.9699,71.04,21538.0
2018-02-16,10:18:00,71.02,71.02,70.97,70.99,9316.0
2018-02-16,10:19:00,71.03,71.07,70.93,71.0078,10616.0
2018-02-16,10:20:00,71.0,71.02,70.92,70.92,5968.0
2018-02-16,10:21:00,70.9199,70.98,70.91,70.98,5620.0
2018-02-16,10:22:00,70.99,71.05,70.96,71.0,7835.0
2018-02-16,10:23:00,71.04,71.06,70.99,71.05,22457.0
2018-02-16,10:24:00,71.05,71.05,70.89,70.92,18379.0
2018-02-16,10:25:00,70.94,71.02,70.93,70.95,24513.0
2018-02-16,10:26:00,70.98,71.08,70.98,71.025,67701.0
2018-02-16,10:27:00,71.025,71.025,70.92,70.94,19400.0
2018-02-16,10:28:00,70.94,70.97,70.9,70.91,10100.0
2018-02-16,10:29:00,70.92,71.0,70.92,70.95,11586.0
2018-02-16,10:30:00,70.93,71.02,70.93,71.005,14370.0
2018-02-16,10:31:00,71.01,71.06,70.99,71.02,23261.0
2018-02-16,10:32:00,71.015,71.03,70.93,70.98,24854.0
2018-02-16,10:33:00,70.99,71.0122,70.95,71.0122,14472.0
2018-02-16,10:34:00,71.02,71.02,70.89,70.89,10795.0
2018-02-16,10:35:00,70.89,70.91,70.87,70.9,11901.0
2018-02-16,10:36:00,70.9,71.01,70.9,70.99,11221.0
2018-02-16,10:37:00,70.99,71.05,70.97,71.02,13605.0
2018-02-16,10:38:00,71.02,71.07,71.0,71.0,16300.0
2018-02-16,10:39:00,71.0,71.04,71.0,71.04,9180.0
2018-02-16,10:40:00,71.01,71.02,70.94,70.94,7521.0
2018-02-16,10:41:00,70.92,70.97,70.92,70.95,4230.0
2018-02-16,10:42:00,70.94,70.95,70.9,70.94,6655.0
2018-02-16,10:43:00,70.925,70.96,70.85,70.85,11427.0
2018-02-16,10:44:00,70.85,70.895,70.85,70.89,7300.0
2018-02-16,10:45:00,70.89,70.939,70.88,70.88,8973.0
2018-02-16,10:46:00,70.87,70.88,70.83,70.84,8762.0
2018-02-16,10:47:00,70.8383,70.89,70.8383,70.86,6420.0
2018-02-16,10:48:00,70.85,70.91,70.84,70.9,7907.0
2018-02-16,10:49:00,70.89,70.89,70.82,70.82,5200.0
2018-02-16,10:50:00,70.84,70.91,70.84,70.89,5920.0
2018-02-16,10:51:00,70.9,70.91,70.86,70.88,6025.0
2018-02-16,10:52:00,70.88,70.88,70.81,70.81,4991.0
2018-02-16,10:53:00,70.8,70.85,70.77,70.77,7940.0
2018-02-16,10:54:00,70.79,70.88,70.79,70.84,6200.0
2018-02-16,10:55:00,70.83,70.86,70.81,70.81,5700.0
2018-02-16,10:56:00,70.81,70.85,70.79,70.82,7224.0
2018-02-16,10:57:00,70.8137,70.85,70.8,70.82,10215.0
2018-02-16,10:58:00,70.83,70.85,70.79,70.7968,9783.0
2018-02-16,10:59:00,70.81,70.83,70.77,70.79,13262.0
2018-02-16,11:00:00,70.79,70.79,70.64,70.6626,26253.0
2018-02-16,11:01:00,70.69,70.76,70.66,70.66,10350.0
2018-02-16,11:02:00,70.65,70.68,70.57,70.62,9487.0
2018-02-16,11:03:00,70.61,70.62,70.56,70.575,5957.0
2018-02-16,11:04:00,70.575,70.575,70.52,70.53,9247.0
2018-02-16,11:05:00,70.53,70.589,70.43,70.55,21320.0
2018-02-16,11:06:00,70.57,70.57,70.5,70.51,8857.0
2018-02-16,11:07:00,70.53,70.58,70.53,70.57,3684.0
2018-02-16,11:08:00,70.57,70.77,70.57,70.74,17431.0
2018-02-16,11:09:00,70.73,70.82,70.73,70.82,13170.0
2018-02-16,11:10:00,70.82,70.83,70.77,70.83,17751.0
2018-02-16,11:11:00,70.82,70.84,70.79,70.835,12721.0
2018-02-16,11:12:00,70.83,70.8755,70.83,70.859,21126.0
2018-02-16,11:13:00,70.85,70.85,70.8,70.81,6059.0
2018-02-16,11:14:00,70.81,70.83,70.79,70.83,12765.0
2018-02-16,11:15:00,70.8299,70.85,70.82,70.84,6404.0
2018-02-16,11:16:00,70.85,70.89,70.84,70.8469,13361.0
2018-02-16,11:17:00,70.83,70.85,70.81,70.83,14515.0
2018-02-16,11:18:00,70.82,70.94,70.82,70.93,21091.0
2018-02-16,11:19:00,70.935,70.96,70.87,70.87,27522.0
2018-02-16,11:20:00,70.87,70.92,70.87,70.8908,8700.0
2018-02-16,11:21:00,70.89,70.91,70.864,70.864,3891.0
2018-02-16,11:22:00,70.85,70.859,70.81,70.82,8569.0
2018-02-16,11:23:00,70.82,70.82,70.75,70.7652,8612.0
2018-02-16,11:24:00,70.76,70.77,70.74,70.755,11293.0
2018-02-16,11:25:00,70.75,70.77,70.72,70.77,7383.0
2018-02-16,11:26:00,70.78,70.8,70.77,70.8,6651.0
2018-02-16,11:27:00,70.805,70.805,70.74,70.775,7039.0
2018-02-16,11:28:00,70.775,70.8,70.75,70.76,4029.0
2018-02-16,11:29:00,70.74,70.76,70.74,70.74,2500.0
2018-02-16,11:30:00,70.73,70.74,70.62,70.64,22624.0
2018-02-16,11:31:00,70.63,70.69,70.63,70.66,6660.0
2018-02-16,11:32:00,70.65,70.65,70.57,70.6,9014.0
2018-02-16,11:33:00,70.59,70.67,70.58,70.6499,3042.0
2018-02-16,11:34:00,70.67,70.69,70.6,70.6216,4881.0
2018-02-16,11:35:00,70.62,70.62,70.55,70.55,6467.0
2018-02-16,11:36:00,70.53,70.55,70.52,70.55,7918.0
2018-02-16,11:37:00,70.54,70.54,70.51,70.53,7071.0
2018-02-16,11:38:00,70.53,70.56,70.52,70.56,5533.0
2018-02-16,11:39:00,70.56,70.62,70.56,70.62,7200.0
2018-02-16,11:40:00,70.61,70.62,70.6,70.61,8142.0
2018-02-16,11:41:00,70.6,70.69,70.58,70.67,18833.0
2018-02-16,11:42:00,70.67,70.7,70.67,70.685,6750.0
2018-02-16,11:43:00,70.68,70.68,70.64,70.67,4190.0
2018-02-16,11:44:00,70.69,70.69,70.61,70.61,8976.0
2018-02-16,11:45:00,70.6,70.62,70.56,70.56,7723.0
2018-02-16,11:46:00,70.57,70.61,70.57,70.57,4245.0
2018-02-16,11:47:00,70.57,70.579,70.51,70.51,7000.0
2018-02-16,11:48:00,70.52,70.55,70.52,70.54,5921.0
2018-02-16,11:49:00,70.54,70.56,70.54,70.55,2910.0
2018-02-16,11:50:00,70.56,70.6,70.56,70.59,4507.0
2018-02-16,11:51:00,70.61,70.68,70.61,70.68,10958.0
2018-02-16,11:52:00,70.7,70.72,70.68,70.69,9019.0
2018-02-16,11:53:00,70.69,70.7645,70.68,70.74,10642.0
2018-02-16,11:54:00,70.76,70.79,70.7495,70.7495,4503.0
2018-02-16,11:55:00,70.75,70.75,70.67,70.7,9150.0
2018-02-16,11:56:00,70.7,70.7311,70.69,70.72,18799.0
2018-02-16,11:57:00,70.73,70.78,70.73,70.77,6969.0
2018-02-16,11:58:00,70.79,70.9,70.79,70.88,6281.0
2018-02-16,11:59:00,70.89,70.9,70.87,70.87,5336.0
2018-02-16,12:00:00,70.87,70.8999,70.84,70.85,7489.0
2018-02-16,12:01:00,70.86,70.89,70.855,70.86,6506.0
2018-02-16,12:02:00,70.86,70.86,70.77,70.77,6010.0
2018-02-16,12:03:00,70.77,70.79,70.76,70.7695,3084.0
2018-02-16,12:04:00,70.76,70.8322,70.74,70.815,8872.0
2018-02-16,12:05:00,70.81,70.888,70.79,70.87,6070.0
2018-02-16,12:06:00,70.85,70.86,70.84,70.86,3199.0
2018-02-16,12:07:00,70.86,70.92,70.86,70.8702,7500.0
2018-02-16,12:08:00,70.89,70.89,70.805,70.855,7660.0
2018-02-16,12:09:00,70.84,70.85,70.8,70.825,8683.0
2018-02-16,12:10:00,70.8,70.825,70.78,70.79,7082.0
2018-02-16,12:11:00,70.8,70.87,70.79,70.87,6192.0
2018-02-16,12:12:00,70.88,70.88,70.83,70.88,6151.0
2018-02-16,12:13:00,70.89,70.89,70.84,70.88,5759.0
2018-02-16,12:14:00,70.88,70.93,70.875,70.92,5600.0
2018-02-16,12:15:00,70.94,70.96,70.9,70.93,3572.0
2018-02-16,12:16:00,70.9345,70.94,70.9,70.91,5100.0
2018-02-16,12:17:00,70.92,71.0,70.92,71.0,7223.0
2018-02-16,12:18:00,71.01,71.05,71.01,71.05,5165.0
2018-02-16,12:19:00,71.06,71.07,71.01,71.06,5851.0
2018-02-16,12:20:00,71.04,71.06,71.01,71.01,5050.0
2018-02-16,12:21:00,71.01,71.029,71.0,71.029,8300.0
2018-02-16,12:22:00,71.01,71.1248,71.01,71.1248,5022.0
2018-02-16,12:23:00,71.125,71.15,71.02,71.02,13200.0
2018-02-16,12:24:00,71.025,71.055,70.9868,70.99,22714.0
2018-02-16,12:25:00,71.0,71.03,70.98,71.01,6234.0
2018-02-16,12:26:00,71.01,71.01,70.96,70.99,7867.0
2018-02-16,12:27:00,70.98,70.98,70.95,70.95,3428.0
2018-02-16,12:28:00,70.94,70.95,70.93,70.95,3900.0
2018-02-16,12:29:00,70.96,70.99,70.8288,70.84,75506.0
2018-02-16,12:30:00,70.84,70.86,70.83,70.8498,11099.0
2018-02-16,12:31:00,70.86,70.906,70.85,70.89,11790.0
2018-02-16,12:32:00,70.88,70.96,70.86,70.95,6932.0
2018-02-16,12:33:00,70.95,70.96,70.93,70.94,4200.0
2018-02-16,12:34:00,70.94,71.01,70.94,70.98,11706.0
2018-02-16,12:35:00,70.96,71.0,70.96,70.98,10625.0
2018-02-16,12:36:00,70.99,70.99,70.87,70.87,18028.0
2018-02-16,12:37:00,70.87,70.9,70.86,70.86,10064.0
2018-02-16,12:38:00,70.85,70.85,70.82,70.83,6552.0
2018-02-16,12:39:00,70.825,70.87,70.81,70.85,9451.0
2018-02-16,12:40:00,70.85,70.85,70.815,70.85,5960.0
2018-02-16,12:41:00,70.85,70.88,70.85,70.88,3898.0
2018-02-16,12:42:00,70.87,70.88,70.855,70.861,5817.0
2018-02-16,12:43:00,70.87,70.8801,70.84,70.84,5541.0
2018-02-16,12:44:00,70.84,70.84,70.79,70.81,4876.0
2018-02-16,12:45:00,70.81,70.81,70.78,70.78,11658.0
2018-02-16,12:46:00,70.771,70.79,70.77,70.775,8670.0
2018-02-16,12:47:00,70.77,70.77,70.75,70.7534,3768.0
2018-02-16,12:48:00,70.76,70.76,70.73,70.74,10450.0
