date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,251.27,251.27,250.17,250.55,133792.0
2018-02-16,09:31:00,251.0,251.32,250.02,250.64,5254.0
2018-02-16,09:32:00,250.29,251.0,250.08,250.615,5395.0
2018-02-16,09:33:00,250.65,250.79,250.27,250.4101,2700.0
2018-02-16,09:34:00,250.68,250.735,250.26,250.485,5197.0
2018-02-16,09:35:00,250.17,250.74,250.17,250.605,3230.0
2018-02-16,09:36:00,250.62,251.05,250.2701,250.36,10241.0
2018-02-16,09:37:00,250.31,250.56,250.05,250.165,5460.0
2018-02-16,09:38:00,250.05,250.1999,249.86,250.1999,9203.0
2018-02-16,09:39:00,250.0,250.26,249.6,249.62,4956.0
2018-02-16,09:40:00,249.63,249.83,249.1449,249.1449,16135.0
2018-02-16,09:41:00,249.24,249.33,249.1,249.31,1201.0
2018-02-16,09:42:00,249.33,249.52,249.3,249.52,5345.0
2018-02-16,09:43:00,249.52,249.73,249.32,249.32,1921.0
2018-02-16,09:44:00,249.25,249.36,248.801,248.902,6910.0
2018-02-16,09:45:00,248.9,249.17,248.04,248.1,15764.0
2018-02-16,09:46:00,248.185,248.705,248.1,248.69,8679.0
2018-02-16,09:47:00,248.69,248.69,248.08,248.28,16691.0
2018-02-16,09:48:00,248.1101,248.57,248.1101,248.34,4182.0
2018-02-16,09:49:00,248.42,249.05,248.26,249.05,13729.0
2018-02-16,09:50:00,248.99,249.31,248.92,249.045,10669.0
2018-02-16,09:51:00,249.0,249.22,248.92,249.22,3588.0
2018-02-16,09:52:00,249.1323,249.4,249.1323,249.26,3638.0
2018-02-16,09:53:00,249.26,249.99,249.105,249.96,14182.0
2018-02-16,09:54:00,249.95,249.96,249.72,249.94,2475.0
2018-02-16,09:55:00,249.96,250.12,249.6,249.92,9862.0
2018-02-16,09:56:00,249.95,249.99,249.68,249.68,2000.0
2018-02-16,09:57:00,249.66,249.73,249.57,249.725,4400.0
2018-02-16,09:58:00,249.625,249.75,249.54,249.55,3125.0
