date,ToD,open,high,low,close,volume
2018-02-16,09:31:00,96.37,96.37,96.36,96.36,497.0
2018-02-16,09:32:00,96.35,96.56,96.25,96.49,214892.0
2018-02-16,09:33:00,96.57,96.58,96.42,96.465,5684.0
2018-02-16,09:34:00,96.451,96.63,96.451,96.605,3135.0
2018-02-16,09:35:00,96.61,96.77,96.61,96.77,2715.0
2018-02-16,09:36:00,96.78,96.9,96.75,96.83,7300.0
2018-02-16,09:37:00,96.85,96.95,96.81,96.94,5802.0
2018-02-16,09:38:00,96.86,96.8662,96.82,96.855,600.0
2018-02-16,09:39:00,96.89,96.98,96.89,96.98,1700.0
2018-02-16,09:40:00,96.96,97.03,96.94,97.03,5716.0
2018-02-16,09:41:00,97.01,97.01,96.85,96.95,2900.0
2018-02-16,09:42:00,96.95,96.97,96.77,96.8,7707.0
2018-02-16,09:43:00,96.79,96.9,96.79,96.88,693.0
2018-02-16,09:44:00,96.88,96.9,96.8,96.845,4400.0
2018-02-16,09:45:00,96.84,96.85,96.65,96.72,13332.0
2018-02-16,09:46:00,96.73,96.82,96.61,96.82,6101.0
2018-02-16,09:47:00,96.84,96.84,96.77,96.83,1321.0
2018-02-16,09:48:00,96.835,96.89,96.8,96.85,5200.0
2018-02-16,09:49:00,96.86,96.92,96.8,96.92,9260.0
2018-02-16,09:50:00,96.95,97.03,96.92,96.9833,1074.0
2018-02-16,09:51:00,96.9902,96.9902,96.86,96.96,1605.0
2018-02-16,09:52:00,97.02,97.02,96.94,97.015,7590.0
2018-02-16,09:53:00,97.04,97.08,96.99,97.065,8989.0
2018-02-16,09:54:00,97.06,97.08,97.005,97.06,1854.0
2018-02-16,09:55:00,97.04,97.06,97.015,97.03,2800.0
2018-02-16,09:56:00,97.045,97.11,97.01,97.03,3104.0
2018-02-16,09:57:00,97.0,97.02,96.98,97.02,4153.0
2018-02-16,09:58:00,96.99,97.005,96.97,96.98,1000.0
2018-02-16,09:59:00,96.98,96.99,96.89,96.91,5200.0
2018-02-16,10:00:00,96.91,96.94,96.91,96.91,4811.0
2018-02-16,10:01:00,96.94,96.95,96.845,96.91,6419.0
2018-02-16,10:02:00,96.9,96.96,96.89,96.96,2992.0
2018-02-16,10:03:00,96.931,97.01,96.931,97.01,6680.0
2018-02-16,10:04:00,97.02,97.04,96.99,96.99,3400.0
2018-02-16,10:05:00,97.0,97.06,97.0,97.02,2100.0
2018-02-16,10:06:00,97.02,97.02,96.91,96.9401,6550.0
2018-02-16,10:07:00,96.99,96.99,96.88,96.92,1752.0
2018-02-16,10:08:00,96.94,97.0,96.94,96.96,3845.0
2018-02-16,10:09:00,96.99,97.25,96.99,97.25,9502.0
2018-02-16,10:10:00,97.255,97.42,97.25,97.345,28100.0
2018-02-16,10:11:00,97.35,97.41,97.24,97.24,7600.0
2018-02-16,10:12:00,97.23,97.24,97.08,97.08,1500.0
2018-02-16,10:13:00,97.08,97.11,97.03,97.06,4199.0
2018-02-16,10:14:00,97.0899,97.0899,96.89,96.89,3800.0
2018-02-16,10:15:00,96.95,97.04,96.95,96.99,3706.0
2018-02-16,10:16:00,96.985,97.12,96.96,97.04,8199.0
2018-02-16,10:17:00,97.005,97.18,97.005,97.18,13532.0
2018-02-16,10:18:00,97.175,97.19,97.16,97.16,1889.0
2018-02-16,10:19:00,97.14,97.23,97.06,97.1,5400.0
2018-02-16,10:20:00,97.13,97.17,97.11,97.11,2475.0
2018-02-16,10:21:00,97.09,97.115,97.01,97.01,4358.0
2018-02-16,10:22:00,97.0525,97.08,97.02,97.04,3040.0
2018-02-16,10:23:00,97.04,97.1,97.04,97.075,3183.0
2018-02-16,10:24:00,97.06,97.06,96.97,97.005,4025.0
2018-02-16,10:25:00,96.96,97.05,96.94,96.9628,4166.0
2018-02-16,10:26:00,97.0,97.11,97.0,97.035,3448.0
2018-02-16,10:27:00,97.01,97.025,96.92,97.01,18300.0
2018-02-16,10:28:00,97.01,97.035,97.0,97.0062,2610.0
2018-02-16,10:29:00,97.01,97.04,97.0,97.0,1400.0
2018-02-16,10:30:00,97.03,97.04,97.0,97.02,5450.0
2018-02-16,10:31:00,97.03,97.07,96.98,97.005,4400.0
2018-02-16,10:32:00,97.02,97.03,96.94,96.98,13263.0
2018-02-16,10:33:00,97.0,97.02,96.97,96.99,12734.0
2018-02-16,10:34:00,97.0,97.0,96.95,96.95,5736.0
2018-02-16,10:35:00,96.96,97.0,96.95,96.97,8289.0
2018-02-16,10:36:00,96.99,97.05,96.98,96.98,6947.0
2018-02-16,10:37:00,96.9601,97.0,96.94,96.97,8413.0
2018-02-16,10:38:00,96.98,97.02,96.94,96.94,9109.0
2018-02-16,10:39:00,96.935,96.98,96.93,96.9481,1810.0
2018-02-16,10:40:00,96.94,96.94,96.82,96.82,2296.0
2018-02-16,10:41:00,96.85,96.88,96.8,96.82,7633.0
2018-02-16,10:42:00,96.8399,96.85,96.82,96.83,3132.0
2018-02-16,10:43:00,96.84,96.85,96.67,96.69,6961.0
2018-02-16,10:44:00,96.72,96.75,96.705,96.72,983.0
2018-02-16,10:45:00,96.705,96.73,96.7,96.71,1701.0
2018-02-16,10:46:00,96.68,96.68,96.6201,96.65,2415.0
2018-02-16,10:47:00,96.655,96.754,96.655,96.754,4300.0
2018-02-16,10:48:00,96.754,96.78,96.72,96.77,2218.0
2018-02-16,10:49:00,96.78,96.78,96.69,96.69,8968.0
2018-02-16,10:50:00,96.71,96.86,96.71,96.86,13340.0
2018-02-16,10:51:00,96.82,96.825,96.82,96.825,1100.0
2018-02-16,10:52:00,96.8214,96.8586,96.8,96.8281,9471.0
2018-02-16,10:53:00,96.83,96.83,96.76,96.76,7900.0
2018-02-16,10:54:00,96.78,96.795,96.77,96.78,700.0
2018-02-16,10:55:00,96.78,96.84,96.775,96.84,6395.0
2018-02-16,10:56:00,96.84,96.84,96.79,96.812,3459.0
2018-02-16,10:57:00,96.82,96.85,96.8,96.85,2116.0
2018-02-16,10:58:00,96.86,96.88,96.85,96.87,3618.0
2018-02-16,10:59:00,96.86,96.88,96.86,96.88,600.0
2018-02-16,11:00:00,96.85,96.86,96.76,96.796,12990.0
2018-02-16,11:01:00,96.8,96.867,96.8,96.84,4400.0
2018-02-16,11:02:00,96.84,96.9,96.84,96.88,2500.0
2018-02-16,11:03:00,96.86,96.86,96.85,96.86,400.0
2018-02-16,11:04:00,96.8534,96.87,96.82,96.86,6385.0
2018-02-16,11:05:00,96.87,96.96,96.86,96.92,7323.0
2018-02-16,11:06:00,96.93,96.9499,96.865,96.91,2180.0
2018-02-16,11:07:00,96.94,96.99,96.9238,96.965,1900.0
2018-02-16,11:08:00,96.96,96.99,96.95,96.965,1836.0
2018-02-16,11:09:00,96.97,97.01,96.97,97.0,2200.0
2018-02-16,11:10:00,97.02,97.08,97.02,97.07,2500.0
2018-02-16,11:11:00,97.05,97.15,97.05,97.15,4861.0
2018-02-16,11:12:00,97.13,97.165,97.11,97.14,3055.0
2018-02-16,11:13:00,97.13,97.16,97.13,97.15,1669.0
2018-02-16,11:14:00,97.14,97.145,97.11,97.11,2100.0
2018-02-16,11:15:00,97.095,97.185,97.095,97.16,3600.0
2018-02-16,11:16:00,97.155,97.155,97.1,97.1,2151.0
2018-02-16,11:17:00,97.125,97.125,97.08,97.0971,1023.0
2018-02-16,11:18:00,97.0988,97.1536,97.075,97.12,2750.0
2018-02-16,11:19:00,97.135,97.135,97.09,97.1,1348.0
2018-02-16,11:20:00,97.1,97.12,97.08,97.12,1500.0
2018-02-16,11:21:00,97.11,97.11,97.06,97.07,1800.0
2018-02-16,11:22:00,97.08,97.15,97.075,97.15,2860.0
2018-02-16,11:23:00,97.13,97.13,97.07,97.1,2760.0
2018-02-16,11:24:00,97.09,97.09,97.08,97.085,5300.0
2018-02-16,11:25:00,97.07,97.07,97.03,97.045,2300.0
2018-02-16,11:26:00,97.06,97.15,97.05,97.14,11600.0
2018-02-16,11:27:00,97.15,97.16,97.08,97.14,3600.0
2018-02-16,11:28:00,97.145,97.17,97.1104,97.15,5789.0
2018-02-16,11:29:00,97.12,97.15,97.11,97.13,600.0
2018-02-16,11:30:00,97.1,97.16,97.085,97.1,4773.0
2018-02-16,11:31:00,97.09,97.12,97.05,97.08,6259.0
2018-02-16,11:32:00,97.06,97.06,97.01,97.0399,2600.0
2018-02-16,11:33:00,97.0399,97.05,97.0,97.01,4046.0
2018-02-16,11:34:00,97.04,97.05,97.04,97.0401,900.0
2018-02-16,11:35:00,97.05,97.09,97.04,97.07,4285.0
2018-02-16,11:36:00,97.0,97.04,96.986,97.009,1250.0
2018-02-16,11:37:00,97.0001,97.0299,97.0001,97.02,2141.0
2018-02-16,11:38:00,97.04,97.05,97.023,97.0314,1421.0
2018-02-16,11:39:00,97.06,97.065,97.0378,97.05,1900.0
2018-02-16,11:40:00,97.04,97.08,97.04,97.08,1469.0
2018-02-16,11:41:00,97.095,97.12,97.095,97.12,1000.0
2018-02-16,11:42:00,97.14,97.17,97.13,97.17,3550.0
2018-02-16,11:43:00,97.16,97.21,97.16,97.17,3850.0
2018-02-16,11:44:00,97.17,97.18,97.16,97.18,700.0
2018-02-16,11:45:00,97.19,97.19,97.16,97.19,1300.0
2018-02-16,11:46:00,97.185,97.23,97.185,97.23,2200.0
2018-02-16,11:47:00,97.235,97.2499,97.2,97.2,600.0
2018-02-16,11:48:00,97.19,97.21,97.19,97.21,400.0
2018-02-16,11:49:00,97.22,97.22,97.21,97.21,400.0
2018-02-16,11:50:00,97.25,97.2604,97.23,97.24,1600.0
2018-02-16,11:51:00,97.27,97.3,97.26,97.26,3260.0
2018-02-16,11:52:00,97.26,97.32,97.26,97.28,4700.0
2018-02-16,11:53:00,97.28,97.31,97.28,97.3084,1250.0
2018-02-16,11:54:00,97.31,97.33,97.21,97.22,4600.0
2018-02-16,11:55:00,97.18,97.21,97.15,97.15,4900.0
2018-02-16,11:56:00,97.17,97.2,97.16,97.1806,9502.0
2018-02-16,11:57:00,97.17,97.19,97.12,97.17,6514.0
2018-02-16,11:58:00,97.18,97.19,97.1741,97.18,1290.0
2018-02-16,11:59:00,97.17,97.2,97.17,97.17,17804.0
2018-02-16,12:00:00,97.17,97.1925,97.16,97.16,6101.0
2018-02-16,12:01:00,97.15,97.1899,97.15,97.1899,600.0
2018-02-16,12:02:00,97.16,97.16,97.11,97.12,1900.0
2018-02-16,12:03:00,97.12,97.14,97.12,97.135,1359.0
2018-02-16,12:04:00,97.14,97.16,97.13,97.13,2410.0
2018-02-16,12:05:00,97.09,97.13,97.09,97.13,1600.0
2018-02-16,12:06:00,97.13,97.14,97.12,97.12,600.0
2018-02-16,12:07:00,97.13,97.17,97.13,97.17,2100.0
2018-02-16,12:08:00,97.16,97.16,97.09,97.13,3400.0
2018-02-16,12:09:00,97.13,97.15,97.13,97.14,600.0
2018-02-16,12:10:00,97.15,97.17,97.148,97.17,370.0
2018-02-16,12:11:00,97.17,97.2,97.155,97.2,4748.0
2018-02-16,12:12:00,97.19,97.19,97.175,97.18,1984.0
2018-02-16,12:13:00,97.19,97.21,97.17,97.185,1600.0
2018-02-16,12:14:00,97.18,97.18,97.18,97.18,100.0
2018-02-16,12:15:00,97.18,97.19,97.18,97.19,1100.0
2018-02-16,12:16:00,97.18,97.185,97.12,97.1245,2100.0
2018-02-16,12:17:00,97.15,97.2,97.13,97.17,9199.0
2018-02-16,12:18:00,97.16,97.18,97.16,97.16,5607.0
2018-02-16,12:19:00,97.18,97.19,97.16,97.175,4104.0
2018-02-16,12:20:00,97.17,97.19,97.15,97.17,3700.0
2018-02-16,12:21:00,97.17,97.18,97.16,97.1748,2300.0
2018-02-16,12:22:00,97.17,97.17,97.1501,97.1501,850.0
2018-02-16,12:23:00,97.1503,97.1503,97.1503,97.1503,100.0
2018-02-16,12:24:00,97.17,97.19,97.15,97.16,2800.0
2018-02-16,12:25:00,97.17,97.185,97.16,97.18,3875.0
2018-02-16,12:26:00,97.18,97.18,97.15,97.16,4948.0
2018-02-16,12:27:00,97.15,97.16,97.1293,97.16,2602.0
2018-02-16,12:28:00,97.155,97.175,97.155,97.175,1100.0
2018-02-16,12:29:00,97.175,97.2,97.175,97.19,3380.0
2018-02-16,12:30:00,97.19,97.23,97.1799,97.23,2818.0
2018-02-16,12:31:00,97.22,97.23,97.2,97.2,2700.0
2018-02-16,12:32:00,97.21,97.3,97.2,97.29,15515.0
2018-02-16,12:33:00,97.29,97.37,97.29,97.33,7215.0
2018-02-16,12:34:00,97.34,97.42,97.33,97.4,6697.0
2018-02-16,12:35:00,97.4,97.4,97.36,97.395,3150.0
2018-02-16,12:36:00,97.38,97.41,97.37,97.41,2553.0
2018-02-16,12:37:00,97.405,97.4899,97.39,97.48,4962.0
2018-02-16,12:38:00,97.49,97.49,97.46,97.47,4758.0
2018-02-16,12:39:00,97.46,97.48,97.43,97.45,5925.0
2018-02-16,12:40:00,97.45,97.46,97.44,97.45,5333.0
2018-02-16,12:41:00,97.44,97.44,97.4,97.4,2388.0
2018-02-16,12:42:00,97.42,97.44,97.42,97.44,1400.0
2018-02-16,12:43:00,97.44,97.44,97.42,97.42,2800.0
2018-02-16,12:44:00,97.39,97.39,97.33,97.34,2000.0
2018-02-16,12:45:00,97.34,97.35,97.31,97.31,8996.0
2018-02-16,12:46:00,97.31,97.34,97.3,97.33,13000.0
2018-02-16,12:47:00,97.34,97.34,97.275,97.285,2900.0
2018-02-16,12:48:00,97.285,97.285,97.23,97.27,3500.0
2018-02-16,12:49:00,97.28,97.3,97.22,97.23,4130.0
2018-02-16,12:50:00,97.23,97.23,97.13,97.15,2099.0
2018-02-16,12:51:00,97.19,97.19,97.1501,97.17,4960.0
2018-02-16,12:52:00,97.15,97.15,97.0401,97.0401,3411.0
