date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,33.61,33.62,33.61,33.61,2600.0
2018-02-16,09:31:00,33.63,33.66,33.63,33.66,8300.0
2018-02-16,09:32:00,33.66,33.67,33.66,33.66,2053.0
2018-02-16,09:33:00,33.67,33.71,33.67,33.7,55735.0
2018-02-16,09:34:00,33.705,33.72,33.7,33.72,22224.0
2018-02-16,09:35:00,33.72,33.75,33.71,33.73,36106.0
2018-02-16,09:36:00,33.73,33.74,33.72,33.73,30743.0
2018-02-16,09:37:00,33.72,33.76,33.72,33.74,38256.0
2018-02-16,09:38:00,33.75,33.77,33.75,33.77,30087.0
2018-02-16,09:39:00,33.765,33.8,33.765,33.8,11692.0
2018-02-16,09:40:00,33.81,33.83,33.8,33.8,17760.0
2018-02-16,09:41:00,33.8,33.81,33.79,33.81,12850.0
2018-02-16,09:42:00,33.8,33.815,33.8,33.805,15381.0
2018-02-16,09:43:00,33.81,33.83,33.81,33.825,17256.0
2018-02-16,09:44:00,33.825,33.86,33.825,33.86,33067.0
2018-02-16,09:45:00,33.85,33.85,33.79,33.81,43255.0
2018-02-16,09:46:00,33.81,33.83,33.78,33.83,21547.0
2018-02-16,09:47:00,33.83,33.86,33.825,33.8455,24837.0
2018-02-16,09:48:00,33.84,33.84,33.8,33.82,25503.0
2018-02-16,09:49:00,33.829,33.85,33.825,33.835,9980.0
2018-02-16,09:50:00,33.8455,33.86,33.84,33.85,27049.0
2018-02-16,09:51:00,33.855,33.855,33.83,33.85,17639.0
2018-02-16,09:52:00,33.85,33.86,33.85,33.86,8356.0
2018-02-16,09:53:00,33.86,33.865,33.85,33.865,11645.0
2018-02-16,09:54:00,33.86,33.87,33.85,33.87,8517.0
2018-02-16,09:55:00,33.87,33.87,33.86,33.87,6442.0
2018-02-16,09:56:00,33.87,33.88,33.85,33.86,6063.0
2018-02-16,09:57:00,33.86,33.87,33.855,33.86,6168.0
2018-02-16,09:58:00,33.865,33.865,33.835,33.835,12266.0
2018-02-16,09:59:00,33.839,33.839,33.81,33.81,6151.0
2018-02-16,10:00:00,33.81,33.81,33.79,33.79,4561.0
2018-02-16,10:01:00,33.8,33.81,33.78,33.78,5000.0
2018-02-16,10:02:00,33.7872,33.79,33.77,33.79,28101.0
2018-02-16,10:03:00,33.79,33.82,33.79,33.79,10495.0
2018-02-16,10:04:00,33.8,33.81,33.78,33.78,23937.0
2018-02-16,10:05:00,33.77,33.7768,33.77,33.7768,367.0
2018-02-16,10:06:00,33.77,33.77,33.754,33.754,3229.0
2018-02-16,10:07:00,33.76,33.77,33.755,33.77,13659.0
2018-02-16,10:08:00,33.76,33.76,33.7492,33.75,10835.0
2018-02-16,10:09:00,33.75,33.7533,33.73,33.74,18823.0
2018-02-16,10:10:00,33.74,33.77,33.74,33.77,8358.0
2018-02-16,10:11:00,33.76,33.76,33.75,33.75,7250.0
2018-02-16,10:12:00,33.75,33.77,33.75,33.765,1516.0
2018-02-16,10:13:00,33.76,33.76,33.7399,33.75,7523.0
2018-02-16,10:14:00,33.75,33.76,33.74,33.74,11605.0
2018-02-16,10:15:00,33.75,33.765,33.745,33.765,1963.0
2018-02-16,10:16:00,33.76,33.79,33.76,33.785,6223.0
2018-02-16,10:17:00,33.78,33.8,33.78,33.8,3430.0
2018-02-16,10:18:00,33.795,33.805,33.795,33.8,14538.0
2018-02-16,10:19:00,33.8,33.8,33.77,33.79,15321.0
2018-02-16,10:20:00,33.79,33.795,33.7862,33.79,2360.0
2018-02-16,10:21:00,33.795,33.82,33.795,33.82,15701.0
2018-02-16,10:22:00,33.82,33.85,33.82,33.85,10181.0
2018-02-16,10:23:00,33.85,33.87,33.85,33.87,9520.0
2018-02-16,10:24:00,33.87,33.871,33.8338,33.84,20824.0
2018-02-16,10:25:00,33.84,33.88,33.835,33.88,40997.0
2018-02-16,10:26:00,33.8897,33.905,33.8897,33.9,10882.0
2018-02-16,10:27:00,33.9,33.9,33.89,33.9,4500.0
2018-02-16,10:28:00,33.9,33.905,33.89,33.9,23100.0
2018-02-16,10:29:00,33.9,33.93,33.9,33.9233,7304.0
2018-02-16,10:30:00,33.925,33.96,33.92,33.94,13640.0
2018-02-16,10:31:00,33.939,33.965,33.939,33.965,12607.0
2018-02-16,10:32:00,33.96,33.97,33.95,33.96,8407.0
2018-02-16,10:33:00,33.96,33.965,33.95,33.955,6927.0
2018-02-16,10:34:00,33.955,33.96,33.95,33.955,2424.0
2018-02-16,10:35:00,33.955,33.96,33.92,33.925,15215.0
2018-02-16,10:36:00,33.925,33.93,33.92,33.93,14232.0
2018-02-16,10:37:00,33.92,33.925,33.89,33.9,4500.0
2018-02-16,10:38:00,33.905,33.92,33.9,33.9,9979.0
2018-02-16,10:39:00,33.9,33.91,33.8938,33.905,3622.0
2018-02-16,10:40:00,33.9062,33.9062,33.87,33.87,8434.0
2018-02-16,10:41:00,33.875,33.885,33.875,33.88,6300.0
2018-02-16,10:42:00,33.885,33.885,33.88,33.885,4878.0
2018-02-16,10:43:00,33.89,33.89,33.875,33.875,6177.0
2018-02-16,10:44:00,33.88,33.88,33.855,33.855,7500.0
2018-02-16,10:45:00,33.855,33.86,33.85,33.86,600.0
2018-02-16,10:46:00,33.85,33.8567,33.845,33.845,3415.0
2018-02-16,10:47:00,33.845,33.875,33.845,33.874,6791.0
2018-02-16,10:48:00,33.875,33.885,33.875,33.885,1475.0
2018-02-16,10:49:00,33.89,33.89,33.86,33.86,5820.0
2018-02-16,10:50:00,33.86,33.88,33.86,33.88,4689.0
2018-02-16,10:51:00,33.8765,33.88,33.875,33.88,1520.0
2018-02-16,10:52:00,33.885,33.89,33.88,33.89,4418.0
2018-02-16,10:53:00,33.88,33.89,33.88,33.89,1100.0
2018-02-16,10:54:00,33.89,33.91,33.89,33.9038,3515.0
2018-02-16,10:55:00,33.9052,33.915,33.9,33.91,3199.0
2018-02-16,10:56:00,33.915,33.92,33.898,33.898,7015.0
2018-02-16,10:57:00,33.89,33.895,33.89,33.89,1779.0
2018-02-16,10:58:00,33.885,33.885,33.86,33.86,20220.0
2018-02-16,10:59:00,33.86,33.885,33.86,33.88,5826.0
2018-02-16,11:00:00,33.88,33.88,33.85,33.8551,5844.0
2018-02-16,11:01:00,33.86,33.86,33.8531,33.86,1843.0
2018-02-16,11:02:00,33.87,33.885,33.865,33.87,8252.0
2018-02-16,11:03:00,33.87,33.87,33.87,33.87,1705.0
2018-02-16,11:04:00,33.87,33.87,33.86,33.86,5035.0
2018-02-16,11:05:00,33.86,33.875,33.86,33.86,9300.0
2018-02-16,11:06:00,33.87,33.87,33.855,33.87,3778.0
2018-02-16,11:07:00,33.87,33.875,33.865,33.865,2352.0
2018-02-16,11:08:00,33.865,33.8751,33.86,33.875,2496.0
