date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,186.75,186.75,186.75,186.75,3600.0
2018-02-16,09:31:00,186.5,186.69,185.611,186.2,203462.0
2018-02-16,09:32:00,186.2,186.72,186.1647,186.51,58349.0
2018-02-16,09:33:00,186.545,186.93,186.52,186.9,86808.0
2018-02-16,09:34:00,186.865,187.2,186.82,187.02,98232.0
2018-02-16,09:35:00,186.99,187.2,186.84,187.145,72059.0
2018-02-16,09:36:00,187.11,187.25,186.828,187.0495,65258.0
2018-02-16,09:37:00,187.08,187.4861,187.025,187.4861,95702.0
2018-02-16,09:38:00,187.45,187.54,187.33,187.438,69126.0
2018-02-16,09:39:00,187.4,187.92,187.4,187.87,72829.0
2018-02-16,09:40:00,187.89,188.25,187.846,188.09,89251.0
2018-02-16,09:41:00,188.05,188.27,187.92,188.1516,75816.0
2018-02-16,09:42:00,188.17,188.2,187.66,187.8,63413.0
2018-02-16,09:43:00,187.8,187.8565,187.29,187.4,89832.0
2018-02-16,09:44:00,187.38,187.49,187.0701,187.155,39674.0
2018-02-16,09:45:00,187.11,187.27,187.0,187.09,59200.0
2018-02-16,09:46:00,187.1,187.42,187.0,187.42,58302.0
2018-02-16,09:47:00,187.44,187.4634,187.01,187.01,38007.0
2018-02-16,09:48:00,187.025,187.05,186.78,186.841,70850.0
2018-02-16,09:49:00,186.84,187.0799,186.71,186.9,50024.0
2018-02-16,09:50:00,186.94,187.35,186.905,187.26,45946.0
2018-02-16,09:51:00,187.24,187.3,187.051,187.2604,39457.0
2018-02-16,09:52:00,187.3,187.3,186.9,187.0,33217.0
2018-02-16,09:53:00,186.9995,187.12,186.57,186.65,41340.0
2018-02-16,09:54:00,186.6433,186.84,186.61,186.805,32289.0
2018-02-16,09:55:00,186.8251,186.9099,186.511,186.59,48729.0
2018-02-16,09:56:00,186.5993,186.84,186.55,186.78,32295.0
2018-02-16,09:57:00,186.78,186.89,186.62,186.7,17313.0
2018-02-16,09:58:00,186.74,186.83,186.6725,186.71,27764.0
2018-02-16,09:59:00,186.74,186.86,186.35,186.35,47809.0
2018-02-16,10:00:00,186.37,186.64,186.03,186.08,75039.0
2018-02-16,10:01:00,186.07,186.2617,185.9301,185.98,71527.0
2018-02-16,10:02:00,185.98,186.15,185.81,185.86,62332.0
2018-02-16,10:03:00,185.8492,185.91,185.65,185.66,75971.0
2018-02-16,10:04:00,185.66,185.75,185.31,185.38,69308.0
2018-02-16,10:05:00,185.41,185.63,185.36,185.4195,57105.0
2018-02-16,10:06:00,185.4,185.47,185.31,185.36,27838.0
2018-02-16,10:07:00,185.3401,185.365,185.06,185.105,57873.0
2018-02-16,10:08:00,185.1586,185.45,185.04,185.4204,99217.0
2018-02-16,10:09:00,185.39,185.87,185.32,185.87,122455.0
2018-02-16,10:10:00,185.89,186.13,185.74,186.1148,72012.0
2018-02-16,10:11:00,186.12,186.34,186.1,186.285,42278.0
2018-02-16,10:12:00,186.34,186.44,185.93,186.045,50314.0
2018-02-16,10:13:00,186.045,186.0556,185.63,185.8252,57071.0
2018-02-16,10:14:00,185.8471,185.92,185.6,185.6,41117.0
2018-02-16,10:15:00,185.565,185.98,185.565,185.87,57568.0
2018-02-16,10:16:00,185.89,186.18,185.84,186.1299,41951.0
2018-02-16,10:17:00,186.095,186.4172,186.095,186.3999,53372.0
2018-02-16,10:18:00,186.31,186.59,186.12,186.57,50052.0
2018-02-16,10:19:00,186.565,186.7257,186.41,186.61,43890.0
2018-02-16,10:20:00,186.63,186.65,186.391,186.43,35598.0
2018-02-16,10:21:00,186.4,186.635,186.39,186.63,23843.0
2018-02-16,10:22:00,186.62,186.81,186.5801,186.712,47111.0
2018-02-16,10:23:00,186.77,186.87,186.69,186.7916,54086.0
2018-02-16,10:24:00,186.78,186.87,186.75,186.8,37601.0
2018-02-16,10:25:00,186.8,187.06,186.8,187.03,46856.0
2018-02-16,10:26:00,187.01,187.33,187.01,187.1555,61256.0
2018-02-16,10:27:00,187.15,187.16,186.79,186.83,20051.0
2018-02-16,10:28:00,186.84,187.07,186.83,186.922,15116.0
2018-02-16,10:29:00,186.98,187.1,186.921,187.04,14870.0
2018-02-16,10:30:00,187.06,187.06,186.92,187.0,15437.0
2018-02-16,10:31:00,186.98,186.98,186.8001,186.9062,17754.0
2018-02-16,10:32:00,186.88,186.9,186.606,186.73,26962.0
2018-02-16,10:33:00,186.7456,186.82,186.6,186.76,13850.0
2018-02-16,10:34:00,186.74,186.78,186.5,186.51,20892.0
2018-02-16,10:35:00,186.53,186.54,186.3542,186.4598,27221.0
2018-02-16,10:36:00,186.4802,186.66,186.43,186.586,11495.0
2018-02-16,10:37:00,186.52,186.58,186.38,186.38,21429.0
2018-02-16,10:38:00,186.3818,186.4211,186.17,186.2,20748.0
2018-02-16,10:39:00,186.21,186.28,186.151,186.2534,18190.0
2018-02-16,10:40:00,186.25,186.29,186.15,186.15,18842.0
2018-02-16,10:41:00,186.15,186.2095,185.85,185.8501,30624.0
2018-02-16,10:42:00,185.85,185.89,185.74,185.879,48070.0
2018-02-16,10:43:00,185.88,186.1,185.84,185.906,23889.0
2018-02-16,10:44:00,185.939,185.94,185.85,185.89,13689.0
2018-02-16,10:45:00,185.84,185.8728,185.64,185.76,33553.0
2018-02-16,10:46:00,185.7,185.72,185.55,185.57,23508.0
2018-02-16,10:47:00,185.57,185.8489,185.55,185.805,39395.0
2018-02-16,10:48:00,185.805,185.98,185.79,185.98,36568.0
2018-02-16,10:49:00,185.9954,186.08,185.9108,185.97,30962.0
2018-02-16,10:50:00,185.96,186.0928,185.95,186.04,21327.0
2018-02-16,10:51:00,186.07,186.09,186.0,186.07,11775.0
2018-02-16,10:52:00,186.09,186.12,185.76,185.78,27562.0
2018-02-16,10:53:00,185.8,185.88,185.7,185.87,11579.0
2018-02-16,10:54:00,185.89,185.97,185.83,185.9,11319.0
2018-02-16,10:55:00,185.89,186.02,185.79,185.8,17972.0
2018-02-16,10:56:00,185.8202,185.8202,185.57,185.7,19750.0
2018-02-16,10:57:00,185.6936,185.815,185.67,185.7234,10823.0
2018-02-16,10:58:00,185.7444,185.77,185.66,185.73,8840.0
2018-02-16,10:59:00,185.68,185.8,185.67,185.79,12700.0
2018-02-16,11:00:00,185.8139,185.8139,185.52,185.598,38674.0
2018-02-16,11:01:00,185.61,185.75,185.58,185.7399,11425.0
2018-02-16,11:02:00,185.72,185.83,185.68,185.75,9276.0
2018-02-16,11:03:00,185.792,185.792,185.516,185.57,13528.0
2018-02-16,11:04:00,185.565,185.5705,185.31,185.3508,51850.0
2018-02-16,11:05:00,185.38,185.59,185.28,185.41,26049.0
2018-02-16,11:06:00,185.4052,185.6772,185.4052,185.63,22689.0
2018-02-16,11:07:00,185.67,185.76,185.63,185.7,21789.0
2018-02-16,11:08:00,185.65,185.73,185.61,185.61,8804.0
2018-02-16,11:09:00,185.6328,185.75,185.59,185.7272,9342.0
2018-02-16,11:10:00,185.75,185.85,185.7,185.8145,22622.0
2018-02-16,11:11:00,185.78,185.89,185.7046,185.88,14264.0
2018-02-16,11:12:00,185.9,186.0548,185.9,186.0355,36158.0
2018-02-16,11:13:00,186.049,186.2,185.931,186.2,25935.0
2018-02-16,11:14:00,186.24,186.25,186.06,186.0997,26906.0
2018-02-16,11:15:00,186.11,186.24,186.1,186.19,26947.0
2018-02-16,11:16:00,186.23,186.23,186.0,186.03,21908.0
2018-02-16,11:17:00,186.08,186.19,186.03,186.12,27359.0
2018-02-16,11:18:00,186.107,186.334,186.07,186.3,30029.0
2018-02-16,11:19:00,186.3188,186.37,186.1198,186.16,19011.0
2018-02-16,11:20:00,186.1337,186.26,186.076,186.18,21946.0
2018-02-16,11:21:00,186.2,186.24,186.16,186.21,8845.0
2018-02-16,11:22:00,186.175,186.31,186.0966,186.23,21339.0
2018-02-16,11:23:00,186.19,186.21,186.11,186.2001,6756.0
2018-02-16,11:24:00,186.2,186.2715,186.2,186.263,13232.0
2018-02-16,11:25:00,186.25,186.26,186.12,186.25,7779.0
2018-02-16,11:26:00,186.2527,186.47,186.2527,186.45,33829.0
2018-02-16,11:27:00,186.47,186.58,186.4,186.51,28899.0
2018-02-16,11:28:00,186.5,186.53,186.43,186.51,13860.0
2018-02-16,11:29:00,186.48,186.54,186.39,186.5,17085.0
2018-02-16,11:30:00,186.47,186.53,186.43,186.43,19490.0
2018-02-16,11:31:00,186.4305,186.57,186.41,186.5002,27546.0
2018-02-16,11:32:00,186.52,186.52,186.17,186.2863,27204.0
2018-02-16,11:33:00,186.25,186.33,186.21,186.25,10630.0
2018-02-16,11:34:00,186.2802,186.3099,186.1446,186.2,12216.0
2018-02-16,11:35:00,186.16,186.1899,186.02,186.08,23073.0
2018-02-16,11:36:00,186.0707,186.1684,185.88,186.16,22763.0
2018-02-16,11:37:00,186.16,186.24,186.15,186.21,8785.0
2018-02-16,11:38:00,186.21,186.22,186.11,186.15,9231.0
2018-02-16,11:39:00,186.14,186.1602,186.1101,186.1556,3950.0
2018-02-16,11:40:00,186.14,186.3,186.14,186.25,18082.0
2018-02-16,11:41:00,186.25,186.35,186.24,186.24,11982.0
2018-02-16,11:42:00,186.26,186.33,186.22,186.32,29300.0
2018-02-16,11:43:00,186.32,186.3689,186.3,186.33,12453.0
2018-02-16,11:44:00,186.3,186.41,186.29,186.31,14377.0
2018-02-16,11:45:00,186.3,186.33,186.2,186.25,12585.0
2018-02-16,11:46:00,186.241,186.31,186.24,186.2619,4251.0
2018-02-16,11:47:00,186.28,186.3,186.12,186.15,7665.0
2018-02-16,11:48:00,186.13,186.339,186.0701,186.24,12796.0
2018-02-16,11:49:00,186.23,186.4309,186.215,186.3595,18262.0
2018-02-16,11:50:00,186.34,186.584,186.3241,186.584,21205.0
2018-02-16,11:51:00,186.59,186.7335,186.58,186.68,27497.0
2018-02-16,11:52:00,186.73,186.81,186.7,186.75,25386.0
2018-02-16,11:53:00,186.76,186.99,186.75,186.9264,33393.0
2018-02-16,11:54:00,186.96,186.99,186.73,186.73,21413.0
2018-02-16,11:55:00,186.745,186.8789,186.65,186.864,23708.0
2018-02-16,11:56:00,186.833,187.0,186.833,187.0,22763.0
2018-02-16,11:57:00,186.97,187.13,186.97,187.11,29870.0
2018-02-16,11:58:00,187.1056,187.2,187.05,187.05,28437.0
2018-02-16,11:59:00,187.0452,187.1,186.92,186.99,14230.0
2018-02-16,12:00:00,186.9592,187.06,186.9,186.9351,10837.0
2018-02-16,12:01:00,186.94,187.05,186.93,187.049,5377.0
2018-02-16,12:02:00,187.0,187.001,186.64,186.77,30871.0
2018-02-16,12:03:00,186.7701,186.78,186.72,186.72,8151.0
2018-02-16,12:04:00,186.71,186.76,186.62,186.73,12183.0
2018-02-16,12:05:00,186.74,186.74,186.59,186.69,10593.0
2018-02-16,12:06:00,186.6769,186.816,186.6769,186.816,6492.0
2018-02-16,12:07:00,186.79,186.83,186.74,186.83,8136.0
2018-02-16,12:08:00,186.87,186.87,186.54,186.66,16159.0
2018-02-16,12:09:00,186.67,186.67,186.546,186.6248,8945.0
2018-02-16,12:10:00,186.6,186.67,186.565,186.57,6685.0
2018-02-16,12:11:00,186.576,186.78,186.576,186.77,7331.0
2018-02-16,12:12:00,186.77,186.81,186.6559,186.76,10242.0
2018-02-16,12:13:00,186.7346,186.76,186.53,186.545,14281.0
2018-02-16,12:14:00,186.5328,186.74,186.51,186.705,19611.0
2018-02-16,12:15:00,186.705,186.705,186.595,186.595,7507.0
2018-02-16,12:16:00,186.57,186.6,186.5297,186.55,5840.0
2018-02-16,12:17:00,186.59,186.7,186.57,186.6998,12385.0
2018-02-16,12:18:00,186.68,186.74,186.62,186.62,8597.0
2018-02-16,12:19:00,186.645,186.7,186.55,186.7,10470.0
2018-02-16,12:20:00,186.7,186.71,186.6,186.68,10543.0
2018-02-16,12:21:00,186.6,186.6045,186.4507,186.48,10281.0
2018-02-16,12:22:00,186.46,186.4711,186.31,186.4294,17769.0
2018-02-16,12:23:00,186.435,186.435,186.3,186.3,6682.0
2018-02-16,12:24:00,186.305,186.4436,186.21,186.25,13664.0
2018-02-16,12:25:00,186.3,186.375,186.271,186.2956,5608.0
2018-02-16,12:26:00,186.3114,186.3899,186.28,186.31,10210.0
2018-02-16,12:27:00,186.28,186.3299,186.27,186.29,9269.0
