date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,32.0,32.03,32.0,32.02,8122.0
2018-02-16,09:31:00,32.03,32.09,31.92,32.05,3041140.0
2018-02-16,09:32:00,32.0561,32.13,32.05,32.125,325951.0
2018-02-16,09:33:00,32.12,32.13,32.025,32.07,268201.0
2018-02-16,09:34:00,32.07,32.1015,32.04,32.04,284364.0
2018-02-16,09:35:00,32.03,32.13,32.02,32.12,242175.0
2018-02-16,09:36:00,32.12,32.14,32.095,32.135,323920.0
2018-02-16,09:37:00,32.14,32.2,32.11,32.19,315972.0
2018-02-16,09:38:00,32.18,32.19,32.17,32.175,148500.0
2018-02-16,09:39:00,32.18,32.2,32.17,32.19,232921.0
2018-02-16,09:40:00,32.175,32.1862,32.145,32.15,135500.0
2018-02-16,09:41:00,32.15,32.16,32.11,32.13,158659.0
2018-02-16,09:42:00,32.125,32.13,32.09,32.095,111849.0
2018-02-16,09:43:00,32.09,32.13,32.09,32.125,151068.0
2018-02-16,09:44:00,32.12,32.14,32.09,32.1,252661.0
2018-02-16,09:45:00,32.1,32.1,32.05,32.07,197745.0
2018-02-16,09:46:00,32.07,32.09,32.03,32.09,256468.0
2018-02-16,09:47:00,32.09,32.1,32.06,32.075,99161.0
2018-02-16,09:48:00,32.0752,32.08,32.05,32.07,155461.0
2018-02-16,09:49:00,32.071,32.0901,32.06,32.0816,88384.0
2018-02-16,09:50:00,32.089,32.115,32.085,32.11,122500.0
2018-02-16,09:51:00,32.115,32.13,32.075,32.13,139002.0
2018-02-16,09:52:00,32.1274,32.139,32.12,32.135,87065.0
2018-02-16,09:53:00,32.14,32.14,32.1,32.13,187312.0
2018-02-16,09:54:00,32.13,32.13,32.09,32.12,114513.0
2018-02-16,09:55:00,32.115,32.1262,32.09,32.12,57606.0
2018-02-16,09:56:00,32.12,32.13,32.1,32.11,120662.0
2018-02-16,09:57:00,32.1,32.12,32.09,32.11,144230.0
2018-02-16,09:58:00,32.115,32.12,32.1,32.115,44259.0
2018-02-16,09:59:00,32.11,32.115,32.07,32.07,149308.0
2018-02-16,10:00:00,32.07,32.09,32.065,32.075,87050.0
2018-02-16,10:01:00,32.08,32.085,32.05,32.05,182398.0
2018-02-16,10:02:00,32.05,32.06,32.04,32.05,183442.0
2018-02-16,10:03:00,32.05,32.08,32.04,32.04,227789.0
2018-02-16,10:04:00,32.04,32.06,32.02,32.03,107053.0
2018-02-16,10:05:00,32.0303,32.05,32.03,32.035,75487.0
2018-02-16,10:06:00,32.04,32.04,32.0,32.006,315265.0
2018-02-16,10:07:00,32.005,32.01,31.97,31.98,241782.0
2018-02-16,10:08:00,31.98,32.0,31.98,31.989,158841.0
2018-02-16,10:09:00,31.985,32.03,31.97,32.03,250708.0
2018-02-16,10:10:00,32.026,32.06,32.02,32.0493,164985.0
2018-02-16,10:11:00,32.0499,32.067,32.04,32.045,158740.0
2018-02-16,10:12:00,32.05,32.0502,32.015,32.02,136860.0
2018-02-16,10:13:00,32.02,32.04,32.005,32.04,102634.0
2018-02-16,10:14:00,32.03,32.039,32.0,32.01,89221.0
2018-02-16,10:15:00,32.0056,32.03,32.0056,32.02,171285.0
2018-02-16,10:16:00,32.02,32.06,32.02,32.045,106410.0
2018-02-16,10:17:00,32.04,32.08,32.04,32.07,180598.0
2018-02-16,10:18:00,32.07,32.105,32.07,32.095,198193.0
2018-02-16,10:19:00,32.09,32.11,32.07,32.09,126313.0
2018-02-16,10:20:00,32.09,32.1,32.0601,32.0601,63644.0
2018-02-16,10:21:00,32.0686,32.09,32.06,32.08,91656.0
2018-02-16,10:22:00,32.09,32.1,32.08,32.0864,53207.0
2018-02-16,10:23:00,32.081,32.089,32.07,32.07,178370.0
2018-02-16,10:24:00,32.075,32.08,32.04,32.0408,209841.0
2018-02-16,10:25:00,32.04,32.07,32.04,32.05,76706.0
2018-02-16,10:26:00,32.055,32.09,32.055,32.075,160993.0
2018-02-16,10:27:00,32.079,32.079,32.03,32.0362,151624.0
2018-02-16,10:28:00,32.04,32.049,32.02,32.0201,272566.0
