date,ToD,open,high,low,close,volume
2018-02-16,09:31:00,11.85,11.85,11.85,11.85,900.0
2018-02-16,09:32:00,11.85,11.87,11.85,11.86,61207.0
2018-02-16,09:33:00,11.865,11.865,11.84,11.84,3162.0
2018-02-16,09:34:00,11.85,11.86,11.84,11.84,21743.0
2018-02-16,09:35:00,11.845,11.865,11.845,11.86,8000.0
2018-02-16,09:36:00,11.865,11.87,11.85,11.85,21607.0
2018-02-16,09:37:00,11.86,11.865,11.85,11.86,15969.0
2018-02-16,09:38:00,11.86,11.88,11.86,11.87,21933.0
2018-02-16,09:39:00,11.87,11.885,11.87,11.88,12388.0
2018-02-16,09:40:00,11.885,11.895,11.88,11.885,10941.0
2018-02-16,09:41:00,11.88,11.885,11.88,11.885,5001.0
2018-02-16,09:42:00,11.88,11.88,11.86,11.86,4939.0
2018-02-16,09:44:00,11.86,11.86,11.84,11.84,10691.0
2018-02-16,09:45:00,11.835,11.84,11.81,11.82,13698.0
2018-02-16,09:46:00,11.82,11.835,11.82,11.83,19170.0
2018-02-16,09:47:00,11.84,11.845,11.835,11.84,8914.0
2018-02-16,09:48:00,11.84,11.85,11.84,11.85,7972.0
2018-02-16,09:49:00,11.86,11.88,11.86,11.87,29266.0
2018-02-16,09:50:00,11.88,11.89,11.88,11.89,8318.0
2018-02-16,09:51:00,11.88,11.895,11.88,11.895,2600.0
2018-02-16,09:52:00,11.89,11.89,11.88,11.885,6307.0
2018-02-16,09:53:00,11.89,11.89,11.88,11.89,2700.0
2018-02-16,09:54:00,11.88,11.88,11.87,11.88,33870.0
2018-02-16,09:55:00,11.88,11.88,11.85,11.855,15620.0
2018-02-16,09:56:00,11.86,11.86,11.85,11.85,5000.0
2018-02-16,09:57:00,11.85,11.85,11.85,11.85,1168.0
2018-02-16,09:58:00,11.85,11.85,11.85,11.85,2028.0
2018-02-16,09:59:00,11.845,11.845,11.83,11.83,5519.0
2018-02-16,10:00:00,11.83,11.83,11.83,11.83,2816.0
2018-02-16,10:01:00,11.83,11.835,11.82,11.82,9913.0
2018-02-16,10:02:00,11.8261,11.8261,11.81,11.81,11780.0
2018-02-16,10:03:00,11.81,11.815,11.81,11.815,2884.0
2018-02-16,10:04:00,11.82,11.83,11.82,11.82,4900.0
2018-02-16,10:05:00,11.82,11.82,11.815,11.815,3100.0
2018-02-16,10:06:00,11.8138,11.82,11.8138,11.82,2690.0
2018-02-16,10:07:00,11.82,11.82,11.82,11.82,1200.0
2018-02-16,10:08:00,11.82,11.82,11.82,11.82,5920.0
2018-02-16,10:09:00,11.82,11.835,11.82,11.835,2100.0
2018-02-16,10:10:00,11.835,11.845,11.835,11.84,7141.0
2018-02-16,10:11:00,11.845,11.845,11.84,11.84,12545.0
2018-02-16,10:12:00,11.84,11.84,11.83,11.83,4100.0
2018-02-16,10:13:00,11.83,11.83,11.83,11.83,3500.0
2018-02-16,10:14:00,11.83,11.83,11.82,11.82,3000.0
2018-02-16,10:15:00,11.825,11.84,11.825,11.84,5700.0
2018-02-16,10:16:00,11.84,11.85,11.84,11.85,11176.0
2018-02-16,10:17:00,11.86,11.865,11.855,11.865,11953.0
2018-02-16,10:18:00,11.87,11.88,11.865,11.87,35222.0
2018-02-16,10:19:00,11.87,11.875,11.87,11.875,8749.0
2018-02-16,10:20:00,11.87,11.88,11.87,11.87,24700.0
2018-02-16,10:21:00,11.86,11.8608,11.86,11.8608,4000.0
2018-02-16,10:22:00,11.86,11.875,11.86,11.875,13948.0
2018-02-16,10:23:00,11.87,11.87,11.87,11.87,1400.0
2018-02-16,10:24:00,11.87,11.87,11.87,11.87,300.0
2018-02-16,10:25:00,11.88,11.8899,11.88,11.88,12706.0
2018-02-16,10:26:00,11.885,11.9,11.885,11.89,10202.0
2018-02-16,10:27:00,11.89,11.9,11.88,11.9,18200.0
2018-02-16,10:28:00,11.9,11.9,11.895,11.9,9900.0
2018-02-16,10:29:00,11.9,11.905,11.9,11.9,9890.0
2018-02-16,10:30:00,11.9,11.9,11.895,11.9,7120.0
2018-02-16,10:31:00,11.9,11.92,11.9,11.92,2900.0
2018-02-16,10:32:00,11.92,11.925,11.92,11.9201,11307.0
2018-02-16,10:33:00,11.925,11.93,11.925,11.93,12973.0
2018-02-16,10:34:00,11.92,11.92,11.92,11.92,3700.0
2018-02-16,10:35:00,11.91,11.91,11.91,11.91,4200.0
2018-02-16,10:36:00,11.91,11.915,11.9,11.9,4812.0
2018-02-16,10:37:00,11.9,11.91,11.9,11.91,6611.0
