date,ToD,open,high,low,close,volume
2018-02-16,09:31:00,73.27,73.33,73.18,73.19,73216.0
2018-02-16,09:32:00,73.2,73.21,72.94,72.95,5614.0
2018-02-16,09:33:00,72.95,73.17,72.92,73.13,8400.0
2018-02-16,09:34:00,73.16,73.26,73.12,73.26,14239.0
2018-02-16,09:35:00,73.26,73.36,73.19,73.27,11920.0
2018-02-16,09:36:00,73.28,73.3,73.15,73.15,4555.0
2018-02-16,09:37:00,73.11,73.11,72.97,73.03,9242.0
2018-02-16,09:38:00,73.03,73.2,73.03,73.2,2950.0
2018-02-16,09:39:00,73.24,73.29,73.23,73.25,4699.0
2018-02-16,09:40:00,73.255,73.41,73.23,73.23,8100.0
2018-02-16,09:41:00,73.25,73.28,73.2,73.215,1100.0
2018-02-16,09:42:00,73.18,73.27,73.12,73.14,5238.0
2018-02-16,09:43:00,73.155,73.26,73.155,73.26,1390.0
2018-02-16,09:44:00,73.27,73.3,73.23,73.29,18778.0
2018-02-16,09:45:00,73.3,73.5,73.24,73.5,14978.0
2018-02-16,09:46:00,73.48,73.63,73.42,73.63,6397.0
2018-02-16,09:47:00,73.659,73.659,73.57,73.63,3363.0
2018-02-16,09:48:00,73.65,73.71,73.64,73.71,600.0
2018-02-16,09:49:00,73.74,73.78,73.7,73.74,10951.0
2018-02-16,09:50:00,73.77,73.83,73.73,73.73,4322.0
2018-02-16,09:51:00,73.75,73.75,73.64,73.72,3463.0
2018-02-16,09:52:00,73.69,73.7,73.64,73.68,2370.0
2018-02-16,09:53:00,73.73,73.75,73.62,73.67,6347.0
2018-02-16,09:54:00,73.65,73.65,73.5625,73.6,3127.0
2018-02-16,09:55:00,73.58,73.64,73.55,73.64,16847.0
2018-02-16,09:56:00,73.69,73.77,73.69,73.76,4958.0
2018-02-16,09:57:00,73.75,73.84,73.74,73.8,2705.0
2018-02-16,09:58:00,73.8,73.88,73.73,73.86,15700.0
2018-02-16,09:59:00,73.84,73.84,73.69,73.69,3900.0
2018-02-16,10:00:00,73.6901,73.72,73.65,73.72,5324.0
2018-02-16,10:01:00,73.735,73.84,73.735,73.79,5063.0
2018-02-16,10:02:00,73.78,73.93,73.77,73.91,8240.0
2018-02-16,10:03:00,73.9,73.95,73.88,73.95,3197.0
2018-02-16,10:04:00,73.93,73.94,73.83,73.83,2930.0
2018-02-16,10:05:00,73.825,73.93,73.825,73.9,9654.0
2018-02-16,10:06:00,73.89,73.96,73.85,73.93,11000.0
2018-02-16,10:07:00,73.91,73.91,73.85,73.86,3088.0
2018-02-16,10:08:00,73.86,73.905,73.83,73.89,3600.0
2018-02-16,10:09:00,73.86,73.99,73.86,73.99,2885.0
2018-02-16,10:10:00,74.01,74.2,74.01,74.15,11535.0
2018-02-16,10:11:00,74.13,74.13,73.93,73.94,4906.0
2018-02-16,10:12:00,73.9502,74.01,73.895,73.895,5271.0
2018-02-16,10:13:00,73.88,73.92,73.85,73.92,2003.0
2018-02-16,10:14:00,73.88,73.91,73.87,73.91,6400.0
2018-02-16,10:15:00,73.9,74.0,73.9,74.0,1600.0
2018-02-16,10:16:00,74.03,74.07,74.01,74.041,6862.0
2018-02-16,10:17:00,74.07,74.16,74.04,74.12,17420.0
2018-02-16,10:18:00,74.12,74.13,74.01,74.08,3949.0
2018-02-16,10:19:00,74.12,74.14,74.04,74.09,3819.0
2018-02-16,10:20:00,74.1,74.19,74.09,74.12,5250.0
2018-02-16,10:21:00,74.15,74.18,74.13,74.17,2350.0
2018-02-16,10:22:00,74.16,74.2,74.16,74.19,1700.0
2018-02-16,10:23:00,74.185,74.21,74.08,74.15,8715.0
2018-02-16,10:24:00,74.14,74.14,74.0,74.0,15300.0
2018-02-16,10:25:00,74.0,74.11,74.0,74.11,8231.0
2018-02-16,10:26:00,74.13,74.25,74.13,74.178,7734.0
2018-02-16,10:27:00,74.17,74.17,74.14,74.14,6300.0
2018-02-16,10:28:00,74.15,74.15,74.07,74.07,3100.0
2018-02-16,10:29:00,74.1,74.11,74.01,74.01,5100.0
2018-02-16,10:30:00,74.01,74.01,73.91,73.94,5387.0
2018-02-16,10:31:00,73.94,73.94,73.938,73.938,902.0
2018-02-16,10:32:00,73.925,74.0,73.925,73.97,2749.0
2018-02-16,10:33:00,74.0,74.06,74.0,74.03,12120.0
2018-02-16,10:34:00,74.04,74.07,74.04,74.05,1133.0
2018-02-16,10:35:00,74.04,74.04,73.96,73.99,6922.0
2018-02-16,10:36:00,74.0,74.03,73.97,74.03,10340.0
2018-02-16,10:37:00,74.04,74.16,74.04,74.16,8381.0
2018-02-16,10:38:00,74.17,74.2,74.15,74.15,13593.0
2018-02-16,10:39:00,74.13,74.17,74.13,74.17,2000.0
2018-02-16,10:40:00,74.15,74.17,74.02,74.02,4100.0
2018-02-16,10:41:00,74.03,74.03,74.0,74.0,1600.0
2018-02-16,10:42:00,73.97,73.99,73.95,73.99,1300.0
2018-02-16,10:43:00,74.02,74.02,73.92,73.93,10053.0
2018-02-16,10:44:00,73.93,73.99,73.91,73.92,4150.0
2018-02-16,10:45:00,73.91,73.93,73.85,73.865,8000.0
2018-02-16,10:46:00,73.85,73.92,73.85,73.9,2933.0
2018-02-16,10:47:00,73.92,73.94,73.92,73.94,1600.0
2018-02-16,10:48:00,73.93,73.94,73.85,73.88,5652.0
2018-02-16,10:49:00,73.9,73.9,73.81,73.88,7559.0
2018-02-16,10:50:00,73.88,73.89,73.82,73.87,10936.0
2018-02-16,10:51:00,73.85,73.86,73.81,73.83,3258.0
2018-02-16,10:52:00,73.85,73.85,73.8,73.81,16075.0
2018-02-16,10:53:00,73.81,73.81,73.79,73.8,1900.0
2018-02-16,10:54:00,73.78,73.85,73.78,73.835,2000.0
2018-02-16,10:55:00,73.84,73.86,73.8394,73.8394,1923.0
2018-02-16,10:56:00,73.82,73.82,73.81,73.82,1400.0
2018-02-16,10:57:00,73.85,73.88,73.8,73.8,2200.0
2018-02-16,10:58:00,73.84,73.85,73.79,73.8,700.0
2018-02-16,10:59:00,73.74,73.77,73.73,73.75,5022.0
2018-02-16,11:00:00,73.76,73.76,73.7,73.705,2600.0
2018-02-16,11:01:00,73.71,73.77,73.71,73.77,1185.0
2018-02-16,11:02:00,73.79,73.845,73.79,73.845,800.0
2018-02-16,11:03:00,73.84,73.84,73.77,73.77,2200.0
2018-02-16,11:04:00,73.76,73.76,73.69,73.755,6848.0
2018-02-16,11:05:00,73.77,73.9,73.77,73.84,2800.0
2018-02-16,11:06:00,73.81,73.88,73.79,73.88,1100.0
2018-02-16,11:07:00,73.88,73.92,73.86,73.86,3000.0
2018-02-16,11:08:00,73.86,73.93,73.85,73.89,2100.0
2018-02-16,11:09:00,73.87,73.93,73.85,73.9038,2394.0
2018-02-16,11:10:00,73.92,73.96,73.91,73.95,2734.0
2018-02-16,11:11:00,73.94,74.05,73.94,74.0,6800.0
2018-02-16,11:12:00,74.02,74.08,74.02,74.06,5000.0
2018-02-16,11:13:00,74.09,74.09,74.02,74.02,1400.0
2018-02-16,11:14:00,74.01,74.06,74.01,74.06,1308.0
2018-02-16,11:15:00,74.06,74.08,74.04,74.04,1300.0
2018-02-16,11:16:00,74.03,74.05,73.97,73.97,5662.0
2018-02-16,11:17:00,73.96,73.98,73.92,73.93,2405.0
2018-02-16,11:18:00,73.93,73.98,73.92,73.94,2400.0
2018-02-16,11:19:00,73.905,73.91,73.83,73.83,2089.0
2018-02-16,11:20:00,73.84,73.92,73.84,73.92,1912.0
2018-02-16,11:21:00,73.89,73.89,73.86,73.885,1500.0
2018-02-16,11:22:00,73.83,73.85,73.81,73.85,2423.0
2018-02-16,11:23:00,73.82,73.82,73.724,73.76,2497.0
2018-02-16,11:24:00,73.75,73.8,73.71,73.74,2330.0
2018-02-16,11:25:00,73.75,73.78,73.68,73.71,3800.0
2018-02-16,11:26:00,73.729,73.78,73.729,73.77,2233.0
2018-02-16,11:27:00,73.73,73.76,73.7,73.76,2600.0
2018-02-16,11:28:00,73.715,73.715,73.66,73.665,700.0
2018-02-16,11:29:00,73.63,73.67,73.6,73.66,2039.0
2018-02-16,11:30:00,73.65,73.675,73.62,73.675,1930.0
2018-02-16,11:31:00,73.7,73.76,73.66,73.7099,6158.0
2018-02-16,11:32:00,73.67,73.67,73.61,73.64,1200.0
2018-02-16,11:33:00,73.66,73.72,73.66,73.7,4000.0
2018-02-16,11:34:00,73.7,73.76,73.7,73.76,616.0
2018-02-16,11:35:00,73.73,73.74,73.7,73.74,2249.0
2018-02-16,11:36:00,73.74,73.75,73.73,73.73,1100.0
2018-02-16,11:37:00,73.71,73.72,73.69,73.69,1100.0
2018-02-16,11:38:00,73.7,73.7275,73.7,73.72,1330.0
2018-02-16,11:39:00,73.68,73.695,73.64,73.66,1000.0
2018-02-16,11:40:00,73.66,73.69,73.66,73.69,1055.0
2018-02-16,11:41:00,73.6952,73.72,73.695,73.72,2199.0
2018-02-16,11:42:00,73.73,73.78,73.73,73.75,1700.0
2018-02-16,11:43:00,73.75,73.77,73.75,73.76,1524.0
2018-02-16,11:44:00,73.77,73.77,73.75,73.75,510.0
2018-02-16,11:45:00,73.74,73.74,73.73,73.73,1200.0
2018-02-16,11:46:00,73.76,73.84,73.76,73.8,2300.0
2018-02-16,11:47:00,73.78,73.78,73.769,73.769,1950.0
2018-02-16,11:48:00,73.74,73.76,73.74,73.76,959.0
2018-02-16,11:49:00,73.77,73.77,73.77,73.77,423.0
2018-02-16,11:50:00,73.8,73.85,73.8,73.84,2154.0
2018-02-16,11:51:00,73.83,73.86,73.81,73.86,4368.0
2018-02-16,11:52:00,73.86,73.88,73.82,73.82,1800.0
2018-02-16,11:53:00,73.8,73.85,73.8,73.82,1400.0
2018-02-16,11:54:00,73.8101,73.83,73.76,73.76,1730.0
2018-02-16,11:55:00,73.75,73.75,73.714,73.73,900.0
2018-02-16,11:56:00,73.72,73.72,73.69,73.69,600.0
2018-02-16,11:57:00,73.72,73.76,73.71,73.71,3600.0
2018-02-16,11:58:00,73.69,73.73,73.69,73.73,1271.0
2018-02-16,11:59:00,73.76,73.81,73.76,73.76,1800.0
2018-02-16,12:00:00,73.76,73.76,73.66,73.67,2000.0
2018-02-16,12:01:00,73.68,73.72,73.67,73.7,2444.0
2018-02-16,12:02:00,73.7,73.7,73.6,73.6,2640.0
2018-02-16,12:03:00,73.62,73.66,73.61,73.65,2400.0
2018-02-16,12:04:00,73.67,73.67,73.62,73.66,2608.0
2018-02-16,12:05:00,73.6548,73.68,73.63,73.66,1627.0
2018-02-16,12:06:00,73.68,73.68,73.65,73.68,1165.0
2018-02-16,12:07:00,73.69,73.72,73.69,73.72,900.0
2018-02-16,12:08:00,73.7,73.725,73.65,73.65,2700.0
2018-02-16,12:09:00,73.62,73.62,73.61,73.61,1800.0
2018-02-16,12:10:00,73.59,73.59,73.51,73.51,2318.0
2018-02-16,12:11:00,73.525,73.56,73.4911,73.515,4702.0
2018-02-16,12:12:00,73.5,73.52,73.485,73.52,1758.0
2018-02-16,12:13:00,73.52,73.54,73.5,73.5,1400.0
2018-02-16,12:14:00,73.47,73.53,73.47,73.53,2300.0
2018-02-16,12:15:00,73.5,73.51,73.44,73.44,1500.0
2018-02-16,12:16:00,73.43,73.43,73.39,73.39,2206.0
2018-02-16,12:17:00,73.42,73.45,73.4,73.44,4400.0
2018-02-16,12:18:00,73.46,73.4801,73.455,73.4801,2778.0
2018-02-16,12:19:00,73.49,73.51,73.48,73.49,840.0
2018-02-16,12:20:00,73.48,73.54,73.47,73.5233,3009.0
2018-02-16,12:21:00,73.54,73.545,73.53,73.53,900.0
2018-02-16,12:22:00,73.51,73.53,73.49,73.49,1600.0
2018-02-16,12:23:00,73.49,73.49,73.41,73.41,1714.0
2018-02-16,12:24:00,73.42,73.43,73.37,73.37,2516.0
2018-02-16,12:25:00,73.38,73.39,73.33,73.33,1500.0
2018-02-16,12:26:00,73.3,73.32,73.3,73.31,900.0
2018-02-16,12:27:00,73.31,73.31,73.23,73.23,1853.0
2018-02-16,12:28:00,73.2199,73.27,73.2199,73.27,1600.0
2018-02-16,12:29:00,73.3,73.32,73.3,73.32,500.0
2018-02-16,12:30:00,73.32,73.33,73.315,73.33,300.0
2018-02-16,12:31:00,73.34,73.38,73.34,73.35,1500.0
2018-02-16,12:32:00,73.35,73.44,73.33,73.44,3714.0
2018-02-16,12:33:00,73.43,73.53,73.42,73.52,7460.0
2018-02-16,12:34:00,73.51,73.55,73.49,73.49,3200.0
2018-02-16,12:35:00,73.5,73.6,73.5,73.58,1200.0
2018-02-16,12:36:00,73.58,73.58,73.51,73.51,2445.0
2018-02-16,12:37:00,73.52,73.64,73.52,73.62,1200.0
2018-02-16,12:38:00,73.6,73.64,73.6,73.61,600.0
2018-02-16,12:39:00,73.6,73.6,73.55,73.55,1100.0
2018-02-16,12:40:00,73.55,73.56,73.55,73.56,701.0
2018-02-16,12:41:00,73.56,73.58,73.54,73.54,3000.0
2018-02-16,12:42:00,73.55,73.6,73.54,73.54,2050.0
2018-02-16,12:43:00,73.55,73.55,73.5,73.5,2042.0
2018-02-16,12:44:00,73.49,73.49,73.46,73.48,1200.0
2018-02-16,12:45:00,73.47,73.47,73.45,73.45,600.0
2018-02-16,12:46:00,73.45,73.5,73.45,73.48,2600.0
2018-02-16,12:47:00,73.49,73.49,73.46,73.46,600.0
2018-02-16,12:48:00,73.447,73.447,73.41,73.42,1600.0
2018-02-16,12:49:00,73.46,73.49,73.43,73.46,628.0
2018-02-16,12:50:00,73.45,73.45,73.37,73.385,3854.0
2018-02-16,12:51:00,73.37,73.37,73.315,73.35,3180.0
2018-02-16,12:52:00,73.345,73.345,73.27,73.27,2000.0
2018-02-16,12:53:00,73.25,73.25,73.13,73.14,5077.0
2018-02-16,12:54:00,73.17,73.24,73.1,73.24,4200.0
2018-02-16,12:55:00,73.26,73.3,73.26,73.3,600.0
2018-02-16,12:56:00,73.25,73.28,73.21,73.28,4850.0
2018-02-16,12:57:00,73.29,73.37,73.29,73.33,3100.0
2018-02-16,12:58:00,73.32,73.4073,73.32,73.4073,747.0
2018-02-16,12:59:00,73.37,73.44,73.36,73.44,2300.0
2018-02-16,13:00:00,73.42,73.45,73.4,73.45,1236.0
2018-02-16,13:01:00,73.445,73.51,73.44,73.46,1600.0
2018-02-16,13:02:00,73.435,73.46,73.41,73.41,1500.0
2018-02-16,13:03:00,73.39,73.43,73.36,73.36,3100.0
2018-02-16,13:04:00,73.33,73.37,73.33,73.35,1400.0
2018-02-16,13:05:00,73.32,73.32,73.29,73.31,2000.0
2018-02-16,13:06:00,73.31,73.31,73.24,73.24,1902.0
2018-02-16,13:07:00,73.21,73.3,73.21,73.23,2000.0
2018-02-16,13:08:00,73.27,73.28,73.23,73.24,1000.0
2018-02-16,13:09:00,73.24,73.27,73.23,73.24,800.0
2018-02-16,13:10:00,73.21,73.21,73.17,73.21,2600.0
2018-02-16,13:11:00,73.18,73.19,73.18,73.18,1200.0
2018-02-16,13:12:00,73.13,73.185,73.08,73.16,2306.0
2018-02-16,13:13:00,73.19,73.19,73.18,73.19,400.0
2018-02-16,13:14:00,73.17,73.17,73.09,73.09,700.0
2018-02-16,13:15:00,73.11,73.12,73.08,73.112,605.0
2018-02-16,13:16:00,73.08,73.16,73.08,73.13,3900.0
2018-02-16,13:17:00,73.1385,73.16,73.06,73.07,3900.0
2018-02-16,13:18:00,73.06,73.06,72.96,72.98,2644.0
2018-02-16,13:19:00,73.03,73.03,72.9391,72.9391,1923.0
2018-02-16,13:20:00,72.93,72.961,72.91,72.93,2800.0
2018-02-16,13:21:00,72.98,73.02,72.98,73.01,800.0
2018-02-16,13:22:00,72.99,73.13,72.99,73.09,2500.0
2018-02-16,13:23:00,73.08,73.08,73.04,73.06,1600.0
2018-02-16,13:24:00,73.09,73.16,73.09,73.16,1100.0
2018-02-16,13:25:00,73.14,73.14,73.07,73.1,3200.0
2018-02-16,13:26:00,73.08,73.12,73.07,73.11,1630.0
2018-02-16,13:27:00,73.09,73.09,72.98,73.02,3336.0
2018-02-16,13:28:00,73.0,73.08,73.0,73.02,1500.0
2018-02-16,13:29:00,73.0,73.0,72.92,72.92,3395.0
2018-02-16,13:30:00,72.9,72.98,72.9,72.91,1434.0
2018-02-16,13:31:00,72.9,72.9,72.77,72.7798,4187.0
2018-02-16,13:32:00,72.79,72.86,72.77,72.8,7577.0
2018-02-16,13:33:00,72.83,72.92,72.83,72.87,1700.0
2018-02-16,13:34:00,72.86,72.92,72.85,72.92,2997.0
2018-02-16,13:35:00,72.94,73.01,72.92,73.01,1600.0
2018-02-16,13:36:00,73.0499,73.1,72.99,73.1,2441.0
2018-02-16,13:37:00,73.08,73.16,73.05,73.16,1900.0
2018-02-16,13:38:00,73.17,73.18,73.11,73.11,3301.0
2018-02-16,13:39:00,73.1,73.14,73.07,73.13,1472.0
2018-02-16,13:40:00,73.11,73.2,73.07,73.11,3600.0
2018-02-16,13:41:00,73.14,73.2,73.14,73.2,1100.0
2018-02-16,13:42:00,73.23,73.2637,73.23,73.26,1171.0
2018-02-16,13:43:00,73.26,73.26,73.22,73.23,1600.0
2018-02-16,13:44:00,73.26,73.27,73.22,73.22,1500.0
2018-02-16,13:45:00,73.2,73.21,73.18,73.21,2300.0
2018-02-16,13:46:00,73.2,73.2,73.11,73.19,3600.0
2018-02-16,13:47:00,73.18,73.19,73.12,73.15,1200.0
2018-02-16,13:48:00,73.16,73.17,73.15,73.16,600.0
2018-02-16,13:49:00,73.15,73.15,73.08,73.1,1500.0
2018-02-16,13:50:00,73.1,73.105,73.08,73.105,1560.0
2018-02-16,13:51:00,73.1,73.12,73.1,73.12,500.0
2018-02-16,13:52:00,73.11,73.12,73.08,73.11,1800.0
2018-02-16,13:53:00,73.1093,73.1367,73.07,73.07,1799.0
2018-02-16,13:54:00,73.1,73.15,73.1,73.15,950.0
2018-02-16,13:55:00,73.13,73.14,73.08,73.08,5470.0
2018-02-16,13:56:00,73.095,73.13,73.095,73.11,3139.0
2018-02-16,13:57:00,73.08,73.15,73.08,73.15,1520.0
2018-02-16,13:58:00,73.13,73.18,73.13,73.18,1657.0
2018-02-16,13:59:00,73.2,73.32,73.2,73.28,2449.0
