date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,297.75,298.0,295.02,297.65,91904.0
2018-02-16,09:31:00,297.76,298.5,296.78,297.805,16768.0
2018-02-16,09:32:00,297.805,298.5,297.16,297.92,22711.0
2018-02-16,09:33:00,297.75,298.21,297.66,297.68,9973.0
2018-02-16,09:34:00,297.51,298.03,297.26,297.5,12129.0
2018-02-16,09:35:00,297.605,297.91,297.32,297.66,9421.0
2018-02-16,09:36:00,297.725,297.87,297.005,297.005,12586.0
2018-02-16,09:37:00,297.24,297.47,297.01,297.245,3332.0
2018-02-16,09:38:00,297.4125,297.45,296.45,296.66,11600.0
2018-02-16,09:39:00,296.66,296.75,296.0,296.22,6911.0
2018-02-16,09:40:00,296.38,296.86,296.1275,296.685,13694.0
2018-02-16,09:41:00,296.61,296.94,296.41,296.76,10544.0
2018-02-16,09:42:00,296.755,296.785,296.3,296.3,13160.0
2018-02-16,09:43:00,296.305,296.69,295.6563,295.98,14109.0
2018-02-16,09:44:00,295.77,296.27,295.77,295.99,6094.0
2018-02-16,09:45:00,296.12,297.11,296.0,296.55,13110.0
2018-02-16,09:46:00,296.55,296.8,296.2211,296.66,10948.0
2018-02-16,09:47:00,296.73,297.1815,296.73,297.1815,4131.0
2018-02-16,09:48:00,296.83,297.5,296.73,297.17,8713.0
2018-02-16,09:49:00,297.15,297.74,297.15,297.5736,8868.0
2018-02-16,09:50:00,297.53,297.925,297.525,297.665,1740.0
2018-02-16,09:51:00,297.52,297.9299,297.35,297.485,1500.0
2018-02-16,09:52:00,297.605,297.93,296.5,296.505,59327.0
2018-02-16,09:53:00,296.75,296.75,296.02,296.02,11618.0
2018-02-16,09:54:00,296.39,296.415,296.0,296.35,6754.0
2018-02-16,09:55:00,296.22,296.23,295.52,295.98,27616.0
2018-02-16,09:56:00,296.11,296.13,295.5,295.53,7157.0
2018-02-16,09:57:00,295.51,295.76,295.5,295.56,6935.0
2018-02-16,09:58:00,295.66,295.7,295.01,295.17,12420.0
2018-02-16,09:59:00,295.22,295.33,294.78,294.94,20080.0
2018-02-16,10:00:00,294.6,294.85,294.31,294.36,4551.0
2018-02-16,10:01:00,294.645,295.15,294.0,294.02,9972.0
2018-02-16,10:02:00,294.12,294.31,293.61,293.61,18973.0
2018-02-16,10:03:00,293.355,293.98,293.355,293.65,4424.0
