date,ToD,open,high,low,close,volume
2018-02-16,09:31:00,55.98,56.11,55.96,56.1,217951.0
2018-02-16,09:32:00,56.09,56.09,56.05,56.07,2200.0
2018-02-16,09:33:00,56.05,56.075,56.0,56.03,1760.0
2018-02-16,09:34:00,56.02,56.02,55.91,55.92,9560.0
2018-02-16,09:35:00,55.9,56.04,55.9,56.03,7050.0
2018-02-16,09:36:00,56.04,56.07,56.02,56.04,9183.0
2018-02-16,09:37:00,56.05,56.19,56.05,56.19,7239.0
2018-02-16,09:38:00,56.19,56.25,56.17,56.24,2500.0
2018-02-16,09:39:00,56.25,56.315,56.24,56.27,9450.0
2018-02-16,09:40:00,56.26,56.3,56.22,56.3,2143.0
2018-02-16,09:41:00,56.2718,56.33,56.2501,56.33,16672.0
2018-02-16,09:42:00,56.31,56.31,56.27,56.29,3300.0
2018-02-16,09:43:00,56.3,56.3162,56.29,56.2999,760.0
2018-02-16,09:44:00,56.31,56.35,56.3,56.31,4560.0
2018-02-16,09:45:00,56.29,56.3,56.2,56.2,10517.0
2018-02-16,09:46:00,56.2,56.27,56.115,56.27,14393.0
2018-02-16,09:47:00,56.27,56.28,56.23,56.26,2100.0
2018-02-16,09:48:00,56.2662,56.2662,56.195,56.21,2102.0
2018-02-16,09:49:00,56.21,56.23,56.2,56.22,2200.0
2018-02-16,09:50:00,56.22,56.27,56.22,56.245,3079.0
2018-02-16,09:51:00,56.24,56.24,56.18,56.24,6197.0
2018-02-16,09:52:00,56.23,56.2425,56.21,56.23,2750.0
2018-02-16,09:53:00,56.23,56.27,56.23,56.27,4777.0
2018-02-16,09:54:00,56.26,56.27,56.225,56.27,8258.0
2018-02-16,09:55:00,56.28,56.29,56.27,56.28,3608.0
2018-02-16,09:56:00,56.29,56.32,56.29,56.29,1600.0
2018-02-16,09:57:00,56.3,56.32,56.29,56.31,1719.0
2018-02-16,09:58:00,56.31,56.31,56.28,56.285,1027.0
2018-02-16,09:59:00,56.27,56.27,56.22,56.22,442.0
2018-02-16,10:00:00,56.21,56.21,56.165,56.17,1500.0
2018-02-16,10:01:00,56.18,56.21,56.15,56.16,6678.0
2018-02-16,10:02:00,56.145,56.19,56.145,56.19,6923.0
2018-02-16,10:03:00,56.22,56.2705,56.22,56.2705,3740.0
2018-02-16,10:04:00,56.27,56.32,56.27,56.31,4005.0
2018-02-16,10:05:00,56.33,56.38,56.33,56.36,6148.0
2018-02-16,10:06:00,56.369,56.37,56.32,56.3555,7298.0
2018-02-16,10:07:00,56.34,56.35,56.305,56.32,1354.0
2018-02-16,10:08:00,56.32,56.33,56.32,56.33,2061.0
2018-02-16,10:09:00,56.33,56.42,56.33,56.42,4622.0
2018-02-16,10:10:00,56.4238,56.45,56.42,56.425,3901.0
2018-02-16,10:11:00,56.42,56.44,56.39,56.4,2901.0
2018-02-16,10:12:00,56.4,56.4,56.31,56.32,3103.0
2018-02-16,10:13:00,56.3,56.335,56.29,56.31,10307.0
2018-02-16,10:14:00,56.31,56.31,56.19,56.195,5700.0
2018-02-16,10:15:00,56.2,56.2723,56.195,56.2723,3045.0
2018-02-16,10:16:00,56.27,56.3,56.27,56.28,4310.0
2018-02-16,10:17:00,56.275,56.32,56.275,56.3,4100.0
2018-02-16,10:18:00,56.3,56.345,56.3,56.34,3250.0
2018-02-16,10:19:00,56.32,56.36,56.3,56.3447,3457.0
2018-02-16,10:20:00,56.36,56.3699,56.3,56.3,1937.0
2018-02-16,10:21:00,56.32,56.35,56.32,56.33,2600.0
2018-02-16,10:22:00,56.3453,56.3453,56.34,56.34,1000.0
2018-02-16,10:23:00,56.33,56.39,56.32,56.39,2416.0
2018-02-16,10:24:00,56.39,56.395,56.33,56.36,2700.0
2018-02-16,10:25:00,56.36,56.4,56.36,56.37,2523.0
2018-02-16,10:26:00,56.38,56.39,56.35,56.38,6105.0
2018-02-16,10:27:00,56.38,56.38,56.35,56.35,2898.0
2018-02-16,10:28:00,56.3476,56.3569,56.3476,56.35,469.0
2018-02-16,10:29:00,56.33,56.36,56.32,56.355,4070.0
2018-02-16,10:30:00,56.35,56.39,56.342,56.39,4160.0
2018-02-16,10:31:00,56.38,56.425,56.38,56.42,3304.0
2018-02-16,10:32:00,56.41,56.44,56.41,56.44,3812.0
2018-02-16,10:33:00,56.44,56.46,56.43,56.46,2000.0
2018-02-16,10:34:00,56.45,56.45,56.43,56.4348,5608.0
2018-02-16,10:35:00,56.43,56.43,56.41,56.42,3661.0
2018-02-16,10:36:00,56.41,56.45,56.405,56.435,12641.0
2018-02-16,10:37:00,56.43,56.45,56.43,56.4352,8174.0
2018-02-16,10:38:00,56.44,56.44,56.4,56.4,6604.0
2018-02-16,10:39:00,56.39,56.41,56.39,56.39,3496.0
2018-02-16,10:40:00,56.3824,56.3824,56.31,56.32,7526.0
2018-02-16,10:41:00,56.33,56.34,56.3,56.3,3200.0
2018-02-16,10:42:00,56.29,56.32,56.29,56.32,3753.0
2018-02-16,10:43:00,56.3122,56.33,56.25,56.27,4548.0
2018-02-16,10:44:00,56.27,56.3,56.26,56.26,1274.0
2018-02-16,10:45:00,56.27,56.28,56.26,56.27,2652.0
2018-02-16,10:46:00,56.25,56.255,56.24,56.25,1604.0
2018-02-16,10:47:00,56.24,56.28,56.24,56.25,8878.0
2018-02-16,10:48:00,56.25,56.26,56.24,56.25,5239.0
2018-02-16,10:49:00,56.2499,56.2499,56.21,56.21,1829.0
2018-02-16,10:50:00,56.22,56.22,56.1897,56.2,9438.0
2018-02-16,10:51:00,56.21,56.21,56.19,56.19,3681.0
2018-02-16,10:52:00,56.18,56.19,56.155,56.16,5481.0
2018-02-16,10:53:00,56.17,56.17,56.14,56.16,5200.0
2018-02-16,10:54:00,56.155,56.16,56.155,56.16,2201.0
2018-02-16,10:55:00,56.16,56.18,56.16,56.17,7724.0
2018-02-16,10:56:00,56.18,56.18,56.155,56.1657,4960.0
2018-02-16,10:57:00,56.165,56.18,56.16,56.16,1000.0
2018-02-16,10:58:00,56.17,56.1815,56.165,56.165,2063.0
2018-02-16,10:59:00,56.16,56.16,56.15,56.15,1895.0
2018-02-16,11:00:00,56.14,56.14,56.07,56.1,16881.0
2018-02-16,11:01:00,56.11,56.17,56.11,56.16,4715.0
2018-02-16,11:02:00,56.17,56.21,56.17,56.21,4975.0
2018-02-16,11:03:00,56.22,56.235,56.21,56.235,796.0
