date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,22.07,22.07,22.07,22.07,13564.0
2018-02-16,09:33:00,22.06,22.06,22.06,22.06,200.0
2018-02-16,09:34:00,22.07,22.1,22.07,22.0918,3289.0
2018-02-16,09:35:00,22.14,22.15,22.14,22.15,400.0
2018-02-16,09:36:00,22.2,22.2,22.145,22.145,400.0
2018-02-16,09:37:00,22.19,22.19,22.12,22.12,1650.0
2018-02-16,09:39:00,22.14,22.15,22.14,22.15,200.0
2018-02-16,09:40:00,22.21,22.21,22.21,22.21,100.0
2018-02-16,09:41:00,22.19,22.19,22.17,22.17,300.0
2018-02-16,09:42:00,22.1968,22.1968,22.1968,22.1968,1000.0
2018-02-16,09:44:00,22.19,22.21,22.14,22.14,1055.0
2018-02-16,09:45:00,22.15,22.15,22.15,22.15,100.0
2018-02-16,09:46:00,22.135,22.16,22.125,22.16,800.0
2018-02-16,09:47:00,22.13,22.13,22.13,22.13,100.0
2018-02-16,09:49:00,22.1185,22.1185,22.08,22.08,2400.0
2018-02-16,09:50:00,22.12,22.13,22.11,22.11,1600.0
2018-02-16,09:51:00,22.1499,22.15,22.1499,22.15,400.0
2018-02-16,09:52:00,22.16,22.17,22.16,22.17,514.0
2018-02-16,09:53:00,22.165,22.165,22.165,22.165,200.0
2018-02-16,09:54:00,22.18,22.18,22.18,22.18,100.0
2018-02-16,09:55:00,22.18,22.18,22.17,22.17,500.0
2018-02-16,09:56:00,22.16,22.17,22.12,22.12,1800.0
2018-02-16,09:57:00,22.135,22.15,22.135,22.15,276.0
2018-02-16,09:58:00,22.15,22.15,22.15,22.15,100.0
2018-02-16,09:59:00,22.1589,22.1589,22.11,22.11,1698.0
2018-02-16,10:01:00,22.1099,22.1099,22.091,22.091,868.0
2018-02-16,10:02:00,22.1,22.1,22.08,22.08,500.0
2018-02-16,10:03:00,22.07,22.07,22.07,22.07,500.0
2018-02-16,10:04:00,22.06,22.06,22.03,22.03,2479.0
2018-02-16,10:05:00,22.045,22.06,22.045,22.055,900.0
2018-02-16,10:06:00,22.07,22.07,22.03,22.04,4900.0
2018-02-16,10:07:00,22.06,22.07,22.06,22.07,701.0
2018-02-16,10:08:00,22.05,22.08,22.04,22.08,1832.0
