date,ToD,open,high,low,close,volume
2018-02-16,09:31:00,203.99,204.0,203.68,204.0,431070.0
2018-02-16,09:32:00,204.0,204.15,203.76,204.05,6736.0
2018-02-16,09:33:00,204.04,204.11,203.7,203.91,7998.0
2018-02-16,09:34:00,204.0,204.0,203.7,203.81,22552.0
2018-02-16,09:35:00,203.81,203.83,203.61,203.68,11950.0
2018-02-16,09:36:00,203.6,203.65,203.38,203.44,13201.0
2018-02-16,09:37:00,203.46,203.52,203.36,203.52,4853.0
2018-02-16,09:38:00,203.49,203.6,203.4748,203.59,10224.0
2018-02-16,09:39:00,203.5845,203.78,203.5845,203.62,10394.0
2018-02-16,09:40:00,203.6,203.78,203.59,203.75,4030.0
2018-02-16,09:41:00,203.725,203.88,203.66,203.88,8573.0
2018-02-16,09:42:00,203.88,203.99,203.69,203.71,11302.0
2018-02-16,09:43:00,203.7,203.9,203.7,203.9,5744.0
2018-02-16,09:44:00,203.8513,203.9687,203.79,203.79,3252.0
2018-02-16,09:45:00,203.7855,203.81,203.58,203.58,6203.0
2018-02-16,09:46:00,203.59,203.64,203.27,203.64,13658.0
2018-02-16,09:47:00,203.605,203.605,203.3444,203.4254,7915.0
2018-02-16,09:48:00,203.42,203.42,203.16,203.29,5400.0
2018-02-16,09:49:00,203.23,203.36,203.2,203.36,6386.0
2018-02-16,09:50:00,203.325,203.56,203.25,203.3,10024.0
2018-02-16,09:51:00,203.26,203.4,203.2,203.4,5452.0
2018-02-16,09:52:00,203.36,203.56,203.31,203.56,6357.0
2018-02-16,09:53:00,203.56,203.64,203.52,203.6101,3109.0
2018-02-16,09:54:00,203.61,203.76,203.53,203.72,3631.0
2018-02-16,09:55:00,203.73,203.83,203.61,203.66,10902.0
2018-02-16,09:56:00,203.65,203.88,203.65,203.71,2640.0
2018-02-16,09:57:00,203.7,203.74,203.66,203.735,2024.0
2018-02-16,09:58:00,203.71,203.76,203.59,203.63,5474.0
2018-02-16,09:59:00,203.61,203.61,203.5,203.5,4199.0
2018-02-16,10:00:00,203.53,203.53,203.41,203.41,1915.0
2018-02-16,10:01:00,203.405,203.56,203.34,203.3648,6136.0
2018-02-16,10:02:00,203.34,203.42,203.26,203.39,4371.0
2018-02-16,10:03:00,203.4,203.58,203.4,203.53,4176.0
2018-02-16,10:04:00,203.5,203.65,203.5,203.54,2488.0
2018-02-16,10:05:00,203.54,203.59,203.46,203.48,7430.0
2018-02-16,10:06:00,203.49,203.665,203.46,203.66,13727.0
2018-02-16,10:07:00,203.625,203.65,203.55,203.585,10140.0
2018-02-16,10:08:00,203.6,203.75,203.6,203.67,7428.0
2018-02-16,10:09:00,203.655,203.93,203.655,203.93,7924.0
2018-02-16,10:10:00,203.9432,204.07,203.92,204.0023,15310.0
2018-02-16,10:11:00,204.0,204.02,203.87,203.878,14371.0
2018-02-16,10:12:00,203.9,203.9,203.74,203.9,8920.0
2018-02-16,10:13:00,203.87,203.932,203.7672,203.9,4286.0
2018-02-16,10:14:00,203.905,203.905,203.73,203.7525,4460.0
2018-02-16,10:15:00,203.7477,203.91,203.7477,203.8783,2726.0
2018-02-16,10:16:00,203.92,204.08,203.905,204.02,6867.0
2018-02-16,10:17:00,204.06,204.25,204.05,204.192,6234.0
2018-02-16,10:18:00,204.18,204.29,204.18,204.26,6555.0
2018-02-16,10:19:00,204.26,204.44,204.18,204.36,11151.0
2018-02-16,10:20:00,204.32,204.449,204.24,204.31,5285.0
2018-02-16,10:21:00,204.2601,204.376,204.2601,204.3548,2648.0
2018-02-16,10:22:00,204.35,204.3624,204.27,204.35,7845.0
2018-02-16,10:23:00,204.36,204.48,204.336,204.45,10737.0
2018-02-16,10:24:00,204.48,204.5,204.29,204.34,9522.0
2018-02-16,10:25:00,204.3418,204.54,204.3418,204.52,17237.0
2018-02-16,10:26:00,204.52,204.76,204.52,204.56,13881.0
2018-02-16,10:27:00,204.55,204.55,204.3773,204.4608,9911.0
2018-02-16,10:28:00,204.43,204.48,204.41,204.435,10000.0
2018-02-16,10:29:00,204.44,204.57,204.42,204.55,10379.0
2018-02-16,10:30:00,204.57,204.75,204.49,204.75,7712.0
2018-02-16,10:31:00,204.69,204.9131,204.68,204.8501,8017.0
2018-02-16,10:32:00,204.9,204.91,204.8001,204.87,7310.0
2018-02-16,10:33:00,204.92,204.9899,204.83,204.84,7435.0
2018-02-16,10:34:00,204.9,204.96,204.84,204.9,3308.0
2018-02-16,10:35:00,204.87,204.978,204.86,204.965,6600.0
2018-02-16,10:36:00,204.97,205.08,204.97,205.02,20054.0
2018-02-16,10:37:00,205.0,205.1201,204.9979,205.105,6042.0
2018-02-16,10:38:00,205.1,205.11,204.9873,205.0,16003.0
2018-02-16,10:39:00,204.995,205.03,204.99,204.99,1900.0
2018-02-16,10:40:00,204.95,204.95,204.85,204.86,7158.0
2018-02-16,10:41:00,204.86,204.91,204.76,204.76,7346.0
2018-02-16,10:42:00,204.7884,204.79,204.6801,204.74,7936.0
2018-02-16,10:43:00,204.76,204.77,204.5,204.58,6644.0
2018-02-16,10:44:00,204.64,204.67,204.64,204.64,4181.0
2018-02-16,10:45:00,204.64,204.68,204.606,204.68,4040.0
2018-02-16,10:46:00,204.63,204.65,204.58,204.6,2994.0
2018-02-16,10:47:00,204.64,204.73,204.64,204.705,7070.0
2018-02-16,10:48:00,204.72,204.88,204.72,204.88,11129.0
2018-02-16,10:49:00,204.85,204.88,204.84,204.8496,2301.0
2018-02-16,10:50:00,204.8498,204.9573,204.84,204.9573,4839.0
2018-02-16,10:51:00,204.97,205.025,204.87,204.91,9985.0
2018-02-16,10:52:00,204.911,204.99,204.819,204.89,5666.0
2018-02-16,10:53:00,204.88,204.8966,204.83,204.847,2135.0
2018-02-16,10:54:00,204.8273,204.87,204.81,204.81,2900.0
2018-02-16,10:55:00,204.83,204.839,204.66,204.7,11108.0
2018-02-16,10:56:00,204.7,204.74,204.59,204.6372,6998.0
2018-02-16,10:57:00,204.6301,204.6544,204.58,204.6186,2959.0
2018-02-16,10:58:00,204.63,204.71,204.6,204.61,6229.0
2018-02-16,10:59:00,204.6234,204.6234,204.4676,204.47,6018.0
2018-02-16,11:00:00,204.52,204.56,204.19,204.48,15371.0
2018-02-16,11:01:00,204.5188,204.74,204.5188,204.6644,7306.0
2018-02-16,11:02:00,204.6672,204.81,204.6672,204.75,5269.0
2018-02-16,11:03:00,204.74,204.74,204.6579,204.68,5543.0
2018-02-16,11:04:00,204.66,204.73,204.63,204.72,3925.0
2018-02-16,11:05:00,204.76,204.825,204.59,204.72,15980.0
2018-02-16,11:06:00,204.72,204.755,204.62,204.75,3091.0
2018-02-16,11:07:00,204.72,204.79,204.69,204.69,5122.0
2018-02-16,11:08:00,204.71,204.72,204.6387,204.67,7928.0
2018-02-16,11:09:00,204.7,204.7,204.56,204.7,9031.0
