date,ToD,open,high,low,close,volume
2018-02-16,09:31:00,27.1,27.1,27.095,27.095,283447.0
2018-02-16,09:32:00,27.095,27.13,27.061,27.11,22123.0
2018-02-16,09:33:00,27.13,27.16,27.13,27.13,11391.0
2018-02-16,09:34:00,27.13,27.13,27.09,27.1,35238.0
2018-02-16,09:35:00,27.09,27.13,27.08,27.13,27746.0
2018-02-16,09:36:00,27.13,27.15,27.115,27.14,9670.0
2018-02-16,09:37:00,27.15,27.17,27.15,27.16,6355.0
2018-02-16,09:38:00,27.16,27.16,27.14,27.16,4435.0
2018-02-16,09:39:00,27.17,27.2,27.17,27.19,8392.0
2018-02-16,09:40:00,27.195,27.23,27.19,27.22,9306.0
2018-02-16,09:41:00,27.23,27.23,27.21,27.21,5206.0
2018-02-16,09:42:00,27.22,27.2299,27.18,27.18,7419.0
2018-02-16,09:43:00,27.18,27.18,27.155,27.18,601881.0
2018-02-16,09:44:00,27.19,27.2099,27.17,27.175,4218.0
2018-02-16,09:45:00,27.1799,27.18,27.145,27.16,8867.0
2018-02-16,09:46:00,27.16,27.21,27.13,27.21,12800.0
2018-02-16,09:47:00,27.21,27.25,27.21,27.22,6551.0
2018-02-16,09:48:00,27.23,27.23,27.17,27.17,5400.0
2018-02-16,09:49:00,27.175,27.21,27.175,27.2,8065.0
2018-02-16,09:50:00,27.2,27.2434,27.2,27.22,10040.0
2018-02-16,09:51:00,27.21,27.22,27.19,27.22,4172.0
2018-02-16,09:52:00,27.225,27.225,27.19,27.21,11287.0
2018-02-16,09:53:00,27.22,27.225,27.2,27.205,6669.0
2018-02-16,09:54:00,27.2,27.23,27.19,27.23,3868.0
2018-02-16,09:55:00,27.24,27.24,27.21,27.21,4695.0
2018-02-16,09:56:00,27.21,27.22,27.2,27.2,5327.0
2018-02-16,09:57:00,27.2,27.215,27.18,27.2,5870.0
2018-02-16,09:58:00,27.205,27.205,27.17,27.17,3600.0
2018-02-16,09:59:00,27.17,27.17,27.15,27.15,4000.0
2018-02-16,10:00:00,27.15,27.15,27.13,27.13,4000.0
2018-02-16,10:01:00,27.13,27.13,27.101,27.12,7605.0
2018-02-16,10:02:00,27.115,27.13,27.1089,27.12,9778.0
2018-02-16,10:03:00,27.13,27.15,27.13,27.15,3076.0
2018-02-16,10:04:00,27.16,27.16,27.15,27.155,2000.0
2018-02-16,10:05:00,27.16,27.16,27.15,27.155,3800.0
2018-02-16,10:06:00,27.15,27.16,27.14,27.16,6990.0
2018-02-16,10:07:00,27.16,27.16,27.135,27.135,2769.0
2018-02-16,10:08:00,27.14,27.15,27.14,27.14,3761.0
2018-02-16,10:09:00,27.1499,27.16,27.14,27.16,5060.0
2018-02-16,10:10:00,27.17,27.2099,27.17,27.205,5402.0
2018-02-16,10:11:00,27.2,27.205,27.18,27.19,10506.0
2018-02-16,10:12:00,27.19,27.19,27.18,27.19,6071.0
2018-02-16,10:13:00,27.1999,27.21,27.18,27.205,4778.0
2018-02-16,10:14:00,27.21,27.21,27.185,27.19,9322.0
2018-02-16,10:15:00,27.18,27.2099,27.18,27.2,7606.0
2018-02-16,10:16:00,27.21,27.26,27.21,27.25,10778.0
2018-02-16,10:17:00,27.25,27.26,27.24,27.25,4018.0
2018-02-16,10:18:00,27.245,27.2693,27.235,27.26,3850.0
2018-02-16,10:19:00,27.255,27.27,27.24,27.265,6600.0
2018-02-16,10:20:00,27.265,27.27,27.24,27.245,4332.0
2018-02-16,10:21:00,27.25,27.27,27.245,27.27,3812.0
2018-02-16,10:22:00,27.265,27.27,27.26,27.26,1100.0
2018-02-16,10:23:00,27.26,27.28,27.25,27.28,11439.0
2018-02-16,10:24:00,27.29,27.29,27.23,27.25,11789.0
2018-02-16,10:25:00,27.2467,27.25,27.24,27.24,3853.0
2018-02-16,10:26:00,27.25,27.27,27.25,27.27,4332.0
2018-02-16,10:27:00,27.26,27.26,27.24,27.24,10346.0
2018-02-16,10:28:00,27.25,27.25,27.22,27.235,9690.0
2018-02-16,10:29:00,27.24,27.26,27.24,27.25,4800.0
2018-02-16,10:30:00,27.25,27.28,27.25,27.28,4685.0
2018-02-16,10:31:00,27.28,27.3,27.275,27.295,3050.0
2018-02-16,10:32:00,27.3,27.3,27.274,27.29,7955.0
2018-02-16,10:33:00,27.3,27.31,27.27,27.27,10500.0
2018-02-16,10:34:00,27.28,27.28,27.23,27.23,15013.0
2018-02-16,10:35:00,27.23,27.25,27.23,27.25,5680.0
2018-02-16,10:36:00,27.25,27.27,27.25,27.27,2321.0
2018-02-16,10:37:00,27.275,27.295,27.275,27.29,3391.0
2018-02-16,10:38:00,27.29,27.3,27.28,27.28,2602.0
2018-02-16,10:39:00,27.28,27.3,27.27,27.27,7708.0
2018-02-16,10:40:00,27.27,27.275,27.27,27.27,1200.0
2018-02-16,10:41:00,27.275,27.28,27.27,27.27,5242.0
2018-02-16,10:42:00,27.265,27.265,27.25,27.26,3658.0
2018-02-16,10:43:00,27.265,27.27,27.23,27.23,8782.0
2018-02-16,10:44:00,27.23,27.24,27.23,27.23,2456.0
