date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,34.6,34.6,34.6,34.6,42073.0
2018-02-16,09:31:00,34.56,34.74,34.56,34.7097,20070.0
2018-02-16,09:32:00,34.7254,34.74,34.62,34.62,625.0
2018-02-16,09:33:00,34.665,34.665,34.55,34.55,5000.0
2018-02-16,09:34:00,34.58,34.58,34.51,34.55,4940.0
2018-02-16,09:35:00,34.575,34.61,34.5683,34.57,3700.0
2018-02-16,09:36:00,34.55,34.56,34.51,34.53,5709.0
2018-02-16,09:37:00,34.53,34.59,34.52,34.5886,17739.0
2018-02-16,09:38:00,34.6,34.64,34.5549,34.64,14559.0
2018-02-16,09:39:00,34.645,34.67,34.645,34.6533,2411.0
2018-02-16,09:40:00,34.66,34.68,34.65,34.665,2100.0
2018-02-16,09:41:00,34.665,34.665,34.6115,34.6115,2280.0
2018-02-16,09:42:00,34.6144,34.625,34.59,34.62,10470.0
2018-02-16,09:43:00,34.64,34.66,34.54,34.59,32720.0
2018-02-16,09:44:00,34.5752,34.65,34.55,34.63,27962.0
2018-02-16,09:45:00,34.616,34.6344,34.57,34.57,6410.0
2018-02-16,09:46:00,34.56,34.57,34.53,34.57,2150.0
2018-02-16,09:47:00,34.58,34.59,34.54,34.54,10800.0
2018-02-16,09:48:00,34.5652,34.6,34.54,34.6,7807.0
2018-02-16,09:49:00,34.6189,34.6398,34.6112,34.63,4900.0
2018-02-16,09:50:00,34.63,34.7,34.63,34.6817,8920.0
2018-02-16,09:51:00,34.685,34.69,34.6301,34.6301,6076.0
2018-02-16,09:52:00,34.6301,34.6531,34.62,34.6242,9533.0
2018-02-16,09:53:00,34.6157,34.6256,34.61,34.6256,1750.0
2018-02-16,09:54:00,34.63,34.66,34.63,34.66,2715.0
2018-02-16,09:55:00,34.66,34.675,34.645,34.675,4090.0
2018-02-16,09:56:00,34.6583,34.699,34.6583,34.664,7610.0
2018-02-16,09:57:00,34.689,34.69,34.6601,34.6797,5164.0
2018-02-16,09:58:00,34.68,34.69,34.61,34.61,12853.0
