date,ToD,open,high,low,close,volume
2018-02-16,09:31:00,76.8,76.93,76.6133,76.9,613834.0
2018-02-16,09:32:00,76.89,77.01,76.89,77.0,21425.0
2018-02-16,09:33:00,76.99,77.01,76.88,76.965,23545.0
2018-02-16,09:34:00,76.96,77.01,76.91,76.91,21308.0
2018-02-16,09:35:00,76.91,77.04,76.8585,77.04,24648.0
2018-02-16,09:36:00,77.05,77.12,76.98,77.1,37660.0
2018-02-16,09:37:00,77.13,77.26,77.1,77.22,45285.0
2018-02-16,09:38:00,77.2,77.31,77.17,77.24,19066.0
2018-02-16,09:39:00,77.24,77.33,77.24,77.28,57017.0
2018-02-16,09:40:00,77.28,77.3,77.2014,77.23,44220.0
2018-02-16,09:41:00,77.22,77.22,77.17,77.21,16836.0
2018-02-16,09:42:00,77.21,77.225,77.07,77.08,26836.0
2018-02-16,09:43:00,77.11,77.2,77.11,77.16,13111.0
2018-02-16,09:44:00,77.16,77.1799,77.05,77.05,31531.0
2018-02-16,09:45:00,77.06,77.08,76.99,77.0,36890.0
2018-02-16,09:46:00,76.99,77.0,76.89,76.99,43763.0
2018-02-16,09:47:00,76.99,77.0,76.94,76.98,27081.0
2018-02-16,09:48:00,76.98,76.98,76.89,76.965,25517.0
2018-02-16,09:49:00,76.9601,77.0,76.94,76.97,29405.0
2018-02-16,09:50:00,76.97,77.04,76.97,77.04,27767.0
2018-02-16,09:51:00,77.04,77.06,76.96,77.06,25368.0
2018-02-16,09:52:00,77.05,77.125,77.05,77.12,22969.0
2018-02-16,09:53:00,77.12,77.15,77.0645,77.14,13127.0
2018-02-16,09:54:00,77.13,77.15,77.06,77.12,15389.0
2018-02-16,09:55:00,77.12,77.165,77.1,77.13,13999.0
2018-02-16,09:56:00,77.13,77.21,77.12,77.12,39946.0
2018-02-16,09:57:00,77.11,77.175,77.1,77.16,12660.0
2018-02-16,09:58:00,77.15,77.17,77.135,77.17,5860.0
2018-02-16,09:59:00,77.18,77.18,77.04,77.05,18883.0
2018-02-16,10:00:00,77.06,77.08,77.03,77.0668,22988.0
2018-02-16,10:01:00,77.07,77.09,77.01,77.01,40773.0
2018-02-16,10:02:00,77.02,77.05,77.01,77.04,23726.0
2018-02-16,10:03:00,77.05,77.09,77.01,77.02,47760.0
2018-02-16,10:04:00,77.02,77.06,76.98,77.02,30664.0
2018-02-16,10:05:00,77.03,77.06,76.97,76.98,27953.0
2018-02-16,10:06:00,76.98,76.985,76.89,76.89,68152.0
2018-02-16,10:07:00,76.9,76.91,76.84,76.87,24249.0
2018-02-16,10:08:00,76.86,76.94,76.86,76.9131,19144.0
2018-02-16,10:09:00,76.91,77.02,76.91,77.02,13463.0
2018-02-16,10:10:00,77.02,77.09,77.02,77.079,20712.0
2018-02-16,10:11:00,77.08,77.14,77.07,77.09,19924.0
2018-02-16,10:12:00,77.1,77.1,76.98,77.01,13609.0
2018-02-16,10:13:00,77.0,77.07,76.96,77.05,16267.0
2018-02-16,10:14:00,77.04,77.06,76.98,76.99,37165.0
2018-02-16,10:15:00,77.0,77.07,77.0,77.058,12601.0
2018-02-16,10:16:00,77.08,77.15,77.08,77.12,17255.0
2018-02-16,10:17:00,77.13,77.24,77.13,77.23,23537.0
2018-02-16,10:18:00,77.24,77.29,77.23,77.28,25076.0
2018-02-16,10:19:00,77.28,77.32,77.23,77.27,35012.0
2018-02-16,10:20:00,77.275,77.32,77.19,77.2,16163.0
2018-02-16,10:21:00,77.2,77.25,77.2,77.25,11018.0
2018-02-16,10:22:00,77.25,77.26,77.19,77.195,17111.0
2018-02-16,10:23:00,77.19,77.23,77.18,77.22,32676.0
2018-02-16,10:24:00,77.22,77.22,77.125,77.15,21138.0
2018-02-16,10:25:00,77.15,77.21,77.15,77.18,16237.0
2018-02-16,10:26:00,77.19,77.25,77.18,77.19,22696.0
2018-02-16,10:27:00,77.2,77.2,77.155,77.17,16408.0
2018-02-16,10:28:00,77.18,77.19,77.145,77.145,13719.0
2018-02-16,10:29:00,77.15,77.18,77.1,77.13,34647.0
2018-02-16,10:30:00,77.13,77.15,77.08,77.15,16870.0
2018-02-16,10:31:00,77.15,77.185,77.14,77.1752,22729.0
2018-02-16,10:32:00,77.17,77.21,77.165,77.2,23948.0
2018-02-16,10:33:00,77.2,77.24,77.185,77.21,17332.0
2018-02-16,10:34:00,77.195,77.235,77.19,77.235,12985.0
2018-02-16,10:35:00,77.235,77.235,77.195,77.215,15266.0
2018-02-16,10:36:00,77.22,77.27,77.205,77.215,25731.0
2018-02-16,10:37:00,77.21,77.25,77.2,77.22,15478.0
2018-02-16,10:38:00,77.22,77.24,77.17,77.175,14241.0
2018-02-16,10:39:00,77.17,77.1961,77.15,77.15,13752.0
2018-02-16,10:40:00,77.15,77.17,77.11,77.13,10594.0
2018-02-16,10:41:00,77.13,77.17,77.09,77.11,14248.0
2018-02-16,10:42:00,77.115,77.14,77.09,77.14,9621.0
2018-02-16,10:43:00,77.15,77.15,77.04,77.08,27715.0
2018-02-16,10:44:00,77.08,77.135,77.07,77.08,8686.0
2018-02-16,10:45:00,77.09,77.09,77.06,77.06,13367.0
2018-02-16,10:46:00,77.04,77.075,77.03,77.07,13175.0
2018-02-16,10:47:00,77.07,77.13,77.07,77.09,18727.0
2018-02-16,10:48:00,77.1,77.13,77.06,77.11,27718.0
2018-02-16,10:49:00,77.105,77.11,77.06,77.06,9120.0
2018-02-16,10:50:00,77.07,77.11,77.065,77.1,15489.0
2018-02-16,10:51:00,77.1,77.135,77.1,77.115,20471.0
2018-02-16,10:52:00,77.1158,77.13,77.07,77.09,22979.0
2018-02-16,10:53:00,77.08,77.12,77.08,77.1,8879.0
2018-02-16,10:54:00,77.095,77.135,77.085,77.125,15969.0
2018-02-16,10:55:00,77.12,77.14,77.1,77.12,16474.0
2018-02-16,10:56:00,77.13,77.13,77.075,77.12,13403.0
2018-02-16,10:57:00,77.125,77.155,77.1,77.11,12567.0
2018-02-16,10:58:00,77.11,77.14,77.075,77.075,16342.0
2018-02-16,10:59:00,77.07,77.08,77.03,77.035,12007.0
2018-02-16,11:00:00,77.03,77.03,76.93,76.98,31990.0
2018-02-16,11:01:00,76.97,77.065,76.97,77.065,22456.0
2018-02-16,11:02:00,77.0682,77.115,77.06,77.1,15132.0
2018-02-16,11:03:00,77.1058,77.12,77.08,77.09,8990.0
2018-02-16,11:04:00,77.1,77.1,77.045,77.1,17704.0
