date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,18.64,18.64,18.64,18.64,19276.0
2018-02-16,09:31:00,18.65,18.72,18.65,18.675,1142.0
2018-02-16,09:32:00,18.75,18.75,18.68,18.72,1968.0
2018-02-16,09:33:00,18.72,18.78,18.69,18.78,2586.0
2018-02-16,09:34:00,18.73,18.8,18.705,18.73,4926.0
2018-02-16,09:35:00,18.7,18.71,18.67,18.71,1000.0
2018-02-16,09:36:00,18.73,18.79,18.59,18.67,3500.0
2018-02-16,09:37:00,18.66,18.68,18.651,18.67,1800.0
2018-02-16,09:38:00,18.66,18.749,18.64,18.69,2200.0
2018-02-16,09:39:00,18.72,18.74,18.72,18.74,1800.0
2018-02-16,09:40:00,18.745,18.7891,18.745,18.755,2400.0
2018-02-16,09:41:00,18.74,18.77,18.71,18.71,2100.0
2018-02-16,09:42:00,18.72,18.739,18.71,18.72,1300.0
2018-02-16,09:43:00,18.7,18.72,18.68,18.68,1900.0
2018-02-16,09:44:00,18.6701,18.69,18.6491,18.6491,1900.0
2018-02-16,09:45:00,18.679,18.679,18.62,18.66,3500.0
2018-02-16,09:46:00,18.635,18.69,18.63,18.69,1357.0
2018-02-16,09:47:00,18.6752,18.6752,18.66,18.66,303.0
2018-02-16,09:48:00,18.6714,18.72,18.6714,18.72,2695.0
2018-02-16,09:49:00,18.74,18.79,18.74,18.75,700.0
2018-02-16,09:50:00,18.74,18.7899,18.74,18.77,1600.0
2018-02-16,09:51:00,18.75,18.76,18.72,18.72,1700.0
2018-02-16,09:52:00,18.72,18.7278,18.71,18.71,1100.0
2018-02-16,09:53:00,18.74,18.765,18.738,18.738,1500.0
2018-02-16,09:54:00,18.74,18.74,18.71,18.71,1000.0
2018-02-16,09:55:00,18.74,18.77,18.73,18.73,700.0
2018-02-16,09:56:00,18.71,18.71,18.68,18.68,400.0
2018-02-16,09:57:00,18.68,18.68,18.68,18.68,200.0
2018-02-16,09:58:00,18.65,18.65,18.65,18.65,400.0
2018-02-16,09:59:00,18.64,18.64,18.6,18.6,1775.0
2018-02-16,10:00:00,18.61,18.7,18.59,18.68,4570.0
2018-02-16,10:01:00,18.68,18.7,18.67,18.68,700.0
2018-02-16,10:02:00,18.68,18.68,18.67,18.67,900.0
2018-02-16,10:03:00,18.68,18.7,18.68,18.69,2500.0
2018-02-16,10:04:00,18.67,18.7,18.66,18.69,2037.0
2018-02-16,10:05:00,18.7,18.7,18.68,18.6852,900.0
2018-02-16,10:06:00,18.68,18.68,18.64,18.66,1493.0
2018-02-16,10:07:00,18.65,18.65,18.634,18.634,661.0
2018-02-16,10:08:00,18.62,18.67,18.62,18.62,1657.0
2018-02-16,10:09:00,18.63,18.65,18.62,18.62,1100.0
2018-02-16,10:10:00,18.65,18.68,18.65,18.67,2300.0
2018-02-16,10:11:00,18.66,18.66,18.64,18.64,1200.0
2018-02-16,10:12:00,18.65,18.65,18.605,18.62,6200.0
2018-02-16,10:13:00,18.62,18.63,18.61,18.62,1287.0
2018-02-16,10:14:00,18.62,18.63,18.61,18.63,700.0
2018-02-16,10:15:00,18.63,18.63,18.63,18.63,100.0
2018-02-16,10:17:00,18.6615,18.7,18.6615,18.7,2600.0
2018-02-16,10:19:00,18.69,18.72,18.69,18.72,700.0
