date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,96.01,96.1,96.0,96.0,250237.0
2018-02-16,09:31:00,96.15,96.55,96.14,96.53,21441.0
2018-02-16,09:32:00,96.49,96.49,96.31,96.31,13777.0
2018-02-16,09:33:00,96.3,96.35,96.11,96.25,10017.0
2018-02-16,09:34:00,96.25,96.31,96.01,96.01,9890.0
2018-02-16,09:35:00,96.0,96.12,95.84,96.065,17138.0
2018-02-16,09:36:00,96.1,96.165,96.0,96.055,13477.0
2018-02-16,09:37:00,96.02,96.35,96.02,96.345,16133.0
2018-02-16,09:38:00,96.34,96.4599,96.25,96.43,16604.0
2018-02-16,09:39:00,96.46,96.54,96.42,96.42,20486.0
2018-02-16,09:40:00,96.459,96.4993,96.34,96.4993,13991.0
2018-02-16,09:41:00,96.49,96.5,96.21,96.23,11640.0
2018-02-16,09:42:00,96.2175,96.24,96.03,96.05,11338.0
2018-02-16,09:43:00,96.03,96.0599,95.84,95.9,19813.0
2018-02-16,09:44:00,95.9,95.9,95.77,95.78,19533.0
2018-02-16,09:45:00,95.78,95.93,95.65,95.81,28441.0
2018-02-16,09:46:00,95.8042,96.08,95.79,95.98,27377.0
2018-02-16,09:47:00,96.03,96.05,95.99,96.0,16131.0
2018-02-16,09:48:00,96.015,96.08,95.93,96.06,17577.0
2018-02-16,09:49:00,96.05,96.15,96.04,96.08,18140.0
2018-02-16,09:50:00,96.1031,96.21,96.1,96.1835,12642.0
2018-02-16,09:51:00,96.18,96.5,96.11,96.43,23218.0
2018-02-16,09:52:00,96.45,96.5,96.42,96.4626,6100.0
2018-02-16,09:53:00,96.47,96.61,96.47,96.58,12686.0
2018-02-16,09:54:00,96.57,96.6,96.41,96.6,12234.0
2018-02-16,09:55:00,96.6,96.68,96.42,96.51,15735.0
2018-02-16,09:56:00,96.49,96.61,96.46,96.52,14923.0
2018-02-16,09:57:00,96.53,96.53,96.425,96.4429,9400.0
2018-02-16,09:58:00,96.44,96.46,96.31,96.35,8912.0
2018-02-16,09:59:00,96.35,96.35,95.98,95.99,24258.0
