date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,64.4,64.4,64.4,64.4,89629.0
2018-02-16,09:31:00,64.51,64.55,64.45,64.45,2800.0
2018-02-16,09:32:00,64.52,64.62,64.52,64.61,3053.0
2018-02-16,09:33:00,64.575,64.62,64.51,64.62,1277.0
2018-02-16,09:34:00,64.5,64.5,64.44,64.47,915.0
2018-02-16,09:35:00,64.4,64.4452,64.39,64.4452,1137.0
2018-02-16,09:36:00,64.43,64.43,64.3,64.41,1800.0
2018-02-16,09:37:00,64.32,64.32,64.32,64.32,515.0
2018-02-16,09:38:00,64.39,64.39,64.26,64.31,2500.0
2018-02-16,09:39:00,64.35,64.45,64.35,64.4,1900.0
2018-02-16,09:40:00,64.34,64.415,64.3,64.41,2800.0
2018-02-16,09:41:00,64.41,64.525,64.3975,64.525,4164.0
2018-02-16,09:42:00,64.55,64.605,64.51,64.54,2989.0
2018-02-16,09:43:00,64.55,64.6,64.54,64.58,8790.0
2018-02-16,09:44:00,64.58,64.705,64.58,64.65,6018.0
2018-02-16,09:45:00,64.62,64.65,64.54,64.55,4722.0
2018-02-16,09:46:00,64.53,64.61,64.47,64.61,3451.0
2018-02-16,09:47:00,64.58,64.6,64.55,64.58,12759.0
2018-02-16,09:48:00,64.51,64.54,64.51,64.53,2000.0
2018-02-16,09:49:00,64.52,64.6,64.475,64.57,8071.0
2018-02-16,09:50:00,64.585,64.61,64.56,64.56,7200.0
2018-02-16,09:51:00,64.54,64.58,64.48,64.58,3700.0
2018-02-16,09:52:00,64.59,64.6,64.55,64.585,1633.0
2018-02-16,09:53:00,64.58,64.58,64.49,64.49,200.0
2018-02-16,09:54:00,64.48,64.48,64.35,64.35,2854.0
2018-02-16,09:55:00,64.3,64.33,64.26,64.27,4215.0
2018-02-16,09:56:00,64.26,64.29,64.15,64.17,4000.0
2018-02-16,09:57:00,64.16,64.21,64.14,64.21,4528.0
2018-02-16,09:58:00,64.19,64.21,64.17,64.21,1500.0
2018-02-16,09:59:00,64.18,64.18,64.11,64.11,3286.0
2018-02-16,10:00:00,64.08,64.08,63.99,64.0776,2800.0
2018-02-16,10:01:00,64.06,64.1,64.05,64.07,4400.0
2018-02-16,10:02:00,64.03,64.13,64.03,64.12,3574.0
2018-02-16,10:03:00,64.13,64.15,64.12,64.13,1600.0
2018-02-16,10:04:00,64.12,64.15,64.08,64.12,4918.0
2018-02-16,10:05:00,64.15,64.24,64.15,64.22,2800.0
2018-02-16,10:06:00,64.24,64.3,64.24,64.3,1500.0
2018-02-16,10:07:00,64.29,64.34,64.26,64.31,4915.0
2018-02-16,10:08:00,64.32,64.35,64.3,64.35,2378.0
2018-02-16,10:09:00,64.34,64.4,64.34,64.4,2700.0
2018-02-16,10:10:00,64.4,64.42,64.36,64.37,3215.0
2018-02-16,10:11:00,64.37,64.38,64.3185,64.32,3011.0
2018-02-16,10:12:00,64.33,64.33,64.22,64.22,3500.0
2018-02-16,10:13:00,64.22,64.25,64.2,64.23,3157.0
2018-02-16,10:14:00,64.24,64.24,64.185,64.185,1700.0
2018-02-16,10:15:00,64.21,64.27,64.21,64.24,900.0
2018-02-16,10:16:00,64.26,64.3436,64.26,64.33,4324.0
2018-02-16,10:17:00,64.34,64.41,64.34,64.36,2200.0
2018-02-16,10:18:00,64.366,64.4,64.36,64.4,3250.0
2018-02-16,10:19:00,64.41,64.52,64.38,64.44,6900.0
2018-02-16,10:20:00,64.44,64.455,64.37,64.41,26052.0
2018-02-16,10:21:00,64.39,64.499,64.39,64.47,8955.0
2018-02-16,10:22:00,64.47,64.47,64.42,64.44,8200.0
2018-02-16,10:23:00,64.42,64.48,64.42,64.47,5880.0
2018-02-16,10:24:00,64.4823,64.4823,64.39,64.47,32650.0
2018-02-16,10:25:00,64.45,64.475,64.41,64.43,2734.0
2018-02-16,10:26:00,64.435,64.5,64.435,64.45,2000.0
2018-02-16,10:27:00,64.42,64.4425,64.4086,64.4425,2300.0
2018-02-16,10:28:00,64.39,64.45,64.38,64.45,5598.0
2018-02-16,10:29:00,64.465,64.51,64.45,64.45,7100.0
2018-02-16,10:30:00,64.48,64.5,64.41,64.5,4300.0
2018-02-16,10:31:00,64.5,64.52,64.47,64.47,6700.0
2018-02-16,10:32:00,64.47,64.495,64.44,64.495,5050.0
2018-02-16,10:33:00,64.5,64.52,64.5,64.51,5576.0
2018-02-16,10:34:00,64.51,64.53,64.5,64.51,5600.0
2018-02-16,10:35:00,64.49,64.49,64.46,64.48,1800.0
2018-02-16,10:36:00,64.48,64.5,64.47,64.5,2200.0
2018-02-16,10:37:00,64.49,64.49,64.43,64.49,3295.0
2018-02-16,10:38:00,64.48,64.515,64.48,64.48,3000.0
2018-02-16,10:39:00,64.485,64.53,64.47,64.486,7181.0
2018-02-16,10:40:00,64.47,64.49,64.46,64.47,4400.0
2018-02-16,10:41:00,64.465,64.5,64.46,64.5,20400.0
2018-02-16,10:42:00,64.5,64.5,64.45,64.46,22026.0
2018-02-16,10:43:00,64.47,64.48,64.39,64.43,12816.0
2018-02-16,10:44:00,64.44,64.47,64.42,64.46,13425.0
2018-02-16,10:45:00,64.39,64.4,64.3375,64.3375,7947.0
2018-02-16,10:46:00,64.34,64.37,64.34,64.3575,2022.0
