date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,2.85,2.85,2.85,2.85,100.0
2018-02-16,09:31:00,2.83,2.85,2.83,2.831,550822.0
2018-02-16,09:32:00,2.84,2.85,2.83,2.83,101847.0
2018-02-16,09:33:00,2.83,2.84,2.83,2.83,62380.0
2018-02-16,09:34:00,2.835,2.8499,2.82,2.8364,199822.0
2018-02-16,09:35:00,2.8399,2.85,2.82,2.84,89862.0
2018-02-16,09:36:00,2.84,2.8498,2.8228,2.83,41217.0
2018-02-16,09:37:00,2.8385,2.839,2.82,2.825,43657.0
2018-02-16,09:38:00,2.8207,2.83,2.82,2.83,55566.0
2018-02-16,09:39:00,2.8299,2.84,2.8299,2.84,100656.0
2018-02-16,09:40:00,2.8328,2.85,2.83,2.845,65870.0
2018-02-16,09:41:00,2.845,2.85,2.8411,2.845,12550.0
2018-02-16,09:42:00,2.841,2.85,2.84,2.845,28356.0
2018-02-16,09:43:00,2.845,2.86,2.84,2.85,103359.0
2018-02-16,09:44:00,2.86,2.86,2.85,2.859,16116.0
2018-02-16,09:45:00,2.855,2.86,2.835,2.835,118475.0
2018-02-16,09:46:00,2.84,2.84,2.83,2.835,32582.0
2018-02-16,09:47:00,2.84,2.84,2.83,2.8398,70875.0
2018-02-16,09:48:00,2.84,2.855,2.83,2.855,180076.0
2018-02-16,09:49:00,2.86,2.86,2.85,2.855,11300.0
2018-02-16,09:50:00,2.855,2.86,2.84,2.84,126038.0
2018-02-16,09:51:00,2.849,2.85,2.84,2.85,31700.0
2018-02-16,09:52:00,2.85,2.85,2.84,2.85,25598.0
2018-02-16,09:53:00,2.85,2.86,2.846,2.86,64972.0
2018-02-16,09:54:00,2.855,2.86,2.84,2.85,169779.0
2018-02-16,09:55:00,2.85,2.85,2.84,2.84,8601.0
2018-02-16,09:56:00,2.85,2.85,2.84,2.845,23941.0
2018-02-16,09:57:00,2.84,2.85,2.84,2.845,35080.0
2018-02-16,09:58:00,2.85,2.85,2.84,2.85,45897.0
2018-02-16,09:59:00,2.845,2.85,2.84,2.85,67243.0
2018-02-16,10:00:00,2.85,2.85,2.8301,2.84,89529.0
2018-02-16,10:01:00,2.845,2.85,2.84,2.845,11600.0
2018-02-16,10:02:00,2.845,2.8475,2.83,2.8361,124830.0
2018-02-16,10:03:00,2.83,2.8356,2.83,2.835,52385.0
2018-02-16,10:04:00,2.835,2.84,2.83,2.835,107146.0
2018-02-16,10:05:00,2.83,2.84,2.83,2.83,150900.0
2018-02-16,10:06:00,2.83,2.83,2.82,2.82,219282.0
2018-02-16,10:07:00,2.83,2.83,2.82,2.82,76026.0
2018-02-16,10:08:00,2.82,2.8257,2.81,2.815,182392.0
2018-02-16,10:09:00,2.819,2.82,2.81,2.815,8605.0
2018-02-16,10:10:00,2.819,2.83,2.81,2.829,116206.0
2018-02-16,10:11:00,2.8238,2.8299,2.82,2.825,20510.0
2018-02-16,10:12:00,2.8247,2.8295,2.82,2.8236,16706.0
2018-02-16,10:13:00,2.829,2.829,2.81,2.81,41215.0
