date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,364.03,364.03,364.03,364.03,56201.0
2018-02-16,09:31:00,364.5,365.16,364.5,365.16,500.0
2018-02-16,09:32:00,365.59,365.59,364.1,364.1,1156.0
2018-02-16,09:33:00,364.185,365.43,363.43,363.43,3338.0
2018-02-16,09:34:00,362.81,362.81,361.49,361.49,600.0
2018-02-16,09:35:00,361.49,363.23,361.49,363.23,3640.0
2018-02-16,09:36:00,362.93,362.93,362.57,362.57,7400.0
2018-02-16,09:37:00,363.52,363.57,362.68,362.68,2891.0
2018-02-16,09:38:00,363.565,363.785,362.16,362.16,13420.0
2018-02-16,09:39:00,363.08,364.24,363.08,363.14,1718.0
2018-02-16,09:40:00,363.7,364.01,363.27,364.01,3000.0
2018-02-16,09:41:00,363.62,364.2,363.62,363.9,1485.0
2018-02-16,09:42:00,363.59,363.61,363.36,363.37,2200.0
2018-02-16,09:43:00,363.58,364.34,363.58,364.34,1610.0
2018-02-16,09:44:00,364.54,364.54,364.17,364.17,200.0
2018-02-16,09:46:00,364.519,365.87,364.47,365.87,918.0
2018-02-16,09:47:00,365.31,365.35,365.31,365.35,700.0
2018-02-16,09:48:00,365.625,365.645,365.625,365.645,200.0
2018-02-16,09:49:00,365.66,366.33,365.66,366.23,1400.0
2018-02-16,09:50:00,366.06,366.08,366.06,366.08,230.0
2018-02-16,09:51:00,366.27,366.32,366.11,366.11,600.0
2018-02-16,09:52:00,366.11,366.2615,365.935,366.2615,1352.0
2018-02-16,09:53:00,366.185,366.185,366.185,366.185,200.0
2018-02-16,09:54:00,366.225,366.225,365.95,365.95,700.0
2018-02-16,09:55:00,366.225,366.46,366.225,366.44,2300.0
2018-02-16,09:56:00,366.52,366.52,366.0,366.0,1014.0
2018-02-16,09:57:00,366.22,366.22,365.9,365.955,2200.0
2018-02-16,09:59:00,365.73,365.99,365.55,365.55,2000.0
2018-02-16,10:00:00,365.21,365.4812,365.135,365.405,1178.0
2018-02-16,10:01:00,365.405,365.405,365.07,365.095,1500.0
2018-02-16,10:02:00,365.25,366.49,365.25,366.385,1773.0
2018-02-16,10:03:00,366.6,366.6,366.35,366.35,379.0
2018-02-16,10:04:00,366.1,366.54,366.02,366.54,13275.0
2018-02-16,10:05:00,366.395,366.56,366.2,366.56,600.0
2018-02-16,10:06:00,366.18,366.35,366.16,366.31,900.0
2018-02-16,10:07:00,366.305,366.69,366.305,366.61,800.0
2018-02-16,10:08:00,366.33,366.565,366.33,366.33,600.0
2018-02-16,10:09:00,366.57,366.57,366.57,366.57,100.0
2018-02-16,10:10:00,366.85,367.11,366.82,367.11,700.0
2018-02-16,10:11:00,367.13,367.27,366.92,367.13,1300.0
2018-02-16,10:12:00,367.14,367.145,366.89,366.98,2300.0
