date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,8.36,8.36,8.36,8.36,53526.0
2018-02-16,09:31:00,8.36,8.42,8.36,8.42,5056.0
2018-02-16,09:32:00,8.42,8.45,8.42,8.45,11200.0
2018-02-16,09:33:00,8.45,8.48,8.45,8.48,12700.0
2018-02-16,09:34:00,8.49,8.53,8.48,8.525,34903.0
2018-02-16,09:35:00,8.53,8.54,8.53,8.54,3700.0
2018-02-16,09:36:00,8.54,8.54,8.475,8.5,19456.0
2018-02-16,09:37:00,8.5,8.5,8.46,8.46,9500.0
2018-02-16,09:38:00,8.465,8.47,8.46,8.465,5000.0
2018-02-16,09:39:00,8.47,8.49,8.47,8.48,9242.0
2018-02-16,09:40:00,8.481,8.485,8.465,8.465,11032.0
2018-02-16,09:41:00,8.47,8.47,8.46,8.47,5100.0
2018-02-16,09:42:00,8.47,8.48,8.47,8.48,1400.0
2018-02-16,09:43:00,8.475,8.49,8.475,8.4858,2665.0
2018-02-16,09:44:00,8.49,8.515,8.485,8.505,18472.0
2018-02-16,09:45:00,8.51,8.51,8.495,8.4959,8155.0
2018-02-16,09:46:00,8.5,8.54,8.495,8.54,28028.0
2018-02-16,09:47:00,8.54,8.55,8.5361,8.55,14000.0
2018-02-16,09:48:00,8.55,8.57,8.545,8.5601,20579.0
2018-02-16,09:49:00,8.57,8.57,8.5612,8.5612,5600.0
2018-02-16,09:50:00,8.56,8.565,8.55,8.555,20786.0
2018-02-16,09:51:00,8.545,8.545,8.53,8.54,8600.0
2018-02-16,09:52:00,8.535,8.535,8.535,8.535,2900.0
2018-02-16,09:53:00,8.54,8.54,8.525,8.53,10500.0
2018-02-16,09:54:00,8.5264,8.53,8.51,8.515,14275.0
2018-02-16,09:55:00,8.515,8.515,8.51,8.515,2700.0
2018-02-16,09:56:00,8.515,8.52,8.51,8.515,5580.0
2018-02-16,09:57:00,8.515,8.52,8.515,8.52,9586.0
2018-02-16,09:58:00,8.515,8.52,8.48,8.48,36610.0
2018-02-16,09:59:00,8.485,8.4899,8.48,8.4899,11970.0
2018-02-16,10:00:00,8.49,8.49,8.48,8.48,2600.0
2018-02-16,10:01:00,8.48,8.485,8.44,8.46,12893.0
2018-02-16,10:02:00,8.45,8.46,8.45,8.46,3427.0
2018-02-16,10:03:00,8.455,8.46,8.455,8.46,800.0
2018-02-16,10:04:00,8.46,8.47,8.46,8.47,8437.0
2018-02-16,10:05:00,8.465,8.47,8.4432,8.4432,22295.0
2018-02-16,10:06:00,8.44,8.45,8.44,8.44,8130.0
2018-02-16,10:07:00,8.44,8.445,8.43,8.43,7825.0
2018-02-16,10:08:00,8.43,8.445,8.43,8.43,25870.0
2018-02-16,10:09:00,8.4254,8.43,8.4254,8.43,2900.0
2018-02-16,10:10:00,8.43,8.44,8.43,8.435,3844.0
2018-02-16,10:11:00,8.43,8.43,8.405,8.405,8452.0
2018-02-16,10:12:00,8.405,8.41,8.405,8.405,800.0
2018-02-16,10:13:00,8.4,8.41,8.4,8.41,23895.0
2018-02-16,10:14:00,8.415,8.42,8.415,8.42,5870.0
2018-02-16,10:15:00,8.42,8.42,8.41,8.42,7083.0
2018-02-16,10:16:00,8.42,8.42,8.41,8.42,500.0
2018-02-16,10:17:00,8.42,8.44,8.41,8.43,41480.0
2018-02-16,10:18:00,8.425,8.43,8.425,8.425,2600.0
2018-02-16,10:19:00,8.42,8.4253,8.42,8.425,423.0
2018-02-16,10:20:00,8.42,8.425,8.41,8.4175,6710.0
2018-02-16,10:21:00,8.41,8.41,8.4,8.4047,2417.0
2018-02-16,10:22:00,8.405,8.409,8.39,8.395,22783.0
2018-02-16,10:23:00,8.395,8.4,8.39,8.395,20546.0
2018-02-16,10:24:00,8.4,8.4,8.39,8.395,5002.0
2018-02-16,10:25:00,8.3999,8.4,8.39,8.39,2546.0
2018-02-16,10:26:00,8.39,8.4,8.39,8.39,3974.0
2018-02-16,10:27:00,8.395,8.4,8.39,8.39,3600.0
2018-02-16,10:28:00,8.3921,8.4,8.39,8.4,2085.0
2018-02-16,10:29:00,8.39,8.4,8.39,8.39,3260.0
2018-02-16,10:30:00,8.39,8.395,8.39,8.39,1257.0
2018-02-16,10:31:00,8.395,8.4,8.39,8.4,10900.0
2018-02-16,10:32:00,8.4,8.4,8.39,8.395,2100.0
2018-02-16,10:33:00,8.395,8.4,8.39,8.4,3100.0
2018-02-16,10:34:00,8.395,8.4,8.39,8.395,1900.0
2018-02-16,10:35:00,8.395,8.4,8.395,8.395,3000.0
2018-02-16,10:36:00,8.395,8.4,8.39,8.395,3138.0
2018-02-16,10:37:00,8.39,8.4,8.39,8.395,2700.0
2018-02-16,10:38:00,8.395,8.4,8.39,8.4,4046.0
2018-02-16,10:39:00,8.39,8.4,8.39,8.39,3138.0
2018-02-16,10:40:00,8.395,8.4,8.3936,8.395,2429.0
2018-02-16,10:41:00,8.4,8.42,8.4,8.42,11925.0
2018-02-16,10:42:00,8.4166,8.4199,8.415,8.415,1950.0
2018-02-16,10:43:00,8.4165,8.43,8.415,8.42,15406.0
2018-02-16,10:44:00,8.42,8.429,8.42,8.425,500.0
2018-02-16,10:45:00,8.425,8.43,8.425,8.43,2900.0
2018-02-16,10:46:00,8.425,8.445,8.425,8.44,14300.0
2018-02-16,10:47:00,8.44,8.4459,8.44,8.445,1400.0
2018-02-16,10:48:00,8.44,8.445,8.44,8.445,1600.0
2018-02-16,10:49:00,8.44,8.45,8.44,8.45,1200.0
2018-02-16,10:50:00,8.45,8.4551,8.447,8.455,15322.0
2018-02-16,10:51:00,8.45,8.46,8.45,8.455,2500.0
2018-02-16,10:52:00,8.45,8.455,8.45,8.455,2629.0
2018-02-16,10:53:00,8.4527,8.46,8.45,8.455,905.0
