date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,39.99,40.09,39.99,40.05,1285389.0
2018-02-16,09:31:00,40.05,40.2,40.04,40.06,96693.0
2018-02-16,09:32:00,40.065,40.12,39.99,40.1,174198.0
2018-02-16,09:33:00,40.09,40.09,40.01,40.01,77864.0
2018-02-16,09:34:00,40.02,40.03,39.92,39.94,57925.0
2018-02-16,09:35:00,39.95,40.02,39.935,40.0,117736.0
2018-02-16,09:36:00,39.995,40.03,39.96,40.005,59276.0
2018-02-16,09:37:00,40.01,40.01,39.96,39.98,56208.0
2018-02-16,09:38:00,39.985,39.99,39.92,39.99,26856.0
2018-02-16,09:39:00,39.99,40.04,39.9856,40.035,62735.0
2018-02-16,09:40:00,40.04,40.08,40.025,40.0725,59671.0
2018-02-16,09:41:00,40.0725,40.08,40.01,40.03,42093.0
2018-02-16,09:42:00,40.02,40.04,40.0,40.01,36328.0
2018-02-16,09:43:00,40.01,40.08,40.01,40.07,19444.0
2018-02-16,09:44:00,40.07,40.085,40.05,40.06,42067.0
2018-02-16,09:45:00,40.06,40.08,40.05,40.07,36290.0
2018-02-16,09:46:00,40.07,40.15,40.05,40.15,33236.0
2018-02-16,09:47:00,40.155,40.18,40.15,40.175,20620.0
2018-02-16,09:48:00,40.1731,40.205,40.17,40.2,34858.0
2018-02-16,09:49:00,40.19,40.25,40.18,40.24,36272.0
2018-02-16,09:50:00,40.24,40.245,40.2,40.215,35547.0
2018-02-16,09:51:00,40.21,40.25,40.17,40.245,26143.0
2018-02-16,09:52:00,40.245,40.25,40.215,40.23,40890.0
2018-02-16,09:53:00,40.23,40.28,40.225,40.27,52220.0
2018-02-16,09:54:00,40.27,40.28,40.25,40.265,14192.0
2018-02-16,09:55:00,40.26,40.27,40.22,40.22,26354.0
2018-02-16,09:56:00,40.22,40.225,40.18,40.18,19790.0
2018-02-16,09:57:00,40.18,40.18,40.125,40.13,23002.0
2018-02-16,09:58:00,40.13,40.14,40.12,40.13,22813.0
2018-02-16,09:59:00,40.13,40.14,40.08,40.08,15333.0
2018-02-16,10:00:00,40.08,40.12,40.06,40.095,19553.0
2018-02-16,10:01:00,40.1,40.13,40.08,40.09,22798.0
2018-02-16,10:02:00,40.08,40.14,40.075,40.14,29337.0
2018-02-16,10:03:00,40.14,40.18,40.13,40.1762,17057.0
2018-02-16,10:04:00,40.17,40.18,40.15,40.18,20022.0
2018-02-16,10:05:00,40.18,40.18,40.125,40.13,20983.0
2018-02-16,10:06:00,40.13,40.13,40.095,40.12,19256.0
2018-02-16,10:07:00,40.12,40.12,40.09,40.095,18798.0
2018-02-16,10:08:00,40.095,40.13,40.08,40.0925,27121.0
2018-02-16,10:09:00,40.1,40.1052,40.09,40.095,81719.0
2018-02-16,10:10:00,40.09,40.115,40.05,40.1,45172.0
