date,ToD,open,high,low,close,volume
2018-02-16,09:31:00,164.93,164.93,164.59,164.59,44502.0
2018-02-16,09:32:00,164.68,165.02,164.65,164.835,4120.0
2018-02-16,09:33:00,164.88,164.88,164.39,164.69,6949.0
2018-02-16,09:34:00,164.39,164.66,164.39,164.41,700.0
2018-02-16,09:35:00,164.629,164.67,164.62,164.67,500.0
2018-02-16,09:36:00,164.82,165.0,164.53,164.53,1800.0
2018-02-16,09:37:00,164.6501,164.85,164.6501,164.85,900.0
2018-02-16,09:38:00,164.835,164.94,164.835,164.895,400.0
2018-02-16,09:39:00,164.94,165.12,164.94,165.12,2181.0
2018-02-16,09:40:00,165.13,165.32,165.1197,165.19,22600.0
2018-02-16,09:41:00,165.13,165.18,165.036,165.065,2600.0
2018-02-16,09:42:00,165.06,165.06,164.9,164.9,1600.0
2018-02-16,09:43:00,165.04,165.11,164.93,165.005,4242.0
2018-02-16,09:44:00,165.07,165.18,164.865,164.865,2413.0
2018-02-16,09:45:00,164.965,165.05,164.72,165.03,4500.0
2018-02-16,09:46:00,164.985,165.32,164.76,165.3199,4343.0
2018-02-16,09:47:00,165.285,165.41,165.285,165.41,1265.0
2018-02-16,09:48:00,165.54,165.83,165.44,165.58,4300.0
2018-02-16,09:49:00,165.62,165.75,165.54,165.75,7046.0
2018-02-16,09:50:00,165.775,165.8899,165.72,165.76,5894.0
2018-02-16,09:51:00,165.79,165.94,165.7,165.87,4695.0
2018-02-16,09:52:00,165.96,166.08,165.8,166.08,4440.0
2018-02-16,09:53:00,166.08,166.08,165.75,165.75,5150.0
2018-02-16,09:54:00,165.815,165.9,165.73,165.81,3382.0
2018-02-16,09:55:00,165.915,166.075,165.84,165.95,5788.0
2018-02-16,09:56:00,166.02,166.1,165.95,166.06,4700.0
2018-02-16,09:57:00,166.05,166.2,166.03,166.095,3106.0
2018-02-16,09:58:00,166.09,166.11,165.98,166.04,2009.0
2018-02-16,09:59:00,166.09,166.09,165.81,165.81,2908.0
2018-02-16,10:00:00,165.77,165.8,165.47,165.47,1600.0
2018-02-16,10:01:00,165.6,165.81,165.6,165.655,3420.0
2018-02-16,10:02:00,165.6,165.704,165.6,165.704,200.0
2018-02-16,10:03:00,165.6786,165.75,165.6,165.69,825.0
2018-02-16,10:04:00,165.69,165.6961,165.525,165.525,2200.0
2018-02-16,10:05:00,165.37,165.56,165.37,165.55,1400.0
2018-02-16,10:06:00,165.5,165.68,165.47,165.66,1810.0
2018-02-16,10:07:00,165.65,165.65,165.52,165.56,745.0
2018-02-16,10:08:00,165.53,165.819,165.53,165.8,1750.0
2018-02-16,10:09:00,165.88,166.12,165.88,166.12,900.0
2018-02-16,10:10:00,166.17,166.37,166.11,166.11,4590.0
2018-02-16,10:11:00,166.11,166.11,165.97,166.02,1900.0
2018-02-16,10:12:00,165.93,166.01,165.81,165.81,1800.0
2018-02-16,10:13:00,165.895,165.99,165.79,165.95,1700.0
2018-02-16,10:14:00,165.93,165.93,165.76,165.76,800.0
2018-02-16,10:15:00,165.69,165.83,165.69,165.81,1500.0
2018-02-16,10:16:00,165.94,165.94,165.86,165.9,1469.0
2018-02-16,10:17:00,165.89,166.075,165.89,166.015,1735.0
2018-02-16,10:18:00,166.01,166.05,165.87,165.88,5055.0
2018-02-16,10:19:00,165.93,165.93,165.93,165.93,100.0
2018-02-16,10:20:00,165.925,165.95,165.55,165.55,3334.0
2018-02-16,10:21:00,165.63,165.63,165.63,165.63,100.0
2018-02-16,10:22:00,165.71,165.75,165.64,165.705,2315.0
2018-02-16,10:23:00,165.7,165.71,165.61,165.68,1900.0
2018-02-16,10:24:00,165.74,165.74,165.43,165.56,2336.0
2018-02-16,10:25:00,165.535,165.65,165.535,165.61,600.0
2018-02-16,10:26:00,165.64,165.68,165.5415,165.55,1908.0
2018-02-16,10:27:00,165.54,165.63,165.54,165.58,1200.0
2018-02-16,10:28:00,165.64,165.64,165.56,165.6,1100.0
2018-02-16,10:29:00,165.55,165.7099,165.55,165.7099,1375.0
2018-02-16,10:30:00,165.63,165.65,165.37,165.65,2800.0
2018-02-16,10:31:00,165.674,165.74,165.55,165.575,2500.0
2018-02-16,10:32:00,165.65,165.7,165.38,165.38,1500.0
2018-02-16,10:33:00,165.45,165.6,165.43,165.58,2300.0
2018-02-16,10:34:00,165.57,165.7,165.535,165.7,1300.0
2018-02-16,10:35:00,165.77,165.77,165.58,165.69,1600.0
2018-02-16,10:36:00,165.62,165.97,165.62,165.97,2513.0
2018-02-16,10:37:00,165.98,165.98,165.93,165.93,200.0
2018-02-16,10:38:00,165.89,165.935,165.79,165.8,2442.0
2018-02-16,10:39:00,165.86,165.91,165.82,165.8892,1000.0
2018-02-16,10:40:00,165.93,165.93,165.87,165.87,300.0
2018-02-16,10:41:00,165.87,166.06,165.87,166.01,2119.0
2018-02-16,10:42:00,166.0,166.01,165.87,165.87,3300.0
2018-02-16,10:43:00,166.02,166.04,165.97,165.99,1158.0
2018-02-16,10:44:00,165.92,166.04,165.92,165.99,1351.0
2018-02-16,10:45:00,166.0062,166.06,165.95,166.02,4190.0
2018-02-16,10:46:00,166.03,166.11,166.01,166.01,600.0
2018-02-16,10:47:00,166.12,166.38,166.12,166.38,3035.0
2018-02-16,10:48:00,166.37,166.38,166.23,166.34,1903.0
2018-02-16,10:49:00,166.2469,166.2573,166.2469,166.2573,200.0
2018-02-16,10:50:00,166.2867,166.46,166.2867,166.46,2080.0
2018-02-16,10:51:00,166.4617,166.4617,166.29,166.29,1700.0
2018-02-16,10:52:00,166.29,166.44,166.29,166.44,700.0
2018-02-16,10:53:00,166.3813,166.4486,166.31,166.4486,1790.0
2018-02-16,10:54:00,166.42,166.435,166.42,166.435,300.0
2018-02-16,10:55:00,166.43,166.6,166.41,166.6,2300.0
2018-02-16,10:56:00,166.52,166.52,166.43,166.457,2026.0
2018-02-16,10:57:00,166.53,166.6,166.52,166.57,1200.0
2018-02-16,10:58:00,166.49,166.555,166.485,166.485,771.0
2018-02-16,10:59:00,166.5206,166.5206,166.4,166.5,700.0
2018-02-16,11:00:00,166.44,166.44,166.14,166.179,2743.0
2018-02-16,11:01:00,166.32,166.49,166.32,166.46,3412.0
2018-02-16,11:02:00,166.53,166.53,166.4,166.421,2386.0
2018-02-16,11:03:00,166.509,166.52,166.41,166.52,400.0
2018-02-16,11:04:00,166.475,166.475,166.25,166.25,2600.0
2018-02-16,11:05:00,166.3166,166.619,166.24,166.24,3610.0
2018-02-16,11:06:00,166.385,166.57,166.3275,166.57,2700.0
2018-02-16,11:07:00,166.57,166.63,166.49,166.49,1700.0
2018-02-16,11:08:00,166.565,166.565,166.565,166.565,100.0
2018-02-16,11:09:00,166.5332,166.74,166.5332,166.7235,2546.0
2018-02-16,11:10:00,166.77,166.85,166.77,166.84,900.0
2018-02-16,11:11:00,166.86,167.0,166.84,167.0,1300.0
2018-02-16,11:12:00,166.9101,166.99,166.79,166.9439,4726.0
2018-02-16,11:13:00,167.0,167.07,166.95,166.96,3962.0
2018-02-16,11:14:00,166.955,166.98,166.92,166.94,1548.0
