date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,191.45,191.45,191.45,191.45,124113.0
2018-02-16,09:31:00,191.45,191.69,191.13,191.58,5672.0
2018-02-16,09:32:00,191.514,191.75,191.514,191.7,8744.0
2018-02-16,09:33:00,191.81,191.963,191.73,191.73,6045.0
2018-02-16,09:34:00,191.94,191.94,191.71,191.775,1100.0
2018-02-16,09:35:00,191.72,192.385,191.7,192.385,6868.0
2018-02-16,09:36:00,192.3694,192.54,192.16,192.41,11426.0
2018-02-16,09:37:00,192.41,192.97,192.41,192.969,4300.0
2018-02-16,09:38:00,192.95,193.0,192.7296,193.0,5706.0
2018-02-16,09:39:00,193.01,193.9,193.01,193.78,18742.0
2018-02-16,09:40:00,193.7817,194.13,193.58,193.62,22652.0
2018-02-16,09:41:00,193.61,193.78,193.45,193.55,5950.0
2018-02-16,09:42:00,193.47,193.5848,193.28,193.41,2400.0
2018-02-16,09:43:00,193.36,193.65,193.33,193.58,5923.0
2018-02-16,09:44:00,193.6295,193.75,193.51,193.51,6049.0
2018-02-16,09:45:00,193.45,193.495,193.08,193.32,6577.0
2018-02-16,09:46:00,193.38,193.466,193.16,193.375,7250.0
2018-02-16,09:47:00,193.33,193.48,193.2,193.48,7186.0
2018-02-16,09:48:00,193.4398,193.552,193.37,193.4315,3900.0
2018-02-16,09:49:00,193.34,193.45,193.27,193.4,1800.0
2018-02-16,09:50:00,193.4,193.6,193.385,193.4,4507.0
2018-02-16,09:51:00,193.44,193.57,193.15,193.57,3800.0
2018-02-16,09:52:00,193.44,193.495,193.3605,193.38,2800.0
2018-02-16,09:53:00,193.49,193.49,193.2,193.4,6300.0
2018-02-16,09:54:00,193.315,193.47,193.24,193.27,3400.0
2018-02-16,09:55:00,193.39,193.43,193.26,193.34,2900.0
2018-02-16,09:56:00,193.41,193.55,193.41,193.505,1200.0
2018-02-16,09:57:00,193.44,193.44,193.17,193.17,3695.0
2018-02-16,09:58:00,193.24,193.24,193.0,193.0625,4905.0
2018-02-16,09:59:00,192.96,192.985,192.69,192.875,6775.0
2018-02-16,10:00:00,192.78,192.8301,192.38,192.38,5105.0
2018-02-16,10:01:00,192.31,192.63,192.25,192.495,18150.0
2018-02-16,10:02:00,192.48,192.859,192.47,192.635,18237.0
2018-02-16,10:03:00,192.635,192.78,192.59,192.6,14916.0
2018-02-16,10:04:00,192.61,192.65,192.4301,192.4301,3865.0
2018-02-16,10:05:00,192.52,192.65,192.52,192.528,1050.0
2018-02-16,10:06:00,192.43,192.485,192.3002,192.35,1966.0
2018-02-16,10:07:00,192.3,192.355,192.2,192.245,3244.0
2018-02-16,10:08:00,192.11,192.28,192.06,192.12,2500.0
2018-02-16,10:09:00,192.17,192.24,192.06,192.21,5900.0
2018-02-16,10:10:00,192.17,192.35,192.14,192.35,900.0
2018-02-16,10:11:00,192.3,192.3,192.14,192.17,1400.0
2018-02-16,10:12:00,192.08,192.1825,191.95,192.07,11950.0
2018-02-16,10:13:00,192.11,192.37,192.04,192.295,2317.0
2018-02-16,10:14:00,192.27,192.37,192.27,192.3291,2200.0
2018-02-16,10:15:00,192.3599,192.56,192.3599,192.45,6650.0
2018-02-16,10:16:00,192.4907,192.51,192.41,192.45,1018.0
2018-02-16,10:17:00,192.43,192.64,192.43,192.64,1227.0
2018-02-16,10:18:00,192.66,192.73,192.51,192.71,13325.0
2018-02-16,10:19:00,192.6615,192.6615,192.6615,192.6615,200.0
2018-02-16,10:20:00,192.65,192.65,192.48,192.5899,11978.0
2018-02-16,10:21:00,192.525,192.7585,192.525,192.7585,1450.0
2018-02-16,10:22:00,192.75,192.84,192.74,192.79,1679.0
2018-02-16,10:23:00,192.83,192.94,192.8196,192.94,2130.0
2018-02-16,10:24:00,192.83,192.88,192.73,192.82,8200.0
2018-02-16,10:25:00,192.73,193.01,192.72,193.01,2020.0
2018-02-16,10:26:00,192.96,193.16,192.95,193.03,1600.0
2018-02-16,10:27:00,192.86,193.13,192.8545,193.12,3253.0
2018-02-16,10:28:00,193.22,193.23,193.06,193.13,8112.0
2018-02-16,10:29:00,193.13,193.1723,193.05,193.055,1329.0
2018-02-16,10:30:00,193.01,193.23,193.0,193.23,3600.0
2018-02-16,10:31:00,193.13,193.33,193.13,193.33,1944.0
2018-02-16,10:32:00,193.33,193.63,193.33,193.61,13792.0
2018-02-16,10:33:00,193.67,193.7,193.55,193.65,1700.0
2018-02-16,10:34:00,193.6,193.66,193.51,193.59,2400.0
2018-02-16,10:35:00,193.59,193.59,193.24,193.24,2160.0
2018-02-16,10:36:00,193.24,193.57,193.24,193.57,2508.0
2018-02-16,10:37:00,193.5073,193.62,193.44,193.62,4228.0
2018-02-16,10:38:00,193.61,193.66,193.52,193.655,2535.0
2018-02-16,10:39:00,193.65,193.81,193.63,193.63,3954.0
2018-02-16,10:40:00,193.69,193.755,193.381,193.381,12783.0
2018-02-16,10:41:00,193.32,193.37,193.2652,193.37,4300.0
2018-02-16,10:42:00,193.385,193.5,193.38,193.43,700.0
2018-02-16,10:43:00,193.49,193.63,193.38,193.53,4152.0
2018-02-16,10:44:00,193.522,193.62,193.46,193.61,1025.0
2018-02-16,10:45:00,193.4583,193.59,193.4583,193.54,2250.0
2018-02-16,10:46:00,193.5,193.65,193.5,193.59,1505.0
2018-02-16,10:47:00,193.6465,193.75,193.58,193.74,3361.0
2018-02-16,10:48:00,193.6977,193.999,193.65,193.98,15187.0
2018-02-16,10:49:00,193.95,193.9667,193.81,193.86,2665.0
2018-02-16,10:50:00,193.88,194.18,193.83,194.1364,12244.0
2018-02-16,10:51:00,194.17,194.53,194.17,194.53,18698.0
2018-02-16,10:52:00,194.55,194.62,194.22,194.22,3208.0
2018-02-16,10:53:00,194.21,194.34,194.15,194.1871,1900.0
2018-02-16,10:54:00,194.2,194.35,194.2,194.3252,2464.0
2018-02-16,10:55:00,194.25,194.27,194.135,194.23,3750.0
2018-02-16,10:56:00,194.21,194.21,194.14,194.14,1100.0
2018-02-16,10:57:00,194.14,194.14,194.08,194.11,1800.0
2018-02-16,10:58:00,194.144,194.21,194.144,194.18,1600.0
2018-02-16,10:59:00,194.17,194.27,194.15,194.26,1005.0
2018-02-16,11:00:00,194.18,194.19,193.79,194.07,7898.0
2018-02-16,11:01:00,194.083,194.2,194.083,194.105,2010.0
2018-02-16,11:02:00,194.15,194.17,194.0801,194.0801,500.0
2018-02-16,11:03:00,194.126,194.126,194.0,194.0,1900.0
2018-02-16,11:04:00,193.96,193.96,193.84,193.8702,700.0
2018-02-16,11:05:00,193.89,194.05,193.89,194.05,1850.0
2018-02-16,11:06:00,193.91,193.91,193.87,193.91,1000.0
2018-02-16,11:07:00,193.89,194.09,193.86,194.02,3061.0
2018-02-16,11:08:00,193.87,194.0,193.84,194.0,2148.0
2018-02-16,11:09:00,193.99,194.02,193.9,194.02,1926.0
2018-02-16,11:10:00,194.08,194.17,194.06,194.125,682.0
2018-02-16,11:11:00,194.09,194.09,193.9,194.06,2100.0
2018-02-16,11:12:00,194.11,194.11,194.11,194.11,300.0
2018-02-16,11:13:00,194.1,194.1616,194.0,194.0,3468.0
2018-02-16,11:14:00,193.92,194.0,193.92,194.0,1647.0
2018-02-16,11:15:00,194.05,194.05,193.87,193.9074,2719.0
2018-02-16,11:16:00,193.925,194.15,193.87,194.1427,7112.0
2018-02-16,11:17:00,194.13,194.2,194.12,194.2,5570.0
2018-02-16,11:18:00,194.17,194.17,194.0464,194.0464,1500.0
2018-02-16,11:19:00,194.04,194.04,193.87,193.89,3150.0
2018-02-16,11:20:00,193.94,194.01,193.87,193.97,3322.0
