date,ToD,open,high,low,close,volume
2018-02-16,09:31:00,112.84,113.09,112.84,112.935,177616.0
2018-02-16,09:32:00,112.87,112.952,112.87,112.87,3636.0
2018-02-16,09:33:00,112.87,112.89,112.68,112.8,12643.0
2018-02-16,09:34:00,112.79,112.85,112.74,112.85,4450.0
2018-02-16,09:35:00,112.84,113.0,112.8,112.9,8218.0
2018-02-16,09:36:00,112.91,113.08,112.89,113.08,8112.0
2018-02-16,09:37:00,113.08,113.2,113.04,113.14,12451.0
2018-02-16,09:38:00,113.14,113.1799,113.03,113.1,18827.0
2018-02-16,09:39:00,113.14,113.21,113.05,113.05,7950.0
2018-02-16,09:40:00,113.07,113.17,113.06,113.1,5453.0
2018-02-16,09:41:00,113.12,113.17,113.025,113.1,10578.0
2018-02-16,09:42:00,113.15,113.1699,113.01,113.12,16678.0
2018-02-16,09:43:00,113.13,113.24,113.13,113.15,3547.0
2018-02-16,09:44:00,113.19,113.36,113.19,113.31,17595.0
2018-02-16,09:45:00,113.33,113.36,113.1,113.11,26667.0
2018-02-16,09:46:00,113.06,113.23,113.03,113.195,31227.0
2018-02-16,09:47:00,113.21,113.27,113.17,113.27,17950.0
2018-02-16,09:48:00,113.25,113.25,113.04,113.08,12924.0
2018-02-16,09:49:00,113.09,113.13,113.01,113.1,40366.0
2018-02-16,09:50:00,113.09,113.25,113.09,113.209,23726.0
2018-02-16,09:51:00,113.19,113.36,113.16,113.36,12622.0
2018-02-16,09:52:00,113.36,113.38,113.32,113.32,4038.0
2018-02-16,09:53:00,113.33,113.43,113.29,113.43,18118.0
2018-02-16,09:54:00,113.45,113.47,113.38,113.43,11470.0
2018-02-16,09:55:00,113.43,113.48,113.28,113.29,19448.0
2018-02-16,09:56:00,113.26,113.34,113.26,113.305,15724.0
2018-02-16,09:57:00,113.3096,113.35,113.3,113.3,10954.0
2018-02-16,09:58:00,113.29,113.32,113.22,113.25,29515.0
2018-02-16,09:59:00,113.24,113.26,113.17,113.2,7066.0
2018-02-16,10:00:00,113.21,113.24,113.05,113.05,8003.0
2018-02-16,10:01:00,113.07,113.15,112.97,113.0,11574.0
2018-02-16,10:02:00,112.98,113.0374,112.92,113.01,11951.0
2018-02-16,10:03:00,113.0,113.0,112.8511,112.86,5100.0
2018-02-16,10:04:00,112.89,112.93,112.85,112.93,11675.0
2018-02-16,10:05:00,112.93,112.97,112.9,112.93,12657.0
2018-02-16,10:06:00,112.88,113.0,112.88,113.0,9841.0
2018-02-16,10:07:00,112.99,113.02,112.95,112.96,7663.0
2018-02-16,10:08:00,112.9622,113.0,112.94,112.9638,7437.0
2018-02-16,10:09:00,112.965,113.05,112.89,113.02,16683.0
2018-02-16,10:10:00,113.035,113.11,113.035,113.09,7566.0
2018-02-16,10:11:00,113.1,113.12,113.0,113.015,7853.0
2018-02-16,10:12:00,113.0205,113.0205,112.88,112.89,9247.0
2018-02-16,10:13:00,112.901,112.97,112.86,112.97,9041.0
2018-02-16,10:14:00,112.99,113.0,112.83,112.83,5621.0
2018-02-16,10:15:00,112.82,112.94,112.81,112.9,5082.0
2018-02-16,10:16:00,112.92,113.07,112.905,112.98,8413.0
2018-02-16,10:17:00,112.98,113.08,112.96,113.02,9100.0
2018-02-16,10:18:00,112.99,113.0,112.9,112.97,8394.0
2018-02-16,10:19:00,112.96,113.07,112.95,113.02,5050.0
2018-02-16,10:20:00,113.0,113.01,112.84,112.85,7164.0
2018-02-16,10:21:00,112.84,112.88,112.81,112.88,6750.0
2018-02-16,10:22:00,112.92,112.94,112.845,112.91,5937.0
2018-02-16,10:23:00,112.9,112.92,112.865,112.89,8263.0
2018-02-16,10:24:00,112.9,112.9,112.67,112.71,11031.0
2018-02-16,10:25:00,112.71,112.865,112.71,112.84,7110.0
2018-02-16,10:26:00,112.84,113.01,112.82,112.91,14422.0
2018-02-16,10:27:00,112.91,112.91,112.78,112.8,9441.0
2018-02-16,10:28:00,112.82,112.91,112.82,112.89,4482.0
2018-02-16,10:29:00,112.88,112.955,112.8152,112.86,9188.0
2018-02-16,10:30:00,112.87,112.93,112.79,112.91,3450.0
2018-02-16,10:31:00,112.9,112.97,112.875,112.97,7975.0
2018-02-16,10:32:00,112.96,112.99,112.86,112.96,7513.0
2018-02-16,10:33:00,112.94,112.94,112.87,112.94,29361.0
2018-02-16,10:34:00,112.93,112.95,112.77,112.78,7205.0
2018-02-16,10:35:00,112.78,112.89,112.74,112.89,4650.0
2018-02-16,10:36:00,112.9045,113.08,112.9045,113.03,7806.0
2018-02-16,10:37:00,113.03,113.06,113.0,113.04,8666.0
2018-02-16,10:38:00,113.05,113.16,112.97,112.97,7958.0
2018-02-16,10:39:00,112.98,113.06,112.97,113.0,5941.0
2018-02-16,10:40:00,113.01,113.01,112.95,112.9575,5959.0
2018-02-16,10:41:00,112.99,113.01,112.97,112.98,2180.0
2018-02-16,10:42:00,112.98,112.98,112.88,112.965,7637.0
2018-02-16,10:43:00,112.94,112.94,112.71,112.76,8597.0
2018-02-16,10:44:00,112.75,112.82,112.75,112.785,1500.0
2018-02-16,10:45:00,112.7766,112.81,112.74,112.74,3482.0
2018-02-16,10:46:00,112.741,112.8225,112.73,112.8225,5200.0
2018-02-16,10:47:00,112.83,112.9234,112.83,112.9234,2026.0
2018-02-16,10:48:00,112.92,113.04,112.92,113.04,14937.0
2018-02-16,10:49:00,113.09,113.17,113.01,113.13,8399.0
2018-02-16,10:50:00,113.155,113.305,113.155,113.3,16054.0
2018-02-16,10:51:00,113.32,113.34,113.31,113.3306,7891.0
2018-02-16,10:52:00,113.34,113.41,113.34,113.365,11105.0
2018-02-16,10:53:00,113.365,113.42,113.325,113.33,13624.0
2018-02-16,10:54:00,113.33,113.42,113.33,113.39,13049.0
2018-02-16,10:55:00,113.41,113.45,113.37,113.45,12943.0
2018-02-16,10:56:00,113.42,113.43,113.37,113.38,8841.0
2018-02-16,10:57:00,113.4,113.51,113.4,113.48,9398.0
2018-02-16,10:58:00,113.48,113.53,113.415,113.415,11057.0
2018-02-16,10:59:00,113.4,113.4,113.31,113.32,4721.0
2018-02-16,11:00:00,113.32,113.33,113.12,113.22,11618.0
2018-02-16,11:01:00,113.2,113.26,113.19,113.21,4111.0
2018-02-16,11:02:00,113.21,113.265,113.2,113.22,4680.0
2018-02-16,11:03:00,113.24,113.24,113.03,113.07,9411.0
2018-02-16,11:04:00,113.05,113.09,113.0,113.09,4565.0
2018-02-16,11:05:00,113.13,113.22,113.0522,113.12,8020.0
2018-02-16,11:06:00,113.15,113.31,113.1324,113.28,7858.0
2018-02-16,11:07:00,113.27,113.29,113.24,113.27,3750.0
2018-02-16,11:08:00,113.27,113.47,113.27,113.4199,27857.0
2018-02-16,11:09:00,113.39,113.55,113.39,113.5343,10697.0
2018-02-16,11:10:00,113.55,113.65,113.55,113.63,9132.0
2018-02-16,11:11:00,113.62,113.6741,113.58,113.66,8096.0
2018-02-16,11:12:00,113.65,113.7,113.6,113.68,16304.0
2018-02-16,11:13:00,113.67,113.71,113.67,113.701,10547.0
2018-02-16,11:14:00,113.6948,113.72,113.67,113.68,15134.0
2018-02-16,11:15:00,113.68,113.72,113.67,113.7,5421.0
2018-02-16,11:16:00,113.71,113.72,113.61,113.61,8089.0
2018-02-16,11:17:00,113.59,113.59,113.52,113.52,2338.0
2018-02-16,11:18:00,113.52,113.56,113.49,113.56,6071.0
2018-02-16,11:19:00,113.55,113.55,113.44,113.45,6500.0
2018-02-16,11:20:00,113.45,113.53,113.45,113.53,5500.0
2018-02-16,11:21:00,113.51,113.54,113.51,113.51,3519.0
2018-02-16,11:22:00,113.49,113.57,113.49,113.54,7286.0
2018-02-16,11:23:00,113.53,113.54,113.45,113.48,4245.0
2018-02-16,11:24:00,113.47,113.47,113.38,113.38,3200.0
2018-02-16,11:25:00,113.38,113.45,113.35,113.45,5332.0
2018-02-16,11:26:00,113.49,113.57,113.49,113.57,3648.0
2018-02-16,11:27:00,113.58,113.62,113.56,113.61,4232.0
2018-02-16,11:28:00,113.59,113.59,113.55,113.555,2236.0
2018-02-16,11:29:00,113.54,113.56,113.4648,113.48,5098.0
2018-02-16,11:30:00,113.51,113.52,113.41,113.41,2900.0
2018-02-16,11:31:00,113.42,113.51,113.415,113.47,5500.0
2018-02-16,11:32:00,113.46,113.46,113.33,113.33,4040.0
2018-02-16,11:33:00,113.36,113.42,113.36,113.41,4719.0
2018-02-16,11:34:00,113.4,113.44,113.4,113.43,3774.0
2018-02-16,11:35:00,113.43,113.48,113.41,113.44,5534.0
2018-02-16,11:36:00,113.44,113.495,113.38,113.49,10323.0
2018-02-16,11:37:00,113.47,113.51,113.46,113.46,14822.0
2018-02-16,11:38:00,113.465,113.465,113.425,113.43,13213.0
2018-02-16,11:39:00,113.41,113.46,113.38,113.46,5148.0
2018-02-16,11:40:00,113.46,113.5,113.46,113.5,4312.0
2018-02-16,11:41:00,113.49,113.54,113.48,113.52,5979.0
2018-02-16,11:42:00,113.53,113.54,113.48,113.48,4205.0
2018-02-16,11:43:00,113.48,113.48,113.44,113.47,7600.0
2018-02-16,11:44:00,113.46,113.46,113.3683,113.42,7040.0
2018-02-16,11:45:00,113.4,113.4,113.35,113.38,4139.0
2018-02-16,11:46:00,113.4,113.48,113.385,113.45,2393.0
2018-02-16,11:47:00,113.47,113.49,113.45,113.48,3278.0
2018-02-16,11:48:00,113.49,113.53,113.49,113.51,13246.0
2018-02-16,11:49:00,113.51,113.555,113.48,113.485,12635.0
2018-02-16,11:50:00,113.48,113.53,113.47,113.53,3230.0
2018-02-16,11:51:00,113.54,113.64,113.54,113.64,3600.0
2018-02-16,11:52:00,113.64,113.67,113.61,113.61,16901.0
2018-02-16,11:53:00,113.62,113.73,113.62,113.73,8103.0
2018-02-16,11:54:00,113.74,113.76,113.71,113.76,5216.0
2018-02-16,11:55:00,113.73,113.73,113.66,113.69,5095.0
2018-02-16,11:56:00,113.7099,113.79,113.7099,113.79,3750.0
2018-02-16,11:57:00,113.81,113.86,113.78,113.82,7800.0
2018-02-16,11:58:00,113.8311,113.86,113.82,113.84,2028.0
2018-02-16,11:59:00,113.84,113.89,113.81,113.87,5248.0
2018-02-16,12:00:00,113.865,113.88,113.79,113.79,7739.0
