date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,43.885,43.97,43.79,43.93,1879700
2018-02-16,09:31:00,43.92,44.055,43.88,44.05,204093
2018-02-16,09:32:00,44.0501,44.09,44.04,44.06,94562
2018-02-16,09:33:00,44.07,44.1,43.92,44.1,197593
2018-02-16,09:34:00,44.095,44.15,44.065,44.1,142375
2018-02-16,09:35:00,44.1,44.24,44.07,44.21,185416
2018-02-16,09:36:00,44.19,44.31,44.16,44.295,209527
2018-02-16,09:37:00,44.3,44.42,44.29,44.41,147678
2018-02-16,09:38:00,44.4,44.4101,44.31,44.313,125548
2018-02-16,09:39:00,44.32,44.5,44.315,44.4525,170970
2018-02-16,09:40:00,44.46,44.5493,44.45,44.45,260550
2018-02-16,09:41:00,44.45,44.5536,44.41,44.51,144993
2018-02-16,09:42:00,44.505,44.57,44.49,44.5,156791
2018-02-16,09:43:00,44.5001,44.62,44.5,44.6061,100247
2018-02-16,09:44:00,44.6013,44.6748,44.58,44.59,136877
2018-02-16,09:45:00,44.595,44.66,44.59,44.62,241723
2018-02-16,09:46:00,44.615,44.69,44.6,44.685,232577
2018-02-16,09:47:00,44.683,44.74,44.683,44.72,175986
2018-02-16,09:48:00,44.71,44.78,44.67,44.77,200620
2018-02-16,09:49:00,44.7682,44.79,44.735,44.765,164521
2018-02-16,09:50:00,44.765,44.82,44.765,44.8,135512
2018-02-16,09:51:00,44.8,44.8499,44.7599,44.8499,170544
2018-02-16,09:52:00,44.84,44.89,44.82,44.88,193017
2018-02-16,09:53:00,44.89,44.93,44.88,44.925,187628
2018-02-16,09:54:00,44.92,44.97,44.91,44.96,230710
2018-02-16,09:55:00,44.97,44.97,44.845,44.845,302134
2018-02-16,09:56:00,44.85,44.909,44.84,44.85,185189
2018-02-16,09:57:00,44.84,44.86,44.81,44.825,126032
2018-02-16,09:58:00,44.82,44.85,44.8047,44.82,132109
2018-02-16,09:59:00,44.82,44.83,44.75,44.75,85758
2018-02-16,10:00:00,44.76,44.8,44.73,44.7499,123819
2018-02-16,10:01:00,44.74,44.78,44.7233,44.745,104631
2018-02-16,10:02:00,44.745,44.8,44.74,44.7484,161495
2018-02-16,10:03:00,44.75,44.75,44.67,44.69,172351
2018-02-16,10:04:00,44.6915,44.74,44.69,44.7,125988
2018-02-16,10:05:00,44.71,44.72,44.69,44.69,148119
2018-02-16,10:06:00,44.69,44.69,44.57,44.57,118317
2018-02-16,10:07:00,44.57,44.63,44.55,44.615,118651
2018-02-16,10:08:00,44.615,44.62,44.47,44.47,238113
2018-02-16,10:09:00,44.4769,44.6,44.47,44.6,315146
2018-02-16,10:10:00,44.61,44.67,44.6,44.65,310345
2018-02-16,10:11:00,44.64,44.67,44.61,44.655,144622
2018-02-16,10:12:00,44.65,44.66,44.565,44.585,103967
