date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,55.63,55.7,55.63,55.69,321829.0
2018-02-16,09:31:00,55.69,55.69,55.49,55.49,20085.0
2018-02-16,09:32:00,55.41,55.49,55.39,55.43,6200.0
2018-02-16,09:33:00,55.43,55.53,55.36,55.475,7355.0
2018-02-16,09:34:00,55.49,55.59,55.47,55.47,14690.0
2018-02-16,09:35:00,55.46,55.54,55.4295,55.53,4570.0
2018-02-16,09:36:00,55.55,55.63,55.52,55.59,13450.0
2018-02-16,09:37:00,55.59,55.605,55.535,55.55,8972.0
2018-02-16,09:38:00,55.545,55.58,55.48,55.55,28444.0
2018-02-16,09:39:00,55.55,55.62,55.55,55.61,8953.0
2018-02-16,09:40:00,55.61,55.66,55.59,55.63,26299.0
2018-02-16,09:41:00,55.63,55.74,55.61,55.74,25104.0
2018-02-16,09:42:00,55.74,55.81,55.72,55.81,42967.0
2018-02-16,09:43:00,55.81,55.83,55.78,55.82,16736.0
2018-02-16,09:44:00,55.8183,55.82,55.73,55.77,9762.0
2018-02-16,09:45:00,55.73,55.73,55.61,55.61,8000.0
2018-02-16,09:46:00,55.605,55.66,55.54,55.66,35907.0
2018-02-16,09:47:00,55.66,55.71,55.63,55.68,4610.0
2018-02-16,09:48:00,55.7,55.71,55.66,55.68,7047.0
2018-02-16,09:49:00,55.68,55.79,55.67,55.79,5300.0
2018-02-16,09:50:00,55.77,55.87,55.76,55.802,32071.0
2018-02-16,09:51:00,55.812,55.83,55.72,55.83,10650.0
2018-02-16,09:52:00,55.84,55.86,55.81,55.8599,8763.0
2018-02-16,09:53:00,55.86,55.93,55.82,55.93,12308.0
2018-02-16,09:54:00,55.92,55.96,55.91,55.915,10159.0
2018-02-16,09:55:00,55.92,55.95,55.87,55.92,11896.0
2018-02-16,09:56:00,55.92,55.96,55.87,55.87,24500.0
2018-02-16,09:57:00,55.87,55.87,55.79,55.81,21900.0
2018-02-16,09:58:00,55.82,55.85,55.79,55.805,28585.0
2018-02-16,09:59:00,55.805,55.805,55.71,55.72,44221.0
2018-02-16,10:00:00,55.73,55.73,55.675,55.685,12586.0
2018-02-16,10:01:00,55.68,55.725,55.65,55.685,20293.0
2018-02-16,10:02:00,55.68,55.735,55.68,55.69,21571.0
2018-02-16,10:03:00,55.69,55.72,55.66,55.66,15888.0
2018-02-16,10:04:00,55.67,55.68,55.64,55.66,12435.0
2018-02-16,10:05:00,55.67,55.73,55.67,55.73,16218.0
2018-02-16,10:06:00,55.73,55.8,55.71,55.79,18380.0
2018-02-16,10:07:00,55.78,55.78,55.71,55.71,8101.0
2018-02-16,10:08:00,55.7,55.74,55.665,55.67,16448.0
2018-02-16,10:09:00,55.67,55.685,55.65,55.68,9717.0
2018-02-16,10:10:00,55.69,55.77,55.69,55.73,10007.0
2018-02-16,10:11:00,55.72,55.72,55.65,55.66,16543.0
2018-02-16,10:12:00,55.67,55.67,55.57,55.59,9688.0
2018-02-16,10:13:00,55.58,55.62,55.54,55.62,6994.0
2018-02-16,10:14:00,55.61,55.615,55.54,55.55,8814.0
2018-02-16,10:15:00,55.54,55.65,55.54,55.64,4699.0
2018-02-16,10:16:00,55.65,55.73,55.65,55.65,23432.0
2018-02-16,10:17:00,55.6433,55.72,55.6433,55.71,7960.0
2018-02-16,10:18:00,55.69,55.74,55.67,55.72,10500.0
2018-02-16,10:19:00,55.71,55.75,55.7,55.72,13190.0
2018-02-16,10:20:00,55.715,55.755,55.6932,55.6932,9400.0
2018-02-16,10:21:00,55.69,55.72,55.69,55.71,4861.0
2018-02-16,10:22:00,55.72,55.76,55.72,55.75,11021.0
2018-02-16,10:23:00,55.76,55.775,55.725,55.77,11223.0
2018-02-16,10:24:00,55.76,55.76,55.73,55.73,7400.0
2018-02-16,10:25:00,55.74,55.77,55.73,55.73,9399.0
2018-02-16,10:26:00,55.74,55.78,55.71,55.74,8122.0
2018-02-16,10:27:00,55.74,55.74,55.67,55.6929,5875.0
2018-02-16,10:28:00,55.67,55.7,55.66,55.68,14537.0
2018-02-16,10:29:00,55.67,55.7,55.66,55.7,9150.0
2018-02-16,10:30:00,55.69,55.72,55.675,55.7,7743.0
2018-02-16,10:31:00,55.71,55.72,55.69,55.7,12678.0
2018-02-16,10:32:00,55.69,55.71,55.67,55.7,6608.0
2018-02-16,10:33:00,55.7,55.71,55.67,55.69,10308.0
2018-02-16,10:34:00,55.69,55.69,55.66,55.67,6821.0
2018-02-16,10:35:00,55.66,55.6699,55.635,55.65,5804.0
2018-02-16,10:36:00,55.66,55.72,55.66,55.7,9746.0
2018-02-16,10:37:00,55.69,55.73,55.69,55.695,11438.0
2018-02-16,10:38:00,55.7,55.71,55.65,55.65,9128.0
2018-02-16,10:39:00,55.64,55.675,55.64,55.66,8500.0
2018-02-16,10:40:00,55.63,55.645,55.615,55.615,14660.0
2018-02-16,10:41:00,55.62,55.67,55.615,55.6536,14216.0
2018-02-16,10:42:00,55.655,55.72,55.65,55.72,14375.0
2018-02-16,10:43:00,55.72,55.72,55.65,55.65,12353.0
2018-02-16,10:44:00,55.66,55.7,55.66,55.7,8100.0
2018-02-16,10:45:00,55.7,55.73,55.69,55.73,9311.0
2018-02-16,10:46:00,55.72,55.8,55.71,55.791,15580.0
2018-02-16,10:47:00,55.8,55.87,55.795,55.85,8350.0
