date,ToD,open,high,low,close,volume
2018-02-16,09:31:00,18.94,19.05,18.9,19.02,436262.0
2018-02-16,09:32:00,19.02,19.02,18.805,18.81,65310.0
2018-02-16,09:33:00,18.81,18.859,18.76,18.79,66377.0
2018-02-16,09:34:00,18.8,18.8132,18.6966,18.6966,39656.0
2018-02-16,09:35:00,18.69,18.909,18.67,18.88,90401.0
2018-02-16,09:36:00,18.87,18.88,18.73,18.739,57238.0
2018-02-16,09:37:00,18.735,18.76,18.67,18.74,72802.0
2018-02-16,09:38:00,18.74,18.74,18.68,18.69,44608.0
2018-02-16,09:39:00,18.695,18.71,18.65,18.66,31690.0
2018-02-16,09:40:00,18.669,18.6758,18.61,18.61,29722.0
2018-02-16,09:41:00,18.61,18.64,18.59,18.64,47711.0
2018-02-16,09:42:00,18.635,18.64,18.55,18.5994,62120.0
2018-02-16,09:43:00,18.5962,18.63,18.575,18.63,26291.0
2018-02-16,09:44:00,18.63,18.6699,18.58,18.5899,20936.0
2018-02-16,09:45:00,18.58,18.61,18.56,18.57,47006.0
2018-02-16,09:46:00,18.5601,18.61,18.53,18.61,55181.0
2018-02-16,09:47:00,18.62,18.725,18.605,18.71,44017.0
2018-02-16,09:48:00,18.725,18.73,18.65,18.675,13595.0
2018-02-16,09:49:00,18.68,18.71,18.65,18.6948,28409.0
2018-02-16,09:50:00,18.6999,18.73,18.69,18.699,21560.0
2018-02-16,09:51:00,18.695,18.73,18.68,18.73,86385.0
2018-02-16,09:52:00,18.74,18.775,18.715,18.76,31801.0
2018-02-16,09:53:00,18.76,18.78,18.6987,18.74,40092.0
2018-02-16,09:54:00,18.74,18.74,18.71,18.72,21633.0
2018-02-16,09:55:00,18.72,18.73,18.71,18.7259,7659.0
2018-02-16,09:56:00,18.725,18.73,18.685,18.695,23041.0
2018-02-16,09:57:00,18.69,18.71,18.6816,18.71,26221.0
2018-02-16,09:58:00,18.71,18.726,18.68,18.695,15558.0
2018-02-16,09:59:00,18.6882,18.7,18.65,18.65,28802.0
2018-02-16,10:00:00,18.66,18.68,18.65,18.68,25602.0
2018-02-16,10:01:00,18.675,18.7,18.65,18.655,25347.0
2018-02-16,10:02:00,18.65,18.7,18.64,18.69,34446.0
2018-02-16,10:03:00,18.695,18.73,18.69,18.72,41755.0
2018-02-16,10:04:00,18.72,18.76,18.72,18.73,30871.0
2018-02-16,10:05:00,18.73,18.75,18.71,18.72,9513.0
2018-02-16,10:06:00,18.715,18.72,18.67,18.6955,36369.0
2018-02-16,10:07:00,18.69,18.6902,18.665,18.67,19652.0
2018-02-16,10:08:00,18.67,18.72,18.67,18.715,29172.0
2018-02-16,10:09:00,18.72,18.76,18.715,18.76,33549.0
2018-02-16,10:10:00,18.76,18.77,18.74,18.74,35245.0
2018-02-16,10:11:00,18.7455,18.75,18.735,18.74,13393.0
2018-02-16,10:12:00,18.74,18.78,18.74,18.775,28591.0
2018-02-16,10:13:00,18.78,18.8,18.76,18.7892,53411.0
2018-02-16,10:14:00,18.78,18.8,18.78,18.79,24860.0
2018-02-16,10:15:00,18.78,18.8548,18.78,18.85,29063.0
2018-02-16,10:16:00,18.85,18.8624,18.83,18.83,29426.0
2018-02-16,10:17:00,18.83,18.86,18.815,18.86,34318.0
2018-02-16,10:18:00,18.8501,18.9,18.85,18.9,23431.0
2018-02-16,10:19:00,18.8966,18.93,18.89,18.93,22939.0
2018-02-16,10:20:00,18.93,18.97,18.9101,18.92,45729.0
2018-02-16,10:21:00,18.93,18.97,18.93,18.97,16035.0
2018-02-16,10:22:00,18.965,19.0,18.965,18.98,32119.0
2018-02-16,10:23:00,18.985,19.02,18.9627,19.015,39785.0
2018-02-16,10:24:00,19.02,19.04,19.015,19.034,19003.0
2018-02-16,10:25:00,19.03,19.05,19.01,19.01,37089.0
2018-02-16,10:26:00,19.01,19.045,19.01,19.04,25848.0
2018-02-16,10:27:00,19.035,19.085,19.03,19.06,44354.0
2018-02-16,10:28:00,19.06,19.07,19.06,19.0648,11910.0
2018-02-16,10:29:00,19.06,19.063,19.015,19.02,28198.0
2018-02-16,10:30:00,19.01,19.04,18.98,19.03,51553.0
