date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,91.12,91.12,91.12,91.12,48048.0
2018-02-16,09:31:00,90.87,91.105,90.45,91.105,7750.0
2018-02-16,09:32:00,91.08,91.41,90.85,91.4,2303.0
2018-02-16,09:33:00,91.4,91.4,91.12,91.2348,1705.0
2018-02-16,09:34:00,91.33,91.36,91.24,91.31,2400.0
2018-02-16,09:35:00,91.31,91.445,91.29,91.355,3700.0
2018-02-16,09:36:00,91.35,91.46,91.29,91.42,3826.0
2018-02-16,09:37:00,91.42,91.56,91.42,91.49,4000.0
2018-02-16,09:38:00,91.49,91.6,91.48,91.49,2958.0
2018-02-16,09:39:00,91.52,91.52,91.48,91.48,2400.0
2018-02-16,09:40:00,91.48,91.5,91.39,91.5,3500.0
2018-02-16,09:41:00,91.51,91.51,91.41,91.4425,2500.0
2018-02-16,09:42:00,91.44,91.44,91.37,91.39,2000.0
2018-02-16,09:43:00,91.4,91.5,91.4,91.43,2211.0
2018-02-16,09:44:00,91.42,91.44,91.22,91.22,3000.0
2018-02-16,09:45:00,91.22,91.34,91.18,91.18,2840.0
2018-02-16,09:46:00,91.09,91.4,91.09,91.36,3800.0
2018-02-16,09:47:00,91.4,91.45,91.39,91.4,4100.0
2018-02-16,09:48:00,91.4,91.4,91.34,91.4,2800.0
2018-02-16,09:49:00,91.4,91.4,91.34,91.39,1400.0
2018-02-16,09:50:00,91.39,91.44,91.37,91.37,1900.0
2018-02-16,09:51:00,91.45,91.54,91.42,91.5,3332.0
2018-02-16,09:52:00,91.46,91.54,91.45,91.5,2100.0
2018-02-16,09:53:00,91.55,91.57,91.52,91.56,5259.0
2018-02-16,09:54:00,91.56,91.63,91.54,91.6,5200.0
2018-02-16,09:55:00,91.6,91.63,91.49,91.5,5150.0
2018-02-16,09:56:00,91.56,91.57,91.49,91.49,2100.0
2018-02-16,09:57:00,91.49,91.4952,91.46,91.46,2000.0
2018-02-16,09:58:00,91.46,91.57,91.46,91.53,2300.0
2018-02-16,09:59:00,91.53,91.53,91.34,91.36,6610.0
2018-02-16,10:00:00,91.39,91.39,91.33,91.33,1594.0
2018-02-16,10:01:00,91.33,91.34,91.29,91.29,8200.0
2018-02-16,10:02:00,91.29,91.31,91.22,91.22,4507.0
2018-02-16,10:03:00,91.23,91.25,91.2,91.2,1400.0
2018-02-16,10:04:00,91.2,91.24,91.18,91.24,700.0
2018-02-16,10:05:00,91.27,91.32,91.25,91.25,4900.0
2018-02-16,10:06:00,91.3,91.32,91.25,91.3,9749.0
2018-02-16,10:07:00,91.29,91.3,91.26,91.26,900.0
2018-02-16,10:08:00,91.26,91.31,91.26,91.31,1200.0
2018-02-16,10:09:00,91.36,91.4,91.35,91.4,3200.0
2018-02-16,10:10:00,91.4,91.4,91.36,91.39,3800.0
2018-02-16,10:11:00,91.39,91.39,91.35,91.35,2000.0
2018-02-16,10:12:00,91.38,91.4,91.34,91.36,4606.0
2018-02-16,10:13:00,91.32,91.4,91.31,91.4,1200.0
2018-02-16,10:14:00,91.4,91.4,91.32,91.32,2079.0
2018-02-16,10:15:00,91.34,91.41,91.34,91.36,10350.0
2018-02-16,10:16:00,91.37,91.4,91.35,91.36,2663.0
2018-02-16,10:17:00,91.385,91.45,91.38,91.43,8507.0
2018-02-16,10:18:00,91.43,91.5,91.42,91.48,2321.0
2018-02-16,10:19:00,91.46,91.52,91.455,91.49,3500.0
2018-02-16,10:20:00,91.49,91.5,91.42,91.42,2000.0
2018-02-16,10:21:00,91.42,91.42,91.38,91.39,3200.0
2018-02-16,10:22:00,91.395,91.42,91.365,91.38,3100.0
2018-02-16,10:23:00,91.38,91.4,91.33,91.4,2300.0
2018-02-16,10:24:00,91.4,91.4,91.38,91.38,1600.0
2018-02-16,10:25:00,91.38,91.4,91.37,91.37,1800.0
2018-02-16,10:26:00,91.36,91.45,91.36,91.36,4100.0
2018-02-16,10:27:00,91.36,91.36,91.195,91.195,2787.0
2018-02-16,10:28:00,91.22,91.26,91.21,91.26,1600.0
2018-02-16,10:29:00,91.26,91.36,91.26,91.32,2100.0
2018-02-16,10:30:00,91.32,91.37,91.32,91.35,1529.0
2018-02-16,10:31:00,91.35,91.36,91.28,91.36,1600.0
2018-02-16,10:32:00,91.38,91.41,91.365,91.37,4900.0
2018-02-16,10:33:00,91.37,91.37,91.29,91.315,1000.0
2018-02-16,10:34:00,91.325,91.325,91.31,91.32,600.0
2018-02-16,10:35:00,91.3,91.3,91.28,91.28,1000.0
2018-02-16,10:36:00,91.28,91.43,91.28,91.4,2500.0
2018-02-16,10:37:00,91.4,91.4,91.3783,91.39,1800.0
2018-02-16,10:38:00,91.375,91.42,91.33,91.33,2700.0
2018-02-16,10:39:00,91.34,91.3809,91.34,91.34,2600.0
2018-02-16,10:40:00,91.305,91.305,91.24,91.27,1510.0
2018-02-16,10:41:00,91.27,91.328,91.27,91.328,1235.0
2018-02-16,10:42:00,91.32,91.35,91.32,91.335,1600.0
2018-02-16,10:43:00,91.42,91.42,91.31,91.31,5600.0
2018-02-16,10:44:00,91.32,91.36,91.32,91.35,3200.0
2018-02-16,10:45:00,91.36,91.4,91.35,91.35,1700.0
2018-02-16,10:46:00,91.35,91.36,91.345,91.345,1000.0
2018-02-16,10:47:00,91.355,91.41,91.355,91.38,5598.0
2018-02-16,10:48:00,91.38,91.39,91.34,91.365,4100.0
2018-02-16,10:49:00,91.36,91.36,91.3,91.3,600.0
2018-02-16,10:50:00,91.36,91.45,91.36,91.435,3951.0
2018-02-16,10:51:00,91.45,91.47,91.45,91.47,1900.0
2018-02-16,10:52:00,91.47,91.47,91.38,91.38,1400.0
2018-02-16,10:53:00,91.38,91.43,91.38,91.38,3100.0
2018-02-16,10:54:00,91.38,91.38,91.38,91.38,100.0
2018-02-16,10:55:00,91.41,91.45,91.4,91.42,4200.0
2018-02-16,10:56:00,91.42,91.45,91.39,91.43,1820.0
2018-02-16,10:57:00,91.44,91.455,91.44,91.455,600.0
2018-02-16,10:58:00,91.47,91.475,91.4,91.41,4020.0
2018-02-16,10:59:00,91.41,91.41,91.39,91.4,1398.0
2018-02-16,11:00:00,91.4,91.43,91.36,91.41,3700.0
2018-02-16,11:01:00,91.46,91.52,91.46,91.49,1700.0
2018-02-16,11:02:00,91.515,91.62,91.515,91.58,2400.0
2018-02-16,11:03:00,91.58,91.58,91.49,91.49,2065.0
2018-02-16,11:04:00,91.49,91.59,91.49,91.55,4000.0
2018-02-16,11:05:00,91.55,91.6,91.51,91.55,2600.0
2018-02-16,11:07:00,91.59,91.65,91.59,91.615,3050.0
2018-02-16,11:08:00,91.625,91.73,91.625,91.73,2100.0
2018-02-16,11:09:00,91.73,91.83,91.73,91.82,2600.0
2018-02-16,11:10:00,91.84,91.84,91.81,91.81,2000.0
2018-02-16,11:11:00,91.84,91.9,91.83,91.9,3000.0
2018-02-16,11:12:00,91.9,91.93,91.9,91.9,1700.0
2018-02-16,11:13:00,91.92,91.94,91.91,91.92,2400.0
2018-02-16,11:14:00,91.92,91.99,91.92,91.95,1800.0
2018-02-16,11:15:00,91.99,92.05,91.99,92.05,2877.0
2018-02-16,11:16:00,92.05,92.07,92.01,92.04,2700.0
2018-02-16,11:17:00,92.05,92.06,91.97,92.02,3100.0
2018-02-16,11:18:00,92.05,92.11,92.02,92.02,2900.0
2018-02-16,11:19:00,92.04,92.06,92.02,92.04,4000.0
2018-02-16,11:20:00,92.04,92.11,92.04,92.11,2000.0
2018-02-16,11:21:00,92.11,92.115,92.05,92.05,22600.0
2018-02-16,11:22:00,92.05,92.05,91.945,91.99,3700.0
2018-02-16,11:23:00,92.0,92.0,92.0,92.0,100.0
2018-02-16,11:24:00,91.96,91.96,91.89,91.89,700.0
2018-02-16,11:26:00,91.95,92.07,91.95,92.05,7900.0
2018-02-16,11:27:00,92.05,92.16,92.05,92.16,1500.0
2018-02-16,11:28:00,92.18,92.18,92.11,92.11,900.0
2018-02-16,11:29:00,92.07,92.07,92.03,92.07,1900.0
2018-02-16,11:30:00,92.06,92.1,91.98,91.98,1400.0
2018-02-16,11:31:00,92.01,92.03,91.98,92.02,1850.0
2018-02-16,11:32:00,92.01,92.01,91.97,91.97,1200.0
2018-02-16,11:33:00,91.965,91.965,91.965,91.965,200.0
2018-02-16,11:34:00,91.93,91.935,91.93,91.935,400.0
2018-02-16,11:35:00,91.96,91.96,91.92,91.93,2630.0
2018-02-16,11:36:00,91.93,91.93,91.785,91.785,500.0
2018-02-16,11:37:00,91.91,91.92,91.89,91.905,1856.0
2018-02-16,11:38:00,91.9,92.01,91.9,92.01,1200.0
2018-02-16,11:39:00,92.03,92.05,91.995,91.995,700.0
2018-02-16,11:40:00,92.04,92.14,92.04,92.07,1600.0
2018-02-16,11:41:00,92.105,92.105,91.99,92.01,2200.0
2018-02-16,11:42:00,91.99,91.99,91.99,91.99,500.0
2018-02-16,11:43:00,91.95,91.95,91.94,91.94,901.0
2018-02-16,11:44:00,91.94,91.95,91.94,91.95,600.0
2018-02-16,11:45:00,91.9,91.9,91.83,91.83,1300.0
2018-02-16,11:46:00,91.88,91.9,91.88,91.9,1600.0
2018-02-16,11:47:00,91.9,91.9,91.89,91.89,400.0
2018-02-16,11:48:00,91.89,91.9,91.89,91.89,1000.0
2018-02-16,11:49:00,91.9,91.91,91.9,91.91,700.0
2018-02-16,11:50:00,91.91,91.92,91.89,91.92,500.0
2018-02-16,11:51:00,91.96,91.97,91.96,91.96,1400.0
2018-02-16,11:52:00,91.96,91.96,91.96,91.96,200.0
2018-02-16,11:53:00,91.97,92.03,91.97,92.03,2930.0
2018-02-16,11:54:00,92.04,92.11,92.03,92.06,2700.0
2018-02-16,11:55:00,92.01,92.03,91.99,92.03,1300.0
2018-02-16,11:56:00,92.0364,92.05,92.0364,92.05,654.0
2018-02-16,11:57:00,92.05,92.13,92.05,92.08,1800.0
2018-02-16,11:58:00,92.14,92.14,92.14,92.14,200.0
2018-02-16,11:59:00,92.15,92.15,92.14,92.14,1782.0
2018-02-16,12:00:00,92.14,92.14,92.09,92.09,800.0
2018-02-16,12:01:00,92.08,92.16,92.08,92.16,1445.0
2018-02-16,12:02:00,92.16,92.16,92.12,92.12,1900.0
2018-02-16,12:03:00,92.09,92.09,92.09,92.09,400.0
2018-02-16,12:04:00,92.06,92.06,92.05,92.05,300.0
2018-02-16,12:05:00,92.08,92.12,92.08,92.12,1300.0
2018-02-16,12:06:00,92.14,92.15,92.12,92.12,1792.0
2018-02-16,12:07:00,92.14,92.15,92.14,92.14,1100.0
2018-02-16,12:08:00,92.08,92.08,92.04,92.04,400.0
2018-02-16,12:09:00,92.07,92.09,92.07,92.09,1200.0
2018-02-16,12:10:00,92.06,92.06,92.01,92.03,1400.0
2018-02-16,12:11:00,92.03,92.06,92.03,92.06,800.0
2018-02-16,12:12:00,92.06,92.07,92.06,92.07,600.0
2018-02-16,12:13:00,92.09,92.13,92.09,92.13,1900.0
2018-02-16,12:14:00,92.14,92.16,92.13,92.16,1600.0
2018-02-16,12:15:00,92.14,92.16,92.14,92.15,900.0
2018-02-16,12:16:00,92.15,92.18,92.15,92.16,1600.0
2018-02-16,12:17:00,92.17,92.24,92.17,92.24,1200.0
2018-02-16,12:18:00,92.25,92.25,92.25,92.25,200.0
2018-02-16,12:19:00,92.235,92.24,92.21,92.22,1800.0
2018-02-16,12:20:00,92.21,92.21,92.2,92.2,800.0
2018-02-16,12:21:00,92.2,92.21,92.2,92.21,1198.0
2018-02-16,12:22:00,92.21,92.21,92.21,92.21,100.0
2018-02-16,12:23:00,92.23,92.24,92.19,92.19,3389.0
2018-02-16,12:24:00,92.16,92.16,92.15,92.15,304.0
2018-02-16,12:25:00,92.12,92.16,92.12,92.16,200.0
2018-02-16,12:26:00,92.15,92.16,92.15,92.16,1000.0
2018-02-16,12:27:00,92.15,92.16,92.08,92.08,3015.0
2018-02-16,12:28:00,92.0548,92.14,92.0548,92.13,1804.0
2018-02-16,12:29:00,92.15,92.185,92.15,92.17,10710.0
2018-02-16,12:30:00,92.165,92.165,92.13,92.155,900.0
2018-02-16,12:31:00,92.155,92.19,92.11,92.16,9799.0
2018-02-16,12:32:00,92.16,92.22,92.16,92.19,5800.0
2018-02-16,12:33:00,92.195,92.195,92.175,92.175,1400.0
2018-02-16,12:34:00,92.15,92.17,92.11,92.16,3000.0
2018-02-16,12:35:00,92.18,92.24,92.165,92.24,2100.0
2018-02-16,12:36:00,92.21,92.21,92.18,92.18,800.0
2018-02-16,12:37:00,92.18,92.2,92.165,92.165,1637.0
2018-02-16,12:38:00,92.165,92.165,92.165,92.165,600.0
2018-02-16,12:39:00,92.15,92.165,92.1,92.15,1700.0
2018-02-16,12:40:00,92.16,92.16,92.16,92.16,100.0
2018-02-16,12:41:00,92.1555,92.19,92.14,92.18,3000.0
2018-02-16,12:42:00,92.19,92.24,92.18,92.24,800.0
2018-02-16,12:43:00,92.22,92.22,92.16,92.17,3700.0
2018-02-16,12:44:00,92.185,92.185,92.13,92.13,300.0
2018-02-16,12:45:00,92.14,92.2,92.125,92.17,3800.0
2018-02-16,12:46:00,92.16,92.16,92.14,92.15,600.0
2018-02-16,12:48:00,92.16,92.17,92.16,92.17,400.0
2018-02-16,12:49:00,92.1651,92.1651,92.15,92.15,509.0
2018-02-16,12:50:00,92.156,92.156,92.14,92.14,700.0
2018-02-16,12:51:00,92.15,92.15,92.125,92.125,200.0
2018-02-16,12:52:00,92.1,92.1,92.0,92.0,1700.0
2018-02-16,12:53:00,91.95,91.96,91.82,91.85,3600.0
2018-02-16,12:54:00,91.87,91.92,91.87,91.92,835.0
2018-02-16,12:55:00,91.93,91.93,91.92,91.93,300.0
2018-02-16,12:56:00,91.92,91.92,91.86,91.86,800.0
2018-02-16,12:57:00,91.91,91.93,91.91,91.93,1000.0
2018-02-16,12:58:00,91.94,92.0,91.94,92.0,779.0
2018-02-16,12:59:00,91.98,92.07,91.98,92.07,400.0
2018-02-16,13:00:00,92.04,92.04,92.04,92.04,200.0
2018-02-16,13:01:00,92.11,92.13,92.09,92.09,1568.0
2018-02-16,13:02:00,92.11,92.11,92.11,92.11,100.0
2018-02-16,13:03:00,92.11,92.12,92.11,92.12,800.0
2018-02-16,13:04:00,92.1286,92.1286,92.08,92.08,936.0
2018-02-16,13:05:00,92.08,92.13,92.08,92.11,600.0
2018-02-16,13:06:00,92.1,92.1,92.06,92.06,500.0
2018-02-16,13:07:00,92.1,92.12,92.1,92.1,500.0
2018-02-16,13:08:00,92.14,92.14,92.09,92.09,500.0
2018-02-16,13:10:00,92.04,92.05,92.03,92.05,900.0
2018-02-16,13:11:00,92.03,92.03,92.0,92.0,680.0
2018-02-16,13:12:00,91.94,92.02,91.94,92.01,1700.0
2018-02-16,13:13:00,92.0,92.06,91.97,92.06,500.0
2018-02-16,13:14:00,92.04,92.04,91.94,91.94,500.0
2018-02-16,13:15:00,91.94,91.97,91.94,91.97,500.0
2018-02-16,13:16:00,91.95,91.98,91.9,91.97,1250.0
2018-02-16,13:17:00,91.96,91.96,91.85,91.85,700.0
2018-02-16,13:18:00,91.78,91.82,91.75,91.76,2600.0
2018-02-16,13:19:00,91.77,91.77,91.6698,91.6698,426.0
2018-02-16,13:20:00,91.67,91.69,91.66,91.69,1400.0
2018-02-16,13:21:00,91.69,91.73,91.69,91.73,300.0
2018-02-16,13:22:00,91.67,91.74,91.67,91.74,1945.0
2018-02-16,13:23:00,91.69,91.69,91.63,91.63,300.0
2018-02-16,13:24:00,91.64,91.66,91.61,91.66,1500.0
2018-02-16,13:25:00,91.62,91.64,91.6,91.6,500.0
2018-02-16,13:26:00,91.63,91.64,91.63,91.64,900.0
2018-02-16,13:27:00,91.64,91.64,91.64,91.64,100.0
2018-02-16,13:28:00,91.59,91.59,91.56,91.56,500.0
2018-02-16,13:29:00,91.5899,91.5899,91.43,91.44,1500.0
2018-02-16,13:30:00,91.48,91.49,91.48,91.48,600.0
2018-02-16,13:31:00,91.41,91.41,91.33,91.33,500.0
2018-02-16,13:32:00,91.39,91.4,91.39,91.4,700.0
2018-02-16,13:33:00,91.34,91.43,91.34,91.4,1400.0
2018-02-16,13:34:00,91.43,91.43,91.43,91.43,100.0
2018-02-16,13:35:00,91.44,91.44,91.44,91.44,200.0
2018-02-16,13:36:00,91.47,91.6,91.46,91.6,1600.0
2018-02-16,13:37:00,91.6,91.6,91.53,91.56,1000.0
2018-02-16,13:38:00,91.6,91.61,91.59,91.59,3100.0
2018-02-16,13:39:00,91.54,91.54,91.53,91.54,785.0
2018-02-16,13:40:00,91.52,91.56,91.49,91.49,1600.0
2018-02-16,13:41:00,91.51,91.58,91.4901,91.56,1100.0
2018-02-16,13:42:00,91.56,91.6,91.56,91.6,2090.0
2018-02-16,13:43:00,91.61,91.61,91.54,91.54,1300.0
2018-02-16,13:44:00,91.59,91.64,91.55,91.64,1200.0
2018-02-16,13:45:00,91.6,91.6,91.57,91.575,500.0
2018-02-16,13:46:00,91.57,91.57,91.56,91.56,400.0
2018-02-16,13:47:00,91.58,91.62,91.58,91.59,1500.0
2018-02-16,13:48:00,91.6,91.61,91.6,91.61,500.0
2018-02-16,13:49:00,91.6,91.6,91.58,91.58,700.0
2018-02-16,13:50:00,91.55,91.59,91.425,91.425,1130.0
2018-02-16,13:51:00,91.48,91.5,91.42,91.42,700.0
2018-02-16,13:52:00,91.46,91.46,91.46,91.46,600.0
2018-02-16,13:53:00,91.45,91.45,91.42,91.42,300.0
2018-02-16,13:54:00,91.44,91.47,91.44,91.47,400.0
2018-02-16,13:55:00,91.42,91.42,91.39,91.39,500.0
2018-02-16,13:56:00,91.38,91.38,91.38,91.38,498.0
2018-02-16,13:57:00,91.33,91.33,91.33,91.33,182.0
2018-02-16,13:58:00,91.3875,91.3875,91.3875,91.3875,300.0
2018-02-16,13:59:00,91.39,91.47,91.39,91.47,1005.0
2018-02-16,14:00:00,91.47,91.47,91.42,91.45,1000.0
2018-02-16,14:01:00,91.46,91.54,91.46,91.54,1500.0
2018-02-16,14:02:00,91.533,91.533,91.5,91.51,1134.0
2018-02-16,14:03:00,91.52,91.54,91.52,91.54,1000.0
2018-02-16,14:04:00,91.54,91.54,91.54,91.54,200.0
2018-02-16,14:05:00,91.54,91.54,91.45,91.51,2657.0
2018-02-16,14:06:00,91.5,91.5,91.44,91.44,800.0
2018-02-16,14:07:00,91.46,91.52,91.42,91.42,1400.0
2018-02-16,14:10:00,91.5,91.5,91.42,91.42,1000.0
2018-02-16,14:11:00,91.42,91.48,91.42,91.48,1200.0
2018-02-16,14:12:00,91.48,91.48,91.45,91.45,500.0
2018-02-16,14:13:00,91.45,91.46,91.4,91.4,795.0
2018-02-16,14:14:00,91.43,91.43,91.43,91.43,499.0
2018-02-16,14:15:00,91.37,91.38,91.32,91.34,2531.0
2018-02-16,14:16:00,91.32,91.32,91.27,91.3,1200.0
2018-02-16,14:17:00,91.3,91.32,91.22,91.22,1259.0
2018-02-16,14:18:00,91.18,91.21,91.0982,91.209,2701.0
2018-02-16,14:19:00,91.2,91.29,91.1728,91.29,3135.0
2018-02-16,14:20:00,91.28,91.33,91.28,91.29,1400.0
2018-02-16,14:21:00,91.27,91.33,91.27,91.29,800.0
2018-02-16,14:22:00,91.29,91.3,91.24,91.24,1900.0
2018-02-16,14:23:00,91.25,91.26,91.25,91.26,300.0
2018-02-16,14:24:00,91.29,91.43,91.28,91.3,5050.0
2018-02-16,14:25:00,91.25,91.25,91.2,91.2,1000.0
2018-02-16,14:26:00,91.265,91.35,91.24,91.34,4600.0
2018-02-16,14:27:00,91.32,91.4,91.32,91.4,1700.0
2018-02-16,14:28:00,91.37,91.38,91.32,91.35,1400.0
2018-02-16,14:29:00,91.39,91.46,91.39,91.42,1500.0
2018-02-16,14:30:00,91.45,91.45,91.44,91.45,649.0
2018-02-16,14:31:00,91.45,91.46,91.38,91.38,2100.0
2018-02-16,14:32:00,91.42,91.53,91.42,91.53,1400.0
2018-02-16,14:33:00,91.5,91.54,91.5,91.51,1600.0
2018-02-16,14:34:00,91.53,91.6,91.53,91.57,3163.0
2018-02-16,14:35:00,91.57,91.57,91.47,91.53,4745.0
2018-02-16,14:36:00,91.51,91.52,91.48,91.48,1560.0
2018-02-16,14:37:00,91.47,91.5,91.45,91.47,1500.0
2018-02-16,14:38:00,91.47,91.48,91.43,91.48,2720.0
2018-02-16,14:39:00,91.485,91.49,91.435,91.47,1749.0
2018-02-16,14:40:00,91.5,91.5,91.46,91.46,2239.0
2018-02-16,14:41:00,91.45,91.52,91.45,91.47,4880.0
2018-02-16,14:42:00,91.48,91.53,91.47,91.53,6100.0
2018-02-16,14:43:00,91.53,91.57,91.52,91.56,2040.0
2018-02-16,14:44:00,91.55,91.55,91.55,91.55,200.0
2018-02-16,14:45:00,91.55,91.55,91.44,91.5,2300.0
2018-02-16,14:46:00,91.5,91.51,91.48,91.48,1700.0
2018-02-16,14:47:00,91.43,91.43,91.43,91.43,300.0
2018-02-16,14:48:00,91.37,91.37,91.3,91.36,1100.0
2018-02-16,14:49:00,91.38,91.43,91.38,91.43,1000.0
2018-02-16,14:50:00,91.46,91.46,91.45,91.46,1002.0
2018-02-16,14:51:00,91.46,91.47,91.4,91.4,1750.0
2018-02-16,14:52:00,91.39,91.4,91.33,91.33,600.0
2018-02-16,14:53:00,91.38,91.38,91.36,91.36,1300.0
2018-02-16,14:54:00,91.34,91.37,91.32,91.34,1700.0
2018-02-16,14:55:00,91.37,91.37,91.35,91.36,900.0
2018-02-16,14:56:00,91.38,91.48,91.38,91.43,2100.0
2018-02-16,14:57:00,91.42,91.42,91.38,91.41,1000.0
2018-02-16,14:58:00,91.41,91.41,91.3891,91.3891,1301.0
2018-02-16,14:59:00,91.41,91.53,91.41,91.52,4900.0
2018-02-16,15:00:00,91.5,91.51,91.5,91.51,800.0
2018-02-16,15:01:00,91.53,91.53,91.52,91.53,1700.0
2018-02-16,15:02:00,91.58,91.69,91.58,91.62,4600.0
2018-02-16,15:03:00,91.63,91.63,91.616,91.616,1027.0
2018-02-16,15:04:00,91.6,91.6,91.5,91.5,3600.0
2018-02-16,15:05:00,91.5,91.57,91.5,91.55,2300.0
2018-02-16,15:06:00,91.57,91.6,91.55,91.6,3453.0
2018-02-16,15:07:00,91.62,91.65,91.62,91.64,3100.0
2018-02-16,15:08:00,91.63,91.65,91.63,91.65,1200.0
2018-02-16,15:09:00,91.66,91.68,91.64,91.68,2898.0
2018-02-16,15:10:00,91.7,91.74,91.7,91.74,4077.0
2018-02-16,15:11:00,91.75,91.78,91.74,91.77,5440.0
2018-02-16,15:12:00,91.75,91.77,91.69,91.695,16200.0
