date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,16.3,16.35,16.3,16.35,30505.0
2018-02-16,09:31:00,16.3,16.33,16.29,16.32,19286.0
2018-02-16,09:32:00,16.31,16.34,16.28,16.325,30058.0
2018-02-16,09:33:00,16.33,16.34,16.29,16.325,17349.0
2018-02-16,09:34:00,16.32,16.345,16.3,16.305,30587.0
2018-02-16,09:35:00,16.3001,16.36,16.3001,16.36,14593.0
2018-02-16,09:36:00,16.369,16.3721,16.31,16.3466,34693.0
2018-02-16,09:37:00,16.3448,16.3511,16.34,16.35,3401.0
2018-02-16,09:38:00,16.35,16.36,16.34,16.351,38486.0
2018-02-16,09:39:00,16.355,16.37,16.355,16.365,19920.0
2018-02-16,09:40:00,16.365,16.37,16.36,16.365,92803.0
2018-02-16,09:41:00,16.37,16.38,16.35,16.35,44650.0
2018-02-16,09:42:00,16.34,16.34,16.315,16.32,16102.0
2018-02-16,09:43:00,16.32,16.35,16.315,16.34,6646.0
2018-02-16,09:44:00,16.345,16.35,16.33,16.33,5858.0
2018-02-16,09:45:00,16.325,16.325,16.295,16.3,26300.0
2018-02-16,09:46:00,16.29,16.3201,16.28,16.3201,5342.0
2018-02-16,09:47:00,16.33,16.35,16.33,16.3435,7681.0
2018-02-16,09:48:00,16.34,16.35,16.33,16.335,17127.0
2018-02-16,09:49:00,16.34,16.35,16.335,16.35,14365.0
2018-02-16,09:50:00,16.34,16.35,16.325,16.33,28600.0
2018-02-16,09:51:00,16.32,16.35,16.31,16.34,12135.0
2018-02-16,09:52:00,16.34,16.35,16.33,16.34,32797.0
2018-02-16,09:53:00,16.34,16.3435,16.33,16.34,4100.0
2018-02-16,09:54:00,16.345,16.375,16.345,16.375,29465.0
2018-02-16,09:55:00,16.38,16.39,16.355,16.355,23354.0
2018-02-16,09:56:00,16.36,16.365,16.33,16.33,31416.0
2018-02-16,09:57:00,16.33,16.339,16.315,16.315,30438.0
2018-02-16,09:58:00,16.3166,16.3166,16.3,16.3,9204.0
2018-02-16,09:59:00,16.3,16.3,16.28,16.285,17570.0
2018-02-16,10:00:00,16.29,16.29,16.285,16.29,8928.0
2018-02-16,10:01:00,16.29,16.3,16.285,16.29,15525.0
2018-02-16,10:02:00,16.29,16.3,16.28,16.29,20342.0
2018-02-16,10:03:00,16.28,16.29,16.28,16.29,3607.0
2018-02-16,10:04:00,16.289,16.289,16.265,16.27,26190.0
2018-02-16,10:05:00,16.28,16.31,16.28,16.3,12539.0
2018-02-16,10:06:00,16.2956,16.31,16.28,16.3,12600.0
2018-02-16,10:07:00,16.3,16.3,16.27,16.28,4900.0
2018-02-16,10:08:00,16.2736,16.28,16.27,16.28,14074.0
2018-02-16,10:09:00,16.28,16.3,16.28,16.3,3105.0
2018-02-16,10:10:00,16.31,16.33,16.3001,16.32,10250.0
2018-02-16,10:11:00,16.32,16.33,16.31,16.315,8544.0
2018-02-16,10:12:00,16.315,16.3195,16.28,16.29,8791.0
2018-02-16,10:13:00,16.29,16.31,16.29,16.3,16049.0
2018-02-16,10:14:00,16.305,16.3062,16.29,16.29,4926.0
2018-02-16,10:15:00,16.29,16.3,16.29,16.29,2600.0
2018-02-16,10:16:00,16.2939,16.315,16.2939,16.31,5832.0
2018-02-16,10:17:00,16.31,16.33,16.31,16.325,11600.0
2018-02-16,10:18:00,16.32,16.32,16.305,16.3195,16766.0
2018-02-16,10:19:00,16.315,16.32,16.3,16.31,19295.0
2018-02-16,10:20:00,16.31,16.31,16.29,16.29,2295.0
2018-02-16,10:21:00,16.287,16.29,16.285,16.29,7621.0
2018-02-16,10:22:00,16.3,16.3,16.29,16.2962,3700.0
2018-02-16,10:23:00,16.3,16.3,16.28,16.289,2725.0
2018-02-16,10:24:00,16.29,16.29,16.2838,16.29,500.0
2018-02-16,10:25:00,16.29,16.295,16.26,16.27,16869.0
