date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,75.31,75.42,75.31,75.42,140486.0
2018-02-16,09:31:00,75.38,75.75,75.38,75.75,6742.0
2018-02-16,09:32:00,75.75,75.81,75.58,75.81,12673.0
2018-02-16,09:33:00,75.785,75.81,75.71,75.8,2500.0
2018-02-16,09:34:00,75.8,75.81,75.5,75.62,12312.0
2018-02-16,09:35:00,75.6,75.66,75.36,75.4,9011.0
2018-02-16,09:36:00,75.41,75.52,75.36,75.44,8694.0
2018-02-16,09:37:00,75.44,75.44,75.22,75.28,11982.0
2018-02-16,09:38:00,75.28,75.53,75.28,75.51,5400.0
2018-02-16,09:39:00,75.51,75.51,75.41,75.415,3400.0
2018-02-16,09:40:00,75.43,75.47,75.38,75.43,15075.0
2018-02-16,09:41:00,75.43,75.45,75.34,75.43,8548.0
2018-02-16,09:42:00,75.44,75.495,75.43,75.48,7289.0
2018-02-16,09:43:00,75.48,75.48,75.38,75.385,4701.0
2018-02-16,09:44:00,75.385,75.53,75.37,75.45,16325.0
2018-02-16,09:45:00,75.46,75.54,75.431,75.52,5892.0
2018-02-16,09:46:00,75.52,75.52,75.3713,75.49,9602.0
2018-02-16,09:47:00,75.5,75.5,75.4,75.43,6584.0
2018-02-16,09:48:00,75.44,75.47,75.37,75.38,47752.0
2018-02-16,09:49:00,75.37,75.37,75.23,75.23,8774.0
2018-02-16,09:50:00,75.24,75.335,75.24,75.3,8259.0
2018-02-16,09:51:00,75.32,75.325,75.23,75.24,8992.0
2018-02-16,09:52:00,75.23,75.23,75.17,75.2,15096.0
2018-02-16,09:53:00,75.21,75.28,75.21,75.255,11103.0
2018-02-16,09:54:00,75.25,75.35,75.25,75.275,3589.0
2018-02-16,09:55:00,75.265,75.28,75.17,75.205,18877.0
2018-02-16,09:56:00,75.22,75.25,75.195,75.21,64500.0
2018-02-16,09:57:00,75.2162,75.24,75.21,75.21,9911.0
2018-02-16,09:58:00,75.22,75.22,75.15,75.15,7852.0
2018-02-16,09:59:00,75.15,75.28,75.14,75.2362,11000.0
2018-02-16,10:00:00,75.23,75.25,75.16,75.19,6050.0
2018-02-16,10:01:00,75.18,75.18,75.06,75.09,21372.0
2018-02-16,10:02:00,75.09,75.19,75.09,75.18,33793.0
2018-02-16,10:03:00,75.2,75.2,75.105,75.14,12549.0
2018-02-16,10:04:00,75.1378,75.19,75.1378,75.18,12133.0
2018-02-16,10:05:00,75.165,75.17,75.08,75.11,9944.0
2018-02-16,10:06:00,75.11,75.23,75.1,75.2224,9119.0
2018-02-16,10:07:00,75.21,75.21,75.135,75.135,8402.0
2018-02-16,10:08:00,75.14,75.19,75.125,75.18,8190.0
2018-02-16,10:09:00,75.19,75.23,75.18,75.2226,4429.0
2018-02-16,10:10:00,75.22,75.22,75.2,75.2,5526.0
2018-02-16,10:11:00,75.2,75.2,75.09,75.09,6142.0
2018-02-16,10:12:00,75.1,75.1,75.0734,75.1,2250.0
2018-02-16,10:13:00,75.11,75.17,75.0977,75.12,6180.0
2018-02-16,10:14:00,75.11,75.11,75.0325,75.07,10163.0
2018-02-16,10:15:00,75.04,75.08,75.01,75.01,3960.0
2018-02-16,10:16:00,75.01,75.09,75.01,75.09,5191.0
2018-02-16,10:17:00,75.097,75.11,75.08,75.08,2496.0
2018-02-16,10:18:00,75.08,75.08,75.04,75.05,2375.0
2018-02-16,10:19:00,75.05,75.07,75.02,75.0479,2571.0
2018-02-16,10:20:00,75.045,75.09,75.045,75.07,3476.0
2018-02-16,10:21:00,75.066,75.11,75.066,75.09,4050.0
2018-02-16,10:22:00,75.1,75.1,75.05,75.05,7423.0
2018-02-16,10:23:00,75.05,75.15,75.05,75.15,6207.0
2018-02-16,10:24:00,75.1501,75.1501,75.1,75.14,6760.0
2018-02-16,10:25:00,75.15,75.16,75.14,75.14,3001.0
2018-02-16,10:26:00,75.15,75.22,75.15,75.21,3022.0
2018-02-16,10:27:00,75.22,75.25,75.21,75.24,3039.0
2018-02-16,10:28:00,75.25,75.28,75.2295,75.27,4504.0
2018-02-16,10:29:00,75.26,75.26,75.24,75.26,4734.0
2018-02-16,10:30:00,75.29,75.29,75.21,75.2134,6057.0
2018-02-16,10:31:00,75.21,75.23,75.16,75.21,9185.0
2018-02-16,10:32:00,75.21,75.28,75.2,75.28,24488.0
2018-02-16,10:33:00,75.29,75.31,75.27,75.31,5699.0
2018-02-16,10:34:00,75.32,75.35,75.315,75.33,1868.0
2018-02-16,10:35:00,75.33,75.33,75.303,75.305,3300.0
2018-02-16,10:36:00,75.32,75.35,75.32,75.35,5385.0
2018-02-16,10:37:00,75.35,75.43,75.35,75.39,9222.0
2018-02-16,10:38:00,75.39,75.43,75.39,75.43,3355.0
2018-02-16,10:39:00,75.411,75.43,75.39,75.4,9183.0
2018-02-16,10:40:00,75.39,75.3901,75.34,75.34,3818.0
2018-02-16,10:41:00,75.34,75.3533,75.32,75.35,3830.0
2018-02-16,10:42:00,75.33,75.33,75.29,75.3,4967.0
2018-02-16,10:43:00,75.29,75.29,75.22,75.24,5645.0
2018-02-16,10:44:00,75.25,75.3,75.25,75.275,2654.0
2018-02-16,10:45:00,75.28,75.29,75.25,75.26,8648.0
2018-02-16,10:46:00,75.26,75.29,75.25,75.28,3300.0
2018-02-16,10:47:00,75.2677,75.29,75.2677,75.28,4542.0
2018-02-16,10:48:00,75.29,75.32,75.29,75.31,5209.0
2018-02-16,10:49:00,75.302,75.31,75.275,75.275,2116.0
2018-02-16,10:50:00,75.28,75.35,75.28,75.35,3158.0
2018-02-16,10:51:00,75.33,75.33,75.3,75.3,3884.0
2018-02-16,10:52:00,75.28,75.28,75.22,75.2404,4676.0
2018-02-16,10:53:00,75.24,75.24,75.21,75.22,7810.0
2018-02-16,10:54:00,75.23,75.23,75.21,75.21,8026.0
2018-02-16,10:55:00,75.22,75.29,75.22,75.29,2400.0
2018-02-16,10:56:00,75.28,75.28,75.2243,75.25,3718.0
2018-02-16,10:57:00,75.26,75.29,75.26,75.29,1310.0
2018-02-16,10:58:00,75.29,75.33,75.28,75.32,7948.0
2018-02-16,10:59:00,75.33,75.34,75.32,75.34,2012.0
2018-02-16,11:00:00,75.34,75.34,75.29,75.29,6066.0
2018-02-16,11:01:00,75.3,75.33,75.3,75.33,2131.0
2018-02-16,11:02:00,75.3323,75.37,75.33,75.37,3944.0
2018-02-16,11:03:00,75.37,75.37,75.315,75.315,2585.0
2018-02-16,11:04:00,75.31,75.34,75.3,75.3137,5230.0
2018-02-16,11:05:00,75.31,75.4,75.31,75.35,13210.0
2018-02-16,11:06:00,75.37,75.39,75.36,75.39,1400.0
2018-02-16,11:07:00,75.39,75.4,75.37,75.38,3100.0
2018-02-16,11:08:00,75.36,75.39,75.33,75.35,6803.0
2018-02-16,11:09:00,75.34,75.34,75.29,75.2952,5240.0
2018-02-16,11:10:00,75.29,75.315,75.26,75.315,10728.0
2018-02-16,11:11:00,75.31,75.3499,75.3,75.3436,6450.0
2018-02-16,11:12:00,75.33,75.38,75.33,75.38,3941.0
2018-02-16,11:13:00,75.38,75.4227,75.37,75.4,10076.0
2018-02-16,11:14:00,75.4,75.41,75.4,75.4,3090.0
2018-02-16,11:15:00,75.41,75.45,75.405,75.42,2566.0
2018-02-16,11:16:00,75.42,75.45,75.415,75.43,3584.0
2018-02-16,11:17:00,75.43,75.46,75.42,75.457,8371.0
2018-02-16,11:18:00,75.47,75.47,75.411,75.415,5078.0
2018-02-16,11:19:00,75.41,75.41,75.38,75.39,2500.0
2018-02-16,11:20:00,75.39,75.43,75.39,75.43,1963.0
2018-02-16,11:21:00,75.41,75.45,75.405,75.43,1900.0
2018-02-16,11:22:00,75.42,75.46,75.42,75.46,3412.0
2018-02-16,11:23:00,75.45,75.47,75.44,75.47,2800.0
2018-02-16,11:24:00,75.46,75.48,75.46,75.47,4191.0
2018-02-16,11:25:00,75.46,75.46,75.43,75.43,1100.0
2018-02-16,11:26:00,75.42,75.43,75.41,75.43,2742.0
2018-02-16,11:27:00,75.43,75.43,75.42,75.43,1756.0
2018-02-16,11:28:00,75.44,75.46,75.435,75.45,2750.0
2018-02-16,11:29:00,75.45,75.46,75.445,75.46,3265.0
2018-02-16,11:30:00,75.44,75.44,75.4,75.4,3039.0
2018-02-16,11:31:00,75.4,75.47,75.39,75.47,4100.0
2018-02-16,11:32:00,75.47,75.49,75.455,75.4898,3076.0
2018-02-16,11:33:00,75.48,75.49,75.4656,75.48,2965.0
2018-02-16,11:34:00,75.47,75.47,75.46,75.46,3000.0
2018-02-16,11:35:00,75.4534,75.4534,75.43,75.44,1335.0
2018-02-16,11:36:00,75.44,75.51,75.435,75.5,7548.0
2018-02-16,11:37:00,75.51,75.55,75.4922,75.55,4204.0
2018-02-16,11:38:00,75.56,75.59,75.56,75.59,5982.0
2018-02-16,11:39:00,75.59,75.64,75.59,75.63,4693.0
2018-02-16,11:40:00,75.62,75.62,75.58,75.59,5440.0
2018-02-16,11:41:00,75.57,75.63,75.55,75.62,14139.0
2018-02-16,11:42:00,75.6,75.6324,75.59,75.6324,5146.0
2018-02-16,11:43:00,75.64,75.68,75.64,75.68,2919.0
2018-02-16,11:44:00,75.68,75.68,75.64,75.64,2344.0
2018-02-16,11:45:00,75.63,75.66,75.6245,75.655,3381.0
2018-02-16,11:46:00,75.65,75.65,75.59,75.61,4567.0
2018-02-16,11:47:00,75.62,75.63,75.61,75.63,1420.0
2018-02-16,11:48:00,75.62,75.64,75.62,75.62,1873.0
2018-02-16,11:49:00,75.62,75.63,75.62,75.62,2230.0
2018-02-16,11:50:00,75.62,75.665,75.615,75.66,5770.0
2018-02-16,11:51:00,75.67,75.72,75.658,75.7,5833.0
2018-02-16,11:52:00,75.705,75.76,75.7,75.76,7866.0
2018-02-16,11:53:00,75.76,75.79,75.74,75.74,5177.0
2018-02-16,11:54:00,75.75,75.8,75.74,75.7968,18073.0
2018-02-16,11:55:00,75.78,75.78,75.7564,75.7564,3715.0
2018-02-16,11:56:00,75.76,75.76,75.7388,75.76,2096.0
2018-02-16,11:57:00,75.77,75.78,75.77,75.77,2316.0
2018-02-16,11:58:00,75.78,75.79,75.78,75.78,1427.0
2018-02-16,11:59:00,75.78,75.79,75.78,75.7801,1782.0
2018-02-16,12:00:00,75.79,75.81,75.78,75.79,4282.0
2018-02-16,12:01:00,75.7731,75.79,75.76,75.76,1500.0
2018-02-16,12:02:00,75.77,75.81,75.765,75.81,6936.0
2018-02-16,12:03:00,75.8,75.82,75.8,75.8168,1300.0
2018-02-16,12:04:00,75.8,75.8,75.77,75.78,3964.0
2018-02-16,12:05:00,75.79,75.81,75.79,75.81,2364.0
2018-02-16,12:06:00,75.8,75.81,75.75,75.75,2760.0
2018-02-16,12:07:00,75.745,75.745,75.74,75.74,600.0
2018-02-16,12:08:00,75.73,75.73,75.68,75.68,4910.0
2018-02-16,12:09:00,75.68,75.75,75.68,75.7399,2917.0
2018-02-16,12:10:00,75.74,75.74,75.7,75.7163,3045.0
2018-02-16,12:11:00,75.72,75.745,75.7,75.7,3004.0
2018-02-16,12:12:00,75.7,75.76,75.7,75.76,5046.0
2018-02-16,12:13:00,75.75,75.8,75.75,75.79,3022.0
2018-02-16,12:14:00,75.79,75.82,75.79,75.82,1610.0
2018-02-16,12:15:00,75.81,75.82,75.78,75.82,1200.0
2018-02-16,12:16:00,75.83,75.84,75.8,75.84,3300.0
2018-02-16,12:17:00,75.84,75.87,75.84,75.86,1500.0
2018-02-16,12:18:00,75.82,75.84,75.82,75.84,1309.0
2018-02-16,12:19:00,75.84,75.86,75.84,75.84,4200.0
2018-02-16,12:20:00,75.83,75.84,75.82,75.84,5330.0
2018-02-16,12:21:00,75.84,75.84,75.8,75.8071,5578.0
2018-02-16,12:22:00,75.81,75.86,75.81,75.86,3400.0
2018-02-16,12:23:00,75.87,75.8701,75.8196,75.8196,2871.0
2018-02-16,12:24:00,75.82,75.82,75.77,75.77,2500.0
2018-02-16,12:25:00,75.78,75.84,75.78,75.825,3438.0
2018-02-16,12:26:00,75.84,75.87,75.84,75.87,2121.0
2018-02-16,12:27:00,75.87,75.88,75.85,75.86,1376.0
2018-02-16,12:28:00,75.86,75.88,75.86,75.8799,3616.0
2018-02-16,12:29:00,75.88,75.88,75.83,75.83,3200.0
2018-02-16,12:30:00,75.84,75.85,75.83,75.84,2207.0
2018-02-16,12:31:00,75.84,75.85,75.84,75.8456,2792.0
2018-02-16,12:32:00,75.84,75.92,75.84,75.91,8002.0
2018-02-16,12:33:00,75.91,75.96,75.91,75.95,2680.0
2018-02-16,12:34:00,75.95,75.99,75.95,75.98,4140.0
2018-02-16,12:35:00,75.97,76.0,75.97,75.99,8753.0
2018-02-16,12:36:00,75.98,75.98,75.95,75.95,2684.0
2018-02-16,12:37:00,75.96,75.98,75.96,75.98,2400.0
2018-02-16,12:38:00,75.98,76.0,75.95,75.95,4500.0
2018-02-16,12:39:00,75.95,75.95,75.9,75.9,3990.0
2018-02-16,12:40:00,75.9,75.92,75.9,75.902,3025.0
2018-02-16,12:41:00,75.91,75.91,75.88,75.89,4160.0
2018-02-16,12:42:00,75.9,75.9,75.88,75.88,2247.0
2018-02-16,12:43:00,75.88,75.89,75.88,75.88,800.0
2018-02-16,12:44:00,75.88,75.89,75.84,75.8525,5800.0
2018-02-16,12:45:00,75.86,75.86,75.82,75.82,600.0
2018-02-16,12:46:00,75.83,75.84,75.81,75.81,1600.0
2018-02-16,12:47:00,75.8154,75.83,75.81,75.81,3195.0
2018-02-16,12:48:00,75.805,75.805,75.77,75.78,3355.0
2018-02-16,12:49:00,75.78,75.7819,75.76,75.76,1691.0
2018-02-16,12:50:00,75.751,75.751,75.74,75.74,1739.0
2018-02-16,12:51:00,75.757,75.79,75.757,75.79,4315.0
2018-02-16,12:52:00,75.78,75.78,75.74,75.75,2984.0
2018-02-16,12:53:00,75.74,75.75,75.69,75.7,6020.0
2018-02-16,12:54:00,75.7,75.71,75.68,75.69,5907.0
2018-02-16,12:55:00,75.69,75.742,75.69,75.74,8688.0
2018-02-16,12:56:00,75.75,75.76,75.73,75.76,2502.0
2018-02-16,12:57:00,75.77,75.79,75.77,75.79,2353.0
2018-02-16,12:58:00,75.77,75.79,75.77,75.77,2900.0
2018-02-16,12:59:00,75.77,75.79,75.77,75.79,2448.0
2018-02-16,13:00:00,75.79,75.8,75.79,75.79,1424.0
2018-02-16,13:01:00,75.8,75.84,75.8,75.82,4500.0
2018-02-16,13:02:00,75.82,75.84,75.82,75.82,1500.0
2018-02-16,13:03:00,75.82,75.86,75.82,75.8493,2484.0
2018-02-16,13:04:00,75.85,75.86,75.8483,75.85,4250.0
2018-02-16,13:05:00,75.85,75.85,75.83,75.83,2029.0
2018-02-16,13:06:00,75.82,75.85,75.82,75.83,2100.0
2018-02-16,13:07:00,75.82,75.83,75.795,75.7962,11457.0
2018-02-16,13:08:00,75.8,75.8141,75.8,75.8,2527.0
2018-02-16,13:09:00,75.8,75.82,75.79,75.82,2580.0
2018-02-16,13:10:00,75.81,75.8254,75.81,75.8254,1728.0
2018-02-16,13:11:00,75.8215,75.83,75.78,75.78,2545.0
2018-02-16,13:12:00,75.78,75.78,75.75,75.775,4228.0
2018-02-16,13:13:00,75.78,75.79,75.755,75.79,2854.0
2018-02-16,13:14:00,75.78,75.78,75.63,75.75,35564.0
2018-02-16,13:15:00,75.75,75.78,75.74,75.74,4322.0
2018-02-16,13:16:00,75.76,75.8,75.76,75.8,4527.0
2018-02-16,13:17:00,75.8,75.81,75.79,75.79,1600.0
2018-02-16,13:18:00,75.79,75.81,75.77,75.8,6800.0
2018-02-16,13:19:00,75.81,75.81,75.78,75.79,2200.0
2018-02-16,13:20:00,75.76,75.76,75.73,75.73,1900.0
2018-02-16,13:21:00,75.72,75.75,75.705,75.73,2352.0
2018-02-16,13:22:00,75.75,75.77,75.74,75.76,1508.0
2018-02-16,13:23:00,75.76,75.8,75.76,75.8,1900.0
2018-02-16,13:24:00,75.8013,75.81,75.78,75.81,1358.0
2018-02-16,13:25:00,75.81,75.82,75.805,75.815,2560.0
2018-02-16,13:26:00,75.81,75.82,75.81,75.81,2800.0
2018-02-16,13:27:00,75.81,75.81,75.785,75.79,4000.0
2018-02-16,13:28:00,75.8,75.8,75.76,75.76,1520.0
2018-02-16,13:29:00,75.754,75.754,75.71,75.71,6711.0
2018-02-16,13:30:00,75.73,75.74,75.72,75.74,1501.0
2018-02-16,13:31:00,75.75,75.75,75.67,75.67,3000.0
2018-02-16,13:32:00,75.68,75.69,75.63,75.67,5385.0
2018-02-16,13:33:00,75.67,75.73,75.65,75.7,8110.0
2018-02-16,13:34:00,75.68,75.69,75.66,75.67,3300.0
2018-02-16,13:35:00,75.69,75.71,75.68,75.71,2178.0
2018-02-16,13:36:00,75.7,75.78,75.69,75.78,5266.0
2018-02-16,13:37:00,75.79,75.81,75.77,75.81,1929.0
2018-02-16,13:38:00,75.81,75.82,75.78,75.8,2720.0
2018-02-16,13:39:00,75.8,75.84,75.8,75.84,1001.0
2018-02-16,13:40:00,75.82,75.84,75.79,75.8,1908.0
2018-02-16,13:41:00,75.81,75.85,75.81,75.85,2497.0
2018-02-16,13:42:00,75.85,75.9,75.85,75.9,3806.0
2018-02-16,13:43:00,75.89,75.908,75.87,75.87,732.0
