date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,52.87,52.87,52.85,52.85,200.0
2018-02-16,09:31:00,52.89,53.2499,52.89,53.22,208775.0
2018-02-16,09:32:00,53.19,53.19,53.06,53.18,9747.0
2018-02-16,09:33:00,53.17,53.26,53.145,53.235,7250.0
2018-02-16,09:34:00,53.213,53.31,53.13,53.16,42327.0
2018-02-16,09:35:00,53.1552,53.32,53.145,53.2411,12868.0
2018-02-16,09:36:00,53.244,53.25,53.16,53.22,31163.0
2018-02-16,09:37:00,53.23,53.2499,53.12,53.16,10229.0
2018-02-16,09:38:00,53.16,53.219,53.11,53.219,16822.0
2018-02-16,09:39:00,53.2076,53.38,53.2,53.34,22952.0
2018-02-16,09:40:00,53.34,53.44,53.3,53.3,23966.0
2018-02-16,09:41:00,53.3,53.33,53.21,53.22,22755.0
2018-02-16,09:42:00,53.21,53.23,53.15,53.16,8263.0
2018-02-16,09:43:00,53.16,53.21,53.14,53.15,6366.0
2018-02-16,09:44:00,53.15,53.16,53.1,53.105,8646.0
2018-02-16,09:45:00,53.1066,53.14,53.04,53.11,10189.0
2018-02-16,09:46:00,53.12,53.18,53.07,53.18,9791.0
2018-02-16,09:47:00,53.2,53.21,53.15,53.165,15203.0
2018-02-16,09:48:00,53.16,53.165,53.112,53.145,4568.0
2018-02-16,09:49:00,53.1478,53.2,53.115,53.18,6620.0
2018-02-16,09:50:00,53.17,53.205,53.15,53.2,16884.0
2018-02-16,09:51:00,53.2,53.2,53.095,53.18,18789.0
2018-02-16,09:52:00,53.19,53.21,53.15,53.21,4002.0
2018-02-16,09:53:00,53.2,53.2,53.14,53.19,7703.0
2018-02-16,09:54:00,53.195,53.2001,53.16,53.1701,6529.0
2018-02-16,09:55:00,53.19,53.2,53.16,53.17,11322.0
2018-02-16,09:56:00,53.17,53.22,53.16,53.2,14062.0
2018-02-16,09:57:00,53.19,53.19,53.14,53.17,12524.0
2018-02-16,09:58:00,53.17,53.18,53.12,53.175,10064.0
2018-02-16,09:59:00,53.18,53.19,53.13,53.135,13905.0
2018-02-16,10:00:00,53.1343,53.19,53.11,53.12,43711.0
2018-02-16,10:01:00,53.13,53.18,53.11,53.14,28235.0
2018-02-16,10:02:00,53.13,53.21,53.13,53.205,10999.0
2018-02-16,10:03:00,53.21,53.24,53.18,53.1876,17926.0
2018-02-16,10:04:00,53.1992,53.21,53.16,53.17,8601.0
2018-02-16,10:05:00,53.17,53.1766,53.14,53.14,5483.0
2018-02-16,10:06:00,53.15,53.16,53.11,53.16,10900.0
