date,ToD,open,high,low,close,volume
2018-02-16,09:31:00,165.755,166.5,165.51,165.59,8252.0
2018-02-16,09:32:00,165.66,165.93,162.01,162.31,198380.0
2018-02-16,09:33:00,162.62,165.235,162.3355,165.235,68791.0
2018-02-16,09:34:00,164.9098,165.35,163.81,164.815,55917.0
2018-02-16,09:35:00,164.11,166.4897,164.0,166.46,37545.0
2018-02-16,09:36:00,166.325,166.79,166.01,166.01,45569.0
2018-02-16,09:37:00,166.37,166.9,166.06,166.75,23804.0
2018-02-16,09:38:00,166.75,167.34,166.415,167.13,39799.0
2018-02-16,09:39:00,167.17,167.9,166.91,167.725,34766.0
2018-02-16,09:40:00,167.81,167.98,167.36,167.495,40323.0
2018-02-16,09:41:00,167.62,167.87,167.15,167.72,49400.0
2018-02-16,09:42:00,167.81,167.89,167.5,167.5,47258.0
2018-02-16,09:43:00,167.5683,167.7,167.35,167.66,26295.0
2018-02-16,09:44:00,167.61,167.61,165.7701,165.9448,37917.0
2018-02-16,09:45:00,165.98,166.35,165.345,166.03,18670.0
2018-02-16,09:46:00,165.97,166.27,165.49,165.88,13874.0
2018-02-16,09:47:00,165.86,166.22,165.76,166.01,9660.0
2018-02-16,09:48:00,166.135,166.17,165.5,165.65,17211.0
2018-02-16,09:49:00,165.735,165.92,164.62,164.8895,29614.0
2018-02-16,09:50:00,164.872,165.81,164.872,165.81,13015.0
2018-02-16,09:51:00,165.8,166.26,165.4675,165.8986,8537.0
2018-02-16,09:52:00,165.955,166.19,165.825,166.0585,6500.0
2018-02-16,09:53:00,165.85,165.97,165.539,165.78,21464.0
2018-02-16,09:54:00,165.615,166.0,165.46,165.93,18325.0
2018-02-16,09:55:00,165.99,166.29,165.7201,166.155,8248.0
2018-02-16,09:56:00,166.05,166.99,166.03,166.61,9331.0
2018-02-16,09:57:00,166.51,166.89,166.3551,166.48,12913.0
2018-02-16,09:58:00,166.48,167.19,166.46,167.11,11038.0
2018-02-16,09:59:00,167.03,167.26,166.68,166.77,14205.0
2018-02-16,10:00:00,166.68,166.81,166.28,166.81,22783.0
2018-02-16,10:01:00,166.7,167.14,166.541,166.66,19669.0
2018-02-16,10:02:00,166.57,166.71,166.51,166.68,4991.0
2018-02-16,10:03:00,166.51,166.76,166.51,166.64,7637.0
2018-02-16,10:04:00,166.58,166.69,166.03,166.03,25979.0
2018-02-16,10:05:00,166.25,166.47,166.24,166.24,9568.0
2018-02-16,10:06:00,166.24,166.3843,166.2,166.305,8772.0
2018-02-16,10:07:00,166.335,166.34,166.03,166.03,20506.0
2018-02-16,10:08:00,166.07,166.07,165.75,165.81,17825.0
2018-02-16,10:09:00,165.7707,165.86,165.62,165.7,14809.0
2018-02-16,10:10:00,165.77,166.21,165.6822,166.0371,19719.0
2018-02-16,10:11:00,165.99,166.83,165.65,166.82,33629.0
2018-02-16,10:12:00,166.81,166.81,165.8,165.85,23711.0
2018-02-16,10:13:00,165.75,166.33,165.75,166.25,8775.0
2018-02-16,10:14:00,166.23,166.23,165.8,165.8,7318.0
2018-02-16,10:15:00,165.82,167.0,165.82,166.94,22052.0
2018-02-16,10:16:00,166.95,167.73,166.77,167.1401,63320.0
2018-02-16,10:17:00,167.22,167.83,167.01,167.51,13461.0
2018-02-16,10:18:00,167.39,167.57,166.86,167.01,18363.0
2018-02-16,10:19:00,167.07,167.36,167.005,167.13,6550.0
2018-02-16,10:20:00,167.09,167.16,166.95,166.965,7571.0
2018-02-16,10:21:00,167.01,167.25,167.01,167.25,3763.0
2018-02-16,10:22:00,167.1965,167.91,167.1965,167.8,58890.0
2018-02-16,10:23:00,167.8,167.96,167.63,167.63,44241.0
2018-02-16,10:24:00,167.63,167.729,167.32,167.435,12670.0
2018-02-16,10:25:00,167.345,167.71,167.335,167.5712,8310.0
2018-02-16,10:26:00,167.595,167.79,167.59,167.71,8383.0
2018-02-16,10:27:00,167.66,167.66,167.165,167.165,5173.0
2018-02-16,10:28:00,167.315,167.53,167.23,167.3,6002.0
2018-02-16,10:29:00,167.37,167.64,167.25,167.3,3446.0
2018-02-16,10:30:00,167.2101,167.44,167.14,167.375,10282.0
2018-02-16,10:31:00,167.3,167.31,167.1601,167.25,6033.0
2018-02-16,10:32:00,167.29,167.485,167.16,167.25,13089.0
2018-02-16,10:33:00,167.485,167.87,167.38,167.82,12029.0
2018-02-16,10:34:00,167.75,167.79,167.46,167.5,50950.0
2018-02-16,10:35:00,167.495,167.76,167.445,167.69,72100.0
2018-02-16,10:36:00,167.7,168.0,167.67,167.9,12488.0
2018-02-16,10:37:00,167.8446,168.25,167.82,167.99,16639.0
2018-02-16,10:38:00,168.04,168.23,167.966,168.21,23118.0
2018-02-16,10:39:00,168.06,168.83,168.06,168.79,28468.0
2018-02-16,10:40:00,168.79,169.37,168.63,169.1315,60694.0
2018-02-16,10:41:00,169.055,169.8999,168.97,169.8999,57244.0
2018-02-16,10:42:00,169.8,170.98,169.8,170.73,61334.0
2018-02-16,10:43:00,170.73,171.32,170.6,171.1889,66524.0
2018-02-16,10:44:00,171.19,171.67,171.1678,171.24,27240.0
2018-02-16,10:45:00,171.235,171.42,171.2,171.39,21920.0
2018-02-16,10:46:00,171.2932,172.12,171.2001,172.095,93812.0
2018-02-16,10:47:00,172.07,172.71,172.05,172.67,58369.0
2018-02-16,10:48:00,172.67,172.7,171.73,172.055,55517.0
2018-02-16,10:49:00,172.14,172.49,171.95,172.33,47028.0
2018-02-16,10:50:00,172.345,173.0,172.13,172.98,62743.0
2018-02-16,10:51:00,173.0,173.32,172.7845,173.22,47816.0
2018-02-16,10:52:00,173.3,173.58,172.83,173.4632,20613.0
2018-02-16,10:53:00,173.41,173.55,173.06,173.08,28075.0
2018-02-16,10:54:00,173.04,173.7295,173.04,173.595,25779.0
2018-02-16,10:55:00,173.5,173.73,173.4,173.455,19302.0
2018-02-16,10:56:00,173.425,173.81,173.4,173.73,24563.0
2018-02-16,10:57:00,173.76,174.29,173.5157,173.739,78340.0
2018-02-16,10:58:00,173.74,173.87,173.6485,173.75,19158.0
2018-02-16,10:59:00,173.8,174.119,173.685,174.04,33991.0
2018-02-16,11:00:00,174.0,174.05,173.31,173.76,26379.0
2018-02-16,11:01:00,173.72,173.76,173.36,173.4,19006.0
2018-02-16,11:02:00,173.395,173.59,173.1101,173.33,27275.0
2018-02-16,11:03:00,173.245,173.43,173.05,173.17,17013.0
2018-02-16,11:04:00,173.21,173.325,173.02,173.2517,17852.0
2018-02-16,11:05:00,173.195,173.3095,172.9094,173.23,24221.0
2018-02-16,11:06:00,173.24,173.26,173.01,173.095,11368.0
2018-02-16,11:07:00,173.14,173.2,173.02,173.045,10481.0
2018-02-16,11:08:00,173.08,173.1,172.9,172.9,6592.0
2018-02-16,11:09:00,172.96,173.7,172.85,173.69,41256.0
2018-02-16,11:10:00,173.64,174.48,173.5901,174.122,24701.0
2018-02-16,11:11:00,174.09,174.86,173.8,174.6564,55724.0
2018-02-16,11:12:00,174.7399,174.7399,174.17,174.51,14215.0
2018-02-16,11:13:00,174.7,174.92,174.62,174.83,15507.0
2018-02-16,11:14:00,174.77,175.0,174.72,174.9448,47148.0
2018-02-16,11:15:00,174.9355,175.26,174.48,174.63,49101.0
2018-02-16,11:16:00,174.57,174.7,174.25,174.35,24538.0
2018-02-16,11:17:00,174.35,174.68,174.25,174.37,14528.0
2018-02-16,11:18:00,174.37,174.79,174.1,174.1,18333.0
2018-02-16,11:19:00,174.18,174.42,174.175,174.3,23969.0
2018-02-16,11:20:00,174.345,174.53,174.2568,174.2724,25396.0
2018-02-16,11:21:00,174.335,174.41,174.27,174.33,11734.0
2018-02-16,11:22:00,174.34,174.58,174.31,174.405,19815.0
2018-02-16,11:23:00,174.3811,174.3811,173.61,173.74,33061.0
2018-02-16,11:24:00,173.71,173.87,173.7,173.827,4944.0
2018-02-16,11:25:00,173.865,173.865,173.39,173.455,12603.0
2018-02-16,11:26:00,173.57,173.605,172.88,173.29,24328.0
2018-02-16,11:27:00,173.26,173.26,172.96,173.155,11653.0
2018-02-16,11:28:00,173.2805,173.39,173.21,173.25,8700.0
2018-02-16,11:29:00,173.2449,173.38,173.1,173.37,7461.0
2018-02-16,11:30:00,173.4,173.4,173.125,173.14,3642.0
2018-02-16,11:31:00,173.21,173.5,173.19,173.48,10216.0
2018-02-16,11:32:00,173.4104,173.56,172.94,172.9775,16200.0
2018-02-16,11:33:00,173.02,173.04,172.65,172.715,14633.0
2018-02-16,11:34:00,172.68,173.06,172.67,173.0496,5349.0
