date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,23.99,23.99,23.99,23.99,42400.0
2018-02-16,09:31:00,24.0,24.05,24.0,24.01,2200.0
2018-02-16,09:32:00,23.97,24.01,23.87,23.89,2070.0
2018-02-16,09:33:00,23.86,23.86,23.81,23.85,4900.0
2018-02-16,09:34:00,23.9,24.0,23.9,23.94,6760.0
2018-02-16,09:35:00,23.95,24.02,23.95,24.01,4568.0
2018-02-16,09:36:00,24.02,24.03,23.89,23.92,6200.0
2018-02-16,09:37:00,23.92,23.98,23.89,23.98,5100.0
2018-02-16,09:38:00,24.0,24.02,23.99,24.01,1600.0
2018-02-16,09:39:00,24.02,24.1,24.02,24.08,4500.0
2018-02-16,09:40:00,24.07,24.09,24.03,24.06,4407.0
2018-02-16,09:41:00,24.04,24.08,24.01,24.02,8600.0
2018-02-16,09:42:00,24.04,24.04,23.96,23.97,9500.0
2018-02-16,09:43:00,23.97,24.05,23.97,24.05,3331.0
2018-02-16,09:44:00,24.05,24.05,24.02,24.02,2700.0
2018-02-16,09:45:00,23.99,24.02,23.99,24.01,6947.0
2018-02-16,09:46:00,24.01,24.065,24.0,24.06,3579.0
2018-02-16,09:47:00,24.06,24.08,24.05,24.08,3900.0
2018-02-16,09:48:00,24.07,24.1,24.06,24.1,4672.0
2018-02-16,09:49:00,24.1,24.12,24.09,24.12,2750.0
2018-02-16,09:50:00,24.12,24.12,24.08,24.08,2306.0
2018-02-16,09:51:00,24.06,24.065,24.03,24.05,6998.0
2018-02-16,09:52:00,24.05,24.05,24.01,24.02,6700.0
2018-02-16,09:53:00,24.03,24.04,24.02,24.04,3606.0
2018-02-16,09:54:00,24.04,24.04,24.01,24.01,8050.0
2018-02-16,09:55:00,24.0,24.015,23.95,23.95,3200.0
2018-02-16,09:56:00,23.955,23.97,23.93,23.93,2500.0
2018-02-16,09:57:00,23.94,23.95,23.92,23.92,3259.0
2018-02-16,09:58:00,23.91,23.95,23.91,23.94,5900.0
2018-02-16,09:59:00,23.95,23.975,23.94,23.94,4700.0
2018-02-16,10:00:00,23.96,23.96,23.93,23.95,3900.0
2018-02-16,10:01:00,23.94,23.94,23.93,23.94,3530.0
2018-02-16,10:02:00,23.94,23.95,23.94,23.94,1400.0
2018-02-16,10:03:00,23.96,23.96,23.93,23.93,1800.0
2018-02-16,10:04:00,23.93,23.94,23.92,23.94,4231.0
2018-02-16,10:05:00,23.94,23.95,23.9,23.91,3675.0
2018-02-16,10:06:00,23.91,23.91,23.89,23.91,3139.0
2018-02-16,10:07:00,23.9,23.9,23.87,23.88,1307.0
2018-02-16,10:08:00,23.89,23.92,23.89,23.92,1900.0
2018-02-16,10:09:00,23.93,23.935,23.9162,23.93,12800.0
2018-02-16,10:10:00,23.94,23.98,23.94,23.95,19982.0
2018-02-16,10:11:00,23.95,23.95,23.92,23.92,7624.0
2018-02-16,10:12:00,23.93,23.94,23.915,23.92,7735.0
2018-02-16,10:13:00,23.925,23.93,23.9,23.91,5193.0
2018-02-16,10:14:00,23.91,23.915,23.89,23.89,3300.0
2018-02-16,10:15:00,23.885,23.92,23.885,23.9,2617.0
2018-02-16,10:16:00,23.9,23.93,23.9,23.925,1919.0
2018-02-16,10:17:00,23.93,23.93,23.91,23.93,10716.0
2018-02-16,10:18:00,23.93,23.95,23.93,23.945,4355.0
2018-02-16,10:19:00,23.945,23.96,23.94,23.96,4227.0
2018-02-16,10:20:00,23.96,23.97,23.935,23.935,10759.0
2018-02-16,10:21:00,23.93,23.96,23.93,23.96,2407.0
2018-02-16,10:22:00,23.96,24.0,23.96,24.0,1901.0
2018-02-16,10:23:00,24.0,24.015,23.99,24.015,2803.0
2018-02-16,10:24:00,24.02,24.05,24.02,24.035,3422.0
2018-02-16,10:25:00,24.03,24.05,23.99,23.99,6927.0
2018-02-16,10:26:00,23.98,24.03,23.98,24.0,8711.0
2018-02-16,10:27:00,24.0,24.0,23.96,23.96,7671.0
2018-02-16,10:28:00,23.96,23.975,23.96,23.97,910.0
2018-02-16,10:29:00,23.97,23.985,23.96,23.98,5613.0
2018-02-16,10:30:00,23.98,23.99,23.97,23.975,8300.0
2018-02-16,10:31:00,23.97,23.99,23.96,23.99,2963.0
2018-02-16,10:32:00,23.98,24.0,23.97,24.0,2189.0
2018-02-16,10:33:00,24.0,24.0,23.99,24.0,3340.0
2018-02-16,10:34:00,24.0,24.0,23.98,23.985,3184.0
2018-02-16,10:35:00,23.99,23.99,23.97,23.97,3652.0
2018-02-16,10:36:00,23.98,23.99,23.97,23.99,2440.0
2018-02-16,10:37:00,23.99,24.0,23.99,24.0,1334.0
2018-02-16,10:38:00,24.0,24.0,23.9699,23.975,5423.0
2018-02-16,10:39:00,23.9761,23.99,23.9761,23.99,1175.0
2018-02-16,10:40:00,23.99,24.005,23.99,23.99,1300.0
2018-02-16,10:41:00,23.995,23.995,23.98,23.987,5028.0
2018-02-16,10:42:00,23.985,23.99,23.97,23.99,2445.0
2018-02-16,10:43:00,23.995,23.995,23.975,23.98,2922.0
2018-02-16,10:44:00,23.985,24.02,23.985,24.015,4754.0
2018-02-16,10:45:00,24.02,24.02,24.01,24.01,1371.0
2018-02-16,10:46:00,24.015,24.02,24.015,24.02,811.0
2018-02-16,10:47:00,24.0241,24.0241,24.01,24.015,919.0
2018-02-16,10:48:00,24.02,24.02,24.0,24.0,9600.0
2018-02-16,10:49:00,24.0,24.015,24.0,24.015,3018.0
2018-02-16,10:50:00,24.02,24.035,24.02,24.03,3495.0
2018-02-16,10:51:00,24.03,24.03,24.02,24.03,1325.0
2018-02-16,10:52:00,24.025,24.025,24.01,24.02,3016.0
2018-02-16,10:53:00,24.015,24.015,24.0,24.01,2900.0
2018-02-16,10:54:00,24.02,24.04,24.02,24.03,3883.0
2018-02-16,10:55:00,24.02,24.04,24.01,24.03,14503.0
2018-02-16,10:56:00,24.02,24.02,24.01,24.01,2802.0
2018-02-16,10:57:00,24.0095,24.01,23.99,23.99,11442.0
2018-02-16,10:58:00,23.99,23.997,23.98,23.98,2315.0
2018-02-16,10:59:00,23.99,23.99,23.99,23.99,600.0
2018-02-16,11:00:00,23.99,23.99,23.965,23.97,3321.0
2018-02-16,11:01:00,23.97,23.98,23.95,23.96,14595.0
2018-02-16,11:02:00,23.96,23.98,23.95,23.98,16326.0
2018-02-16,11:03:00,23.99,23.99,23.98,23.98,5294.0
