date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,2.14,2.14,2.14,2.14,68360.0
2018-02-16,09:31:00,2.145,2.16,2.14,2.16,3460.0
2018-02-16,09:32:00,2.165,2.18,2.165,2.18,7600.0
2018-02-16,09:33:00,2.18,2.2,2.175,2.2,33420.0
2018-02-16,09:34:00,2.2,2.21,2.18,2.189,58159.0
2018-02-16,09:35:00,2.187,2.195,2.18,2.19,50929.0
2018-02-16,09:36:00,2.1956,2.199,2.18,2.18,26921.0
2018-02-16,09:37:00,2.185,2.185,2.16,2.17,34883.0
2018-02-16,09:38:00,2.16,2.1724,2.16,2.16,7955.0
2018-02-16,09:39:00,2.17,2.185,2.17,2.1801,25500.0
2018-02-16,09:40:00,2.19,2.1966,2.19,2.19,12200.0
2018-02-16,09:41:00,2.195,2.205,2.19,2.19,39500.0
2018-02-16,09:42:00,2.19,2.2,2.19,2.2,3400.0
2018-02-16,09:43:00,2.21,2.2166,2.21,2.2166,37020.0
2018-02-16,09:44:00,2.2199,2.225,2.215,2.225,27300.0
2018-02-16,09:45:00,2.22,2.22,2.2034,2.205,52289.0
2018-02-16,09:46:00,2.2093,2.21,2.2,2.21,25840.0
2018-02-16,09:47:00,2.21,2.215,2.21,2.21,7400.0
2018-02-16,09:48:00,2.215,2.22,2.215,2.22,11900.0
2018-02-16,09:49:00,2.22,2.24,2.215,2.235,98998.0
2018-02-16,09:50:00,2.233,2.24,2.215,2.22,86271.0
2018-02-16,09:51:00,2.2166,2.23,2.215,2.23,25700.0
2018-02-16,09:52:00,2.2266,2.2298,2.22,2.225,16325.0
2018-02-16,09:53:00,2.2233,2.23,2.22,2.23,3212.0
2018-02-16,09:54:00,2.23,2.23,2.22,2.23,5800.0
2018-02-16,09:55:00,2.23,2.23,2.22,2.23,16207.0
2018-02-16,09:56:00,2.23,2.23,2.21,2.215,44991.0
2018-02-16,09:57:00,2.22,2.22,2.21,2.21,11200.0
2018-02-16,09:58:00,2.22,2.22,2.21,2.21,710.0
2018-02-16,09:59:00,2.214,2.22,2.21,2.21,19933.0
2018-02-16,10:00:00,2.205,2.215,2.2,2.215,15953.0
2018-02-16,10:01:00,2.2112,2.2182,2.21,2.21,16900.0
2018-02-16,10:02:00,2.21,2.21,2.2,2.2,23860.0
2018-02-16,10:03:00,2.2,2.205,2.2,2.205,400.0
2018-02-16,10:04:00,2.205,2.21,2.2,2.205,700.0
2018-02-16,10:05:00,2.2054,2.21,2.205,2.205,15000.0
2018-02-16,10:06:00,2.2,2.21,2.2,2.2,11663.0
2018-02-16,10:07:00,2.2,2.21,2.18,2.19,97598.0
2018-02-16,10:08:00,2.185,2.185,2.18,2.185,500.0
2018-02-16,10:09:00,2.185,2.19,2.18,2.19,9900.0
2018-02-16,10:10:00,2.19,2.1957,2.18,2.185,81542.0
2018-02-16,10:11:00,2.18,2.19,2.18,2.1814,8300.0
2018-02-16,10:12:00,2.185,2.2,2.185,2.195,44381.0
2018-02-16,10:13:00,2.19,2.195,2.19,2.195,2600.0
2018-02-16,10:14:00,2.1932,2.195,2.19,2.19,1300.0
2018-02-16,10:15:00,2.19,2.1998,2.19,2.1946,3000.0
2018-02-16,10:16:00,2.19,2.2,2.19,2.2,4800.0
2018-02-16,10:17:00,2.2,2.21,2.19,2.209,69050.0
2018-02-16,10:18:00,2.205,2.21,2.205,2.21,6800.0
2018-02-16,10:19:00,2.21,2.21,2.2,2.2002,4600.0
2018-02-16,10:20:00,2.205,2.21,2.205,2.205,1800.0
2018-02-16,10:21:00,2.2073,2.21,2.205,2.21,34200.0
2018-02-16,10:22:00,2.21,2.21,2.21,2.21,2700.0
2018-02-16,10:23:00,2.21,2.21,2.201,2.21,1500.0
2018-02-16,10:24:00,2.21,2.21,2.205,2.21,7560.0
2018-02-16,10:25:00,2.21,2.21,2.2,2.205,24315.0
2018-02-16,10:26:00,2.205,2.21,2.2,2.205,2000.0
2018-02-16,10:27:00,2.201,2.2061,2.2,2.2,42732.0
2018-02-16,10:28:00,2.2,2.205,2.2,2.2,1100.0
2018-02-16,10:29:00,2.2014,2.205,2.19,2.2,102915.0
2018-02-16,10:30:00,2.2,2.2,2.191,2.1948,4215.0
2018-02-16,10:31:00,2.2,2.2,2.195,2.195,3700.0
2018-02-16,10:32:00,2.2,2.21,2.2,2.21,14968.0
2018-02-16,10:33:00,2.2048,2.22,2.2048,2.2172,36722.0
2018-02-16,10:34:00,2.22,2.22,2.2139,2.215,2655.0
2018-02-16,10:35:00,2.22,2.22,2.219,2.22,2799.0
2018-02-16,10:36:00,2.22,2.225,2.2186,2.225,29093.0
2018-02-16,10:37:00,2.225,2.23,2.22,2.225,84650.0
2018-02-16,10:38:00,2.225,2.225,2.22,2.225,2700.0
2018-02-16,10:39:00,2.22,2.23,2.22,2.22,23052.0
2018-02-16,10:40:00,2.22,2.225,2.22,2.225,16296.0
2018-02-16,10:41:00,2.225,2.225,2.22,2.225,1500.0
2018-02-16,10:42:00,2.2249,2.23,2.22,2.22,5998.0
2018-02-16,10:43:00,2.225,2.225,2.22,2.225,19299.0
2018-02-16,10:44:00,2.225,2.23,2.225,2.229,13975.0
2018-02-16,10:45:00,2.23,2.23,2.22,2.225,19576.0
2018-02-16,10:46:00,2.225,2.23,2.2202,2.2253,7700.0
2018-02-16,10:47:00,2.23,2.245,2.23,2.245,145452.0
2018-02-16,10:48:00,2.24,2.25,2.24,2.25,22600.0
2018-02-16,10:49:00,2.25,2.25,2.245,2.25,13400.0
2018-02-16,10:50:00,2.25,2.26,2.241,2.26,87337.0
2018-02-16,10:51:00,2.26,2.26,2.2539,2.26,61222.0
2018-02-16,10:52:00,2.26,2.265,2.255,2.26,108841.0
