date,ToD,open,high,low,close,volume
2018-02-16,09:32:00,115.15,115.455,115.1,115.15,55337.0
2018-02-16,09:33:00,115.41,115.41,115.115,115.115,700.0
2018-02-16,09:34:00,115.2344,115.2344,114.8,115.12,11275.0
2018-02-16,09:35:00,114.98,115.58,114.98,115.58,2711.0
2018-02-16,09:36:00,115.53,115.57,115.5,115.52,1484.0
2018-02-16,09:37:00,115.49,115.55,115.48,115.515,1100.0
2018-02-16,09:38:00,115.51,115.58,115.51,115.53,3980.0
2018-02-16,09:39:00,115.57,115.57,115.45,115.48,23400.0
2018-02-16,09:40:00,115.43,115.43,115.13,115.13,26200.0
2018-02-16,09:41:00,115.09,115.1318,115.0,115.01,2067.0
2018-02-16,09:42:00,115.01,115.08,115.01,115.01,900.0
2018-02-16,09:43:00,115.02,115.09,115.01,115.01,800.0
2018-02-16,09:44:00,115.05,115.16,115.05,115.16,5602.0
2018-02-16,09:45:00,115.14,115.14,115.07,115.07,300.0
2018-02-16,09:46:00,115.08,115.11,115.08,115.11,200.0
2018-02-16,09:47:00,115.08,115.14,115.07,115.14,700.0
2018-02-16,09:48:00,115.14,115.14,115.07,115.14,600.0
2018-02-16,09:49:00,115.11,115.15,115.07,115.11,3610.0
2018-02-16,09:50:00,115.11,115.155,115.11,115.11,1600.0
2018-02-16,09:51:00,115.05,115.11,115.0,115.0,21764.0
2018-02-16,09:52:00,115.0,115.02,115.0,115.02,1800.0
2018-02-16,09:53:00,115.03,115.12,115.0,115.12,30201.0
2018-02-16,09:54:00,115.11,115.12,115.06,115.06,1200.0
2018-02-16,09:55:00,115.1,115.1,115.05,115.05,3320.0
2018-02-16,09:56:00,115.03,115.05,115.0,115.03,7765.0
2018-02-16,09:57:00,115.01,115.04,115.0,115.0325,5659.0
2018-02-16,09:58:00,115.01,115.02,115.0,115.0,4426.0
2018-02-16,09:59:00,115.0,115.06,115.0,115.03,4301.0
2018-02-16,10:00:00,115.01,115.04,114.93,114.99,15452.0
2018-02-16,10:01:00,115.01,115.09,114.98,115.09,6801.0
2018-02-16,10:02:00,115.16,115.16,115.07,115.1,310.0
2018-02-16,10:03:00,115.13,115.15,115.09,115.11,1300.0
2018-02-16,10:04:00,115.09,115.105,115.04,115.09,1500.0
2018-02-16,10:05:00,115.04,115.13,115.0,115.13,7866.0
2018-02-16,10:06:00,115.11,115.36,115.1,115.36,4949.0
2018-02-16,10:07:00,115.24,115.34,115.24,115.3,300.0
2018-02-16,10:08:00,115.31,115.32,115.3,115.31,2100.0
2018-02-16,10:09:00,115.3,115.33,115.28,115.28,1142.0
2018-02-16,10:10:00,115.24,115.24,115.2,115.235,600.0
2018-02-16,10:11:00,115.2,115.26,115.19,115.26,4326.0
2018-02-16,10:12:00,115.2063,115.28,115.2063,115.27,4046.0
2018-02-16,10:13:00,115.235,115.27,115.228,115.24,1000.0
2018-02-16,10:15:00,115.245,115.27,115.22,115.25,1100.0
2018-02-16,10:16:00,115.27,115.3,115.23,115.28,2553.0
2018-02-16,10:17:00,115.31,115.48,115.31,115.44,3100.0
2018-02-16,10:18:00,115.39,115.42,115.3,115.3,3249.0
2018-02-16,10:19:00,115.315,115.32,115.29,115.31,2000.0
2018-02-16,10:20:00,115.3,115.44,115.3,115.44,3056.0
2018-02-16,10:21:00,115.4799,115.49,115.44,115.44,1100.0
2018-02-16,10:22:00,115.445,115.49,115.435,115.435,2400.0
2018-02-16,10:23:00,115.4,115.435,115.4,115.43,308.0
2018-02-16,10:24:00,115.4,115.4,115.315,115.355,4210.0
2018-02-16,10:25:00,115.4,115.4,115.4,115.4,500.0
2018-02-16,10:26:00,115.42,115.46,115.39,115.44,3427.0
2018-02-16,10:27:00,115.41,115.44,115.41,115.44,2792.0
2018-02-16,10:28:00,115.46,115.59,115.46,115.555,13146.0
2018-02-16,10:29:00,115.555,115.56,115.485,115.5,15815.0
2018-02-16,10:30:00,115.5,115.69,115.495,115.69,9395.0
2018-02-16,10:31:00,115.68,115.73,115.6,115.64,6171.0
2018-02-16,10:32:00,115.67,115.77,115.65,115.69,2800.0
2018-02-16,10:33:00,115.73,115.76,115.73,115.73,1100.0
2018-02-16,10:34:00,115.73,115.73,115.68,115.6805,1806.0
2018-02-16,10:36:00,115.71,115.73,115.66,115.68,3345.0
2018-02-16,10:37:00,115.64,115.72,115.64,115.72,2592.0
2018-02-16,10:38:00,115.705,115.705,115.66,115.66,2202.0
2018-02-16,10:39:00,115.66,115.69,115.625,115.68,2615.0
2018-02-16,10:40:00,115.665,115.69,115.64,115.65,2500.0
2018-02-16,10:41:00,115.6101,115.63,115.6,115.6,1889.0
2018-02-16,10:42:00,115.58,115.595,115.575,115.575,1200.0
2018-02-16,10:43:00,115.58,115.62,115.56,115.59,4939.0
2018-02-16,10:44:00,115.58,115.61,115.575,115.59,5516.0
2018-02-16,10:45:00,115.59,115.595,115.57,115.57,1500.0
2018-02-16,10:46:00,115.56,115.565,115.56,115.565,400.0
2018-02-16,10:47:00,115.55,115.6,115.55,115.5501,3664.0
2018-02-16,10:48:00,115.6,115.61,115.59,115.59,730.0
2018-02-16,10:49:00,115.61,115.63,115.5877,115.63,3090.0
2018-02-16,10:50:00,115.65,115.71,115.65,115.71,1000.0
2018-02-16,10:51:00,115.73,115.73,115.7,115.7,1125.0
2018-02-16,10:52:00,115.715,115.715,115.715,115.715,200.0
2018-02-16,10:53:00,115.7,115.72,115.69,115.72,3985.0
2018-02-16,10:54:00,115.71,115.74,115.71,115.74,1400.0
2018-02-16,10:55:00,115.75,115.75,115.75,115.75,300.0
2018-02-16,10:56:00,115.74,115.74,115.7,115.72,4514.0
2018-02-16,10:57:00,115.71,115.75,115.71,115.75,800.0
2018-02-16,10:58:00,115.745,115.745,115.71,115.71,1681.0
2018-02-16,10:59:00,115.7,115.7,115.675,115.68,2821.0
2018-02-16,11:00:00,115.7,115.73,115.7,115.72,1020.0
2018-02-16,11:01:00,115.73,115.77,115.73,115.76,1268.0
2018-02-16,11:02:00,115.73,115.75,115.7,115.74,2225.0
2018-02-16,11:03:00,115.75,115.77,115.75,115.75,1200.0
2018-02-16,11:04:00,115.74,115.74,115.74,115.74,500.0
2018-02-16,11:05:00,115.735,115.76,115.735,115.75,1300.0
2018-02-16,11:07:00,115.76,115.76,115.74,115.74,600.0
2018-02-16,11:08:00,115.76,115.79,115.76,115.79,2285.0
2018-02-16,11:09:00,115.79,115.79,115.78,115.79,4471.0
2018-02-16,11:10:00,115.79,115.79,115.79,115.79,1300.0
2018-02-16,11:11:00,115.78,115.79,115.77,115.79,4500.0
2018-02-16,11:12:00,115.81,115.83,115.795,115.83,600.0
2018-02-16,11:13:00,115.84,115.84,115.82,115.835,1669.0
2018-02-16,11:14:00,115.84,115.84,115.84,115.84,1262.0
2018-02-16,11:15:00,115.84,115.84,115.81,115.83,2217.0
2018-02-16,11:16:00,115.8,115.815,115.76,115.785,3136.0
2018-02-16,11:17:00,115.8,115.8,115.785,115.79,300.0
2018-02-16,11:18:00,115.785,115.84,115.76,115.84,4707.0
2018-02-16,11:19:00,115.85,115.89,115.83,115.89,1600.0
2018-02-16,11:20:00,115.875,115.89,115.8601,115.8601,555.0
2018-02-16,11:21:00,115.86,115.86,115.86,115.86,1190.0
2018-02-16,11:22:00,115.87,115.89,115.86,115.87,2506.0
2018-02-16,11:23:00,115.86,115.86,115.86,115.86,600.0
2018-02-16,11:24:00,115.87,115.87,115.87,115.87,200.0
2018-02-16,11:25:00,115.85,115.88,115.83,115.86,4300.0
2018-02-16,11:26:00,115.84,115.84,115.8,115.8,900.0
2018-02-16,11:27:00,115.79,115.83,115.77,115.83,3131.0
2018-02-16,11:28:00,115.86,115.86,115.86,115.86,100.0
2018-02-16,11:30:00,115.82,115.86,115.82,115.86,400.0
2018-02-16,11:31:00,115.83,115.84,115.81,115.81,4501.0
2018-02-16,11:32:00,115.84,115.84,115.83,115.83,1400.0
2018-02-16,11:33:00,115.82,115.82,115.79,115.8,1700.0
2018-02-16,11:34:00,115.78,115.84,115.78,115.84,700.0
2018-02-16,11:35:00,115.82,115.83,115.79,115.79,1600.0
2018-02-16,11:36:00,115.8,115.8,115.78,115.8,500.0
2018-02-16,11:37:00,115.76,115.76,115.76,115.76,200.0
2018-02-16,11:38:00,115.81,115.84,115.81,115.84,2800.0
2018-02-16,11:39:00,115.84,115.84,115.83,115.84,1240.0
2018-02-16,11:40:00,115.86,115.89,115.86,115.89,2800.0
2018-02-16,11:41:00,115.865,115.865,115.78,115.8,3281.0
2018-02-16,11:42:00,115.81,115.81,115.795,115.81,1000.0
2018-02-16,11:43:00,115.83,115.86,115.83,115.86,600.0
2018-02-16,11:44:00,115.87,115.89,115.87,115.87,500.0
2018-02-16,11:45:00,115.86,115.875,115.82,115.82,1500.0
2018-02-16,11:46:00,115.83,115.85,115.83,115.85,600.0
2018-02-16,11:47:00,115.8462,115.89,115.8462,115.89,1700.0
2018-02-16,11:48:00,115.89,115.96,115.89,115.93,1600.0
2018-02-16,11:50:00,115.97,115.98,115.92,115.95,3000.0
2018-02-16,11:51:00,115.93,115.96,115.93,115.94,900.0
2018-02-16,11:53:00,115.9155,115.93,115.9155,115.93,750.0
2018-02-16,11:54:00,115.93,115.99,115.93,115.99,12230.0
2018-02-16,11:55:00,115.99,115.99,115.97,115.97,2000.0
2018-02-16,11:56:00,115.98,115.99,115.98,115.99,2200.0
2018-02-16,11:57:00,115.99,115.99,115.93,115.96,2984.0
2018-02-16,11:58:00,115.96,115.96,115.96,115.96,100.0
2018-02-16,11:59:00,115.95,115.99,115.94,115.96,2700.0
2018-02-16,12:00:00,115.98,115.99,115.98,115.99,400.0
2018-02-16,12:01:00,115.97,115.98,115.94,115.97,2900.0
2018-02-16,12:02:00,115.9716,115.9799,115.97,115.97,1000.0
2018-02-16,12:03:00,115.98,116.03,115.98,116.025,5043.0
2018-02-16,12:04:00,116.04,116.06,116.02,116.0468,6451.0
2018-02-16,12:05:00,116.06,116.16,116.06,116.16,3000.0
2018-02-16,12:06:00,116.121,116.16,116.11,116.16,940.0
2018-02-16,12:07:00,116.16,116.16,116.105,116.12,4700.0
2018-02-16,12:08:00,116.12,116.12,116.12,116.12,100.0
2018-02-16,12:09:00,116.13,116.14,116.11,116.11,400.0
2018-02-16,12:10:00,116.14,116.16,116.11,116.11,4783.0
2018-02-16,12:11:00,116.13,116.16,116.13,116.16,2300.0
2018-02-16,12:12:00,116.16,116.18,116.16,116.18,700.0
2018-02-16,12:13:00,116.22,116.23,116.19,116.2,1300.0
2018-02-16,12:15:00,116.18,116.21,116.18,116.19,2100.0
2018-02-16,12:16:00,116.1964,116.28,116.1964,116.215,7771.0
2018-02-16,12:17:00,116.24,116.3,116.24,116.3,3200.0
2018-02-16,12:18:00,116.33,116.34,116.29,116.32,2300.0
2018-02-16,12:19:00,116.32,116.32,116.26,116.26,1065.0
2018-02-16,12:20:00,116.23,116.28,116.2,116.28,2300.0
2018-02-16,12:21:00,116.285,116.31,116.24,116.28,18200.0
2018-02-16,12:23:00,116.29,116.29,116.25,116.26,1700.0
2018-02-16,12:25:00,116.24,116.24,116.16,116.16,2500.0
2018-02-16,12:26:00,116.16,116.18,116.14,116.14,1900.0
2018-02-16,12:27:00,116.17,116.18,116.17,116.18,700.0
2018-02-16,12:28:00,116.19,116.27,116.19,116.27,1738.0
2018-02-16,12:29:00,116.31,116.31,116.285,116.31,1100.0
2018-02-16,12:30:00,116.31,116.31,116.24,116.24,5282.0
2018-02-16,12:31:00,116.27,116.29,116.265,116.28,3600.0
2018-02-16,12:32:00,116.28,116.34,116.28,116.32,3900.0
2018-02-16,12:33:00,116.34,116.34,116.29,116.29,2625.0
2018-02-16,12:34:00,116.31,116.32,116.29,116.32,2500.0
2018-02-16,12:35:00,116.3,116.3,116.265,116.2852,1325.0
2018-02-16,12:36:00,116.28,116.31,116.28,116.29,1175.0
2018-02-16,12:37:00,116.3,116.34,116.29,116.34,2543.0
2018-02-16,12:38:00,116.35,116.39,116.34,116.39,2114.0
2018-02-16,12:39:00,116.39,116.4,116.34,116.34,2100.0
2018-02-16,12:40:00,116.35,116.38,116.345,116.38,2000.0
2018-02-16,12:41:00,116.34,116.36,116.33,116.36,2764.0
2018-02-16,12:42:00,116.36,116.38,116.326,116.35,850.0
2018-02-16,12:43:00,116.34,116.38,116.34,116.36,1100.0
2018-02-16,12:44:00,116.37,116.38,116.37,116.38,22600.0
2018-02-16,12:45:00,116.38,116.39,116.37,116.39,400.0
2018-02-16,12:46:00,116.41,116.43,116.41,116.43,600.0
2018-02-16,12:47:00,116.44,116.46,116.44,116.46,592.0
2018-02-16,12:48:00,116.48,116.49,116.47,116.49,2800.0
2018-02-16,12:49:00,116.49,116.5,116.48,116.4938,3606.0
2018-02-16,12:50:00,116.49,116.49,116.335,116.335,4809.0
2018-02-16,12:51:00,116.39,116.39,116.39,116.39,200.0
