date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,76.07,76.07,76.07,76.07,300.0
2018-02-16,09:31:00,76.03,76.28,75.97,76.28,175349.0
2018-02-16,09:32:00,76.225,76.3,76.22,76.22,3578.0
2018-02-16,09:33:00,76.22,76.22,76.12,76.15,1900.0
2018-02-16,09:34:00,76.15,76.16,75.91,76.05,4756.0
2018-02-16,09:35:00,76.09,76.09,75.84,75.84,3342.0
2018-02-16,09:36:00,75.94,75.98,75.841,75.91,3180.0
2018-02-16,09:37:00,75.84,75.89,75.77,75.815,2804.0
2018-02-16,09:38:00,75.78,76.06,75.78,76.0,5627.0
2018-02-16,09:39:00,76.02,76.02,75.9,75.92,2923.0
2018-02-16,09:40:00,75.9354,76.12,75.93,76.09,6264.0
2018-02-16,09:41:00,76.03,76.16,76.025,76.14,7321.0
2018-02-16,09:42:00,76.09,76.24,76.09,76.17,6750.0
2018-02-16,09:43:00,76.1814,76.1999,76.05,76.09,4192.0
2018-02-16,09:44:00,76.09,76.3,76.09,76.19,5608.0
2018-02-16,09:45:00,76.17,76.27,76.16,76.16,7902.0
2018-02-16,09:46:00,76.245,76.26,76.12,76.26,3400.0
2018-02-16,09:47:00,76.3,76.32,76.2,76.22,7088.0
2018-02-16,09:48:00,76.225,76.225,76.14,76.18,4158.0
2018-02-16,09:49:00,76.18,76.18,76.03,76.05,5730.0
2018-02-16,09:50:00,76.06,76.13,76.05,76.09,7290.0
2018-02-16,09:51:00,76.1,76.115,76.04,76.04,5696.0
2018-02-16,09:52:00,76.05,76.055,75.99,76.01,11641.0
2018-02-16,09:53:00,76.03,76.11,76.03,76.07,6979.0
2018-02-16,09:54:00,76.08,76.135,76.07,76.07,4365.0
2018-02-16,09:55:00,76.07,76.07,75.95,76.01,5008.0
2018-02-16,09:56:00,76.01,76.06,75.99,76.04,6874.0
2018-02-16,09:57:00,75.99,76.04,75.97,76.03,7741.0
2018-02-16,09:58:00,76.02,76.02,75.96,76.0,4182.0
2018-02-16,09:59:00,75.995,76.14,75.99,76.1,5016.0
2018-02-16,10:00:00,76.085,76.11,75.96,76.02,16399.0
2018-02-16,10:01:00,75.98,76.01,75.9,75.96,8590.0
2018-02-16,10:02:00,75.96,76.06,75.95,76.05,11297.0
2018-02-16,10:03:00,76.06,76.09,76.01,76.03,10353.0
2018-02-16,10:04:00,76.04,76.19,76.04,76.16,17243.0
2018-02-16,10:05:00,76.16,76.18,76.11,76.11,5865.0
2018-02-16,10:06:00,76.1,76.17,76.07,76.14,12607.0
2018-02-16,10:07:00,76.15,76.15,76.07,76.08,7100.0
2018-02-16,10:08:00,76.08,76.11,76.04,76.1,7794.0
2018-02-16,10:09:00,76.1,76.18,76.08,76.14,7918.0
2018-02-16,10:10:00,76.14,76.18,76.11,76.14,7517.0
2018-02-16,10:11:00,76.13,76.13,76.0,76.02,4620.0
2018-02-16,10:12:00,76.03,76.07,76.03,76.0683,4268.0
2018-02-16,10:13:00,76.05,76.13,76.05,76.08,8531.0
2018-02-16,10:14:00,76.07,76.08,75.99,76.03,5623.0
2018-02-16,10:15:00,76.02,76.02,75.95,75.9607,2986.0
2018-02-16,10:16:00,75.96,76.035,75.96,75.99,7253.0
2018-02-16,10:17:00,75.99,76.04,75.99,76.02,4406.0
2018-02-16,10:18:00,76.0,76.02,75.99,76.0,2930.0
2018-02-16,10:19:00,75.99,76.04,75.9694,76.02,4376.0
2018-02-16,10:20:00,76.03,76.08,76.03,76.07,5957.0
2018-02-16,10:21:00,76.08,76.1,76.07,76.09,4483.0
2018-02-16,10:22:00,76.09,76.1,76.06,76.09,4789.0
2018-02-16,10:23:00,76.1,76.18,76.1,76.18,3718.0
2018-02-16,10:24:00,76.18,76.19,76.13,76.18,5717.0
2018-02-16,10:25:00,76.17,76.19,76.15,76.17,5396.0
2018-02-16,10:26:00,76.155,76.18,76.15,76.18,4814.0
2018-02-16,10:27:00,76.17,76.23,76.16,76.19,16328.0
2018-02-16,10:28:00,76.2,76.28,76.2,76.275,5372.0
