date,ToD,open,high,low,close,volume
2018-02-16,09:31:00,34.63,34.63,34.51,34.63,145986.0
2018-02-16,09:32:00,34.64,34.69,34.62,34.64,6042.0
2018-02-16,09:33:00,34.63,34.64,34.5801,34.628,7269.0
2018-02-16,09:34:00,34.63,34.67,34.53,34.61,19888.0
2018-02-16,09:35:00,34.61,34.64,34.53,34.64,11604.0
2018-02-16,09:36:00,34.63,34.64,34.46,34.47,11606.0
2018-02-16,09:37:00,34.46,34.46,34.37,34.38,10573.0
2018-02-16,09:38:00,34.36,34.41,34.36,34.38,15501.0
2018-02-16,09:39:00,34.4,34.54,34.395,34.52,13720.0
2018-02-16,09:40:00,34.5278,34.58,34.5039,34.52,47817.0
2018-02-16,09:41:00,34.51,34.53,34.42,34.45,36024.0
2018-02-16,09:42:00,34.45,34.47,34.415,34.45,34375.0
2018-02-16,09:43:00,34.455,34.49,34.44,34.47,26784.0
2018-02-16,09:44:00,34.49,34.49,34.43,34.43,11024.0
2018-02-16,09:45:00,34.43,34.43,34.32,34.32,15164.0
2018-02-16,09:46:00,34.32,34.36,34.27,34.36,25504.0
2018-02-16,09:47:00,34.37,34.42,34.3375,34.42,22583.0
2018-02-16,09:48:00,34.4141,34.47,34.405,34.47,23551.0
2018-02-16,09:49:00,34.47,34.53,34.45,34.515,24063.0
2018-02-16,09:50:00,34.515,34.52,34.43,34.43,27216.0
2018-02-16,09:51:00,34.425,34.47,34.4,34.465,14926.0
2018-02-16,09:52:00,34.46,34.48,34.43,34.47,19126.0
2018-02-16,09:53:00,34.48,34.51,34.46,34.5,23187.0
2018-02-16,09:54:00,34.49,34.49,34.44,34.49,15144.0
2018-02-16,09:55:00,34.49,34.52,34.475,34.515,12414.0
2018-02-16,09:56:00,34.515,34.53,34.47,34.47,19762.0
2018-02-16,09:57:00,34.47,34.52,34.46,34.51,22403.0
2018-02-16,09:58:00,34.51,34.57,34.51,34.55,17097.0
2018-02-16,09:59:00,34.56,34.5641,34.43,34.45,20146.0
2018-02-16,10:00:00,34.44,34.45,34.36,34.37,19162.0
2018-02-16,10:01:00,34.37,34.4,34.36,34.36,12015.0
2018-02-16,10:02:00,34.35,34.35,34.2699,34.28,28961.0
2018-02-16,10:03:00,34.2821,34.34,34.2821,34.34,9938.0
2018-02-16,10:04:00,34.33,34.39,34.33,34.39,14434.0
2018-02-16,10:05:00,34.38,34.38,34.33,34.33,15309.0
2018-02-16,10:06:00,34.325,34.33,34.26,34.3,28651.0
2018-02-16,10:07:00,34.3,34.3,34.25,34.25,23595.0
2018-02-16,10:08:00,34.24,34.28,34.22,34.22,13150.0
2018-02-16,10:09:00,34.22,34.3,34.22,34.3,10080.0
2018-02-16,10:10:00,34.31,34.37,34.31,34.36,14813.0
2018-02-16,10:11:00,34.36,34.38,34.34,34.34,9829.0
2018-02-16,10:12:00,34.34,34.36,34.33,34.33,15045.0
2018-02-16,10:13:00,34.32,34.34,34.27,34.32,12749.0
2018-02-16,10:14:00,34.31,34.37,34.31,34.33,14768.0
2018-02-16,10:15:00,34.32,34.37,34.32,34.36,7945.0
2018-02-16,10:16:00,34.35,34.37,34.33,34.36,15700.0
2018-02-16,10:17:00,34.36,34.46,34.36,34.44,8400.0
2018-02-16,10:18:00,34.44,34.49,34.44,34.47,16103.0
2018-02-16,10:19:00,34.48,34.51,34.45,34.51,8611.0
2018-02-16,10:20:00,34.5,34.51,34.44,34.45,11173.0
2018-02-16,10:21:00,34.45,34.54,34.45,34.54,13085.0
2018-02-16,10:22:00,34.55,34.55,34.53,34.55,12103.0
2018-02-16,10:23:00,34.545,34.58,34.51,34.575,25719.0
2018-02-16,10:24:00,34.58,34.59,34.53,34.56,32858.0
2018-02-16,10:25:00,34.56,34.57,34.52,34.52,19482.0
2018-02-16,10:26:00,34.525,34.575,34.51,34.52,18116.0
2018-02-16,10:27:00,34.52,34.52,34.46,34.46,18648.0
2018-02-16,10:28:00,34.47,34.48,34.42,34.42,23283.0
2018-02-16,10:29:00,34.43,34.47,34.43,34.47,14334.0
2018-02-16,10:30:00,34.46,34.49,34.46,34.47,12385.0
2018-02-16,10:31:00,34.47,34.53,34.45,34.53,13300.0
2018-02-16,10:32:00,34.525,34.53,34.49,34.51,16324.0
2018-02-16,10:33:00,34.5,34.55,34.5,34.54,8986.0
2018-02-16,10:34:00,34.55,34.56,34.51,34.52,25190.0
2018-02-16,10:35:00,34.53,34.53,34.49,34.51,20976.0
2018-02-16,10:36:00,34.51,34.53,34.5,34.53,11260.0
2018-02-16,10:37:00,34.52,34.52,34.45,34.46,23582.0
2018-02-16,10:38:00,34.45,34.49,34.45,34.46,7123.0
2018-02-16,10:39:00,34.46,34.465,34.44,34.45,8012.0
2018-02-16,10:40:00,34.45,34.46,34.405,34.41,8684.0
2018-02-16,10:41:00,34.41,34.44,34.41,34.44,6901.0
2018-02-16,10:42:00,34.45,34.48,34.42,34.48,8000.0
2018-02-16,10:43:00,34.47,34.47,34.41,34.41,9100.0
2018-02-16,10:44:00,34.4,34.43,34.4,34.405,12300.0
2018-02-16,10:45:00,34.41,34.42,34.38,34.4099,11702.0
2018-02-16,10:46:00,34.4,34.45,34.39,34.45,10298.0
2018-02-16,10:47:00,34.45,34.54,34.44,34.53,8416.0
2018-02-16,10:48:00,34.54,34.56,34.5,34.53,20451.0
2018-02-16,10:49:00,34.53,34.57,34.53,34.57,3718.0
2018-02-16,10:50:00,34.56,34.6,34.55,34.6,20898.0
2018-02-16,10:51:00,34.5945,34.63,34.5945,34.62,12301.0
2018-02-16,10:52:00,34.61,34.61,34.59,34.6,9273.0
2018-02-16,10:53:00,34.6,34.62,34.6,34.6107,5500.0
2018-02-16,10:54:00,34.61,34.64,34.61,34.62,8295.0
2018-02-16,10:55:00,34.62,34.66,34.62,34.641,9218.0
2018-02-16,10:56:00,34.64,34.65,34.62,34.65,4700.0
2018-02-16,10:57:00,34.65,34.69,34.65,34.66,10116.0
2018-02-16,10:58:00,34.67,34.67,34.6,34.61,23079.0
2018-02-16,10:59:00,34.61,34.67,34.605,34.66,8881.0
2018-02-16,11:00:00,34.66,34.66,34.59,34.59,23967.0
2018-02-16,11:01:00,34.59,34.68,34.59,34.665,17200.0
2018-02-16,11:02:00,34.67,34.74,34.67,34.72,11762.0
2018-02-16,11:03:00,34.711,34.73,34.71,34.73,9191.0
2018-02-16,11:04:00,34.72,34.73,34.68,34.69,5896.0
2018-02-16,11:05:00,34.7,34.79,34.7,34.76,21189.0
2018-02-16,11:06:00,34.751,34.7686,34.74,34.7686,4650.0
2018-02-16,11:07:00,34.77,34.8,34.76,34.7625,9145.0
2018-02-16,11:08:00,34.76,34.76,34.74,34.74,6828.0
2018-02-16,11:09:00,34.75,34.8,34.75,34.8,11361.0
2018-02-16,11:10:00,34.7988,34.8352,34.79,34.82,20481.0
2018-02-16,11:11:00,34.82,34.84,34.7949,34.83,7245.0
2018-02-16,11:12:00,34.825,34.8338,34.805,34.82,9500.0
2018-02-16,11:13:00,34.81,34.81,34.78,34.8,11148.0
2018-02-16,11:14:00,34.8,34.82,34.79,34.79,9701.0
2018-02-16,11:15:00,34.79,34.85,34.78,34.82,33470.0
2018-02-16,11:16:00,34.81,34.87,34.81,34.87,10882.0
2018-02-16,11:17:00,34.861,34.9,34.85,34.87,15917.0
2018-02-16,11:18:00,34.88,34.89,34.83,34.84,12200.0
2018-02-16,11:19:00,34.83,34.83,34.78,34.79,11242.0
2018-02-16,11:20:00,34.8,34.835,34.8,34.81,10391.0
2018-02-16,11:21:00,34.81,34.88,34.81,34.865,27663.0
2018-02-16,11:22:00,34.86,34.87,34.85,34.865,11872.0
2018-02-16,11:23:00,34.86,34.885,34.85,34.88,11797.0
2018-02-16,11:24:00,34.89,34.91,34.86,34.87,23227.0
2018-02-16,11:25:00,34.88,34.905,34.855,34.865,10100.0
2018-02-16,11:26:00,34.87,34.87,34.81,34.8157,17038.0
2018-02-16,11:27:00,34.815,34.82,34.79,34.8,6539.0
2018-02-16,11:28:00,34.8,34.84,34.77,34.84,10179.0
2018-02-16,11:29:00,34.83,34.86,34.83,34.86,10998.0
2018-02-16,11:30:00,34.85,34.85,34.79,34.81,84970.0
2018-02-16,11:31:00,34.81,34.85,34.78,34.79,11640.0
2018-02-16,11:32:00,34.79,34.81,34.76,34.81,8136.0
2018-02-16,11:33:00,34.8,34.83,34.8,34.83,10390.0
2018-02-16,11:34:00,34.83,34.84,34.82,34.82,6386.0
2018-02-16,11:35:00,34.82,34.8405,34.8,34.82,16507.0
2018-02-16,11:36:00,34.815,34.84,34.805,34.83,12855.0
2018-02-16,11:37:00,34.83,34.83,34.75,34.78,13013.0
