date,ToD,open,high,low,close,volume
2018-02-16,09:31:00,71.66,71.96,71.51,71.84,500840.0
2018-02-16,09:32:00,71.9001,71.9001,71.72,71.855,6223.0
2018-02-16,09:33:00,71.8,71.92,71.74,71.913,7271.0
2018-02-16,09:34:00,71.8166,71.89,71.7045,71.7045,4625.0
2018-02-16,09:35:00,71.6865,71.79,71.6865,71.78,6511.0
2018-02-16,09:36:00,71.78,71.88,71.77,71.81,13358.0
2018-02-16,09:37:00,71.84,71.96,71.84,71.95,8886.0
2018-02-16,09:38:00,71.95,71.99,71.94,71.99,10881.0
2018-02-16,09:39:00,71.97,72.1,71.962,71.99,42813.0
2018-02-16,09:40:00,71.99,72.01,71.98,71.98,7052.0
2018-02-16,09:41:00,71.95,71.95,71.88,71.94,7404.0
2018-02-16,09:42:00,71.935,71.9383,71.82,71.87,12013.0
2018-02-16,09:43:00,71.8501,71.89,71.8501,71.87,4494.0
2018-02-16,09:44:00,71.87,71.9,71.81,71.86,22174.0
2018-02-16,09:45:00,71.8501,71.91,71.77,71.84,12579.0
2018-02-16,09:46:00,71.81,71.95,71.75,71.95,11607.0
2018-02-16,09:47:00,71.99,71.99,71.93,71.96,6844.0
2018-02-16,09:48:00,71.96,71.98,71.92,71.97,7426.0
2018-02-16,09:49:00,71.97,72.0427,71.95,72.03,6064.0
2018-02-16,09:50:00,72.08,72.1,72.02,72.02,10111.0
2018-02-16,09:51:00,72.02,72.1,71.98,72.1,13310.0
2018-02-16,09:52:00,72.12,72.12,72.03,72.06,7596.0
2018-02-16,09:53:00,72.0568,72.07,71.98,71.98,5727.0
2018-02-16,09:54:00,71.9931,72.03,71.95,72.015,8201.0
2018-02-16,09:55:00,72.03,72.0464,72.015,72.04,11598.0
2018-02-16,09:56:00,72.04,72.16,72.04,72.1399,13419.0
2018-02-16,09:57:00,72.13,72.21,72.13,72.21,51139.0
2018-02-16,09:58:00,72.22,72.2698,72.19,72.25,20525.0
2018-02-16,09:59:00,72.26,72.26,72.14,72.145,11666.0
2018-02-16,10:00:00,72.14,72.2,72.12,72.15,32933.0
2018-02-16,10:01:00,72.15,72.17,72.08,72.08,28163.0
2018-02-16,10:02:00,72.11,72.15,72.0801,72.13,13215.0
2018-02-16,10:03:00,72.14,72.15,72.1,72.1,8451.0
2018-02-16,10:04:00,72.1162,72.15,72.11,72.14,6746.0
2018-02-16,10:05:00,72.13,72.1399,72.02,72.07,12479.0
2018-02-16,10:06:00,72.07,72.07,72.05,72.0599,27988.0
2018-02-16,10:07:00,72.05,72.055,71.97,72.0,17232.0
2018-02-16,10:08:00,72.0,72.01,71.89,71.9,46533.0
2018-02-16,10:09:00,71.9,71.96,71.9,71.96,12304.0
2018-02-16,10:10:00,71.98,72.06,71.98,72.04,9064.0
2018-02-16,10:11:00,72.04,72.05,72.0,72.0,8988.0
2018-02-16,10:12:00,72.0,72.01,71.9201,71.96,9074.0
2018-02-16,10:13:00,71.96,72.02,71.916,72.0139,7556.0
2018-02-16,10:14:00,72.0193,72.03,71.92,71.92,6878.0
2018-02-16,10:15:00,71.9266,72.0224,71.9266,71.98,7192.0
2018-02-16,10:16:00,71.98,72.07,71.97,72.04,18663.0
2018-02-16,10:17:00,72.0484,72.12,72.0484,72.1,7556.0
2018-02-16,10:18:00,72.09,72.1301,72.07,72.1301,5002.0
2018-02-16,10:19:00,72.13,72.15,72.1,72.1178,17504.0
2018-02-16,10:20:00,72.11,72.13,72.06,72.06,9543.0
2018-02-16,10:21:00,72.0612,72.12,72.06,72.12,7578.0
2018-02-16,10:22:00,72.135,72.15,72.13,72.13,6706.0
2018-02-16,10:23:00,72.14,72.15,72.09,72.15,24049.0
2018-02-16,10:24:00,72.14,72.14,72.11,72.13,13463.0
2018-02-16,10:25:00,72.13,72.15,72.11,72.11,15159.0
2018-02-16,10:26:00,72.12,72.2,72.1,72.15,23935.0
2018-02-16,10:27:00,72.13,72.16,72.1,72.15,13498.0
2018-02-16,10:28:00,72.163,72.1657,72.14,72.14,8296.0
2018-02-16,10:29:00,72.13,72.13,72.1,72.12,8252.0
2018-02-16,10:30:00,72.12,72.257,72.12,72.24,24846.0
2018-02-16,10:31:00,72.24,72.2968,72.202,72.2968,14537.0
2018-02-16,10:32:00,72.29,72.32,72.26,72.32,28563.0
2018-02-16,10:33:00,72.31,72.35,72.2922,72.2922,17721.0
2018-02-16,10:34:00,72.3,72.33,72.3,72.3183,6611.0
2018-02-16,10:35:00,72.315,72.3243,72.3,72.3,10978.0
2018-02-16,10:36:00,72.31,72.37,72.29,72.3,28809.0
2018-02-16,10:37:00,72.295,72.31,72.25,72.28,31969.0
2018-02-16,10:38:00,72.3,72.31,72.25,72.25,5136.0
2018-02-16,10:39:00,72.26,72.31,72.26,72.3,5280.0
2018-02-16,10:40:00,72.3,72.301,72.23,72.27,7302.0
2018-02-16,10:41:00,72.27,72.3,72.27,72.28,6796.0
2018-02-16,10:42:00,72.27,72.3028,72.25,72.3028,2975.0
2018-02-16,10:43:00,72.3,72.3,72.21,72.25,10596.0
2018-02-16,10:44:00,72.27,72.33,72.27,72.32,14674.0
2018-02-16,10:45:00,72.33,72.35,72.3,72.3,10156.0
2018-02-16,10:46:00,72.3,72.3305,72.27,72.31,10143.0
2018-02-16,10:47:00,72.3,72.36,72.3,72.32,4134.0
2018-02-16,10:48:00,72.34,72.34,72.19,72.31,16733.0
2018-02-16,10:49:00,72.3299,72.3299,72.21,72.21,6883.0
2018-02-16,10:50:00,72.24,72.3102,72.24,72.3102,2120.0
2018-02-16,10:51:00,72.31,72.3199,72.23,72.26,5056.0
2018-02-16,10:52:00,72.2745,72.3,72.26,72.2742,5153.0
2018-02-16,10:53:00,72.26,72.26,72.21,72.21,10828.0
2018-02-16,10:54:00,72.208,72.26,72.19,72.22,6095.0
2018-02-16,10:55:00,72.225,72.26,72.2101,72.2101,12716.0
2018-02-16,10:56:00,72.2355,72.269,72.21,72.269,12324.0
2018-02-16,10:57:00,72.25,72.35,72.25,72.35,15674.0
2018-02-16,10:58:00,72.34,72.3872,72.34,72.36,13458.0
2018-02-16,10:59:00,72.36,72.3649,72.34,72.3649,4443.0
2018-02-16,11:00:00,72.365,72.365,72.25,72.2621,15474.0
2018-02-16,11:01:00,72.2545,72.35,72.25,72.33,6000.0
2018-02-16,11:02:00,72.33,72.36,72.32,72.36,5925.0
2018-02-16,11:03:00,72.35,72.35,72.31,72.31,2100.0
2018-02-16,11:04:00,72.3203,72.33,72.29,72.3283,12295.0
2018-02-16,11:05:00,72.33,72.44,72.33,72.39,51930.0
2018-02-16,11:06:00,72.4,72.4023,72.354,72.36,5475.0
2018-02-16,11:07:00,72.36,72.385,72.36,72.37,4450.0
2018-02-16,11:08:00,72.363,72.363,72.2503,72.3381,21387.0
2018-02-16,11:09:00,72.34,72.43,72.34,72.41,11714.0
2018-02-16,11:10:00,72.41,72.5,72.41,72.5,10760.0
2018-02-16,11:11:00,72.49,72.51,72.45,72.51,28352.0
2018-02-16,11:12:00,72.49,72.49,72.45,72.46,9108.0
2018-02-16,11:13:00,72.46,72.5,72.46,72.5,8581.0
2018-02-16,11:14:00,72.5199,72.55,72.48,72.545,5576.0
2018-02-16,11:15:00,72.54,72.62,72.54,72.6199,10379.0
2018-02-16,11:16:00,72.61,72.61,72.55,72.5555,8582.0
2018-02-16,11:17:00,72.5542,72.56,72.53,72.54,7537.0
2018-02-16,11:18:00,72.54,72.57,72.53,72.537,13285.0
2018-02-16,11:19:00,72.5355,72.6,72.53,72.53,19983.0
