date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,43.16,43.16,43.16,43.16,344144.0
2018-02-16,09:31:00,43.28,43.29,43.1,43.2099,63976.0
2018-02-16,09:32:00,43.2,43.27,43.06,43.06,71676.0
2018-02-16,09:33:00,43.06,43.165,43.06,43.12,54057.0
2018-02-16,09:34:00,43.1189,43.1189,42.97,42.98,37450.0
2018-02-16,09:35:00,42.97,43.09,42.91,43.06,23096.0
2018-02-16,09:36:00,43.05,43.14,43.03,43.14,24254.0
2018-02-16,09:37:00,43.145,43.19,43.14,43.17,13442.0
2018-02-16,09:38:00,43.16,43.26,43.16,43.26,9120.0
2018-02-16,09:39:00,43.27,43.32,43.21,43.215,20941.0
2018-02-16,09:40:00,43.21,43.27,43.19,43.24,12202.0
2018-02-16,09:41:00,43.235,43.25,43.22,43.2444,7667.0
2018-02-16,09:42:00,43.24,43.27,43.24,43.255,12842.0
2018-02-16,09:43:00,43.27,43.27,43.2,43.2399,11053.0
2018-02-16,09:44:00,43.23,43.24,43.19,43.21,11362.0
2018-02-16,09:45:00,43.2,43.21,43.17,43.18,15779.0
2018-02-16,09:46:00,43.17,43.255,43.16,43.255,18498.0
2018-02-16,09:47:00,43.26,43.28,43.255,43.27,9476.0
2018-02-16,09:48:00,43.27,43.31,43.265,43.305,15502.0
2018-02-16,09:49:00,43.305,43.305,43.26,43.28,26023.0
2018-02-16,09:50:00,43.28,43.291,43.26,43.26,15884.0
2018-02-16,09:51:00,43.25,43.27,43.22,43.26,24939.0
2018-02-16,09:52:00,43.26,43.28,43.25,43.27,7724.0
2018-02-16,09:53:00,43.28,43.32,43.27,43.32,14758.0
2018-02-16,09:54:00,43.31,43.395,43.29,43.39,17096.0
2018-02-16,09:55:00,43.4,43.43,43.39,43.4,64118.0
2018-02-16,09:56:00,43.4,43.5,43.4,43.495,50733.0
2018-02-16,09:57:00,43.495,43.55,43.48,43.54,87308.0
2018-02-16,09:58:00,43.53,43.58,43.53,43.57,17469.0
2018-02-16,09:59:00,43.57,43.58,43.55,43.555,35021.0
2018-02-16,10:00:00,43.55,43.575,43.49,43.49,30716.0
2018-02-16,10:01:00,43.49,43.505,43.45,43.45,19635.0
2018-02-16,10:02:00,43.45,43.52,43.445,43.52,19554.0
2018-02-16,10:03:00,43.51,43.51,43.445,43.445,36072.0
2018-02-16,10:04:00,43.44,43.46,43.38,43.4,30061.0
2018-02-16,10:05:00,43.39,43.44,43.39,43.435,49577.0
2018-02-16,10:06:00,43.44,43.49,43.43,43.48,17858.0
2018-02-16,10:07:00,43.475,43.475,43.45,43.465,29590.0
2018-02-16,10:08:00,43.46,43.46,43.44,43.44,21766.0
2018-02-16,10:09:00,43.44,43.47,43.43,43.47,11281.0
2018-02-16,10:10:00,43.47,43.525,43.47,43.51,21743.0
2018-02-16,10:11:00,43.51,43.52,43.5,43.51,22595.0
2018-02-16,10:12:00,43.515,43.53,43.51,43.5161,40367.0
2018-02-16,10:13:00,43.5129,43.53,43.5,43.5101,19440.0
2018-02-16,10:14:00,43.515,43.52,43.5,43.5,94120.0
2018-02-16,10:15:00,43.51,43.52,43.505,43.52,10462.0
2018-02-16,10:16:00,43.52,43.55,43.51,43.54,36001.0
2018-02-16,10:17:00,43.54,43.55,43.51,43.55,25004.0
2018-02-16,10:18:00,43.54,43.56,43.53,43.54,15109.0
2018-02-16,10:19:00,43.535,43.56,43.53,43.53,24917.0
2018-02-16,10:20:00,43.53,43.53,43.495,43.5,15469.0
2018-02-16,10:21:00,43.5,43.51,43.495,43.495,18617.0
2018-02-16,10:22:00,43.49,43.51,43.49,43.505,31181.0
2018-02-16,10:23:00,43.51,43.555,43.51,43.55,26195.0
2018-02-16,10:24:00,43.55,43.555,43.53,43.54,15696.0
2018-02-16,10:25:00,43.54,43.56,43.53,43.535,21508.0
2018-02-16,10:26:00,43.54,43.6,43.53,43.575,14745.0
2018-02-16,10:27:00,43.575,43.579,43.52,43.54,46899.0
2018-02-16,10:28:00,43.54,43.555,43.53,43.555,38787.0
2018-02-16,10:29:00,43.545,43.57,43.54,43.565,14001.0
2018-02-16,10:30:00,43.57,43.59,43.56,43.59,30296.0
2018-02-16,10:31:00,43.585,43.59,43.575,43.585,18309.0
2018-02-16,10:32:00,43.58,43.6,43.58,43.6,21712.0
2018-02-16,10:33:00,43.595,43.635,43.595,43.63,24584.0
2018-02-16,10:34:00,43.63,43.64,43.62,43.63,40042.0
2018-02-16,10:35:00,43.625,43.625,43.59,43.59,18728.0
2018-02-16,10:36:00,43.59,43.6,43.53,43.535,19484.0
2018-02-16,10:37:00,43.53,43.57,43.52,43.57,13856.0
2018-02-16,10:38:00,43.565,43.58,43.565,43.57,12839.0
2018-02-16,10:39:00,43.57,43.585,43.56,43.58,8568.0
2018-02-16,10:40:00,43.58,43.59,43.56,43.57,7963.0
2018-02-16,10:41:00,43.56,43.5689,43.54,43.54,17140.0
2018-02-16,10:42:00,43.54,43.5469,43.52,43.54,33556.0
2018-02-16,10:43:00,43.545,43.55,43.5,43.525,120508.0
2018-02-16,10:44:00,43.525,43.53,43.47,43.475,67414.0
2018-02-16,10:45:00,43.48,43.51,43.475,43.49,59896.0
2018-02-16,10:46:00,43.495,43.51,43.49,43.51,19211.0
2018-02-16,10:47:00,43.505,43.525,43.5,43.51,10920.0
2018-02-16,10:48:00,43.51,43.54,43.5,43.52,15037.0
2018-02-16,10:49:00,43.52,43.52,43.4907,43.4907,12698.0
2018-02-16,10:50:00,43.495,43.53,43.495,43.53,13481.0
2018-02-16,10:51:00,43.53,43.53,43.51,43.515,4816.0
2018-02-16,10:52:00,43.52,43.52,43.49,43.5049,13805.0
2018-02-16,10:53:00,43.5,43.51,43.5,43.5,8108.0
2018-02-16,10:54:00,43.505,43.52,43.505,43.515,4583.0
2018-02-16,10:55:00,43.51,43.51,43.5,43.505,13164.0
2018-02-16,10:56:00,43.5,43.51,43.49,43.5,8892.0
2018-02-16,10:57:00,43.495,43.51,43.4901,43.4901,10627.0
2018-02-16,10:58:00,43.495,43.51,43.48,43.485,36607.0
2018-02-16,10:59:00,43.49,43.535,43.47,43.535,20270.0
2018-02-16,11:00:00,43.535,43.535,43.48,43.5,18535.0
2018-02-16,11:01:00,43.51,43.55,43.505,43.55,8347.0
2018-02-16,11:02:00,43.545,43.58,43.54,43.56,16520.0
2018-02-16,11:03:00,43.56,43.57,43.54,43.54,10434.0
2018-02-16,11:04:00,43.54,43.54,43.52,43.52,10674.0
2018-02-16,11:05:00,43.525,43.55,43.495,43.51,46958.0
2018-02-16,11:06:00,43.51,43.52,43.5,43.51,19441.0
2018-02-16,11:07:00,43.51,43.52,43.495,43.5,10958.0
2018-02-16,11:08:00,43.51,43.55,43.505,43.55,10795.0
2018-02-16,11:09:00,43.545,43.56,43.545,43.56,8350.0
2018-02-16,11:10:00,43.555,43.56,43.545,43.545,57517.0
2018-02-16,11:11:00,43.55,43.59,43.545,43.59,15403.0
2018-02-16,11:12:00,43.59,43.61,43.585,43.59,9500.0
2018-02-16,11:13:00,43.595,43.6,43.58,43.59,7396.0
2018-02-16,11:14:00,43.59,43.59,43.58,43.59,6084.0
2018-02-16,11:15:00,43.59,43.61,43.58,43.6,14094.0
2018-02-16,11:16:00,43.59,43.595,43.56,43.575,13750.0
2018-02-16,11:17:00,43.57,43.57,43.54,43.54,8003.0
2018-02-16,11:18:00,43.545,43.55,43.53,43.54,5338.0
2018-02-16,11:19:00,43.535,43.5385,43.515,43.525,33785.0
2018-02-16,11:20:00,43.53,43.54,43.53,43.535,4550.0
2018-02-16,11:21:00,43.53,43.55,43.53,43.53,18505.0
2018-02-16,11:22:00,43.54,43.5654,43.535,43.5654,37312.0
2018-02-16,11:23:00,43.57,43.57,43.52,43.52,18609.0
2018-02-16,11:24:00,43.52,43.52,43.5,43.5,7337.0
2018-02-16,11:25:00,43.5,43.525,43.49,43.525,51890.0
2018-02-16,11:26:00,43.53,43.53,43.51,43.515,7974.0
2018-02-16,11:27:00,43.515,43.52,43.51,43.51,12628.0
2018-02-16,11:28:00,43.515,43.515,43.48,43.495,42520.0
2018-02-16,11:29:00,43.495,43.51,43.47,43.475,30752.0
2018-02-16,11:30:00,43.475,43.5,43.45,43.455,35168.0
2018-02-16,11:31:00,43.46,43.48,43.45,43.475,27625.0
2018-02-16,11:32:00,43.475,43.475,43.43,43.435,17744.0
2018-02-16,11:33:00,43.435,43.45,43.43,43.44,11870.0
2018-02-16,11:34:00,43.43,43.47,43.43,43.46,34460.0
2018-02-16,11:35:00,43.4652,43.4761,43.455,43.47,17051.0
2018-02-16,11:36:00,43.465,43.495,43.465,43.49,25399.0
2018-02-16,11:37:00,43.485,43.49,43.48,43.485,4217.0
2018-02-16,11:38:00,43.485,43.53,43.48,43.525,43375.0
2018-02-16,11:39:00,43.5265,43.55,43.5265,43.53,16782.0
2018-02-16,11:40:00,43.535,43.55,43.535,43.55,3300.0
2018-02-16,11:41:00,43.545,43.545,43.52,43.52,11600.0
2018-02-16,11:42:00,43.525,43.525,43.485,43.485,13353.0
2018-02-16,11:43:00,43.48,43.49,43.47,43.485,9195.0
2018-02-16,11:44:00,43.48,43.49,43.48,43.48,4369.0
2018-02-16,11:45:00,43.48,43.5,43.46,43.46,23700.0
2018-02-16,11:46:00,43.465,43.49,43.46,43.49,15701.0
2018-02-16,11:47:00,43.48,43.5,43.48,43.5,9711.0
2018-02-16,11:48:00,43.5,43.505,43.49,43.495,13603.0
2018-02-16,11:49:00,43.495,43.5,43.49,43.495,9000.0
2018-02-16,11:50:00,43.49,43.5,43.49,43.495,2153.0
2018-02-16,11:51:00,43.495,43.5,43.49,43.495,8559.0
2018-02-16,11:52:00,43.49,43.5,43.46,43.465,20030.0
2018-02-16,11:53:00,43.46,43.5,43.46,43.5,20558.0
2018-02-16,11:54:00,43.5,43.515,43.49,43.49,11581.0
2018-02-16,11:55:00,43.49,43.5,43.47,43.49,16144.0
2018-02-16,11:56:00,43.495,43.525,43.495,43.51,12374.0
2018-02-16,11:57:00,43.515,43.52,43.5,43.505,16150.0
2018-02-16,11:58:00,43.5066,43.52,43.505,43.515,4166.0
