date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,11.24,11.24,11.24,11.24,300.0
2018-02-16,09:31:00,11.31,11.31,11.22,11.24,20253.0
2018-02-16,09:32:00,11.23,11.27,11.23,11.26,8992.0
2018-02-16,09:33:00,11.27,11.3,11.23,11.26,192413.0
2018-02-16,09:34:00,11.27,11.28,11.18,11.2,37247.0
2018-02-16,09:35:00,11.2,11.22,11.18,11.22,46475.0
2018-02-16,09:36:00,11.225,11.225,11.16,11.19,100349.0
2018-02-16,09:37:00,11.19,11.19,11.135,11.135,14847.0
2018-02-16,09:38:00,11.135,11.17,11.13,11.17,22387.0
2018-02-16,09:39:00,11.18,11.23,11.17,11.22,21753.0
2018-02-16,09:40:00,11.23,11.26,11.23,11.24,22286.0
2018-02-16,09:41:00,11.23,11.235,11.185,11.19,61475.0
2018-02-16,09:42:00,11.19,11.22,11.175,11.215,15787.0
2018-02-16,09:43:00,11.22,11.24,11.22,11.24,17403.0
2018-02-16,09:44:00,11.23,11.23,11.2,11.2,13814.0
2018-02-16,09:45:00,11.19,11.19,11.17,11.18,7248.0
2018-02-16,09:46:00,11.1749,11.185,11.15,11.17,28362.0
2018-02-16,09:47:00,11.17,11.19,11.15,11.19,18201.0
2018-02-16,09:48:00,11.18,11.225,11.18,11.225,7346.0
2018-02-16,09:49:00,11.225,11.235,11.205,11.235,15481.0
2018-02-16,09:50:00,11.24,11.24,11.21,11.21,18611.0
2018-02-16,09:51:00,11.215,11.25,11.215,11.245,23267.0
2018-02-16,09:52:00,11.245,11.25,11.19,11.22,65421.0
2018-02-16,09:53:00,11.22,11.23,11.21,11.23,11836.0
2018-02-16,09:54:00,11.22,11.23,11.21,11.23,20762.0
2018-02-16,09:55:00,11.24,11.24,11.23,11.24,9958.0
2018-02-16,09:56:00,11.235,11.24,11.21,11.22,12822.0
2018-02-16,09:57:00,11.21,11.22,11.2,11.21,6448.0
2018-02-16,09:58:00,11.21,11.235,11.21,11.235,5900.0
2018-02-16,09:59:00,11.23,11.23,11.19,11.19,14282.0
2018-02-16,10:00:00,11.2,11.22,11.19,11.22,9626.0
2018-02-16,10:01:00,11.22,11.22,11.2,11.2,19430.0
2018-02-16,10:02:00,11.2,11.205,11.17,11.17,22598.0
2018-02-16,10:03:00,11.17,11.185,11.15,11.16,33714.0
2018-02-16,10:04:00,11.16,11.16,11.15,11.16,16092.0
2018-02-16,10:05:00,11.16,11.165,11.14,11.14,12800.0
2018-02-16,10:06:00,11.14,11.14,11.115,11.13,8669.0
2018-02-16,10:07:00,11.125,11.125,11.105,11.11,12631.0
2018-02-16,10:08:00,11.11,11.12,11.1,11.1,17365.0
2018-02-16,10:09:00,11.1,11.14,11.1,11.14,11152.0
2018-02-16,10:10:00,11.14,11.155,11.135,11.155,27304.0
2018-02-16,10:11:00,11.15,11.16,11.145,11.15,4900.0
2018-02-16,10:12:00,11.1454,11.159,11.145,11.155,5401.0
2018-02-16,10:13:00,11.15,11.15,11.125,11.14,11071.0
2018-02-16,10:14:00,11.14,11.14,11.13,11.13,10400.0
2018-02-16,10:15:00,11.135,11.15,11.13,11.15,27642.0
2018-02-16,10:16:00,11.15,11.155,11.145,11.155,40479.0
2018-02-16,10:17:00,11.15,11.1699,11.15,11.16,11115.0
2018-02-16,10:18:00,11.16,11.17,11.15,11.16,17535.0
2018-02-16,10:19:00,11.16,11.16,11.15,11.16,7090.0
2018-02-16,10:20:00,11.165,11.165,11.14,11.14,5495.0
2018-02-16,10:21:00,11.14,11.16,11.14,11.155,5300.0
2018-02-16,10:22:00,11.155,11.17,11.155,11.17,4382.0
2018-02-16,10:23:00,11.16,11.175,11.16,11.165,24545.0
2018-02-16,10:24:00,11.16,11.16,11.15,11.16,9100.0
2018-02-16,10:25:00,11.155,11.165,11.15,11.15,6869.0
2018-02-16,10:26:00,11.155,11.17,11.15,11.15,17100.0
2018-02-16,10:27:00,11.15,11.15,11.14,11.145,4900.0
2018-02-16,10:28:00,11.145,11.16,11.135,11.16,40183.0
2018-02-16,10:29:00,11.155,11.165,11.15,11.16,18648.0
2018-02-16,10:30:00,11.16,11.18,11.16,11.16,6633.0
2018-02-16,10:31:00,11.16,11.17,11.14,11.15,14110.0
2018-02-16,10:32:00,11.15,11.16,11.15,11.1548,600.0
2018-02-16,10:33:00,11.16,11.19,11.16,11.185,7836.0
2018-02-16,10:34:00,11.19,11.19,11.18,11.185,26528.0
2018-02-16,10:35:00,11.19,11.2,11.19,11.195,17210.0
2018-02-16,10:36:00,11.2,11.21,11.18,11.18,50478.0
2018-02-16,10:37:00,11.17,11.17,11.16,11.16,3700.0
2018-02-16,10:38:00,11.16,11.16,11.15,11.155,3011.0
2018-02-16,10:39:00,11.155,11.1625,11.155,11.16,17080.0
2018-02-16,10:40:00,11.155,11.16,11.135,11.135,13500.0
2018-02-16,10:41:00,11.135,11.15,11.13,11.135,17250.0
2018-02-16,10:42:00,11.14,11.1401,11.13,11.1401,5827.0
2018-02-16,10:43:00,11.145,11.145,11.125,11.14,7000.0
2018-02-16,10:44:00,11.13,11.137,11.115,11.115,7600.0
2018-02-16,10:45:00,11.115,11.135,11.115,11.12,10799.0
2018-02-16,10:46:00,11.12,11.13,11.115,11.12,18170.0
2018-02-16,10:47:00,11.13,11.13,11.12,11.13,8900.0
2018-02-16,10:48:00,11.14,11.15,11.135,11.15,3300.0
2018-02-16,10:49:00,11.15,11.15,11.14,11.15,3400.0
2018-02-16,10:50:00,11.16,11.165,11.15,11.1648,19900.0
2018-02-16,10:51:00,11.16,11.17,11.16,11.17,9201.0
2018-02-16,10:52:00,11.17,11.175,11.17,11.175,3300.0
2018-02-16,10:53:00,11.175,11.19,11.175,11.19,21676.0
2018-02-16,10:54:00,11.185,11.195,11.18,11.185,23599.0
2018-02-16,10:55:00,11.185,11.195,11.18,11.18,17557.0
2018-02-16,10:56:00,11.18,11.185,11.17,11.18,11819.0
2018-02-16,10:57:00,11.185,11.2,11.185,11.19,10005.0
2018-02-16,10:58:00,11.19,11.2,11.17,11.17,10718.0
2018-02-16,10:59:00,11.17,11.19,11.17,11.19,35174.0
2018-02-16,11:00:00,11.19,11.19,11.175,11.185,11800.0
2018-02-16,11:01:00,11.1801,11.21,11.1801,11.2,18600.0
2018-02-16,11:02:00,11.205,11.22,11.2,11.215,79361.0
2018-02-16,11:03:00,11.2131,11.215,11.21,11.21,5948.0
2018-02-16,11:04:00,11.215,11.215,11.2,11.205,11375.0
2018-02-16,11:05:00,11.205,11.21,11.185,11.185,131524.0
2018-02-16,11:06:00,11.189,11.205,11.18,11.2,150674.0
2018-02-16,11:07:00,11.2,11.205,11.19,11.2,57354.0
2018-02-16,11:08:00,11.2,11.22,11.1941,11.195,179697.0
2018-02-16,11:09:00,11.2,11.21,11.195,11.21,41265.0
2018-02-16,11:10:00,11.21,11.22,11.2,11.21,66775.0
2018-02-16,11:11:00,11.21,11.215,11.2,11.21,15088.0
2018-02-16,11:12:00,11.21,11.21,11.19,11.2,83695.0
2018-02-16,11:13:00,11.2,11.2,11.1815,11.19,20892.0
