date,ToD,open,high,low,close,volume
2018-02-16,09:32:00,92.01,92.01,91.65,91.9025,13960.0
2018-02-16,09:33:00,91.67,91.67,91.67,91.67,100.0
2018-02-16,09:34:00,91.69,91.89,91.66,91.77,3276.0
2018-02-16,09:35:00,91.65,91.68,91.3801,91.53,2510.0
2018-02-16,09:36:00,91.52,92.19,91.15,92.19,7720.0
2018-02-16,09:37:00,91.83,91.83,91.83,91.83,500.0
2018-02-16,09:38:00,92.18,92.59,92.18,92.59,1200.0
2018-02-16,09:39:00,92.58,92.59,92.2903,92.52,1600.0
2018-02-16,09:40:00,92.42,92.5,92.42,92.5,600.0
2018-02-16,09:41:00,92.43,92.5,92.22,92.29,1700.0
2018-02-16,09:42:00,92.3099,92.49,92.29,92.425,4447.0
2018-02-16,09:44:00,92.38,92.8099,92.38,92.75,7023.0
2018-02-16,09:45:00,92.73,92.73,92.5,92.52,1214.0
2018-02-16,09:46:00,92.5,92.5,92.25,92.25,2300.0
2018-02-16,09:47:00,92.2163,92.275,92.15,92.17,1400.0
2018-02-16,09:48:00,92.0,92.02,92.0,92.02,200.0
2018-02-16,09:49:00,92.03,92.03,92.0,92.0,200.0
2018-02-16,09:50:00,91.865,92.18,91.865,91.91,3597.0
2018-02-16,09:51:00,91.78,92.27,91.78,92.27,14200.0
2018-02-16,09:52:00,92.3,92.41,92.14,92.21,7000.0
2018-02-16,09:54:00,92.26,92.26,92.26,92.26,100.0
2018-02-16,09:55:00,92.42,92.57,92.42,92.45,2000.0
2018-02-16,09:56:00,92.4,92.485,92.4,92.45,1100.0
2018-02-16,09:57:00,92.5268,92.5268,92.47,92.47,400.0
2018-02-16,09:58:00,92.47,92.57,92.41,92.425,7355.0
2018-02-16,09:59:00,92.4,92.42,92.25,92.25,4737.0
2018-02-16,10:00:00,92.24,92.24,92.2113,92.2113,200.0
2018-02-16,10:01:00,92.226,92.226,92.17,92.19,900.0
2018-02-16,10:03:00,92.025,92.025,92.025,92.025,100.0
2018-02-16,10:05:00,92.09,92.09,92.09,92.09,100.0
2018-02-16,10:08:00,92.04,92.16,92.02,92.13,2300.0
2018-02-16,10:09:00,92.13,92.25,92.13,92.235,2025.0
2018-02-16,10:10:00,92.28,92.46,92.28,92.46,2702.0
2018-02-16,10:11:00,92.46,92.59,92.45,92.45,4378.0
2018-02-16,10:12:00,92.57,92.57,92.42,92.44,2178.0
2018-02-16,10:13:00,92.45,92.51,92.43,92.4819,4786.0
2018-02-16,10:15:00,92.3,92.3,92.27,92.27,200.0
2018-02-16,10:16:00,92.4,92.52,92.4,92.485,3446.0
2018-02-16,10:17:00,92.5,92.56,92.45,92.465,2625.0
2018-02-16,10:18:00,92.41,92.47,92.35,92.35,1798.0
2018-02-16,10:19:00,92.29,92.29,92.165,92.205,629.0
2018-02-16,10:21:00,92.115,92.22,92.115,92.2,2650.0
2018-02-16,10:22:00,92.25,92.465,92.25,92.45,1900.0
2018-02-16,10:23:00,92.45,92.45,92.45,92.45,100.0
2018-02-16,10:26:00,92.38,92.58,92.38,92.52,3848.0
2018-02-16,10:27:00,92.45,92.475,92.36,92.37,1200.0
2018-02-16,10:29:00,92.3,92.32,92.16,92.16,2600.0
2018-02-16,10:30:00,92.11,92.17,92.06,92.17,2435.0
2018-02-16,10:31:00,92.175,92.38,92.17,92.38,1789.0
2018-02-16,10:32:00,92.315,92.315,92.2,92.21,1500.0
2018-02-16,10:34:00,92.135,92.135,92.135,92.135,100.0
2018-02-16,10:35:00,92.2,92.2,92.2,92.2,200.0
2018-02-16,10:36:00,92.21,92.36,92.21,92.36,1312.0
2018-02-16,10:37:00,92.3,92.3,92.3,92.3,275.0
2018-02-16,10:38:00,92.38,92.435,92.33,92.33,1100.0
2018-02-16,10:39:00,92.35,92.35,92.35,92.35,200.0
2018-02-16,10:40:00,92.255,92.255,92.255,92.255,100.0
