date,ToD,open,high,low,close,volume
2018-02-16,09:31:00,117.05,117.05,117.05,117.05,26624.0
2018-02-16,09:32:00,117.53,117.74,117.49,117.49,2299.0
2018-02-16,09:33:00,117.655,117.66,117.22,117.22,3300.0
2018-02-16,09:34:00,117.41,117.5,117.21,117.43,850.0
2018-02-16,09:35:00,117.43,117.45,117.23,117.45,10658.0
2018-02-16,09:36:00,117.49,117.5,117.31,117.39,3406.0
2018-02-16,09:37:00,117.54,117.575,117.39,117.57,2600.0
2018-02-16,09:38:00,117.57,117.57,117.4,117.4,600.0
2018-02-16,09:39:00,117.695,117.695,117.69,117.69,200.0
2018-02-16,09:40:00,117.695,117.72,117.56,117.58,2136.0
2018-02-16,09:41:00,117.49,117.495,117.49,117.495,200.0
2018-02-16,09:42:00,117.49,117.49,116.98,117.17,3847.0
2018-02-16,09:43:00,117.205,117.3,117.15,117.15,300.0
2018-02-16,09:44:00,117.36,117.36,117.32,117.32,200.0
2018-02-16,09:45:00,117.21,117.39,117.11,117.39,3108.0
2018-02-16,09:46:00,117.5,117.52,117.5,117.52,500.0
2018-02-16,09:47:00,117.52,117.685,117.515,117.685,400.0
2018-02-16,09:48:00,117.725,117.8,117.725,117.8,200.0
2018-02-16,09:49:00,117.825,117.85,117.825,117.85,200.0
2018-02-16,09:50:00,117.84,117.87,117.84,117.865,467.0
2018-02-16,09:51:00,117.76,117.765,117.57,117.65,2566.0
2018-02-16,09:52:00,117.68,117.68,117.57,117.59,1000.0
2018-02-16,09:53:00,117.59,117.59,117.59,117.59,150.0
2018-02-16,09:54:00,117.66,117.94,117.65,117.84,12485.0
2018-02-16,09:55:00,117.85,117.85,117.85,117.85,100.0
2018-02-16,09:56:00,117.86,117.9,117.82,117.9,700.0
2018-02-16,09:57:00,117.88,117.927,117.78,117.927,1607.0
2018-02-16,09:58:00,117.9183,117.9183,117.9183,117.9183,150.0
2018-02-16,09:59:00,117.88,117.88,117.72,117.76,904.0
2018-02-16,10:00:00,117.605,117.605,117.42,117.5,2975.0
2018-02-16,10:01:00,117.43,117.48,117.43,117.48,400.0
2018-02-16,10:02:00,117.45,117.5036,117.36,117.38,1514.0
2018-02-16,10:03:00,117.34,117.455,117.3,117.3,1300.0
2018-02-16,10:04:00,117.32,117.38,117.32,117.38,300.0
2018-02-16,10:05:00,117.33,117.36,117.27,117.27,4655.0
2018-02-16,10:06:00,117.31,117.32,117.14,117.26,6446.0
2018-02-16,10:08:00,117.32,117.32,117.27,117.27,550.0
2018-02-16,10:09:00,117.3031,117.37,117.29,117.29,3124.0
2018-02-16,10:10:00,117.35,117.38,117.13,117.13,3200.0
2018-02-16,10:11:00,117.17,117.17,117.07,117.07,800.0
2018-02-16,10:12:00,117.07,117.1,116.92,116.92,1310.0
2018-02-16,10:14:00,116.93,116.93,116.83,116.83,200.0
2018-02-16,10:15:00,116.88,116.89,116.815,116.84,807.0
2018-02-16,10:16:00,116.82,116.84,116.82,116.83,500.0
2018-02-16,10:17:00,116.89,117.01,116.84,117.01,4481.0
2018-02-16,10:18:00,117.01,117.285,117.01,117.285,1200.0
2018-02-16,10:19:00,117.28,117.3,117.2,117.28,2604.0
2018-02-16,10:20:00,117.33,117.3451,117.24,117.24,1700.0
2018-02-16,10:22:00,117.22,117.32,117.22,117.32,300.0
2018-02-16,10:23:00,117.25,117.31,117.19,117.235,1521.0
2018-02-16,10:24:00,117.24,117.24,117.24,117.24,100.0
2018-02-16,10:25:00,117.25,117.265,117.25,117.265,565.0
2018-02-16,10:26:00,117.32,117.38,117.31,117.32,3093.0
2018-02-16,10:27:00,117.27,117.29,117.27,117.29,400.0
2018-02-16,10:28:00,117.33,117.36,117.33,117.36,2421.0
2018-02-16,10:29:00,117.34,117.34,117.22,117.22,1327.0
2018-02-16,10:30:00,117.21,117.21,117.21,117.21,1000.0
2018-02-16,10:31:00,117.16,117.33,117.16,117.33,3983.0
2018-02-16,10:32:00,117.3,117.3,117.3,117.3,200.0
2018-02-16,10:33:00,117.36,117.4,117.36,117.4,200.0
2018-02-16,10:34:00,117.355,117.39,117.355,117.355,420.0
2018-02-16,10:35:00,117.32,117.33,117.3,117.33,1309.0
2018-02-16,10:36:00,117.435,117.435,117.435,117.435,125.0
2018-02-16,10:37:00,117.35,117.44,117.35,117.4,680.0
2018-02-16,10:38:00,117.44,117.6,117.44,117.6,709.0
2018-02-16,10:40:00,117.6,117.6084,117.575,117.575,2768.0
2018-02-16,10:41:00,117.53,117.545,117.43,117.4612,2680.0
2018-02-16,10:42:00,117.4348,117.5,117.43,117.5,1500.0
2018-02-16,10:43:00,117.51,117.53,117.42,117.42,660.0
2018-02-16,10:44:00,117.515,117.55,117.4973,117.55,810.0
2018-02-16,10:45:00,117.57,117.62,117.56,117.575,1239.0
2018-02-16,10:46:00,117.63,117.64,117.63,117.64,300.0
2018-02-16,10:47:00,117.63,117.89,117.63,117.81,3900.0
2018-02-16,10:48:00,117.9089,117.94,117.84,117.84,2620.0
2018-02-16,10:49:00,117.875,117.875,117.77,117.77,2033.0
2018-02-16,10:50:00,117.73,117.84,117.71,117.84,1000.0
2018-02-16,10:51:00,117.84,117.84,117.825,117.825,403.0
2018-02-16,10:52:00,117.825,117.825,117.825,117.825,200.0
2018-02-16,10:53:00,117.81,117.87,117.76,117.76,400.0
2018-02-16,10:54:00,117.87,117.87,117.815,117.8699,600.0
2018-02-16,10:55:00,117.82,117.9,117.82,117.88,600.0
2018-02-16,10:56:00,117.9,117.91,117.9,117.91,200.0
2018-02-16,10:57:00,117.99,117.99,117.84,117.93,2000.0
2018-02-16,10:58:00,117.88,117.88,117.8,117.84,1830.0
2018-02-16,10:59:00,117.835,117.835,117.805,117.805,857.0
2018-02-16,11:00:00,117.76,117.76,117.685,117.76,2271.0
2018-02-16,11:01:00,117.75,117.86,117.75,117.86,400.0
2018-02-16,11:02:00,117.82,117.87,117.7972,117.7972,659.0
2018-02-16,11:03:00,117.825,117.83,117.825,117.83,1900.0
2018-02-16,11:04:00,117.83,117.89,117.79,117.845,2500.0
2018-02-16,11:05:00,117.8379,117.91,117.75,117.75,3343.0
2018-02-16,11:06:00,117.79,117.79,117.755,117.76,600.0
2018-02-16,11:07:00,117.8,117.81,117.785,117.785,990.0
2018-02-16,11:08:00,117.785,117.81,117.785,117.8025,1315.0
2018-02-16,11:09:00,117.82,117.84,117.815,117.84,500.0
2018-02-16,11:10:00,117.85,117.85,117.825,117.83,900.0
2018-02-16,11:11:00,117.83,117.94,117.83,117.94,2167.0
2018-02-16,11:12:00,117.96,117.98,117.93,117.98,500.0
2018-02-16,11:13:00,117.95,117.95,117.926,117.926,470.0
2018-02-16,11:14:00,117.96,117.96,117.9,117.925,2700.0
2018-02-16,11:15:00,117.95,117.98,117.89,117.92,3549.0
2018-02-16,11:16:00,117.95,117.98,117.91,117.92,1052.0
2018-02-16,11:18:00,117.96,117.97,117.92,117.97,800.0
2018-02-16,11:19:00,117.96,117.98,117.89,117.89,3300.0
2018-02-16,11:20:00,117.87,117.875,117.82,117.82,700.0
2018-02-16,11:23:00,117.88,117.88,117.88,117.88,100.0
2018-02-16,11:25:00,117.9,117.9,117.8,117.87,1912.0
2018-02-16,11:26:00,117.81,117.86,117.8,117.86,800.0
2018-02-16,11:27:00,117.8,117.85,117.8,117.835,2619.0
2018-02-16,11:28:00,117.81,117.81,117.78,117.78,821.0
2018-02-16,11:30:00,117.804,117.804,117.73,117.73,1100.0
2018-02-16,11:31:00,117.78,117.78,117.74,117.74,500.0
2018-02-16,11:32:00,117.775,117.775,117.775,117.775,100.0
2018-02-16,11:34:00,117.775,117.83,117.775,117.82,1636.0
2018-02-16,11:35:00,117.84,117.88,117.84,117.88,2100.0
2018-02-16,11:36:00,117.87,117.87,117.83,117.83,1700.0
2018-02-16,11:37:00,117.86,117.86,117.86,117.86,200.0
2018-02-16,11:38:00,117.83,117.83,117.83,117.83,200.0
