date,ToD,open,high,low,close,volume
2018-02-16,09:32:00,71.38,71.59,71.38,71.4,156775.0
2018-02-16,09:33:00,71.37,71.51,71.34,71.5,4707.0
2018-02-16,09:34:00,71.5,71.51,71.385,71.385,3928.0
2018-02-16,09:35:00,71.33,71.57,71.33,71.57,2609.0
2018-02-16,09:36:00,71.57,71.57,71.4,71.49,7275.0
2018-02-16,09:37:00,71.5,71.52,71.49,71.505,3981.0
2018-02-16,09:38:00,71.49,71.53,71.44,71.44,22924.0
2018-02-16,09:39:00,71.435,71.62,71.43,71.61,33560.0
2018-02-16,09:40:00,71.581,71.705,71.58,71.64,5701.0
2018-02-16,09:41:00,71.62,71.69,71.59,71.69,1500.0
2018-02-16,09:42:00,71.7,71.71,71.51,71.51,3500.0
2018-02-16,09:43:00,71.53,71.6,71.53,71.5962,5871.0
2018-02-16,09:44:00,71.61,71.64,71.54,71.59,6750.0
2018-02-16,09:45:00,71.58,71.59,71.47,71.515,6600.0
2018-02-16,09:46:00,71.53,71.66,71.46,71.66,15815.0
2018-02-16,09:47:00,71.66,71.69,71.62,71.66,1638.0
2018-02-16,09:48:00,71.68,71.74,71.65,71.71,6283.0
2018-02-16,09:49:00,71.72,71.78,71.65,71.755,13205.0
2018-02-16,09:50:00,71.78,71.82,71.78,71.82,2205.0
2018-02-16,09:51:00,71.77,71.82,71.74,71.82,5350.0
2018-02-16,09:52:00,71.8,71.81,71.76,71.81,5798.0
2018-02-16,09:53:00,71.8,71.82,71.75,71.814,3666.0
2018-02-16,09:54:00,71.8,71.84,71.76,71.84,2900.0
2018-02-16,09:55:00,71.85,71.879,71.81,71.81,3894.0
2018-02-16,09:56:00,71.8,71.88,71.8,71.81,3100.0
2018-02-16,09:57:00,71.81,71.84,71.77,71.84,7573.0
2018-02-16,09:58:00,71.83,71.86,71.828,71.8484,3407.0
2018-02-16,09:59:00,71.83,71.85,71.79,71.79,4250.0
2018-02-16,10:00:00,71.78,71.8,71.77,71.8,1400.0
2018-02-16,10:01:00,71.79,71.84,71.77,71.81,9130.0
2018-02-16,10:02:00,71.81,71.87,71.81,71.87,5245.0
2018-02-16,10:03:00,71.8601,71.93,71.8601,71.92,13356.0
2018-02-16,10:04:00,71.92,71.96,71.91,71.96,8441.0
2018-02-16,10:05:00,71.95,71.96,71.93,71.93,2825.0
2018-02-16,10:06:00,71.91,71.99,71.91,71.99,17886.0
2018-02-16,10:07:00,71.99,72.02,71.92,71.92,9022.0
2018-02-16,10:08:00,71.92,72.01,71.91,71.96,6175.0
2018-02-16,10:09:00,71.9761,72.07,71.9761,72.07,8098.0
2018-02-16,10:10:00,72.07,72.14,72.04,72.0893,3965.0
2018-02-16,10:11:00,72.08,72.08,72.0038,72.0052,1976.0
2018-02-16,10:12:00,71.99,71.99,71.9,71.9,4966.0
2018-02-16,10:13:00,71.91,72.02,71.91,72.01,16750.0
2018-02-16,10:14:00,72.015,72.05,72.0,72.02,13594.0
2018-02-16,10:15:00,71.98,71.99,71.94,71.945,5480.0
2018-02-16,10:16:00,71.94,72.0,71.94,71.98,3722.0
2018-02-16,10:17:00,71.99,72.12,71.99,72.12,10338.0
2018-02-16,10:18:00,72.11,72.17,72.11,72.145,7164.0
2018-02-16,10:19:00,72.145,72.2,72.1,72.19,7193.0
2018-02-16,10:20:00,72.17,72.2,72.165,72.19,5020.0
2018-02-16,10:21:00,72.15,72.165,72.09,72.1,4892.0
2018-02-16,10:22:00,72.12,72.12,72.08,72.08,2250.0
2018-02-16,10:23:00,72.07,72.07,71.98,72.02,5813.0
2018-02-16,10:24:00,72.03,72.045,71.95,71.95,4689.0
2018-02-16,10:25:00,71.94,72.08,71.94,72.08,12921.0
2018-02-16,10:26:00,72.08,72.17,72.04,72.08,87945.0
2018-02-16,10:27:00,72.06,72.06,71.99,72.04,3011.0
2018-02-16,10:28:00,72.05,72.15,72.04,72.1486,28613.0
2018-02-16,10:29:00,72.13,72.23,72.12,72.18,11834.0
2018-02-16,10:30:00,72.1999,72.3199,72.1999,72.3,6733.0
2018-02-16,10:31:00,72.29,72.35,72.27,72.32,11549.0
2018-02-16,10:32:00,72.31,72.37,72.31,72.34,4964.0
2018-02-16,10:33:00,72.37,72.45,72.36,72.45,48585.0
2018-02-16,10:34:00,72.45,72.46,72.3562,72.365,5272.0
2018-02-16,10:35:00,72.36,72.36,72.275,72.29,3504.0
2018-02-16,10:36:00,72.2726,72.31,72.2726,72.2904,7025.0
2018-02-16,10:37:00,72.3,72.32,72.2807,72.2807,5181.0
2018-02-16,10:38:00,72.29,72.33,72.26,72.28,3368.0
2018-02-16,10:39:00,72.28,72.2899,72.21,72.22,2515.0
2018-02-16,10:40:00,72.22,72.22,72.19,72.19,895.0
2018-02-16,10:41:00,72.1926,72.22,72.16,72.16,8070.0
2018-02-16,10:42:00,72.1582,72.21,72.1582,72.2,2203.0
2018-02-16,10:43:00,72.21,72.24,72.15,72.19,4900.0
2018-02-16,10:44:00,72.22,72.25,72.22,72.22,1608.0
2018-02-16,10:45:00,72.21,72.23,72.21,72.2125,1900.0
2018-02-16,10:46:00,72.19,72.223,72.19,72.223,3003.0
2018-02-16,10:47:00,72.23,72.2525,72.23,72.25,3078.0
2018-02-16,10:48:00,72.25,72.37,72.2,72.37,13590.0
2018-02-16,10:49:00,72.36,72.37,72.295,72.3149,4434.0
2018-02-16,10:50:00,72.33,72.34,72.28,72.335,2750.0
2018-02-16,10:51:00,72.35,72.4,72.33,72.37,7365.0
2018-02-16,10:52:00,72.385,72.44,72.36,72.4,10154.0
2018-02-16,10:53:00,72.38,72.42,72.37,72.42,4899.0
2018-02-16,10:54:00,72.4,72.46,72.38,72.46,4784.0
2018-02-16,10:55:00,72.44,72.61,72.44,72.54,20052.0
2018-02-16,10:56:00,72.545,72.545,72.46,72.48,8250.0
2018-02-16,10:57:00,72.46,72.5,72.435,72.435,8184.0
2018-02-16,10:58:00,72.45,72.45,72.38,72.405,7782.0
2018-02-16,10:59:00,72.4,72.41,72.375,72.39,1937.0
2018-02-16,11:00:00,72.35,72.38,72.27,72.31,11865.0
2018-02-16,11:01:00,72.31,72.38,72.31,72.345,5251.0
2018-02-16,11:02:00,72.345,72.41,72.345,72.41,3700.0
2018-02-16,11:03:00,72.39,72.41,72.34,72.41,6363.0
2018-02-16,11:04:00,72.39,72.41,72.37,72.41,7995.0
