date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,6.84,6.84,6.84,6.84,19466.0
2018-02-16,09:31:00,6.84,6.87,6.79,6.87,9600.0
2018-02-16,09:32:00,6.88,6.9,6.88,6.9,9092.0
2018-02-16,09:33:00,6.8999,6.91,6.87,6.91,4400.0
2018-02-16,09:34:00,6.91,6.92,6.9,6.91,6537.0
2018-02-16,09:35:00,6.91,6.93,6.905,6.93,13036.0
2018-02-16,09:36:00,6.92,6.92,6.87,6.89,9165.0
2018-02-16,09:37:00,6.9,6.905,6.89,6.89,12601.0
2018-02-16,09:38:00,6.9,6.9,6.895,6.9,3200.0
2018-02-16,09:39:00,6.91,6.9113,6.8832,6.8832,25668.0
2018-02-16,09:40:00,6.89,6.905,6.885,6.885,8300.0
2018-02-16,09:41:00,6.88,6.89,6.855,6.855,9300.0
2018-02-16,09:42:00,6.85,6.87,6.85,6.865,9755.0
2018-02-16,09:43:00,6.865,6.87,6.86,6.87,800.0
2018-02-16,09:44:00,6.87,6.89,6.87,6.885,6100.0
2018-02-16,09:45:00,6.88,6.9,6.87,6.88,4464.0
2018-02-16,09:46:00,6.89,6.89,6.88,6.89,3500.0
2018-02-16,09:47:00,6.9,6.91,6.89,6.895,14400.0
2018-02-16,09:48:00,6.89,6.9,6.885,6.895,6500.0
2018-02-16,09:49:00,6.9,6.909,6.89,6.909,9533.0
2018-02-16,09:50:00,6.9,6.9,6.895,6.8988,4879.0
2018-02-16,09:51:00,6.89,6.905,6.885,6.9,6259.0
2018-02-16,09:52:00,6.9,6.91,6.9,6.91,1400.0
2018-02-16,09:53:00,6.9,6.91,6.9,6.91,600.0
2018-02-16,09:54:00,6.91,6.91,6.895,6.91,9800.0
2018-02-16,09:55:00,6.9,6.91,6.89,6.89,2000.0
2018-02-16,09:56:00,6.885,6.885,6.88,6.88,2986.0
2018-02-16,09:57:00,6.88,6.88,6.88,6.88,800.0
2018-02-16,09:58:00,6.87,6.87,6.87,6.87,3900.0
2018-02-16,09:59:00,6.86,6.87,6.86,6.87,4043.0
2018-02-16,10:00:00,6.87,6.88,6.87,6.88,3200.0
2018-02-16,10:01:00,6.88,6.88,6.88,6.88,1000.0
2018-02-16,10:02:00,6.875,6.88,6.86,6.86,2237.0
2018-02-16,10:03:00,6.86,6.87,6.86,6.87,300.0
2018-02-16,10:04:00,6.86,6.87,6.86,6.87,9398.0
2018-02-16,10:05:00,6.87,6.87,6.87,6.87,1000.0
2018-02-16,10:06:00,6.86,6.86,6.86,6.86,1600.0
2018-02-16,10:07:00,6.86,6.86,6.86,6.86,2000.0
2018-02-16,10:08:00,6.86,6.86,6.86,6.86,400.0
2018-02-16,10:09:00,6.87,6.87,6.86,6.87,2700.0
2018-02-16,10:10:00,6.87,6.89,6.87,6.885,5500.0
2018-02-16,10:11:00,6.885,6.89,6.88,6.8802,1292.0
2018-02-16,10:12:00,6.89,6.9,6.89,6.895,11189.0
2018-02-16,10:13:00,6.895,6.9,6.8904,6.895,1250.0
2018-02-16,10:14:00,6.899,6.9,6.895,6.895,2250.0
2018-02-16,10:15:00,6.896,6.9,6.89,6.89,668.0
2018-02-16,10:16:00,6.895,6.91,6.895,6.905,11473.0
2018-02-16,10:17:00,6.905,6.91,6.895,6.9,11785.0
2018-02-16,10:18:00,6.9,6.91,6.895,6.91,7693.0
2018-02-16,10:19:00,6.91,6.92,6.91,6.92,900.0
2018-02-16,10:20:00,6.91,6.91,6.9,6.9,5400.0
2018-02-16,10:21:00,6.9,6.91,6.895,6.91,4500.0
2018-02-16,10:22:00,6.91,6.92,6.91,6.92,1211.0
2018-02-16,10:23:00,6.92,6.92,6.91,6.92,1700.0
2018-02-16,10:24:00,6.92,6.92,6.911,6.92,3900.0
2018-02-16,10:25:00,6.92,6.92,6.905,6.905,8972.0
2018-02-16,10:26:00,6.91,6.92,6.91,6.91,3494.0
2018-02-16,10:27:00,6.91,6.92,6.91,6.92,300.0
2018-02-16,10:28:00,6.92,6.92,6.92,6.92,748.0
2018-02-16,10:29:00,6.9102,6.915,6.89,6.915,34129.0
2018-02-16,10:30:00,6.92,6.93,6.92,6.93,8811.0
2018-02-16,10:31:00,6.93,6.94,6.92,6.92,23825.0
2018-02-16,10:32:00,6.92,6.93,6.915,6.92,7200.0
2018-02-16,10:33:00,6.93,6.94,6.93,6.93,5500.0
2018-02-16,10:34:00,6.93,6.93,6.929,6.93,1100.0
2018-02-16,10:35:00,6.925,6.93,6.925,6.93,200.0
2018-02-16,10:36:00,6.93,6.94,6.93,6.935,5600.0
2018-02-16,10:37:00,6.94,6.94,6.94,6.94,300.0
2018-02-16,10:38:00,6.94,6.94,6.93,6.9367,2400.0
2018-02-16,10:39:00,6.94,6.94,6.92,6.925,7471.0
2018-02-16,10:40:00,6.9252,6.93,6.92,6.925,6400.0
2018-02-16,10:41:00,6.925,6.93,6.92,6.925,900.0
2018-02-16,10:42:00,6.92,6.92,6.92,6.92,1500.0
2018-02-16,10:43:00,6.92,6.92,6.91,6.915,6341.0
2018-02-16,10:44:00,6.9152,6.9152,6.91,6.915,400.0
2018-02-16,10:45:00,6.92,6.92,6.915,6.92,2300.0
2018-02-16,10:46:00,6.92,6.92,6.92,6.92,600.0
2018-02-16,10:47:00,6.92,6.92,6.92,6.92,300.0
2018-02-16,10:48:00,6.915,6.915,6.915,6.915,100.0
2018-02-16,10:49:00,6.92,6.92,6.91,6.92,1500.0
2018-02-16,10:50:00,6.91,6.92,6.91,6.91,300.0
2018-02-16,10:51:00,6.91,6.915,6.91,6.915,200.0
2018-02-16,10:52:00,6.91,6.915,6.895,6.9,9100.0
2018-02-16,10:53:00,6.91,6.911,6.905,6.91,3300.0
2018-02-16,10:54:00,6.909,6.915,6.9033,6.91,8346.0
2018-02-16,10:55:00,6.91,6.92,6.91,6.92,700.0
2018-02-16,10:56:00,6.915,6.925,6.915,6.925,14000.0
2018-02-16,10:57:00,6.92,6.92,6.9019,6.9019,1950.0
2018-02-16,10:58:00,6.91,6.92,6.895,6.9,8690.0
2018-02-16,10:59:00,6.895,6.9,6.895,6.9,500.0
2018-02-16,11:00:00,6.9,6.9,6.9,6.9,1800.0
2018-02-16,11:01:00,6.9,6.915,6.9,6.91,3400.0
2018-02-16,11:02:00,6.92,6.92,6.92,6.92,2200.0
2018-02-16,11:03:00,6.92,6.92,6.91,6.915,2491.0
2018-02-16,11:04:00,6.91,6.91,6.9,6.9,3400.0
2018-02-16,11:05:00,6.91,6.91,6.9,6.9,2400.0
2018-02-16,11:06:00,6.9,6.9,6.9,6.9,700.0
2018-02-16,11:07:00,6.899,6.9,6.89,6.895,3400.0
2018-02-16,11:08:00,6.9,6.91,6.89,6.9,17944.0
2018-02-16,11:09:00,6.8986,6.9,6.89,6.89,6572.0
2018-02-16,11:10:00,6.9,6.9,6.895,6.895,1400.0
2018-02-16,11:11:00,6.9,6.9,6.88,6.89,3900.0
2018-02-16,11:12:00,6.885,6.91,6.885,6.91,21341.0
2018-02-16,11:13:00,6.9,6.92,6.9,6.92,2200.0
2018-02-16,11:14:00,6.92,6.93,6.915,6.93,1100.0
2018-02-16,11:15:00,6.93,6.94,6.9216,6.94,14800.0
2018-02-16,11:16:00,6.945,6.95,6.94,6.95,3100.0
2018-02-16,11:17:00,6.95,6.96,6.95,6.9507,5549.0
2018-02-16,11:18:00,6.96,6.96,6.945,6.945,3943.0
2018-02-16,11:19:00,6.95,6.96,6.94,6.96,3500.0
2018-02-16,11:20:00,6.96,6.97,6.96,6.97,4678.0
2018-02-16,11:21:00,6.965,7.0,6.965,7.0,15428.0
2018-02-16,11:22:00,6.99,7.0,6.98,6.985,45085.0
2018-02-16,11:23:00,6.99,6.99,6.985,6.99,8855.0
2018-02-16,11:24:00,6.99,6.995,6.985,6.99,2200.0
2018-02-16,11:25:00,6.99,6.99,6.97,6.98,5984.0
