date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,74.19,74.52,74.19,74.52,194530.0
2018-02-16,09:31:00,74.21,74.25,74.11,74.25,400.0
2018-02-16,09:32:00,74.25,74.71,74.25,74.59,2451.0
2018-02-16,09:33:00,74.5313,74.59,74.5,74.5,1245.0
2018-02-16,09:34:00,74.52,74.53,74.37,74.425,2458.0
2018-02-16,09:35:00,74.42,74.49,74.38,74.49,950.0
2018-02-16,09:36:00,74.56,74.56,74.49,74.5,1800.0
2018-02-16,09:37:00,74.49,74.56,74.49,74.52,3042.0
2018-02-16,09:38:00,74.55,74.59,74.53,74.57,11361.0
2018-02-16,09:39:00,74.62,74.625,74.525,74.6,17400.0
2018-02-16,09:40:00,74.55,74.7,74.55,74.69,9600.0
2018-02-16,09:41:00,74.715,74.715,74.63,74.67,7879.0
2018-02-16,09:42:00,74.67,74.67,74.5,74.52,9239.0
2018-02-16,09:43:00,74.52,74.56,74.52,74.56,17571.0
2018-02-16,09:44:00,74.58,74.65,74.52,74.63,25252.0
2018-02-16,09:45:00,74.62,74.62,74.47,74.54,12948.0
2018-02-16,09:46:00,74.56,74.62,74.48,74.61,23373.0
2018-02-16,09:47:00,74.6,74.79,74.57,74.79,8511.0
2018-02-16,09:48:00,74.74,74.76,74.71,74.72,6250.0
2018-02-16,09:49:00,74.76,74.79,74.74,74.78,4119.0
2018-02-16,09:50:00,74.8258,74.8258,74.7,74.7,4343.0
2018-02-16,09:51:00,74.69,74.69,74.48,74.5,29783.0
2018-02-16,09:52:00,74.48,74.5,74.45,74.48,2385.0
2018-02-16,09:53:00,74.48,74.51,74.43,74.51,4950.0
2018-02-16,09:54:00,74.54,74.54,74.46,74.519,1925.0
2018-02-16,09:55:00,74.51,74.51,74.45,74.45,2914.0
2018-02-16,09:56:00,74.45,74.49,74.44,74.44,1350.0
2018-02-16,09:57:00,74.44,74.46,74.42,74.43,6500.0
2018-02-16,09:58:00,74.43,74.43,74.38,74.39,14244.0
2018-02-16,09:59:00,74.39,74.39,74.36,74.36,1515.0
2018-02-16,10:00:00,74.34,74.38,74.33,74.37,1464.0
2018-02-16,10:01:00,74.3401,74.35,74.2601,74.35,3522.0
2018-02-16,10:02:00,74.3627,74.38,74.29,74.345,3348.0
2018-02-16,10:03:00,74.345,74.41,74.345,74.395,5338.0
2018-02-16,10:04:00,74.405,74.405,74.37,74.38,3984.0
2018-02-16,10:05:00,74.39,74.48,74.39,74.48,3000.0
2018-02-16,10:06:00,74.48,74.48,74.41,74.41,6852.0
2018-02-16,10:07:00,74.4,74.41,74.35,74.36,4900.0
2018-02-16,10:08:00,74.35,74.38,74.3,74.3,3000.0
2018-02-16,10:09:00,74.33,74.38,74.23,74.265,23280.0
2018-02-16,10:10:00,74.265,74.32,74.24,74.24,30633.0
2018-02-16,10:11:00,74.26,74.27,74.22,74.22,6100.0
2018-02-16,10:12:00,74.22,74.25,74.2,74.2,3400.0
2018-02-16,10:13:00,74.2,74.27,74.2,74.27,10323.0
2018-02-16,10:14:00,74.265,74.34,74.265,74.325,1462.0
2018-02-16,10:15:00,74.325,74.5,74.32,74.47,6743.0
2018-02-16,10:16:00,74.465,74.5,74.45,74.5,12882.0
2018-02-16,10:17:00,74.5,74.58,74.5,74.5701,31375.0
2018-02-16,10:18:00,74.61,74.75,74.61,74.75,5530.0
2018-02-16,10:19:00,74.75,74.75,74.74,74.75,4000.0
2018-02-16,10:20:00,74.75,74.75,74.61,74.68,12348.0
2018-02-16,10:21:00,74.69,74.76,74.69,74.75,6136.0
2018-02-16,10:22:00,74.75,74.75,74.7,74.7,2840.0
2018-02-16,10:23:00,74.75,74.75,74.7,74.75,9713.0
2018-02-16,10:24:00,74.75,74.75,74.7,74.75,14315.0
2018-02-16,10:25:00,74.74,74.75,74.69,74.72,25311.0
2018-02-16,10:26:00,74.7,74.82,74.7,74.82,16028.0
2018-02-16,10:27:00,74.79,74.8226,74.74,74.8226,4216.0
2018-02-16,10:28:00,74.8,74.8,74.74,74.74,6200.0
2018-02-16,10:29:00,74.76,74.765,74.66,74.69,6472.0
2018-02-16,10:30:00,74.7,74.71,74.66,74.68,8700.0
2018-02-16,10:31:00,74.68,74.71,74.65,74.69,12607.0
2018-02-16,10:32:00,74.7,74.7,74.66,74.67,6681.0
2018-02-16,10:33:00,74.69,74.7,74.58,74.58,11857.0
2018-02-16,10:34:00,74.58,74.61,74.58,74.58,13389.0
2018-02-16,10:35:00,74.585,74.61,74.575,74.6,9544.0
2018-02-16,10:36:00,74.6,74.62,74.58,74.6,14189.0
2018-02-16,10:37:00,74.6,74.61,74.59,74.59,10672.0
2018-02-16,10:38:00,74.585,74.6,74.56,74.56,8773.0
2018-02-16,10:39:00,74.55,74.55,74.5,74.5,1800.0
2018-02-16,10:40:00,74.5,74.52,74.47,74.47,1800.0
2018-02-16,10:41:00,74.49,74.57,74.49,74.56,7254.0
2018-02-16,10:42:00,74.56,74.6,74.55,74.58,4281.0
2018-02-16,10:43:00,74.6,74.6,74.53,74.53,10271.0
2018-02-16,10:44:00,74.54,74.56,74.5,74.5,3300.0
2018-02-16,10:45:00,74.51,74.64,74.51,74.64,1900.0
2018-02-16,10:46:00,74.6,74.66,74.57,74.658,3356.0
2018-02-16,10:47:00,74.68,74.7,74.67,74.69,4485.0
2018-02-16,10:48:00,74.7,74.71,74.68,74.68,3800.0
2018-02-16,10:49:00,74.67,74.7,74.65,74.66,3900.0
2018-02-16,10:50:00,74.66,74.71,74.66,74.7,4600.0
2018-02-16,10:51:00,74.71,74.72,74.66,74.66,11323.0
2018-02-16,10:52:00,74.66,74.67,74.61,74.61,4909.0
2018-02-16,10:53:00,74.6,74.62,74.55,74.58,3200.0
2018-02-16,10:54:00,74.57,74.66,74.56,74.64,2872.0
2018-02-16,10:55:00,74.67,74.72,74.67,74.7,2600.0
2018-02-16,10:56:00,74.68,74.7,74.65,74.67,1900.0
2018-02-16,10:57:00,74.655,74.7,74.655,74.685,1600.0
2018-02-16,10:58:00,74.68,74.7,74.68,74.68,3500.0
2018-02-16,10:59:00,74.67,74.68,74.64,74.68,4351.0
2018-02-16,11:00:00,74.67,74.67,74.4887,74.495,8817.0
2018-02-16,11:01:00,74.51,74.61,74.51,74.56,6747.0
2018-02-16,11:02:00,74.56,74.61,74.55,74.57,4600.0
2018-02-16,11:03:00,74.57,74.6168,74.57,74.57,1800.0
2018-02-16,11:04:00,74.57,74.57,74.5,74.535,2100.0
2018-02-16,11:05:00,74.55,74.7,74.505,74.6,11250.0
2018-02-16,11:06:00,74.6,74.63,74.58,74.58,2600.0
2018-02-16,11:07:00,74.6,74.62,74.585,74.6,2600.0
