date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,178.99,179.01,178.87,178.87,859895.0
2018-02-16,09:31:00,178.83,179.11,178.51,179.11,156675.0
2018-02-16,09:32:00,179.11,179.49,179.08,179.3301,105294.0
2018-02-16,09:33:00,179.3958,179.4,178.6,178.6501,135528.0
2018-02-16,09:34:00,178.61,178.95,178.55,178.94,83446.0
2018-02-16,09:35:00,178.905,179.31,178.76,179.31,86575.0
2018-02-16,09:36:00,179.29,179.39,179.03,179.36,73015.0
2018-02-16,09:37:00,179.37,179.73,179.35,179.73,67700.0
2018-02-16,09:38:00,179.7252,179.84,179.56,179.7648,41329.0
2018-02-16,09:39:00,179.75,179.88,179.59,179.6,59223.0
2018-02-16,09:40:00,179.61,179.75,179.52,179.7,40457.0
2018-02-16,09:41:00,179.67,179.87,179.59,179.8144,48005.0
2018-02-16,09:42:00,179.81,179.83,179.6601,179.75,47075.0
2018-02-16,09:43:00,179.75,179.84,179.71,179.81,53885.0
2018-02-16,09:44:00,179.7801,179.81,179.45,179.5402,57788.0
2018-02-16,09:45:00,179.5398,179.57,179.28,179.28,42858.0
2018-02-16,09:46:00,179.3,179.57,179.24,179.57,62779.0
2018-02-16,09:47:00,179.5496,179.65,179.3,179.46,43129.0
2018-02-16,09:48:00,179.4,179.47,179.18,179.47,33991.0
2018-02-16,09:49:00,179.47,179.52,179.321,179.48,41567.0
2018-02-16,09:50:00,179.46,179.65,179.4,179.42,55682.0
2018-02-16,09:51:00,179.42,179.68,179.34,179.68,42030.0
2018-02-16,09:52:00,179.64,179.64,179.5236,179.59,43339.0
2018-02-16,09:53:00,179.61,179.63,179.212,179.35,68011.0
2018-02-16,09:54:00,179.36,179.47,179.15,179.34,41840.0
2018-02-16,09:55:00,179.36,179.46,179.27,179.2924,28061.0
2018-02-16,09:56:00,179.28,179.5,179.28,179.4,29409.0
2018-02-16,09:57:00,179.39,179.3924,179.2,179.28,32187.0
2018-02-16,09:58:00,179.25,179.27,179.09,179.2,50088.0
2018-02-16,09:59:00,179.2,179.24,178.75,178.8,79041.0
2018-02-16,10:00:00,178.795,179.14,178.79,179.0,67141.0
2018-02-16,10:01:00,179.04,179.2,178.94,178.97,54215.0
2018-02-16,10:02:00,178.94,178.97,178.6731,178.78,97309.0
2018-02-16,10:03:00,178.8,178.84,178.64,178.6976,48536.0
2018-02-16,10:04:00,178.67,178.69,178.45,178.51,77704.0
2018-02-16,10:05:00,178.56,178.6742,178.46,178.555,57451.0
2018-02-16,10:06:00,178.55,178.6612,178.441,178.62,48406.0
2018-02-16,10:07:00,178.59,178.6194,178.4,178.545,58569.0
2018-02-16,10:08:00,178.5304,178.54,178.31,178.32,40040.0
2018-02-16,10:09:00,178.31,178.53,178.31,178.53,51822.0
2018-02-16,10:10:00,178.56,178.81,178.48,178.7349,93615.0
2018-02-16,10:11:00,178.7344,178.815,178.5701,178.65,29131.0
2018-02-16,10:12:00,178.666,178.68,178.4,178.42,31136.0
2018-02-16,10:13:00,178.44,178.4899,178.21,178.34,86369.0
2018-02-16,10:14:00,178.3486,178.42,178.15,178.18,60925.0
2018-02-16,10:15:00,178.19,178.54,178.18,178.43,31529.0
2018-02-16,10:16:00,178.465,178.6399,178.44,178.56,41122.0
2018-02-16,10:17:00,178.56,178.85,178.55,178.6723,44008.0
2018-02-16,10:18:00,178.6673,178.72,178.54,178.685,20007.0
2018-02-16,10:19:00,178.685,178.79,178.6295,178.71,27943.0
2018-02-16,10:20:00,178.71,178.729,178.5,178.53,40576.0
2018-02-16,10:21:00,178.53,178.64,178.492,178.6,19349.0
2018-02-16,10:22:00,178.66,178.83,178.611,178.83,36375.0
2018-02-16,10:23:00,178.83,179.05,178.8,179.03,77792.0
2018-02-16,10:24:00,179.023,179.09,178.8356,178.92,47643.0
2018-02-16,10:25:00,178.91,179.1,178.91,179.06,34101.0
2018-02-16,10:26:00,179.08,179.3,179.08,179.18,71991.0
2018-02-16,10:27:00,179.17,179.26,179.06,179.0899,30858.0
2018-02-16,10:28:00,179.0999,179.18,179.06,179.08,27465.0
