date,ToD,open,high,low,close,volume
2018-02-16,09:32:00,244.0,244.06,243.73,244.06,71944.0
2018-02-16,09:33:00,243.99,244.05,243.74,244.05,4100.0
2018-02-16,09:34:00,244.12,244.2992,243.91,243.96,9100.0
2018-02-16,09:35:00,243.76,243.84,243.25,243.25,6252.0
2018-02-16,09:36:00,243.26,243.82,243.26,243.416,4100.0
2018-02-16,09:37:00,243.56,243.99,243.56,243.7992,2015.0
2018-02-16,09:38:00,243.71,243.8,243.39,243.615,1400.0
2018-02-16,09:39:00,243.57,243.652,243.41,243.652,800.0
2018-02-16,09:40:00,243.58,244.0,243.42,244.0,4616.0
2018-02-16,09:41:00,243.9,243.95,243.42,243.435,5000.0
2018-02-16,09:42:00,243.43,243.75,243.43,243.46,3208.0
2018-02-16,09:43:00,243.63,243.79,243.62,243.79,3161.0
2018-02-16,09:44:00,243.78,243.84,243.43,243.61,2996.0
2018-02-16,09:45:00,243.34,243.34,242.89,243.04,2200.0
2018-02-16,09:46:00,243.01,243.3,242.875,243.3,4820.0
2018-02-16,09:47:00,243.3,243.3,242.95,243.16,3200.0
2018-02-16,09:48:00,242.8,242.8772,242.6,242.8772,1404.0
2018-02-16,09:49:00,242.67,243.075,242.67,243.0648,2525.0
2018-02-16,09:50:00,243.18,243.3,242.92,243.15,4423.0
2018-02-16,09:51:00,243.102,243.3,242.8,243.3,2770.0
2018-02-16,09:52:00,243.04,243.14,243.0,243.14,400.0
2018-02-16,09:53:00,243.13,243.19,242.85,242.965,2000.0
2018-02-16,09:54:00,242.985,243.1299,242.985,243.1299,600.0
2018-02-16,09:55:00,243.08,243.3,243.04,243.04,5700.0
2018-02-16,09:56:00,243.17,243.17,242.91,243.075,1936.0
2018-02-16,09:57:00,242.98,243.0203,242.885,243.0203,731.0
2018-02-16,09:58:00,243.11,243.2329,242.99,242.99,2848.0
2018-02-16,09:59:00,242.93,243.1222,242.88,243.1222,1116.0
2018-02-16,10:00:00,242.9484,243.1,242.74,242.97,2700.0
2018-02-16,10:01:00,242.74,243.12,242.66,242.9999,3709.0
2018-02-16,10:02:00,242.815,243.12,242.74,242.9082,14799.0
2018-02-16,10:03:00,243.08,243.17,243.08,243.09,1501.0
2018-02-16,10:04:00,243.0557,243.3,243.02,243.02,3200.0
2018-02-16,10:05:00,242.9001,243.179,242.9001,243.06,900.0
2018-02-16,10:06:00,242.95,243.3,242.95,243.3,4791.0
2018-02-16,10:07:00,243.255,243.255,243.03,243.11,4800.0
2018-02-16,10:08:00,243.02,243.37,243.02,243.11,6502.0
2018-02-16,10:09:00,243.2,243.3,243.19,243.3,1827.0
2018-02-16,10:10:00,243.3,243.91,243.3,243.91,3500.0
2018-02-16,10:11:00,243.71,243.76,243.53,243.53,2900.0
2018-02-16,10:12:00,243.6269,243.63,243.17,243.17,5100.0
2018-02-16,10:13:00,243.28,243.28,243.175,243.175,300.0
2018-02-16,10:14:00,243.16,243.3,242.97,243.1,1200.0
2018-02-16,10:15:00,243.1,243.31,243.1,243.305,6522.0
