date,ToD,open,high,low,close,volume
2018-02-16,09:31:00,32.89,32.92,32.89,32.92,2060.0
2018-02-16,09:32:00,32.95,32.96,32.92,32.95,156657.0
2018-02-16,09:33:00,32.95,32.97,32.93,32.93,3556.0
2018-02-16,09:34:00,32.94,32.94,32.83,32.84,2839.0
2018-02-16,09:35:00,32.86,32.9,32.74,32.76,13156.0
2018-02-16,09:36:00,32.76,32.78,32.71,32.76,6900.0
2018-02-16,09:37:00,32.76,32.76,32.71,32.73,3840.0
2018-02-16,09:38:00,32.74,32.82,32.72,32.8,6200.0
2018-02-16,09:39:00,32.81,32.81,32.78,32.8,1700.0
2018-02-16,09:40:00,32.785,32.86,32.785,32.86,6600.0
2018-02-16,09:41:00,32.84,32.85,32.81,32.85,3200.0
2018-02-16,09:42:00,32.86,32.905,32.855,32.88,6115.0
2018-02-16,09:43:00,32.89,32.9,32.85,32.88,9564.0
2018-02-16,09:44:00,32.865,32.93,32.86,32.88,9615.0
2018-02-16,09:45:00,32.8768,32.93,32.8768,32.93,25937.0
2018-02-16,09:46:00,32.92,33.0,32.905,32.99,17068.0
2018-02-16,09:47:00,33.0,33.03,32.98,33.015,40331.0
2018-02-16,09:48:00,33.01,33.01,32.97,32.98,8925.0
2018-02-16,09:49:00,32.9725,32.98,32.93,32.94,8546.0
2018-02-16,09:50:00,32.94,33.01,32.94,32.98,32680.0
2018-02-16,09:51:00,32.98,32.98,32.93,32.94,5229.0
2018-02-16,09:52:00,32.93,32.93,32.9,32.92,2039.0
2018-02-16,09:53:00,32.93,32.94,32.92,32.92,4892.0
2018-02-16,09:54:00,32.92,32.92,32.88,32.91,6047.0
2018-02-16,09:55:00,32.89,32.895,32.87,32.89,2200.0
2018-02-16,09:56:00,32.9,32.9,32.88,32.89,2400.0
2018-02-16,09:57:00,32.89,32.91,32.88,32.88,3225.0
2018-02-16,09:58:00,32.88,32.89,32.865,32.87,1700.0
2018-02-16,09:59:00,32.87,32.93,32.865,32.91,5780.0
2018-02-16,10:00:00,32.91,32.91,32.84,32.86,2914.0
2018-02-16,10:01:00,32.855,32.855,32.795,32.84,8300.0
2018-02-16,10:02:00,32.84,32.8862,32.84,32.8862,9532.0
2018-02-16,10:03:00,32.89,32.89,32.85,32.86,2492.0
2018-02-16,10:04:00,32.87,32.905,32.86,32.9,7364.0
2018-02-16,10:05:00,32.88,32.88,32.86,32.861,2616.0
2018-02-16,10:06:00,32.865,32.89,32.85,32.88,6156.0
2018-02-16,10:07:00,32.875,32.875,32.845,32.845,2407.0
2018-02-16,10:08:00,32.8425,32.8658,32.84,32.86,7183.0
2018-02-16,10:09:00,32.87,32.88,32.85,32.86,6357.0
2018-02-16,10:10:00,32.87,32.905,32.86,32.9,146730.0
2018-02-16,10:11:00,32.9,32.925,32.86,32.86,19918.0
2018-02-16,10:12:00,32.86,32.86,32.825,32.85,49542.0
2018-02-16,10:13:00,32.845,32.87,32.835,32.86,12894.0
2018-02-16,10:14:00,32.86,32.87,32.84,32.86,3214.0
2018-02-16,10:15:00,32.8575,32.89,32.84,32.84,3841.0
2018-02-16,10:16:00,32.84,32.87,32.83,32.87,7304.0
2018-02-16,10:17:00,32.88,32.89,32.85,32.86,6307.0
2018-02-16,10:18:00,32.86,32.87,32.84,32.85,5790.0
2018-02-16,10:19:00,32.845,32.845,32.83,32.83,5500.0
2018-02-16,10:20:00,32.8242,32.86,32.8242,32.85,42153.0
2018-02-16,10:21:00,32.85,32.86,32.835,32.84,6400.0
2018-02-16,10:22:00,32.84,32.86,32.83,32.84,21349.0
2018-02-16,10:23:00,32.841,32.9,32.84,32.9,27770.0
2018-02-16,10:24:00,32.9,32.91,32.875,32.9,37588.0
2018-02-16,10:25:00,32.9,32.91,32.895,32.9,22052.0
2018-02-16,10:26:00,32.905,32.93,32.9,32.9,5300.0
2018-02-16,10:27:00,32.895,32.905,32.89,32.9,36063.0
2018-02-16,10:28:00,32.91,32.93,32.9,32.93,3920.0
2018-02-16,10:29:00,32.92,32.95,32.91,32.9475,11557.0
2018-02-16,10:30:00,32.935,32.935,32.9,32.9,3633.0
2018-02-16,10:31:00,32.91,32.965,32.9075,32.965,42300.0
2018-02-16,10:32:00,32.965,32.965,32.955,32.96,8100.0
2018-02-16,10:33:00,32.955,32.96,32.95,32.96,1900.0
2018-02-16,10:34:00,32.965,32.97,32.96,32.97,24600.0
2018-02-16,10:35:00,32.965,32.97,32.955,32.955,11455.0
2018-02-16,10:36:00,32.96,32.9875,32.955,32.9875,23445.0
2018-02-16,10:37:00,32.99,33.03,32.98,33.025,9158.0
2018-02-16,10:38:00,33.025,33.04,33.02,33.03,5057.0
2018-02-16,10:39:00,33.025,33.03,33.01,33.03,22193.0
2018-02-16,10:40:00,33.03,33.055,33.03,33.0309,12045.0
2018-02-16,10:41:00,33.03,33.04,32.995,33.01,5184.0
2018-02-16,10:42:00,33.01,33.01,33.0,33.005,1811.0
2018-02-16,10:43:00,33.0075,33.0075,32.96,32.97,11883.0
2018-02-16,10:44:00,32.97,32.99,32.963,32.985,39799.0
2018-02-16,10:45:00,32.99,33.0,32.99,33.0,4100.0
2018-02-16,10:46:00,33.01,33.04,33.005,33.04,11808.0
2018-02-16,10:47:00,33.035,33.07,33.035,33.065,5289.0
2018-02-16,10:48:00,33.07,33.07,33.045,33.05,5507.0
2018-02-16,10:49:00,33.05,33.06,33.04,33.055,17331.0
2018-02-16,10:50:00,33.055,33.08,33.055,33.07,6173.0
2018-02-16,10:51:00,33.065,33.08,33.06,33.065,246435.0
2018-02-16,10:52:00,33.07,33.07,33.02,33.025,3314.0
2018-02-16,10:53:00,33.025,33.025,33.015,33.015,3351.0
2018-02-16,10:54:00,33.02,33.025,33.01,33.01,2358.0
2018-02-16,10:55:00,33.01,33.02,33.005,33.015,3964.0
2018-02-16,10:56:00,33.01,33.015,32.96,32.97,5394.0
2018-02-16,10:57:00,32.98,32.99,32.975,32.99,2852.0
2018-02-16,10:58:00,32.99,33.0232,32.99,33.01,12794.0
