date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,18.97,19.25,18.94,19.25,13771.0
2018-02-16,09:31:00,19.23,19.29,19.21,19.25,700.0
2018-02-16,09:33:00,19.35,19.36,19.34,19.35,2200.0
2018-02-16,09:34:00,19.34,19.34,19.31,19.31,10200.0
2018-02-16,09:35:00,19.3,19.35,19.29,19.34,7070.0
2018-02-16,09:36:00,19.34,19.34,19.33,19.33,3350.0
2018-02-16,09:37:00,19.34,19.36,19.33,19.35,1700.0
2018-02-16,09:38:00,19.34,19.37,19.34,19.37,1100.0
2018-02-16,09:39:00,19.34,19.39,19.34,19.385,4298.0
2018-02-16,09:40:00,19.38,19.4,19.375,19.38,3868.0
2018-02-16,09:41:00,19.37,19.37,19.34,19.345,1924.0
2018-02-16,09:42:00,19.35,19.36,19.33,19.33,3242.0
2018-02-16,09:43:00,19.33,19.3458,19.33,19.3458,1674.0
2018-02-16,09:44:00,19.34,19.34,19.33,19.33,500.0
2018-02-16,09:45:00,19.33,19.34,19.3,19.33,3024.0
2018-02-16,09:46:00,19.32,19.36,19.3,19.36,5125.0
2018-02-16,09:47:00,19.37,19.38,19.37,19.38,2670.0
2018-02-16,09:48:00,19.38,19.38,19.37,19.37,2786.0
2018-02-16,09:49:00,19.37,19.38,19.36,19.37,3169.0
2018-02-16,09:51:00,19.37,19.37,19.335,19.36,5200.0
2018-02-16,09:52:00,19.37,19.38,19.37,19.38,1000.0
2018-02-16,09:53:00,19.39,19.4,19.38,19.4,2376.0
2018-02-16,09:54:00,19.41,19.42,19.41,19.41,1543.0
2018-02-16,09:55:00,19.405,19.405,19.395,19.395,1737.0
2018-02-16,09:56:00,19.4,19.405,19.38,19.38,2125.0
2018-02-16,09:57:00,19.38,19.39,19.38,19.38,1624.0
2018-02-16,09:59:00,19.375,19.3799,19.35,19.35,4948.0
2018-02-16,10:00:00,19.35,19.36,19.35,19.35,2551.0
2018-02-16,10:01:00,19.36,19.38,19.36,19.37,4970.0
2018-02-16,10:02:00,19.37,19.375,19.36,19.365,17600.0
2018-02-16,10:03:00,19.3667,19.37,19.36,19.36,6262.0
2018-02-16,10:04:00,19.36,19.36,19.34,19.34,9898.0
2018-02-16,10:05:00,19.345,19.345,19.34,19.34,800.0
2018-02-16,10:06:00,19.34,19.34,19.31,19.32,7760.0
2018-02-16,10:07:00,19.32,19.32,19.3,19.3,5720.0
2018-02-16,10:08:00,19.305,19.31,19.3,19.3,7520.0
2018-02-16,10:09:00,19.31,19.31,19.29,19.295,11875.0
2018-02-16,10:10:00,19.29,19.3,19.29,19.29,9260.0
2018-02-16,10:11:00,19.295,19.295,19.27,19.27,22657.0
2018-02-16,10:12:00,19.27,19.27,19.23,19.23,6685.0
2018-02-16,10:13:00,19.24,19.26,19.23,19.26,7638.0
2018-02-16,10:14:00,19.26,19.26,19.25,19.25,2393.0
2018-02-16,10:15:00,19.25,19.28,19.25,19.28,5500.0
2018-02-16,10:16:00,19.29,19.29,19.29,19.29,2700.0
2018-02-16,10:17:00,19.29,19.29,19.28,19.28,900.0
2018-02-16,10:18:00,19.29,19.3,19.285,19.3,1535.0
2018-02-16,10:19:00,19.29,19.3,19.28,19.295,6163.0
2018-02-16,10:20:00,19.295,19.2999,19.285,19.285,1200.0
2018-02-16,10:21:00,19.285,19.29,19.285,19.29,1600.0
2018-02-16,10:22:00,19.295,19.3,19.29,19.295,1852.0
2018-02-16,10:23:00,19.29,19.3,19.29,19.3,900.0
2018-02-16,10:24:00,19.3,19.3,19.285,19.285,6024.0
2018-02-16,10:25:00,19.29,19.3,19.29,19.3,9632.0
2018-02-16,10:26:00,19.3,19.3,19.29,19.3,8140.0
2018-02-16,10:27:00,19.3,19.3,19.285,19.285,3190.0
2018-02-16,10:28:00,19.28,19.28,19.28,19.28,150.0
2018-02-16,10:29:00,19.28,19.29,19.27,19.27,3900.0
2018-02-16,10:30:00,19.28,19.28,19.28,19.28,1298.0
2018-02-16,10:31:00,19.275,19.285,19.275,19.28,2317.0
2018-02-16,10:32:00,19.29,19.31,19.28,19.31,2077.0
2018-02-16,10:33:00,19.32,19.325,19.31,19.31,3079.0
2018-02-16,10:34:00,19.31,19.31,19.31,19.31,100.0
2018-02-16,10:35:00,19.31,19.31,19.295,19.3,6088.0
2018-02-16,10:36:00,19.31,19.32,19.31,19.32,1957.0
2018-02-16,10:37:00,19.31,19.31,19.31,19.31,100.0
2018-02-16,10:38:00,19.315,19.315,19.31,19.31,2100.0
2018-02-16,10:39:00,19.3,19.32,19.3,19.32,2500.0
2018-02-16,10:40:00,19.3249,19.3249,19.32,19.32,1834.0
2018-02-16,10:41:00,19.315,19.315,19.315,19.315,100.0
2018-02-16,10:42:00,19.32,19.33,19.315,19.33,2800.0
2018-02-16,10:43:00,19.33,19.34,19.33,19.3369,4966.0
2018-02-16,10:44:00,19.34,19.355,19.335,19.34,4815.0
2018-02-16,10:45:00,19.34,19.35,19.34,19.35,2090.0
2018-02-16,10:46:00,19.35,19.355,19.3399,19.3399,15300.0
2018-02-16,10:47:00,19.34,19.355,19.335,19.35,3700.0
