date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,5.38,5.38,5.38,5.38,71040.0
2018-02-16,09:31:00,5.39,5.3999,5.35,5.3999,11112.0
2018-02-16,09:32:00,5.3801,5.4,5.3801,5.4,4099.0
2018-02-16,09:33:00,5.3999,5.42,5.3901,5.42,11890.0
2018-02-16,09:34:00,5.4299,5.44,5.429,5.43,11800.0
2018-02-16,09:35:00,5.43,5.4645,5.43,5.4499,31638.0
2018-02-16,09:36:00,5.44,5.44,5.415,5.4399,16783.0
2018-02-16,09:37:00,5.4399,5.4399,5.4301,5.4301,700.0
2018-02-16,09:38:00,5.4329,5.46,5.4329,5.45,33354.0
2018-02-16,09:39:00,5.45,5.4599,5.45,5.4593,7000.0
2018-02-16,09:40:00,5.4599,5.46,5.45,5.45,410.0
2018-02-16,09:41:00,5.4561,5.4599,5.4545,5.4599,5650.0
2018-02-16,09:42:00,5.4598,5.46,5.4399,5.4399,14101.0
2018-02-16,09:43:00,5.44,5.447,5.44,5.447,1700.0
2018-02-16,09:44:00,5.45,5.45,5.431,5.431,9764.0
2018-02-16,09:45:00,5.4301,5.4301,5.42,5.42,4715.0
2018-02-16,09:46:00,5.4199,5.4399,5.41,5.4399,4500.0
2018-02-16,09:47:00,5.44,5.44,5.43,5.44,3292.0
2018-02-16,09:48:00,5.45,5.45,5.44,5.45,2400.0
2018-02-16,09:49:00,5.445,5.45,5.4412,5.4499,9596.0
2018-02-16,09:50:00,5.45,5.4699,5.45,5.455,32331.0
2018-02-16,09:51:00,5.455,5.455,5.44,5.45,1700.0
2018-02-16,09:52:00,5.4499,5.45,5.4401,5.4402,1330.0
2018-02-16,09:53:00,5.4416,5.45,5.44,5.4499,9900.0
2018-02-16,09:54:00,5.445,5.4499,5.43,5.435,24071.0
2018-02-16,09:55:00,5.435,5.435,5.43,5.435,1600.0
2018-02-16,09:56:00,5.43,5.43,5.42,5.42,7391.0
2018-02-16,09:57:00,5.42,5.43,5.41,5.425,17475.0
2018-02-16,09:58:00,5.421,5.43,5.421,5.43,6258.0
2018-02-16,09:59:00,5.435,5.44,5.43,5.44,21005.0
2018-02-16,10:00:00,5.4399,5.44,5.4238,5.43,21393.0
2018-02-16,10:01:00,5.43,5.44,5.43,5.435,12006.0
2018-02-16,10:02:00,5.435,5.45,5.4328,5.435,13676.0
2018-02-16,10:03:00,5.44,5.44,5.435,5.435,4787.0
2018-02-16,10:04:00,5.4301,5.44,5.43,5.4367,12051.0
2018-02-16,10:05:00,5.4399,5.44,5.4301,5.44,800.0
2018-02-16,10:06:00,5.44,5.44,5.43,5.435,6260.0
2018-02-16,10:07:00,5.44,5.44,5.43,5.44,1740.0
2018-02-16,10:08:00,5.44,5.44,5.43,5.43,1190.0
2018-02-16,10:09:00,5.43,5.44,5.43,5.44,1100.0
2018-02-16,10:10:00,5.43,5.44,5.43,5.43,400.0
2018-02-16,10:11:00,5.435,5.44,5.43,5.43,2100.0
2018-02-16,10:12:00,5.43,5.44,5.43,5.43,2200.0
2018-02-16,10:13:00,5.435,5.44,5.43,5.43,3710.0
2018-02-16,10:14:00,5.43,5.44,5.43,5.43,1600.0
2018-02-16,10:15:00,5.44,5.44,5.431,5.44,800.0
2018-02-16,10:16:00,5.43,5.44,5.43,5.435,2462.0
2018-02-16,10:17:00,5.44,5.44,5.43,5.44,1600.0
2018-02-16,10:18:00,5.43,5.45,5.43,5.45,25353.0
2018-02-16,10:19:00,5.45,5.45,5.44,5.4499,12100.0
2018-02-16,10:20:00,5.45,5.45,5.44,5.45,5400.0
2018-02-16,10:21:00,5.445,5.45,5.44,5.44,21427.0
2018-02-16,10:22:00,5.445,5.45,5.445,5.445,1200.0
2018-02-16,10:23:00,5.445,5.45,5.44,5.45,11100.0
2018-02-16,10:24:00,5.445,5.445,5.43,5.43,20600.0
2018-02-16,10:25:00,5.435,5.44,5.42,5.42,20810.0
2018-02-16,10:26:00,5.4238,5.45,5.42,5.4402,72451.0
2018-02-16,10:27:00,5.445,5.45,5.445,5.4499,400.0
2018-02-16,10:28:00,5.45,5.45,5.4499,5.4499,500.0
2018-02-16,10:29:00,5.4465,5.45,5.4465,5.4499,2955.0
2018-02-16,10:30:00,5.445,5.45,5.4401,5.45,700.0
2018-02-16,10:31:00,5.45,5.45,5.4401,5.45,2700.0
2018-02-16,10:32:00,5.445,5.45,5.44,5.445,2100.0
2018-02-16,10:33:00,5.45,5.45,5.445,5.45,2450.0
