date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,36.89,37.06,36.86,36.86,289589.0
2018-02-16,09:31:00,36.97,37.1,36.97,37.1,2800.0
2018-02-16,09:32:00,37.1,37.14,37.02,37.08,6840.0
2018-02-16,09:33:00,37.05,37.07,37.01,37.05,4806.0
2018-02-16,09:34:00,37.07,37.07,37.01,37.04,3800.0
2018-02-16,09:35:00,37.04,37.16,36.99,37.14,61620.0
2018-02-16,09:36:00,37.13,37.2,37.13,37.18,77246.0
2018-02-16,09:37:00,37.19,37.205,37.15,37.195,5893.0
2018-02-16,09:38:00,37.18,37.23,37.18,37.23,2481.0
2018-02-16,09:39:00,37.23,37.31,37.23,37.29,4922.0
2018-02-16,09:40:00,37.28,37.29,37.24,37.26,3000.0
2018-02-16,09:41:00,37.23,37.23,37.18,37.19,9922.0
2018-02-16,09:42:00,37.17,37.17,37.15,37.17,5399.0
2018-02-16,09:43:00,37.17,37.195,37.17,37.19,1609.0
2018-02-16,09:44:00,37.22,37.24,37.2,37.2,9705.0
2018-02-16,09:45:00,37.19,37.19,37.17,37.19,3938.0
2018-02-16,09:46:00,37.19,37.22,37.16,37.22,9700.0
2018-02-16,09:47:00,37.23,37.26,37.22,37.26,2549.0
2018-02-16,09:48:00,37.26,37.26,37.23,37.25,3081.0
2018-02-16,09:49:00,37.26,37.27,37.23,37.26,3000.0
2018-02-16,09:50:00,37.26,37.285,37.26,37.26,2302.0
2018-02-16,09:51:00,37.23,37.29,37.21,37.29,2764.0
2018-02-16,09:52:00,37.285,37.29,37.27,37.28,2200.0
2018-02-16,09:53:00,37.29,37.35,37.29,37.35,28297.0
2018-02-16,09:54:00,37.365,37.4,37.35,37.37,5100.0
2018-02-16,09:55:00,37.37,37.37,37.335,37.3386,3754.0
2018-02-16,09:56:00,37.33,37.34,37.31,37.31,4033.0
2018-02-16,09:57:00,37.32,37.33,37.28,37.28,10877.0
2018-02-16,09:58:00,37.29,37.3,37.29,37.29,1100.0
2018-02-16,09:59:00,37.29,37.29,37.26,37.26,5728.0
2018-02-16,10:00:00,37.26,37.3,37.25,37.28,7573.0
2018-02-16,10:01:00,37.27,37.3,37.24,37.28,11970.0
2018-02-16,10:02:00,37.28,37.295,37.24,37.27,16534.0
2018-02-16,10:03:00,37.28,37.295,37.275,37.29,3555.0
2018-02-16,10:04:00,37.3,37.33,37.3,37.32,2616.0
2018-02-16,10:05:00,37.31,37.31,37.28,37.285,4880.0
2018-02-16,10:06:00,37.27,37.28,37.24,37.28,4665.0
2018-02-16,10:07:00,37.28,37.28,37.235,37.25,5500.0
