date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,9.05,9.15,9.04,9.15,57277.0
2018-02-16,09:31:00,9.03,9.0489,9.0,9.0252,5186.0
2018-02-16,09:32:00,9.0,9.0,8.91,8.97,15362.0
2018-02-16,09:33:00,8.94,9.0,8.94,8.97,5100.0
2018-02-16,09:34:00,8.985,8.9964,8.965,8.9964,9121.0
2018-02-16,09:35:00,8.985,9.01,8.97,9.01,8229.0
2018-02-16,09:36:00,9.019,9.02,8.935,8.95,18358.0
2018-02-16,09:37:00,8.95,8.99,8.9343,8.9899,21474.0
2018-02-16,09:38:00,8.979,8.989,8.9655,8.9655,2907.0
2018-02-16,09:39:00,8.97,9.019,8.97,8.98,4872.0
2018-02-16,09:40:00,8.98,8.98,8.94,8.96,30330.0
2018-02-16,09:41:00,8.94,8.94,8.88,8.88,8755.0
2018-02-16,09:42:00,8.86,8.86,8.8123,8.845,14911.0
2018-02-16,09:43:00,8.849,8.88,8.849,8.85,2690.0
2018-02-16,09:44:00,8.8402,8.8402,8.8,8.8,4472.0
2018-02-16,09:45:00,8.8199,8.8199,8.78,8.81,16283.0
2018-02-16,09:46:00,8.82,8.89,8.7916,8.89,4350.0
2018-02-16,09:47:00,8.9078,8.94,8.9,8.94,3548.0
2018-02-16,09:48:00,8.91,8.91,8.89,8.9,1800.0
2018-02-16,09:49:00,8.9,8.9132,8.88,8.88,6460.0
2018-02-16,09:50:00,8.87,8.93,8.86,8.91,7655.0
2018-02-16,09:51:00,8.9,8.94,8.9,8.94,7541.0
2018-02-16,09:52:00,8.95,8.97,8.92,8.97,8362.0
2018-02-16,09:53:00,8.98,8.99,8.9,8.93,14750.0
2018-02-16,09:54:00,8.935,8.95,8.88,8.88,12189.0
2018-02-16,09:55:00,8.8892,8.8892,8.885,8.885,2345.0
2018-02-16,09:56:00,8.86,8.86,8.8227,8.84,3470.0
2018-02-16,09:57:00,8.8327,8.86,8.8266,8.85,7600.0
2018-02-16,09:58:00,8.8416,8.85,8.821,8.845,810.0
2018-02-16,09:59:00,8.85,8.85,8.84,8.85,1795.0
2018-02-16,10:00:00,8.83,8.85,8.83,8.85,4133.0
2018-02-16,10:01:00,8.82,8.82,8.81,8.82,1000.0
2018-02-16,10:02:00,8.8,8.825,8.78,8.7854,23331.0
2018-02-16,10:03:00,8.8,8.84,8.781,8.8268,19436.0
2018-02-16,10:04:00,8.83,8.85,8.83,8.84,4250.0
2018-02-16,10:05:00,8.83,8.84,8.8,8.8,6525.0
2018-02-16,10:06:00,8.79,8.81,8.78,8.81,16144.0
2018-02-16,10:07:00,8.8,8.82,8.799,8.8,4748.0
2018-02-16,10:08:00,8.8099,8.82,8.8,8.8092,9297.0
2018-02-16,10:09:00,8.8,8.82,8.79,8.81,15193.0
2018-02-16,10:10:00,8.815,8.83,8.815,8.82,2400.0
2018-02-16,10:11:00,8.8336,8.84,8.8259,8.84,1555.0
2018-02-16,10:12:00,8.84,8.87,8.84,8.87,6033.0
2018-02-16,10:13:00,8.87,8.88,8.86,8.86,5541.0
2018-02-16,10:14:00,8.855,8.855,8.8547,8.855,1295.0
2018-02-16,10:15:00,8.86,8.87,8.86,8.87,800.0
2018-02-16,10:16:00,8.86,8.87,8.86,8.86,6608.0
2018-02-16,10:17:00,8.86,8.86,8.8579,8.8579,200.0
2018-02-16,10:18:00,8.86,8.86,8.851,8.851,900.0
2018-02-16,10:19:00,8.8599,8.8599,8.8599,8.8599,200.0
2018-02-16,10:20:00,8.85,8.89,8.85,8.88,7420.0
2018-02-16,10:21:00,8.88,8.91,8.88,8.91,5216.0
2018-02-16,10:22:00,8.905,8.92,8.89,8.9001,13678.0
2018-02-16,10:23:00,8.9094,8.91,8.9,8.9,1100.0
2018-02-16,10:24:00,8.905,8.905,8.9,8.9044,2000.0
2018-02-16,10:25:00,8.905,8.94,8.9,8.94,9328.0
2018-02-16,10:26:00,8.9301,8.96,8.9301,8.96,3400.0
2018-02-16,10:27:00,8.9646,8.98,8.9549,8.97,8560.0
2018-02-16,10:28:00,8.97,8.9705,8.96,8.9705,2452.0
2018-02-16,10:29:00,8.96,8.99,8.96,8.98,11348.0
2018-02-16,10:30:00,8.98,9.0,8.98,8.99,6401.0
2018-02-16,10:31:00,8.995,9.02,8.99,9.01,9339.0
2018-02-16,10:32:00,9.01,9.01,9.0,9.0099,500.0
