date,ToD,open,high,low,close,volume
2018-02-16,09:31:00,14.85,14.89,14.84,14.88,2396267.0
2018-02-16,09:32:00,14.88,14.89,14.86,14.88,103884.0
2018-02-16,09:33:00,14.89,14.94,14.88,14.94,240916.0
2018-02-16,09:34:00,14.9386,14.96,14.92,14.955,172101.0
2018-02-16,09:35:00,14.96,14.98,14.95,14.98,135217.0
2018-02-16,09:36:00,14.971,14.98,14.9339,14.965,204469.0
2018-02-16,09:37:00,14.965,14.97,14.95,14.96,105474.0
2018-02-16,09:38:00,14.96,14.975,14.95,14.965,97025.0
2018-02-16,09:39:00,14.9638,14.99,14.96,14.99,128757.0
2018-02-16,09:40:00,14.9882,15.02,14.98,14.9975,575085.0
2018-02-16,09:41:00,14.99,15.02,14.99,15.02,227957.0
2018-02-16,09:42:00,15.02,15.03,14.98,15.0,533809.0
2018-02-16,09:43:00,15.0,15.02,14.994,15.015,118238.0
2018-02-16,09:44:00,15.015,15.02,14.96,14.965,373614.0
2018-02-16,09:45:00,14.96,14.97,14.9301,14.955,193545.0
2018-02-16,09:46:00,14.95,14.965,14.93,14.9601,199619.0
2018-02-16,09:47:00,14.96,14.97,14.93,14.945,231343.0
2018-02-16,09:48:00,14.945,14.96,14.94,14.96,111663.0
2018-02-16,09:49:00,14.9587,14.9799,14.95,14.9701,142235.0
2018-02-16,09:50:00,14.975,14.99,14.97,14.975,177749.0
2018-02-16,09:51:00,14.975,14.98,14.94,14.964,153614.0
2018-02-16,09:52:00,14.965,14.97,14.96,14.965,29099.0
2018-02-16,09:53:00,14.965,14.975,14.95,14.97,254217.0
2018-02-16,09:54:00,14.97,14.97,14.95,14.955,117109.0
2018-02-16,09:55:00,14.955,14.96,14.93,14.9336,172398.0
2018-02-16,09:56:00,14.935,14.95,14.93,14.94,119684.0
2018-02-16,09:57:00,14.9301,14.94,14.9,14.92,166223.0
2018-02-16,09:58:00,14.9148,14.92,14.91,14.91,52292.0
2018-02-16,09:59:00,14.915,14.92,14.89,14.895,263281.0
2018-02-16,10:00:00,14.89,14.8999,14.87,14.87,102303.0
2018-02-16,10:01:00,14.87,14.88,14.835,14.84,417274.0
2018-02-16,10:02:00,14.835,14.84,14.81,14.82,182430.0
2018-02-16,10:03:00,14.825,14.84,14.82,14.835,133173.0
2018-02-16,10:04:00,14.835,14.86,14.83,14.845,267591.0
2018-02-16,10:05:00,14.8496,14.855,14.84,14.845,147795.0
2018-02-16,10:06:00,14.8452,14.85,14.82,14.84,154184.0
2018-02-16,10:07:00,14.8454,14.85,14.825,14.83,112882.0
2018-02-16,10:08:00,14.825,14.849,14.82,14.849,106356.0
2018-02-16,10:09:00,14.84,14.86,14.84,14.86,69618.0
2018-02-16,10:10:00,14.86,14.87,14.85,14.86,107880.0
2018-02-16,10:11:00,14.864,14.87,14.86,14.8638,61453.0
2018-02-16,10:12:00,14.87,14.87,14.85,14.85,111895.0
2018-02-16,10:13:00,14.855,14.88,14.85,14.87,164489.0
2018-02-16,10:14:00,14.8747,14.8779,14.85,14.8599,112323.0
2018-02-16,10:15:00,14.85,14.8768,14.85,14.852,340952.0
2018-02-16,10:16:00,14.85,14.86,14.84,14.86,134647.0
2018-02-16,10:17:00,14.855,14.86,14.845,14.8539,156236.0
2018-02-16,10:18:00,14.8566,14.88,14.85,14.865,112403.0
2018-02-16,10:19:00,14.863,14.88,14.845,14.85,286597.0
2018-02-16,10:20:00,14.845,14.86,14.84,14.86,195584.0
2018-02-16,10:21:00,14.851,14.8678,14.851,14.854,54232.0
2018-02-16,10:22:00,14.86,14.87,14.855,14.861,94541.0
2018-02-16,10:23:00,14.865,14.87,14.85,14.865,154499.0
2018-02-16,10:24:00,14.865,14.87,14.85,14.855,160502.0
2018-02-16,10:25:00,14.85,14.8652,14.84,14.84,167094.0
2018-02-16,10:26:00,14.84,14.87,14.83,14.865,183130.0
2018-02-16,10:27:00,14.86,14.86,14.841,14.855,140086.0
2018-02-16,10:28:00,14.86,14.87,14.855,14.86,84832.0
2018-02-16,10:29:00,14.86,14.88,14.86,14.87,137598.0
2018-02-16,10:30:00,14.875,14.905,14.87,14.905,130843.0
2018-02-16,10:31:00,14.9,14.91,14.895,14.9073,107125.0
2018-02-16,10:32:00,14.907,14.94,14.9,14.925,252427.0
2018-02-16,10:33:00,14.92,14.93,14.92,14.925,65306.0
2018-02-16,10:34:00,14.925,14.93,14.92,14.92,64053.0
2018-02-16,10:35:00,14.925,14.939,14.915,14.9301,182121.0
2018-02-16,10:36:00,14.9354,14.945,14.93,14.94,154087.0
2018-02-16,10:37:00,14.935,14.95,14.93,14.943,53696.0
2018-02-16,10:38:00,14.95,14.95,14.94,14.95,46943.0
2018-02-16,10:39:00,14.94,14.96,14.94,14.955,93459.0
2018-02-16,10:40:00,14.96,14.96,14.94,14.941,96753.0
2018-02-16,10:41:00,14.95,14.96,14.9401,14.955,61087.0
2018-02-16,10:42:00,14.9501,14.97,14.95,14.96,95702.0
2018-02-16,10:43:00,14.96,14.97,14.94,14.95,159643.0
2018-02-16,10:44:00,14.96,14.96,14.95,14.96,28560.0
2018-02-16,10:45:00,14.955,14.96,14.95,14.96,52965.0
2018-02-16,10:46:00,14.9536,14.97,14.95,14.97,92181.0
2018-02-16,10:47:00,14.9654,14.9864,14.96,14.973,245022.0
2018-02-16,10:48:00,14.978,14.985,14.97,14.9825,134325.0
2018-02-16,10:49:00,14.985,14.99,14.98,14.985,23460.0
2018-02-16,10:50:00,14.985,15.01,14.9845,15.01,244461.0
2018-02-16,10:51:00,15.01,15.02,15.0,15.004,147736.0
2018-02-16,10:52:00,15.005,15.0089,14.99,14.995,154845.0
2018-02-16,10:53:00,14.995,15.0,14.98,14.9825,144126.0
2018-02-16,10:54:00,14.985,15.01,14.98,14.995,164793.0
2018-02-16,10:55:00,14.9932,15.01,14.99,14.9908,185684.0
2018-02-16,10:56:00,14.991,15.0,14.99,14.9957,87157.0
